,제목,참조주소,내용,방송사
0,"창녕군, 귀농인 창업지원 사업 신청 접수",http://news.kbs.co.kr/news/view.do?ncd=7406317,"


	창녕군은 이달 말까지 귀농인 창업육성 지원사업 신청을 받고 있습니다.귀농인 창업육성 지원사업 가운데 비료와 농약 등을 구입하는 생활안정자금은 400만 원의 보조금을, 농업시설이나 농기계 구입에 드는 영농기반조성자금은 1,600만 원의 보조금을 지원받을 수 있습니다.

	

	

	
",kbs
1,"단양군, 귀농인 농업 시설 지원",http://news.kbs.co.kr/news/view.do?ncd=7176793,"


	단양군이 올해 9,340만 원을 들여 귀농인에게 비닐하우스 신축 비용을 비롯해 소형농기계, 주택수리비 등을 지원합니다.신청을 원하는 농가는 이달 26일까지 읍·면사무소에 문의하면 됩니다.

	

	

	
",kbs
2,"단양군, 귀농인 농업 시설 지원",http://news.kbs.co.kr/news/view.do?ncd=7138513,"


	단양군이 올해 9,340만 원을 들여 귀농인에게 비닐하우스 신축 비용을 비롯해 소형농기계, 주택수리비 등을 지원합니다.신청을 원하는 농가는 이달 26일까지 읍·면사무소에 문의하면 됩니다.

	

	

	
",kbs
3,인구 3만 명 회복 사활…귀농·귀촌에 방점,http://news.kbs.co.kr/news/view.do?ncd=7004586,"


[앵커] 네트워크 순서입니다. 새해 충북 단양군의 주요 현안 가운데 하나는 인구 3만 명 회복입니다. 단양군을 이를 위한 해법으로 귀농·귀촌을 통한 인구 유입에 집중하기로 했습니다. 이 소식은 청주에서  지용수 기자가 전해왔습니다. [리포트] 서울 생활을 접고  2009년 단양으로 내려온 박영자 씨. 콩과 고추, 산야초 농사를 짓고  직접 만든 된장으로  식당 운영까지 하고 있습니다. 단양 생활이 안정되면서 아들과 딸 부부까지 내려왔습니다. 지금은 귀농·귀촌 협의회장을 맡아 단양 홍보 활동까지 하고 있습니다. [박영자/단양군 가곡면  :  ""처음에 올 때는 막연하게 걱정도 됐었는데 막상 와서 보니까 진작 올 걸 하는 생각을 했습니다. 복잡한 도시에서 사는 것보다는 참 선택 잘했다. 이런 생각을 많이 하고….""] 올해 단양군이 귀농·귀촌인을 유치하기 위해 파격적인 조건을 내걸었습니다. 인구 3만 명 회복을 위한 가장 현실적인 방안으로 판단했습니다. 우선 귀농·귀촌 신고를 한 뒤 2년이 지난 농가에는 최대 600만 원까지 정착 장려금을 지원합니다. 민·관 공감대 형성을 위해  귀농·귀촌인 유치 우수 마을에는  최대 1억 원의 사업비도 주어집니다. 농가 주택 수리와  농기계 구입비 등  다양한 지원책도 마련했습니다. 전체 지원 규모는 지난해보다 161% 증가했습니다. [이향미/단양군 농촌활력마케팅과 팀장  :  ""귀농·귀촌 활성화를 통한 인구 유입이 중요하다고 생각하고 추진하고 있습니다. 충북에서는 저희 단양군이 최고 금액인 것 같고요. 충남 공주시에서 저희랑 비슷한 수준으로 정착 장려금을….""] 지난 2017년부터 5년 동안  단양군을 찾은 귀농·귀촌 인구는 4천5백여 명. 단양군이 내건  귀농·귀촌 유인책이  얼마나 효과를 거둘지 관심이 모아지고 있습니다. KBS 뉴스 지용숩니다.

	

	

	
",kbs
4,인구 3만 명 회복 사활…귀농·귀촌에 방점,http://news.kbs.co.kr/news/view.do?ncd=6930037,"


[앵커] 네트워크 순서입니다. 새해 충북 단양군의 주요 현안 가운데 하나는 인구 3만 명 회복입니다. 단양군을 이를 위한 해법으로 귀농·귀촌을 통한 인구 유입에 집중하기로 했습니다. 이 소식은 청주에서  지용수 기자가 전해왔습니다. [리포트] 서울 생활을 접고  2009년 단양으로 내려온 박영자 씨. 콩과 고추, 산야초 농사를 짓고  직접 만든 된장으로  식당 운영까지 하고 있습니다. 단양 생활이 안정되면서 아들과 딸 부부까지 내려왔습니다. 지금은 귀농·귀촌 협의회장을 맡아 단양 홍보 활동까지 하고 있습니다. [박영자/단양군 가곡면  :  ""처음에 올 때는 막연하게 걱정도 됐었는데 막상 와서 보니까 진작 올 걸 하는 생각을 했습니다. 복잡한 도시에서 사는 것보다는 참 선택 잘했다. 이런 생각을 많이 하고….""] 올해 단양군이 귀농·귀촌인을 유치하기 위해 파격적인 조건을 내걸었습니다. 인구 3만 명 회복을 위한 가장 현실적인 방안으로 판단했습니다. 우선 귀농·귀촌 신고를 한 뒤 2년이 지난 농가에는 최대 600만 원까지 정착 장려금을 지원합니다. 민·관 공감대 형성을 위해  귀농·귀촌인 유치 우수 마을에는  최대 1억 원의 사업비도 주어집니다. 농가 주택 수리와  농기계 구입비 등  다양한 지원책도 마련했습니다. 전체 지원 규모는 지난해보다 161% 증가했습니다. [이향미/단양군 농촌활력마케팅과 팀장  :  ""귀농·귀촌 활성화를 통한 인구 유입이 중요하다고 생각하고 추진하고 있습니다. 충북에서는 저희 단양군이 최고 금액인 것 같고요. 충남 공주시에서 저희랑 비슷한 수준으로 정착 장려금을….""] 지난 2017년부터 5년 동안  단양군을 찾은 귀농·귀촌 인구는 4천5백여 명. 단양군이 내건  귀농·귀촌 유인책이  얼마나 효과를 거둘지 관심이 모아지고 있습니다. KBS 뉴스 지용숩니다.

	

	

	
",kbs
5,인구 3만 명 회복 사활…귀농·귀촌에 방점,http://news.kbs.co.kr/news/view.do?ncd=6538692,"


[앵커] 새해 단양군의 주요 현안 가운데 하나는 인구 3만 명 회복입니다. 단양군을 이를 위한 해법으로 귀농·귀촌을 통한 인구 유입에 집중하기로 했습니다. 보도에 지용수 기자입니다. [리포트] 서울 생활을 접고  2009년 단양으로 내려온 박영자 씨. 콩과 고추, 산야초 농사를 짓고  직접 만든 된장으로  식당 운영까지 하고 있습니다. 단양 생활이 안정되면서 아들과 딸 부부까지 내려왔습니다. 지금은 귀농·귀촌 협의회장을 맡아 단양 홍보 활동까지 하고 있습니다. [박영자/단양군 가곡면 : ""처음에 올 때는 막연하게 걱정도 됐었는데 막상 와서 보니까 진작 올 걸 하는 생각을 했습니다. 복잡한 도시에서 사는 것 보다는 참 선택 잘했다. 이런 생각을 많이 하고.""] 올해 단양군이 귀농·귀촌인을 유치하기 위해 파격적인 조건을 내걸었습니다. 인구 3만 명 회복을 위한 가장 현실적인 방안으로 판단했습니다. 우선 귀농·귀촌 신고를 한 뒤 2년이 지난 농가에는 최대 600만 원까지 정착 장려금을 지원합니다. 민·관 공감대 형성을 위해  귀농·귀촌인 유치 우수 마을에는  최대 1억 원의 사업비도 주어집니다. 농가 주택 수리와  농기계 구입비 등  다양한 지원책도 마련했습니다. 전체 지원 규모는 지난해보다 161% 증가했습니다. [이향미/단양군 농촌활력마케팅과 팀장 : ""귀농·귀촌 활성화를 통한 인구 유입이 중요하다고 생각하고 추진하고 있습니다. 충북에서는 저희 단양군이 최고 금액인 것 같고요. 충남 공주시에서 저희랑 비슷한 수준으로 정착 장려금을...""] 지난 2017년부터 5년 동안  단양군을 찾은 귀농·귀촌 인구는 4천5백여 명. 단양군이 내건  귀농·귀촌 유인책이  얼마나 효과를 거둘지 관심이 모아지고 있습니다. KBS 뉴스 지용수입니다.

	

	

	
",kbs
6,"[여기는 충주] 단양군, ‘귀농·귀촌’으로 인구 3만 명 회복 사활",http://news.kbs.co.kr/news/view.do?ncd=6538605,"


[앵커] 이번에는  KBS 충주 스튜디오 연결해 북부권 소식 살펴보겠습니다. 박찬송 아나운서, 전해주시죠.[답변]네, 충줍니다. 새해 단양군의 주요 현안 가운데 하나는 인구 3만 명 회복입니다. 단양군을 이를 위한 해법으로 귀농·귀촌을 통한 인구 유입에 집중하기로 했습니다. 보도에 지용수 기자입니다. [리포트] 서울 생활을 접고  2009년 단양으로 내려온 박영자 씨. 콩과 고추, 산야초 농사를 짓고  직접 만든 된장으로  식당 운영까지 하고 있습니다. 단양 생활이 안정되면서 아들과 딸 부부까지 내려왔습니다. 지금은 귀농·귀촌 협의회장을 맡아 단양 홍보 활동까지 하고 있습니다. [박영자/단양군 가곡면 : ""처음에 올 때는 막연하게 걱정도 됐었는데 막상 와서 보니까 진작 올 걸 하는 생각을 했습니다. 복잡한 도시에서 사는 것 보다는 참 선택 잘했다. 이런 생각을 많이 하고.""] 올해 단양군이 귀농·귀촌인을 유치하기 위해 파격적인 조건을 내걸었습니다. 인구 3만 명 회복을 위한 가장 현실적인 방안으로 판단했습니다. 우선 귀농·귀촌 신고를 한 뒤 2년이 지난 농가에는 최대 600만 원까지 정착 장려금을 지원합니다. 민·관 공감대 형성을 위해  귀농·귀촌인 유치 우수 마을에는  최대 1억 원의 사업비도 주어집니다. 농가 주택 수리와  농기계 구입비 등  다양한 지원책도 마련했습니다. 전체 지원 규모는 지난해보다 161% 증가했습니다. [이향미/단양군 농촌활력마케팅과 팀장 : ""귀농·귀촌 활성화를 통한 인구 유입이 중요하다고 생각하고 추진하고 있습니다. 충북에서는 저희 단양군이 최고 금액인 것 같고요. 충남 공주시에서 저희랑 비슷한 수준으로 정착 장려금을...""] 지난 2017년부터 5년 동안  단양군을 찾은 귀농·귀촌 인구는 4천5백여 명. 단양군이 내건  귀농·귀촌 유인책이  얼마나 효과를 거둘지 관심이 모아지고 있습니다. KBS 뉴스 지용수입니다.제천시, 명동 갈비골목 통합브랜드 개발 제천시가  골목 경제 활성화를 위해 추진하는 명동 갈비골목 조성을 위해 통합 브랜드 '고기로'를 개발했습니다. 제천시는 통합 브랜드 '고기로'를  상권게이트, 야간경관조명, 홍보 기념물 등에 활용해  명동갈비골목을 알린다는 계획입니다. 제천시는 지난해 정부의 골목경제 회복지원 사업에 선정돼 9억 4천만 원의 예산을 들여  명동갈비골목 조성사업을  추진하고 있습니다.충주시, 농업 기술보급 시범사업 신청 접수 충주시농업기술센터가  올해 농업 기술 보급 시범사업 대상자를 모집합니다. 이번 사업은  예산 48억 원을 투입해  기술 분야와 교육 분야,  과수 육성 분야로 나눠 추진될 예정인데요. 신청 자격은  충주시 농업인과 단체로,  희망자는 다음 달 3일까지  농업기술센터와 농민상담소에 접수하면 됩니다.충주시자원봉사센터, 자원봉사자 할인가맹점 모집 충주시자원봉사센터가 지역의 우수 자원봉사자를 응원하는 할인가맹점을 상시 모집합니다. 자원봉사자 할인가맹점은  센터에서 발급한 사랑나누기통장이나 우수자원봉사자증을 소지한 자원봉사자에게 최대 30%까지 할인 혜택을 제공하는 곳을 말하는데요. 협약이 체결되면 충주시자원봉사센터 SNS 채널 등을 통해 업체 홍보를 할 수 있습니다. 지난해 말 기준으로 충주시에는 안경점과 영화관, 꽃집 등 64개의 할인가맹점이 운영되고 있습니다.반기문 전 유엔 사무총장, 음성군 1호 고향사랑기부 등록 반기문 전 유엔 사무총장이 고향사랑기부제 음성군 1호 기부자로 등록됐습니다. 기부금은 취약계층 청소년 지원과 지역공동체 활성화, 주민복리증진 사업 등에 사용될 예정입니다. 고향사랑기부제는 개인이 자신의 주소지를 제외한 지방자치단체에 연간 500만 원 한도 안에서 기부할 수 있는 제도인데요. 기부금은 고향사랑이음 홈페이지에 접속하거나 전국 농협은행, 농·축협을 방문해 납부할 수 있습니다. 지금까지 충주에서 전해드렸습니다. 촬영기자:윤진모·강사완/영상편집:정진욱

	

	

	
",kbs
7,[통일로 미래로] 축사에서 찾은 희망… 귀농 탈북민의 꿈,http://news.kbs.co.kr/news/view.do?ncd=5615856,"


[앵커]탈북민이란 말 앞엔 흔히 ‘목숨을 걸고 탈북하신’ 이란 말을 덧붙이게 되는데요.이렇게 어렵게 넘어오신 분들의 우리 땅 정착기를 듣다 보면 대개 가슴이 먹먹해지는 사연들이 있습니다.네, 이런 사연을 가진 여성 탈북민, 영농인 한 분을 오늘 소개해드리려고 하는데요.이하영 리포터, 이 분 만나러 멀리 김제까지 다녀오셨다고요?[기자]네, 오늘 이야기의 주인공은 전북 김제에서 한우를 키우는, 축산 영농인 이순실 씨입니다.축사엘 가보니까요, 120여 마리나 되는 소들을 키우며, 정말 눈코 뜰 새 없이 바쁜 일상을 보내고 계셨습니다.[앵커]소가 이렇게 많으니 부농 소릴 들을 법도 한데요, 어려움도 많았겠죠?[기자]네, 탈북민이기 때문에 겪어야 했던 외로움도 있었고요. 또 경제적인 어려움도 많았다고 합니다. 그래도 든든히 곁을 지켜주는 남편분과 함께 이 어려움들을 이겨내고 있었는데요.이순실 씨의 도전과 꿈 이야기, 지금부터 들려 드리겠습니다.  [리포트]동이 트기 전 깜깜한 새벽녘, 굵은 빗소리 사이로 아침을 깨우는 우렁찬 울음이 들려옵니다.이내 축사에 불이 켜지고, 부부의 분주한 손길이 이어지는데요.오늘은 정성껏 키운 소 두 마리를 경매장으로 보내는 날입니다. [""지금 소 경매 나가요~ (소 몇 번이여?) 32583!""] 생계를 위해 흘린 땀이 결실을 맺는 순간, 하지만 만감이 교차합니다.정든 소를 떠나보내려니 발길이 쉽사리 떨어지지 않는데요. [이순실/탈북민/한우 축사 운영 : ""송아지들 나갈 때는 기분 좋은데요, 엄마들이 나갈 때는요, 최대한으로 안 보려고 해요. 마음 아파요. 명이 거기까지라고 하지 않아, 신랑이.""] 정착 12년 차인 순실 씨는 한국에서 만난 남편과 함께 3년째 한우 축사를 운영 중인데요.부부의 하루 일과 대부분은 소들을 돌보는 일로 채워집니다. 막 출산을 기다리는 어미 소의 새끼를 받는 일도 순실 씨의 몫입니다. [이순실/탈북민/한우 축사 운영 : ""오늘은 새끼 낳을 거지? 새끼 낳아주라, 고마워! 송아지들 봐라~ 얘네들 이렇게 예뻐.""] 영양제 주사도 직접 놓고 육아일지까지 쓰며 꼼꼼히 돌보는데요.  [이순실/탈북민/한우 축사 운영 : ""송아지를 키우는 데서는 육아니까, 송아지도 아기잖아요. 아기니까 금방 낳아서 키우니까 육아일지라고 했어요.""] 이날은 밤새 내린 비로 비닐이 떨어져 나갔습니다. [이순실/탈북민/한우 축사 운영 : ""완전 여기 물바다네. 어떡하냐 너희들, 이렇게 얼굴이 새까매서. 나 이것들 문제다, 어떡하냐.""] 두 팔을 걷어붙이고 나선 건 역시 남편으로, 축사 운영에 가장 큰 힘이 됩니다.이렇게 1년 365일 붙어 지낸다는 부부는 말하지 않아도 척하면 척, 미운 정 고운 정을 쌓아가고 있습니다. [김창현/남편/한우 축사 운영 : ""한번 말해서 안 들으면 큰 소리 나와요.""]  [이순실/탈북민/한우 축사 운영 : ""일하다 보면 큰 소리 좀 나죠, 왜 안 나겠어요. 그래도 괜찮아요.""] [김창현/남편/한우 축사 운영 : ""큰 소리는 당신이 치지, 내가 쳐?""] [이순실/탈북민/한우 축사 운영 : ""큰 소리 내가 친디야, 우리 아저씨는 그저 좋다 주의야.""] 탈북해서 정착, 결혼해서 귀농, 그리고 한우를 키우는 축사 사장이 되기까지. 파란만장한 인생 여정은 최근 남북 하나재단이 주최한 발표회에서 성공적인 정착 스토리로 소개되기도 했습니다. 북한에서 나와 20년을 중국에서 살다 북송돼 2년간 감옥에 갔다 온 뒤 안정적인 삶을 위해 한국에 온 순실 씨의 첫 직업은 간호조무사.당시 마흔여섯 나이로, 노년에도 할 수 있는 일을 찾아 병원에 취직하게 된 건데요.6년을 열심히 일했지만 병원장이 해외로 나가면서 새 직장을 찾아야 했습니다.그때 지인 소개로 남편을 만나 연애와 이별을 반복했고, 2018년 혼인 신고를 마쳤습니다.  [김창현/남편/한우 축사 운영 : ""좀 화끈하고 그냥 성격이 그냥 좋더라고요.""]  [이순실/탈북민/한우 축사 운영 : ""외형상도 그렇고 마음상도 그렇고. 이만하면은 사람이 일단 깨끗하고 술 안 먹고 담배 안 먹고 하니까 일단 실수 같은 건 없고 여자들이 그래도 바라는 그것이 한 가지 로망이잖아요.""] 젊은 시절 아버지와 함께 젖소를 키운 경험이 있는 남편은 아내에게 목축업 얘기를 꺼냈고, 그렇게 순실 씨 부부는 연고지가 아니지만 축산업이 발달한 전북 김제에 정착하게 됐습니다. [김창현/남편/한우 축사 운영 : ""나를 믿고 따라오는 게 고마운 점이죠. 가진 것도 없고 특별하게 해 준 것도 없는데 그래도 믿고 따라오니까.""] 열심히 일한 만큼 조금씩 성과도 보이고, 축산에 자신감이 붙게 됐다고 하는데요.  [이순실/탈북민/한우 축사 운영 : ""내 밥 먹으니까 아침에 조금 늦어도 누가 큰 소리 하는 사람 없고 누구 터치를 안 받잖아요. 그러니까 그것이 좋은 거예요.""] 하지만 시행착오는 피할 수 없었습니다.탈북민이 연고지도 아닌 낯선 곳에서 경험 없이 시작한다는 건 쉬운 일이 아닐 텐데요. 실제로 현장에 와서 이야기를 들어보니 그동안 우여곡절이 참 많았다고 합니다. 부부가 애지중지 키운 소를 내보내게 된 건 올해가 처음입니다.송아지가 다 자랄 때까지 꼬박 3년을 기다린 끝에 이제 막 수입이 생기기 시작한 건데요.워낙 사업 밑천이 없다 보니 남북하나재단에서 종잣돈을 받았고, 여기에 대출까지 받아 지금껏 근근이 꾸려온 겁니다.소들이 병에 걸리지 않을까, 한우 가격이 폭락하지 않을까, 부부의 근심은 여느 한우 농가와 똑같습니다. [김창현/남편/한우 축사 운영 : ""돈 생각 않고 얘들만 그냥 키우라고 하면 아무 생각 없이 키우라면 좋겠는데. 돈이 연관이 되니까 수익이 많이 나면 괜찮은데 지금 수익이 안 나니까.""] 인건비를 아끼기 위해 부부 둘이 소를 키우다 보니 하루 24시간이 모자랄 정도인데요.  [이순실/탈북민/한우 축사 운영 : ""(체력적으로 힘든 일들이 많잖아요. 힘들다고 느끼시거나 이런 적은 없으세요?) 힘들죠. 그래도 내 일이니까 내가 무조건 해야 된다는 그 의지로 지금도 이러고 해요. 어떨 땐 싫어요.""] [이순실/탈북민/한우 축사 운영 : ""(허리가 너무 아프실 것 같아요.) 허리 아파요. 허리 아파서 근육 이완제도 맞아요. 주사 맞아가면서 해요.""] 긍정적인 순실 씨지만, 탈북민이라는 점은 낯선 곳에 적응하는 데 걸림돌이 됐습니다.그럴 때마다 찾아오는 감정은, 바로 ‘외로움’입니다. [이순실/탈북민/한우 축사 운영 : ""내가 부모 없고 형제 없고 돈은 없고. 옆에서 내가 배울 수 있는 공간도 아직 마련이 안 됐고 내 능력껏 잘 할 수도 없고 누가 지원해주면서 응원해주는 사람도 적고 하니까 그것이 많이 힘들어요.""] 여기에 가끔씩 접하는 탈북민 사망 소식은 순실 씨의 마음을 힘들게 합니다.  [이순실/탈북민/한우 축사 운영 : ""고향이 같은 북한 분들이잖아요. 진짜 명복을 빌죠, 아까워요. 살려고 왔는데 여기서 그 귀한 목숨 끊는다는 것이 그 사람으로서는 얼마나 그것이 얼마나 진짜 말로 표현 못 했으면 그 길까지 선택했을까 싶어요.""] 탈북민이면 처할 수 있는 이런 어렵고 힘든 상황을 견딜 수 있는 방법은 뭘까요? [이순실/탈북민/한우 축사 운영 : ""조금만 문 두드렸으면 손 내밀었으면 이렇게까지 됐을까 하는 생각이 들어요, 안 그럴까요.""] 오늘도 당찬 마음가짐의 3년 차 한우 축사 사장 순실 씨는 이렇게 우리의 소중한 이웃이 되고 있습니다.그리고 미래에는 치유농원을 만들어 힘든 사람들과 소통하고 싶다는 순실 씨. [이순실/탈북민/한우 축사 운영 : ""마음의 치유를 하는 치유농원 같은 거 우리 집에 일주일에 한 번씩이라도 어르신들 오셔서 그냥 앉아서 드시면서 꽃 보고 다 모든 걸 잊고 잠시나마 그렇게 해주고 싶은 소망이 저의 꿈이에요.""] 북녘 고향을 떠난 지 올해로 30년, 평생의 동반자 남편과 함께 타향살이의 설움 속에도 미래를 가꾸는 순실 씨의 일상이, 내년엔 좀 더 다정하기를 바라봅니다.

	

	

	
",kbs
8,"[전북의 창] 고창군, 희망 일구는 ‘귀농·귀촌 교육 결실’",http://news.kbs.co.kr/news/view.do?ncd=5603711,"


[앵커]  예비 귀농·귀촌인들을 위한 고창군의 교육 지원이 차츰 결실을 보고 있습니다. 남원시는 '주차 타워'를 지어 고질적인 주차난을 해소하기로 했습니다. 전북의 지역 소식, 이수진 기자입니다. [리포트] 고창군  체류형 농업창업지원센터에서 각종 농사일을 배운 이들이 아홉 달 만에 교육을 마쳤습니다. 고창군은 올해의 경우 체류형 입교생 24가구 중 절반인 12가구가 고창에 정착할 것으로 보고 있습니다. 고창군은 지역에 정착하려는 예비 귀농·귀촌인을 대상으로 해마다 1월에 체류형 입교생을 모집하고 있습니다. [이영호/고창군 농업기술센터 농촌개발과장 : ""고창군을 찾아온 귀농인들이 지역에 안정적으로 정착할 수 있도록 다양한 귀농 지원 정책을 마련해 가겠습니다.""] 남원시는 고질적인 주차난을 해소하기 위해 국비 35억 원 등 70억 원을 들여 시청사 제2 주차장에 지상 3층 규모의 '주차 타워'를 짓습니다. 내년 하반기 주차 타워를 완공하면 백6십여 대분의 주차 공간을 추가로 확보하게 됩니다. 남원시는 안전한 시공과 더불어 공사 기간을 단축해 시민 불편을 최소화할 방침입니다. [서실교/남원시 재정과 : ""주차 타워가 건립되면 주변 주차 환경이 크게 개선되어 시청과 시의회를 찾는 민원인들에게 주차 편의를 제공할 것으로 기대됩니다.""] 익산시가 전국 유일의 식품산업 클러스터를 기반으로 연간 5조 원 규모의 간편식 시장에 진출합니다. 이를 위해 한국식품산업클러스터진흥원, 익산푸드통합지원센터와 협약을 맺고 교두보를 마련할 계획입니다. 익산시와  익산푸드통합지원센터는 지역 농산물 공급과 판로 개척을 맡고, 식품산업클러스터진흥원은 제품 개발에 주력하게 됩니다. KBS 뉴스 이수진입니다. 

	

	

	
",kbs
9,"[전북의 창] 고창군, 희망 일구는 ‘귀농·귀촌 교육 결실’",http://news.kbs.co.kr/news/view.do?ncd=5603514,"


[앵커]  예비 귀농·귀촌인들을 위한 고창군의 교육 지원이 차츰 결실을 보고 있습니다. 남원시는 '주차 타워'를 지어 고질적인 주차난을 해소하기로 했습니다. 전북의 지역 소식, 이수진 기자입니다. [리포트] 고창군  체류형 농업창업지원센터에서 각종 농사일을 배운 이들이 아홉 달 만에 교육을 마쳤습니다. 고창군은 올해의 경우 체류형 입교생 24가구 중 절반인 12가구가 고창에 정착할 것으로 보고 있습니다. 고창군은 지역에 정착하려는 예비 귀농·귀촌인을 대상으로 해마다 1월에 체류형 입교생을 모집하고 있습니다. [이영호/고창군 농업기술센터 농촌개발과장 : ""고창군을 찾아온 귀농인들이 지역에 안정적으로 정착할 수 있도록 다양한 귀농 지원 정책을 마련해 가겠습니다.""] 남원시는 고질적인 주차난을 해소하기 위해 국비 35억 원 등 70억 원을 들여 시청사 제2 주차장에 지상 3층 규모의 '주차 타워'를 짓습니다. 내년 하반기 주차 타워를 완공하면 백6십여 대분의 주차 공간을 추가로 확보하게 됩니다. 남원시는 안전한 시공과 더불어 공사 기간을 단축해 시민 불편을 최소화할 방침입니다. [서실교/남원시 재정과 : ""주차 타워가 건립되면 주변 주차 환경이 크게 개선되어 시청과 시의회를 찾는 민원인들에게 주차 편의를 제공할 것으로 기대됩니다.""] 익산시가 전국 유일의 식품산업 클러스터를 기반으로 연간 5조 원 규모의 간편식 시장에 진출합니다. 이를 위해 한국식품산업클러스터진흥원, 익산푸드통합지원센터와 협약을 맺고 교두보를 마련할 계획입니다. 익산시와  익산푸드통합지원센터는 지역 농산물 공급과 판로 개척을 맡고, 식품산업클러스터진흥원은 제품 개발에 주력하게 됩니다. KBS 뉴스 이수진입니다. 

	

	

	
",kbs
