,제목,참조주소,내용,방송사
0,"충북, '631억 원' 투입해 '레이크파크 르네상스' 실현한다",https://news.sbs.co.kr/news/endPage.do?news_id=N1007027304&plink=SEARCH&cooper=SBSNEWSSEARCH,"
  충청북도가 김영환 지사의 대표 공약인 레이크파크 르네상스 실현을 위해 내년부터 2032년까지 10년간 631억 원을 투입합니다. 
  
 충청북도는 청남대를 충북 레이크파크 르네상스의 거점으로 육성하고 미동산 수목원과 조령산휴양림을 체류형 관광지로, 미호강은 친수 여가 공간으로 조성하는 등의 5대 선도과제를 우선 추진하기로 했습니다. 
  
 또 문화와 환경, 귀농, 귀촌 등 분야별 중점과제는 충북도내 시군과 협업을 통해 완성도를 높여 나갈 계획입니다.
 ",sbs
1,"인구 감소 시대…부산 원도심 소멸, 축소사회 불가피, 속도 조절·적응이 관건",https://news.sbs.co.kr/news/endPage.do?news_id=N1006975532&plink=SEARCH&cooper=SBSNEWSSEARCH,"
  부산은 지난해 65세 이상 인구 비율이 20%가 넘는 초고령 사회에 진입했습니다. 
  
 부산의 초고령사회 진입은 전국 7개 대도시 중 처음입니다. 
  
 이런 부산에서도 인구감소가 가장 심한 곳은 원도심입니다. 
  
 원도심 중에서도 부산의 섬인 영도구는 미래 고령화된 부산의 모습에 가장 가까워져 있다는 평가를 받을 정도로 소멸 문제에 직면해 있습니다. 
  
 학자들은 고령사회 충격을 지진에 빗대어 '인구지진'으로 부릅니다. 
  
 ""인구가 감소하면서 생기는 행정 공백이라든지 치안 문제라든지 여러 문제에 대응할 수 있게 인구감소세를 완만하게 가져가도록 노력해야 합니다."" 한국보건사회연구원 이상림 연구위원은 오늘(18일) 언론 인터뷰에서 인구감소에 직면한 부산 원도심 지자체가 미래 인구구조 변화에 적응을 위해 해야 할 일을 이렇게 조언했습니다. 
  
 이 연구위원에 따르면 전세계에서 가장 빠르게 인구가 줄고 있는 한국에서 '압축도시, 축소도시'로 대변되는 미래 도시 공간 축소는 불가피한 상황입니다. 
  
 부산시도 이미 지난해 '인구정책 기본계획'을 처음 발표하면서 축소가 불가피한 점은 인정하고 있습니다. 
  
 부산시는 인구 기본계획에서 ""단기간 인구 추세 반전은 어렵다""면서 ""향후 목표 인구수를 설정하지 않기로 했고, 사회 전반에 걸쳐 인구변화에 대한 적응력을 키우는 것을 인구정책의 새로운 목표로 설정했다""고 밝혔습니다. 
  
 중요한 건 인구 감소 속도입니다. 
  
 이 연구위원은 ""인구감소는 매우 다양한 문제를 나타내고, 이런 문제들은 다른 이름으로 나타나기 때문에 인구문제임에도 인구 문제인지 모르거나 뒤늦게 알게 되는 경우가 많다""면서 ""문제에 대응할 수 있도록 인구가 빠르게 밑동까지 빠지지 않게 해 연착륙해야 한다""고 밝혔습니다. 
  
 신속한 대응은 필수적입니다. 
  
 장차 인구 감소로 수요가 붕괴하면 나중에는 각종 재정정책이나 통화 정책이 더는 먹히지 않는 상황도 올 것이라고 이 연구위원은 예상했습니다. 
  
 이 연구위원은 ""상하수도 등 고정비용은 그대로인데 1인당 복지예산 부담은 늘어나는 등 재정의 효율성이 나중에는 더 떨어질 것이고, 대도시 기초단체는 재정 자주도가 낮아 자체 단위에서 정책을 펼 수 있는 역량도 많지 않을 것""이면서 ""지금 신속하게 대응할수록 향후 들어가는 비용을 줄일 수 있다""고 주장했습니다. 
  
 지자체가 해야 할 일 중 하나는 '인구전략'을 설정하는 것입니다. 
  
 과거에는 인구와 경제가 같이 성장하는 것을 도시 성장 모델의 이상형으로 꼽았다면 지금은 선택지가 줄었습니다. 
  
 '인구는 쇠퇴하지만, 경제는 성장하는 도시'이거나 '인구·경제가 감소함에도 구성원의 삶의 질은 더 높아진 도시' 등입니다. 
  
 이 연구위원은 ""단기간에 인구를 빼앗아 오기 위한 정책은 국가 전체적으로 보면 제로썸 게임이고 나중에는 대도시나 수도권까지 인구 유치 경쟁에 뛰어드는 '전쟁' 상황이 될 것""이라며 ""인구 자체를 늘리겠다는 목표로 과도한 투자를 하거나 무조건 데려오고 보자는 식의 목표는 더는 통용되지 않는다""고 말했습니다. 
  
 그러면서 ""일본의 일부 지자체는 인구 증가를 포기하고 남아있는 분들의 삶의 질을 높이겠다고 선언하기도 한다""면서 ""안 오는 분들을 귀농·귀촌시키겠다고 막대한 돈을 퍼주느니 현재 있는 주민들의 만족도에 집중하자는 것""이라고 덧붙였습니다. 
  
 이 연구위원은 소멸 위기 지자체들이 미래 전망 역량을 높이고, 지역 정책환경과 인구변동의 결합을 이해하며 정책을 지속해서 펼쳐 나가는 게 중요하다고도 강조했습니다. 
  
 부산 부경대학교 정치외교학과 차재권 교수는 원도심 지자체들이 단순히 정주 인구를 늘리는데 포커스를 맞춘 인구정책이 아닌 '체류인구·생활인구·관계인구'와 같은 새로운 인구 개념을 적용해 '인구 활력화'에 초점을 맞춘 인구정책 패러다임을 모색해야 한다고 강조했습니다. 
  
 관계인구는 지역에 거주하지 않지만, 관광객 등으로서 방문해 체류하는 인구 등을 포괄하는 개념으로 관계인구 30여 명이 상주인구 1명과 맞먹는 경제효과를 낸다는 연구 결과도 있습니다. 
  
 최근 많은 지방 중소도시들이 '관광 활성화'에 목소리를 높이고 차별화된 생활 패턴을 강조하며 '워케이션'(휴양지 차려진 업무공간) 정책을 펴는 것도 이런 맥락에서 나온 것입니다. 
  
 차 교수는 지역의 활력화를 위해 청년 인구 유치가 기본적으로 중요하지만, 황혼기 고령자를 붙잡는 정책도 눈여겨볼 필요가 있다고 조언합니다. 
  
 차 교수는 지난해 '영도구 인구 활력화 방안을 위한 부산시민 인식 설문조사' 연구를 하면서 인구감소가 심각한 영도구가 4대 공적 연금 생활자인 '하이클래스 실버'를 유치할 수 있는 정책을 펼칠 것을 제안한 바 있습니다. 
  
 고소득·고자산 은퇴자인 뉴시니어를 대상으로 한 '웰 에이징' 지향의 환경을 조성해 안정적인 연금 생활자 그룹의 지역 내 이주를 유도할 필요도 있다는 것입니다. 
  
 이상림 연구위원은 ""부산의 인구 문제를 부산만의 문법으로 잘 설명하고 해결할 수 있으면 그것이 좋은 인구 정책이라고 생각한다""면서 ""원도심 인구 문제를 살펴보면 부산시 전체의 문제도 있지만, 자치구 특유의 문제도 복합적으로 있는 만큼 자치구는 우리 지역만의 특성을 잘 살펴보면서 정책을 해야 한다""고 말했습니다.
 ",sbs
2,선배들이 들려주는 '귀농 노하우'…예비 귀농인 모였다,https://news.sbs.co.kr/news/endPage.do?news_id=N1006899184&plink=SEARCH&cooper=SBSNEWSSEARCH,"
  <앵커> 
  
 귀농·귀촌을 꿈꾸는 도시민들이 충북 영동 산골 마을에 모였습니다. 선배 귀농인의 노하우를 듣고 직접 농촌을 체험하며 귀농의 꿈에 한발 더 다가갔습니다. 
  
 안정은 기자입니다. 
  
 <기자> 
  
 영동군 심천면의 한 블루베리 농장에 귀농·귀촌을 꿈꾸는 사람들이 모였습니다. 
  
 수도권과 부산 등에서 찾아온 25명의 도시민입니다. 
  
 선배 농업인은 자신의 귀농·귀촌 노하우와 재배법 등 생생한 정보들을 예비 귀농인에게 전수합니다. 
  
 [박미란/귀농귀촌협의회장 : 이웃분들하고 내가 어떻게 지낼 것인지 또 이웃분들이 어떠한 마음을 가지고 우리 귀농인들을 대할 것인지 그런 관계가 더 중요하지 않나 생각을 합니다.] 
  
 영동군에서 3박 4일간의 귀농·귀촌 시골살이 체험행사가 열렸습니다. 
  
 백문이 불여일견, 땅콩밭에 나가 잘 자란 농산물을 직접 수확하며 농촌생활의 기쁨을 느껴봅니다. 
  
 농산물을 온라인으로 직접 판매할 수 있는 디지털 교육부터 영동에서 즐길 수 있는 국악체험까지. 
  
 교육생들은 다양한 경험들을 통해 현실 귀농에 한발 더 다가갑니다. 
  
 [김영선/서울시 금천구 : 공기나 주변 환경들이 정말 생각했던 그 농촌, 그러면서도 사람을 아늑하게 해주는 여러 가지로 만족스러운 게 있어서.] 
  
 [정대국/서울시 송파구 : 소비자에게 직접 농산물을 판매할 수 있는 채널이 만들어져 있다는 이야기를 듣고 농촌도 앞으로 더 많이 농촌 관련 산업이 발전할 거라고 (느꼈습니다.)] 
  
 영동군은 지역에 정착하는 귀농·귀촌인들을 위해 다양한 지원을 제공한다는 계획입니다. 
  
 [김병연/영동군 귀농귀촌팀장 : 과수 재배시설 지원이라든지 소형 농기계 지원사업, 그리고 귀촌하시는 분들에게는 주택 설계비 지원 같은 다양한 사업을 추진하고 있습니다.] 
  
 영동군은 농촌 생활이 낯선 도시민들을 위해 단기 체험과 6개월 살아보기 등 다양한 프로그램을 운영한다고 밝혔습니다.
 ",sbs
3,목수 · 커피숍…귀촌 청년들은 어떻게 정착에 성공했나,https://news.sbs.co.kr/news/endPage.do?news_id=N1006837169&plink=SEARCH&cooper=SBSNEWSSEARCH,"
  <앵커> 
  
 자치단체마다 귀농, 귀촌인을 유치해서 지역 활성화에 힘을 쏟고 있는데, 여기서 중요한 것은 일자리입니다. 외지에서 온 청년들과 자치단체가 일자리를 만드는 다양한 실험이 진행되고 있습니다. 
  
 보도에 정윤성 기자입니다. 
  
 <기자> 
  
 목조주택을 짓고 있는 이 청년들은 완주에서 집 만드는 방법을 배워 창업을 했습니다. 
  
 2016년부터 11채의 목조주택을 지었고 인테리어 공사도 맡았습니다. 
  
 자치단체의 청년창업공동체에 선정되기도 했습니다. 
  
 조합원 6명 모두 다른 지역 출신으로 완주에서 정착을 꿈꾸고 있습니다. 
  
 [배승태/협동조합 대표 : 원주민들을 시작해서 세대 간의 경계 없이 잘 뭉치고 화합할 수 있는 문화가 잘 자리 잡혀 있죠.] 
  
 커피숍과 게스트하우스, 식당을 갖춘 이 건물은 귀농, 귀촌자 30명이 돈을 모아 지난해 건립한 것입니다. 
  
 여유 있는 삶을 추구하는 이들에게 이곳은 나만의 삶의 방식에 다가갈 수 있는 공간입니다. 
  
 [배경화/고산다움 협동조합 : 이 공간을 통해서 저희가 일도 하면서 수익도 같이 낼 수 있는 그런 기대를 하니까 행복하죠.] 
  
 완주군은 이런 청년들과 연계하며 고산면을 공동체 활동의 거점으로 정해서 2015년부터 다섯 개의 청년 공동체를 육성해왔습니다. 
  
 [이성진/완주군 청년정책팀장 : 완주에 이주한 청년들이 정착과 자립할 수 있도록 청년들과 적극연계해서 다양한 사업을 발굴 추진해가도록 하겠습니다.] 
  
 지역의 매력을 찾아서 귀농 귀촌한 청년들과 자치단체가 손을 잡는 시도가 새로운 가능성을 제시하고 있습니다.
 ",sbs
4,"[문화현장] 엔지니어서 농부로, 프랑스서 한국으로 귀농한 부부",https://news.sbs.co.kr/news/endPage.do?news_id=N1006768746&plink=SEARCH&cooper=SBSNEWSSEARCH,"
[FunFun 문화현장]

 <앵커> 
  
 이어서 문화현장입니다. 이번 주 읽어볼 만한 책들을 이주상 기자가 소개해드립니다. 
  
 <기자> 
  

[인생이 내추럴해지는 방법 / 신이현 / 더숲]

 프랑스에서 한국으로, 그리고 직장인에서 농부로, <인생이 내추럴해지는 방법>입니다. 
  
 컴퓨터 엔지니어였던 프랑스인 남편이 직장을 그만두고 프랑스가 아닌 한국으로 귀농해 와인 밭을 일구기 시작했습니다. 
  
 소설가 부인은 그런 남편과 함께 인생과 농사에서 자연이 준 그대로의 삶을 추구하며 '후회 없이 꿈을 꾸었다'고 노래합니다. 
  
 --- 
  

[이웃집 식물상담소 / 신혜우 / 브라이트]

 식물들이 당신에게 건네는 말과 위로, <이웃집 식물상담소>입니다. 
  
 잡초의 효용이나 난초 관리하기 등 주변 식물들에 대한 이야기지만, 우리들의 살아가는 인생 이야기입니다. 
  
 식물학자로서 과학적 지식과 함께 인생의 희로애락을 풀어내고, 화가로서 세심하게 식물들의 그림을 더했습니다. 
  
 --- 
  

[은퇴하고 즐거운 일을 시작했다 / 이보영 / 동녘라이프]

 퇴직 이후 새로운 직업을 선택한 사람들, <은퇴하고 즐거운 일을 시작했다>입니다. 
  
 불안할 수 있는 '은퇴'를 반환점 삼아 새로운 삶으로 세상과 마주한 베이비 부머 9명의 이야기입니다. 
  
 창업과 귀농, NGO 활동 등을 통해 찾은 새로운 인생 경험을 공유하고 구체적인 준비과정에서 도움이 될 만한 내용들도 더했습니다. 
  
 --- 
  

[셀라비 / 김귀욱 / 미디어바탕]

 세상을 여행하는 나그네의 기록 <셀라비>입니다. 
  
 지중해와 아프리카, 그리고 아시아에서 남미로 전 세계를 향해 떠난 여행길, 그 과정에서 마주친 풍경과 마주한 사람들의 이야기입니다. 
  
 사진으로 기록하고 인문학적 통찰로 풀어낸 지구촌 곳곳의 풍광은 독자들에게 망설이지 말고 지금 바로 떠나라고 유혹합니다.
 ",sbs
5,[뉴스토리] 사장님이 된 '청년 농부',https://news.sbs.co.kr/news/endPage.do?news_id=N1006758402&plink=SEARCH&cooper=SBSNEWSSEARCH,"
  2020년 농업에 관심을 갖는 청년들이 늘어나며 2,30대 청년 귀농 가구가 역대 최대치를 기록했다. 
  
 'MZ 세대'로 불리는 젊은 귀농인들이 증가하며 농업이 달라지고 있는 것이다. 
  
 플랫폼 산업을 기반으로 하는 스마트 영농부터 1차 산업에 2차, 4차 산업과 융합해 고부가가치를 만들어내는 농업까지, 귀농은 진화를 거듭하고 있다. 
  
 ""농업은 창업의 끝판왕이라고 보시면 됩니다. 완전히 사업적 측면으로 접근해야지 다른 일 하기 싫어서 농업으로 간다는 건 말도 안 되는 일이죠."" 
  
 서울에서 대기업 연구원으로 일하다 3년 전 귀농한 30대 안해성 씨. 
  
 딸기 재배에 필요한 온‧습도 조절부터 영양 공급까지 모두 원격으로 제어할 수 있는 스마트팜을 운영 중이다. 
  
 귀농 초기 하루도 빠지지 않고 농업 공부에 3~4시간씩 시간을 투자한 결과, 그는 딸기 농업 부분에서 전국 상위 0.1%를 달성하며 청년 귀농의 모범 사례로 꼽히고 있다. 
  
 ""농부가 이렇게 멋있고 이런 일까지 할 수 있다는 것을 보여드리고 싶었어요. 농업의 영역 안에서 할 수 있는 다양한 일들을 확장해 가고 있습니다."" 
  
 충북 괴산군에 가면 넓은 밭 한가운데 카페 하나가 있다. 
  
 최근 도시 사람들 사이 핫 플레이스로 떠오른 이 카페는 6명의 귀농 젊은이들이 만든 일종의 농업 플랫폼 공간이다. 
  
 각자 표고, 쌀, 유기농 채소, 곤충 농사를 짓는 청년들은 2년 전 의기투합해 좀 더 의미 있는 귀농 생활을 위해 농업회사법인을 설립했다. 
  
 농업은 힘들고 어려운 일이 아니라 즐겁고 멋진 일이라는 걸 알리기 위해 새로운 도전을 하고 있다는 것이다. 
  
 자신만의 아이디어와 특기로 지금 농촌과 농업에 새바람을 불어넣고 있는 2030 청년 농부들! 
  
 과연, 이들의 말대로 농업은 블루오션이 될 수 있을까? 
  
 이번 주 SBS <뉴스토리>는 2,30대 청년들을 중심으로 새롭게 진화하고 있는 귀농의 모습과 가능성을 살펴보고자 한다.
 ",sbs
6,강원도 홍천 농가 화재…70대 귀농부부 등 4명 사망,https://news.sbs.co.kr/news/endPage.do?news_id=N1006734827&plink=SEARCH&cooper=SBSNEWSSEARCH,"
  <앵커> 
  
 어제(2일) 새벽, 강원도 홍천에 있는 한 농가에서 불이 났습니다, 이 불로 70대 집주인 부부와 지인 2명 등 모두 4명이 숨졌습니다. 
  
 G1방송 정창영 기자가 보도합니다. 
  
 <기자> 
  
 화마는 목조주택의 집기와 가구들을 형체도 없이 태워버렸습니다. 
  
 홍천군 서면 모곡리의 한 주택에서 불이 난 건, 새벽 0시 20분쯤 불은 삽시간에 번지면서 1시간 40여 분 만에 주택 한 채를 집어삼켰습니다. 
  
 거센 불길은 4명의 목숨을 앗아갔고, 삶의 터전이었던 집은 검은 잿더미로 변했습니다. 
  
 전소된 집에서는 집주인 70대 남성 A 씨와 여성 3명이 숨진 채 발견됐습니다. 
  
 숨진 여성 한 명은 A 씨의 아내이고, 나머지 두 명은 아내의 친구로 추정됩니다. 
  
 [이웃주민 : 여기 할아버지께서는 거의 사시다시피 하시면서 서울 본가 쪽을 가끔 왔다갔다하시고 아내 되시는 분께서 가끔 주말마다 친구분들 모시고 와서….] 
  
 불은 주방 쪽에서 시작된 것으로 추정되지만, 경찰과 소방은 합동감식을 통해, 정확한 발화지점을 확인할 예정입니다. 
  
 집주인 A 씨는 10년 전 귀농해, 소규모 농사를 지어온 것으로 알려지고 있습니다. 
  
 원주시 반곡동의 한 교회에서도 큰 불이 났습니다. 
  
 소방당국은 화재대응 1단계를 발령하고, 헬기 2대와 펌프차 수십 여대를 동원해 진화에 나섰습니다. 
  
 다행히, 교회 안에 있던 열 명은 자력으로 대피해 인명 피해는 없었지만, 시커먼 연기가 일대를 뒤덮어 시민들이 불편을 겪었습니다.
 ",sbs
7,거센 화마가 앗아간 '벗'…귀농부부 등 4명 참변,https://news.sbs.co.kr/news/endPage.do?news_id=N1006734641&plink=SEARCH&cooper=SBSNEWSSEARCH,"
  <앵커> 
  
 오늘(1일) 새벽, 강원도 홍천의 한 주택에서 불이 났습니다. 이 불로 70대 집주인 부부와 지인 2명이 숨졌습니다. 주방 쪽에서 불이 시작된 걸로 추정되는데, 정확한 화재원인을 조사하고 있습니다, 
  
 G1방송 정창영 기자입니다. 
  
 <기자> 
  
 화마는 목조주택의 집기와 가구들을 형체도 없이 태워버렸습니다. 
  
 홍천군 서면 모곡리의 한 주택에서 불이 난 건, 오늘 새벽 0시 20분쯤. 
  
 불은 삽시간에 번지면서, 1시간 40여 분 만에 주택 한 채를 집어삼켰습니다. 
  
 거센 불길은 4명의 목숨을 앗아갔고, 삶의 터전이었던 집은 검은 잿더미로 변했습니다. 
  
 전소된 집에서는 집주인 70대 남성 A 씨와 여성 3명이 숨진 채 발견됐습니다. 
  
 숨진 여성 한 명은 A 씨의 아내이고, 나머지 두 명은 아내의 친구로 추정됩니다. 
  
 [이웃주민 : 여기 할아버지께서는 거의 사시다시피 하시면서 서울 본가 쪽을 가끔 왔다 갔다 하시고 아내 되시는 분께서 가끔 주말마다 친구분들 모시고 와서….] 
  
 불은 주방 쪽에서 시작된 것으로 추정되지만 경찰과 소방은 내일 합동감식을 통해, 정확한 발화지점을 확인할 예정입니다. 
  
 집주인 A 씨는 10년 전 귀농해, 소규모 농사를 지어온 것으로 알려지고 있습니다. 
  
 하나뿐인 친구를 잃은 이웃은 비통한 심정입니다. 
  
 [이웃주민 : 안 좋죠. 통곡할 정도죠, 벗이 없어졌는데. 둘이서 여기서 사는데 사람 아주 좋았어요.] 
  
 --- 
  
 오후 1시 49분쯤, 원주시 반곡동의 한 교회에서도 큰 불이 났습니다. 
  
 소방당국은 화재대응 1단계를 발령하고, 헬기 2대와 펌프차 수십 여대를 동원해 진화에 나섰습니다. 
  
 다행히, 교회 안에 있던 10명은 자력으로 대피해 인명 피해는 없었지만 시커먼 연기가 일대를 뒤덮어 시민들이 불편을 겪었습니다. 
  
 (영상취재 : 권순환 G1방송, 영상편집 : 이승진, 화면제공 : 강원 원주소방서)
 ",sbs
8,오늘의 SBS 8뉴스 예고 (5월 1일),https://news.sbs.co.kr/news/endPage.do?news_id=N1006734587&plink=SEARCH&cooper=SBSNEWSSEARCH,"








[SBS 8뉴스]

 오늘 SBS 8뉴스에서는 
  
 ▶ 안보실장 김성한…민정 · 2부속실 등 폐지 
  
 ▶ 이번 주 윤석열 정부 1기 내각 인사청문회 
  
 ▶ 내일부터 야외 마스크 착용 의무 해제 
  
 ▶ 무면허 교통사고 뒤 부상 동승자 유기 
  
 ▶ 강원 농가 화재…70대 귀농 부부 등 4명 사망 
  
 ▶ ""영국 202초 만에 '펑'""…핵 시뮬레이션 공개 
  
 ▶ 유류세 30% 인하…리터당 83원 정도 더 내려 
  
 등에 대한 자세한 소식 전해드립니다. 
  
 (SBS 디지털뉴스국)
 ",sbs
9,"경남 거창 한 폐교서 불…""9천8백만 원 재산 피해""",https://news.sbs.co.kr/news/endPage.do?news_id=N1006611399&plink=SEARCH&cooper=SBSNEWSSEARCH,"
  어제(19일)저녁 7시 10분쯤 경남 거창군 고제면의 한 폐교에서 불이 났습니다. 
  
 불은 1시간 20분 만에 꺼졌지만, 건물과 각종 집기를 태워 소방서 추산 9천8백만 원의 재산 피해가 났습니다. 
  
 화재 당시 건물 주변에 있던 폐교 관계자 2명은 급히 대피해 다친 사람은 없었습니다. 
  
 이 폐교는 귀농 등을 위한 교육장소로 민간에서 임차해 사용 중인 것으로 전해졌습니다. 
  
 (사진=경남도소방본부 제공, 연합뉴스)
 ",sbs
