,0,1,2,3,4
0,조말론 포피 앤 바알리 코롱,조말론,"보리수의 달콤함 위로 블랙커런트 이슬이 스며드는 양귀비, 한 폭의 낭만을 완성짓는 향기","83,800원 21.7% 할인",4.9
1,몽클레르 뿌르 옴므 오 드 퍼퓸,몽클레르,"사이프러스의 시원한 상록수잎과 시더우드가 만나 퍼지는, 겨울 한기를 품은 자연의 향기","110,000원 8.3% 할인",0.0
2,에르메스 르 자르뎅 드 무슈리 오 드 뚜왈렛,에르메스,"호숫가 젖은 돌 틈새로 퍼지는 이슬 맺힌 풀 내음, 그 사이에 아로새겨진 금귤의 상큼함","110,000원 9.1% 할인",0.0
3,아쿠아 디 파르마 미르토 디 파나레아 오 드 뚜왈렛,아쿠아 디 파르마,"청량한 비누향수의 대명사, 아쿠아 디 파르마 베스트셀러","73,000원 30.5% 할인",4.8
4,딥디크 오카피탈 오 드 퍼퓸 75ml,딥티크,"가시돋힌 장미의 줄기를 타고 흘러내리는 파츌리, 장미의 이면을 드러낸 독보적인 분위기의 향","191,800원 18.4% 할인",5.0
5,키에린 뉴욕 로즈 잉크 오 드 퍼퓸 스프레이,키에린 뉴욕,"시더우드와 샤프란 사이, 흩날리는 장미 꽃잎의 생경함","54,000원 44.9% 할인",0.0
6,키에린 뉴욕 샹탈 스카이 오 드 퍼퓸 스프레이,키에린 뉴욕,"샌달우드와 베티버가 선사하는, 자유로운 뉴요커의 하루 한 조각","54,000원 44.9% 할인",0.0
7,키에린 뉴욕 니트로 느와 오 드 퍼퓸 스프레이,키에린 뉴욕,"시프레와 구르몽이 초대하는, 향긋함이 감도는 뉴욕 도심의 풍경","145,000원 19.4% 할인",0.0
8,키에린 뉴욕 10am 플러트 오 드 퍼퓸 스프레이,키에린 뉴욕,"캐시미어 우드와 샌달우드가 전하는, 조화롭고 풍부한 뉴욕 도심 속 자연의 향취","145,000원 19.4% 할인",0.0
9,키에린 뉴욕 디스커버리 세트 4종 오 드 퍼퓸 스프레이,키에린 뉴욕,"뉴욕의 정취를 가득 담아, 키에린 뉴욕이 선보이는 4종 4색 향기 모음","45,000원 22.4% 할인",0.0
10,조말론 우드 세이지 앤 씨솔트 코롱,조말론,허브나무의 잔잔한 담백함이 모던하게 퍼지는 편안한 향기,"87,800원 17.9% 할인",4.8
11,조말론 블랙베리 앤 베이 코롱,조말론,유기농으로 키운 블랙베리의 건강한 맛을 그대로 재현한 베스트셀러,"83,800원 21.7% 할인",4.8
12,조말론 피그 앤 로터스 플라워 코롱,조말론,"단비가 그친 후, 흙과 무화과 잎이 함께 어우러져 한 폭의 풍경화가 되는 자연의 향기","87,800원 17.9% 할인",4.9
13,조말론 바질 앤 네롤리 코롱,조말론,"기분까지 상쾌해지는 그리너리한 바질, 조말론의 숨겨진 녹색 비누 향기","87,800원 17.9% 할인",4.8
14,조말론 154 코롱,조말론,"여유가 흐르는 런던의 베티버 나무, 만다린과 자몽의 산뜻함이 저절로 호감가게 만드는 남성의 정석","87,800원 17.9% 할인",5.0
15,조말론 라임 바질 앤 만다린 코롱,조말론,풋풋한 느낌의 라임과 바질이 어울린 깨끗하고 청량한 향기,"87,800원 17.9% 할인",4.8
16,톰포드 화이트 스웨이드 오 드 퍼퓸 50ml,톰포드,"한뼘 사이의 숨소리, 서로를 바라보는 눈빛의 기류를 닮은 머스크 향기","260,000원 28.8% 할인",4.9
17,조말론 다크 앰버 앤 진저 릴리 코롱 인텐스,조말론,"성별 무관, 시간을 느리게 흐르게 만드는 몽환적인 달콤함","185,000원 11.9% 할인",4.7
18,에르메스 보야지 데르메스 오 드 뚜왈렛,에르메스,"레몬과 홍차가 섞여 가을 낙엽이 떨어지는 듯, 우수에 젖은 분위기가 멋지게 연출된 가을 향기","145,000원 18.5% 할인",4.8
19,딥디크 오듀엘르 오 드 퍼퓸 75ml,딥티크,따뜻한 햇살이 내려앉는 마당의 흙과 나무 그리고 바닐라가 어우러진 아늑한 향기,"196,500원 16.4% 할인",5.0
20,디올 옴므 코롱,디올,포카리 스웨트처럼 청량하고 깔끔한 공용 향수,"102,500원 21.2% 할인",4.8
21,반클리프 앤 아펠 네롤리 아마라 오 드 퍼퓸,반클리프 앤 아펠,"티 없는 가을 하늘의 청량한 달콤함이 나리는, 네롤리와 잔잔한 우디가 선사하는 산뜻함","187,000원 5.6% 할인",5.0
22,딥디크 롬브로단로 오 드 퍼퓸 75ml,딥티크,"새벽이슬과 고고한 밀담을 나누는 로즈,블랙커런트의 쌀쌀함","196,500원 16.4% 할인",4.8
23,아쿠아 디 파르마 베르가못 디 칼라브리아 오 드 뚜왈렛,아쿠아 디 파르마,라벤더 정원에서 피어 있는 풋 사과에서 날것 같은 산뜻한 비누향기,"104,000원 5.5% 할인",4.8
