"날짜","향수"
"2020-01-01",46
"2020-01-02",51
"2020-01-03",50
"2020-01-04",49
"2020-01-05",57
"2020-01-06",60
"2020-01-07",56
"2020-01-08",44
"2020-01-09",53
"2020-01-10",48
"2020-01-11",55
"2020-01-12",54
"2020-01-13",54
"2020-01-14",54
"2020-01-15",56
"2020-01-16",52
"2020-01-17",41
"2020-01-18",46
"2020-01-19",51
"2020-01-20",51
"2020-01-21",53
"2020-01-22",45
"2020-01-23",47
"2020-01-24",45
"2020-01-25",38
"2020-01-26",62
"2020-01-27",62
"2020-01-28",59
"2020-01-29",60
"2020-01-30",63
"2020-01-31",46
"2020-02-01",63
"2020-02-02",74
"2020-02-03",66
"2020-02-04",61
"2020-02-05",66
"2020-02-06",72
"2020-02-07",71
"2020-02-08",71
"2020-02-09",71
"2020-02-10",72
"2020-02-11",71
"2020-02-12",85
"2020-02-13",87
"2020-02-14",65
"2020-02-15",60
"2020-02-16",78
"2020-02-17",69
"2020-02-18",65
"2020-02-19",64
"2020-02-20",61
"2020-02-21",54
"2020-02-22",58
"2020-02-23",58
"2020-02-24",61
"2020-02-25",63
"2020-02-26",69
"2020-02-27",58
"2020-02-28",56
"2020-02-29",63
"2020-03-01",71
"2020-03-02",70
"2020-03-03",66
"2020-03-04",75
"2020-03-05",80
"2020-03-06",76
"2020-03-07",79
"2020-03-08",71
"2020-03-09",79
"2020-03-10",90
"2020-03-11",79
"2020-03-12",77
"2020-03-13",69
"2020-03-14",84
"2020-03-15",70
"2020-03-16",69
"2020-03-17",66
"2020-03-18",63
"2020-03-19",65
"2020-03-20",61
"2020-03-21",60
"2020-03-22",67
"2020-03-23",67
"2020-03-24",71
"2020-03-25",82
"2020-03-26",64
"2020-03-27",59
"2020-03-28",62
"2020-03-29",91
"2020-03-30",67
"2020-03-31",73
"2020-04-01",86
"2020-04-02",68
"2020-04-03",68
"2020-04-04",71
"2020-04-05",85
"2020-04-06",73
"2020-04-07",64
"2020-04-08",66
"2020-04-09",66
"2020-04-10",62
"2020-04-11",65
"2020-04-12",80
"2020-04-13",72
"2020-04-14",69
"2020-04-15",76
"2020-04-16",64
"2020-04-17",73
"2020-04-18",76
"2020-04-19",85
"2020-04-20",90
"2020-04-21",85
"2020-04-22",81
"2020-04-23",72
"2020-04-24",72
"2020-04-25",83
"2020-04-26",78
"2020-04-27",75
"2020-04-28",67
"2020-04-29",71
"2020-04-30",66
"2020-05-01",77
"2020-05-02",73
"2020-05-03",76
"2020-05-04",81
"2020-05-05",93
"2020-05-06",70
"2020-05-07",80
"2020-05-08",75
"2020-05-09",85
"2020-05-10",96
"2020-05-11",74
"2020-05-12",58
"2020-05-13",77
"2020-05-14",72
"2020-05-15",73
"2020-05-16",73
"2020-05-17",86
"2020-05-18",98
"2020-05-19",74
"2020-05-20",85
"2020-05-21",69
"2020-05-22",56
"2020-05-23",57
"2020-05-24",76
"2020-05-25",63
"2020-05-26",60
"2020-05-27",63
"2020-05-28",60
"2020-05-29",60
"2020-05-30",60
"2020-05-31",79
"2020-06-01",67
"2020-06-02",55
"2020-06-03",61
"2020-06-04",60
"2020-06-05",49
"2020-06-06",47
"2020-06-07",71
"2020-06-08",49
"2020-06-09",52
"2020-06-10",59
"2020-06-11",52
"2020-06-12",49
"2020-06-13",52
"2020-06-14",65
"2020-06-15",50
"2020-06-16",50
"2020-06-17",53
"2020-06-18",47
"2020-06-19",54
"2020-06-20",60
"2020-06-21",64
"2020-06-22",60
"2020-06-23",59
"2020-06-24",65
"2020-06-25",50
"2020-06-26",49
"2020-06-27",52
"2020-06-28",57
"2020-06-29",54
"2020-06-30",73
"2020-07-01",69
"2020-07-02",69
"2020-07-03",55
"2020-07-04",68
"2020-07-05",63
"2020-07-06",65
"2020-07-07",62
"2020-07-08",67
"2020-07-09",53
"2020-07-10",55
"2020-07-11",60
"2020-07-12",66
"2020-07-13",67
"2020-07-14",73
"2020-07-15",60
"2020-07-16",62
"2020-07-17",54
"2020-07-18",55
"2020-07-19",67
"2020-07-20",65
"2020-07-21",74
"2020-07-22",61
"2020-07-23",55
"2020-07-24",57
"2020-07-25",57
"2020-07-26",67
"2020-07-27",61
"2020-07-28",56
"2020-07-29",61
"2020-07-30",62
"2020-07-31",53
"2020-08-01",57
"2020-08-02",64
"2020-08-03",56
"2020-08-04",65
"2020-08-05",65
"2020-08-06",58
"2020-08-07",59
"2020-08-08",54
"2020-08-09",63
"2020-08-10",75
"2020-08-11",72
"2020-08-12",67
"2020-08-13",60
"2020-08-14",50
"2020-08-15",51
"2020-08-16",59
"2020-08-17",59
"2020-08-18",58
"2020-08-19",60
"2020-08-20",54
"2020-08-21",49
"2020-08-22",52
"2020-08-23",60
"2020-08-24",71
"2020-08-25",58
"2020-08-26",59
"2020-08-27",63
"2020-08-28",47
"2020-08-29",65
"2020-08-30",56
"2020-08-31",59
"2020-09-01",65
"2020-09-02",76
"2020-09-03",57
"2020-09-04",61
"2020-09-05",56
"2020-09-06",76
"2020-09-07",74
"2020-09-08",65
"2020-09-09",57
"2020-09-10",88
"2020-09-11",66
"2020-09-12",65
"2020-09-13",67
"2020-09-14",67
"2020-09-15",68
"2020-09-16",72
"2020-09-17",73
"2020-09-18",65
"2020-09-19",64
"2020-09-20",77
"2020-09-21",54
"2020-09-22",62
"2020-09-23",63
"2020-09-24",55
"2020-09-25",60
"2020-09-26",55
"2020-09-27",53
"2020-09-28",61
"2020-09-29",46
"2020-09-30",54
"2020-10-01",63
"2020-10-02",60
"2020-10-03",73
"2020-10-04",67
"2020-10-05",71
"2020-10-06",65
"2020-10-07",56
"2020-10-08",59
"2020-10-09",53
"2020-10-10",48
"2020-10-11",67
"2020-10-12",62
"2020-10-13",64
"2020-10-14",60
"2020-10-15",64
"2020-10-16",48
"2020-10-17",49
"2020-10-18",60
"2020-10-19",60
"2020-10-20",61
"2020-10-21",53
"2020-10-22",62
"2020-10-23",56
"2020-10-24",53
"2020-10-25",61
"2020-10-26",53
"2020-10-27",53
"2020-10-28",59
"2020-10-29",46
"2020-10-30",46
"2020-10-31",52
"2020-11-01",71
"2020-11-02",68
"2020-11-03",76
"2020-11-04",66
"2020-11-05",64
"2020-11-06",48
"2020-11-07",53
"2020-11-08",62
"2020-11-09",66
"2020-11-10",74
"2020-11-11",59
"2020-11-12",60
"2020-11-13",57
"2020-11-14",46
"2020-11-15",64
"2020-11-16",55
"2020-11-17",66
"2020-11-18",69
"2020-11-19",63
"2020-11-20",55
"2020-11-21",63
"2020-11-22",78
"2020-11-23",77
"2020-11-24",61
"2020-11-25",58
"2020-11-26",64
"2020-11-27",60
"2020-11-28",57
"2020-11-29",71
"2020-11-30",75
"2020-12-01",80
"2020-12-02",71
"2020-12-03",79
"2020-12-04",88
"2020-12-05",73
"2020-12-06",100
"2020-12-07",77
"2020-12-08",82
"2020-12-09",87
"2020-12-10",89
"2020-12-11",89
"2020-12-12",77
"2020-12-13",85
"2020-12-14",99
"2020-12-15",94
"2020-12-16",99
"2020-12-17",100
"2020-12-18",87
"2020-12-19",89
"2020-12-20",96
"2020-12-21",98
"2020-12-22",86
"2020-12-23",98
"2020-12-24",88
"2020-12-25",88
"2020-12-26",77
"2020-12-27",90
"2020-12-28",86
"2020-12-29",78
"2020-12-30",94
"2020-12-31",66
"2021-01-01",73
