"날짜","향수"
"2017-09-27",51
"2017-09-28",35
"2017-09-29",45
"2017-09-30",43
"2017-10-01",45
"2017-10-02",38
"2017-10-03",37
"2017-10-04",41
"2017-10-05",37
"2017-10-06",43
"2017-10-07",46
"2017-10-08",63
"2017-10-09",68
"2017-10-10",66
"2017-10-11",70
"2017-10-12",75
"2017-10-13",53
"2017-10-14",36
"2017-10-15",52
"2017-10-16",70
"2017-10-17",51
"2017-10-18",50
"2017-10-19",62
"2017-10-20",57
"2017-10-21",52
"2017-10-22",63
"2017-10-23",54
"2017-10-24",62
"2017-10-25",68
"2017-10-26",79
"2017-10-27",53
"2017-10-28",52
"2017-10-29",62
"2017-10-30",67
"2017-10-31",65
"2017-11-01",64
"2017-11-02",59
"2017-11-03",57
"2017-11-04",65
"2017-11-05",56
"2017-11-06",80
"2017-11-07",93
"2017-11-08",76
"2017-11-09",77
"2017-11-10",54
"2017-11-11",53
"2017-11-12",69
"2017-11-13",66
"2017-11-14",57
"2017-11-15",56
"2017-11-16",57
"2017-11-17",60
"2017-11-18",53
"2017-11-19",67
"2017-11-20",62
"2017-11-21",75
"2017-11-22",61
"2017-11-23",75
"2017-11-24",71
"2017-11-25",51
"2017-11-26",68
"2017-11-27",79
"2017-11-28",74
"2017-11-29",71
"2017-11-30",72
"2017-12-01",71
"2017-12-02",84
"2017-12-03",73
"2017-12-04",100
"2017-12-05",86
"2017-12-06",78
"2017-12-07",72
"2017-12-08",65
"2017-12-09",66
"2017-12-10",98
"2017-12-11",90
"2017-12-12",86
"2017-12-13",70
"2017-12-14",80
"2017-12-15",76
"2017-12-16",65
"2017-12-17",75
"2017-12-18",72
"2017-12-19",65
"2017-12-20",75
"2017-12-21",85
"2017-12-22",73
"2017-12-23",58
"2017-12-24",64
"2017-12-25",77
"2017-12-26",67
"2017-12-27",60
"2017-12-28",61
"2017-12-29",51
"2017-12-30",48
"2017-12-31",55
"2018-01-01",68
