,0,1,2,3,4
0,조말론 블랙베리 앤 베이 코롱,조말론,유기농으로 키운 블랙베리의 건강한 맛을 그대로 재현한 베스트셀러,"83,800원 21.7% 할인",4.8
1,산타마리아노벨라 프리지아 50ml,산타마리아노벨라,새하얀 수건을 개어놓은 듯한 고혹적인 비누향기,"103,500원 24.5% 할인",4.8
2,르라보 어나더 13 오 드 퍼퓸 50ml,르라보,바닐라와 동물적인 암브레트 씨드에서 주는 우디한 살내음,"220,000원 21.4% 할인",5.0
3,르라보 상탈 33 오 드 퍼퓸 50ml,르라보,짙은 고동나무와 푸릇한 파피루스가 울창하게 심어져 있는 오스트레일리아의 숲속,"220,000원 21.4% 할인",4.9
4,톰포드 오드우드 오 드 퍼퓸 50ml,톰포드,"오우드의 성숙함을 극대화, 톰포드 클래식 섹시의 정수","265,000원 27.4% 할인",4.8
5,아쿠아 디 파르마 미르토 디 파나레아 오 드 뚜왈렛,아쿠아 디 파르마,"청량한 비누향수의 대명사, 아쿠아 디 파르마 베스트셀러","73,000원 30.5% 할인",4.8
6,세르주루텐 라 휘드 베흘랑 오 드 퍼퓸,세르주루텐,"고혹적으로 부서지는 붉은 장미, 세르주루텐 특유의 서늘한 감성이 녹아난 베스트셀러","130,000원 36.6% 할인",4.8
7,조말론 허니서클 앤 다바나 코롱,조말론,연노랑빛 쉬폰 드레스 자락처럼 마음을 살랑살랑 간질일 것 같은 다바나 향기,"87,800원 17.9% 할인",5.0
8,산타마리아노벨라 프리지아 오 드 코롱 100ml,산타마리아노벨라,새하얀 수건을 개어놓은 듯한 고혹적인 비누향기,"152,000원 22.1% 할인",4.8
9,세르주루텐 로흐플린 오 드 퍼퓸,세르주루텐,도시의 잿빛을 닮은 숨결이 인센스처럼 퍼지는 오리엔탈 - 머스크 내음,"174,500원 14.9% 할인",5.0
10,에르메스 H24 오 드 뚜왈렛 50/100ml,에르메스,"에르메스 남자향수의 새로운 역사, 5월의 산뜻함이 잔뜩 배인 비누계열 스클라렌 향기","85,000원 22.0% 할인",4.9
11,조말론 포피 앤 바알리 코롱,조말론,"보리수의 달콤함 위로 블랙커런트 이슬이 스며드는 양귀비, 한 폭의 낭만을 완성짓는 향기","83,800원 21.7% 할인",4.9
12,아이젠버그 조즈 옴므 30/50/100ml,아이젠버그,따뜻한 아메리카노처럼 상대의 마음을 잔잔히 녹아들게 하는 달콤함,"65,200원 17.5% 할인",4.8
13,조말론 오렌지 블로썸 코롱,조말론,영국시골 오렌지 농장에서 이슬을 맞은채 굴러다니는 오렌지 껍질향기,"81,800원 23.6% 할인",4.8
14,톰포드 블랙 오키드 오 드 퍼퓸 50ml,톰포드,"톰포드 베스트셀러, 럼에 담긴 플럼의 다크한 보랏빛이 연출하는 퇴폐적인 관능미","160,000원 17.9% 할인",4.9
15,조말론 잉글리쉬 페어 앤 프리지아 코롱,조말론,"조말론 여자향수 베스트, 부드럽고 우아한 느낌의 프리지아 향기","87,800원 11.3% 할인",4.8
16,조말론 우드 세이지 앤 씨솔트 코롱,조말론,허브나무의 잔잔한 담백함이 모던하게 퍼지는 편안한 향기,"87,800원 17.9% 할인",4.8
17,세르주루텐 라 를르지외즈 오 드 퍼퓸,세르주루텐,"검은 고양이가 하얀 자스민 꽃잎에 쉬다 간 자리, 진하게 남는 다크 머스크의 긴 여운","174,500원 14.9% 할인",5.0
18,세르주루텐 다튜라느와 오 드 퍼퓸,세르주루텐,"깊은 상처까지 감싸 안아줄 것 같은, 헬리오트로프와 튜베로즈의 안락한 편안함","174,500원 14.9% 할인",5.0
19,아이젠버그 오프레쉬 옴므 30/50/100ml,아이젠버그,"자신만의 생활 루틴을 가진 부지런한 남자, 그 아침을 상쾌하게 여는 라벤더-베티버 향기","65,200원 17.5% 할인",4.7
20,바이레도 우드이모텔 오 드 퍼퓸,바이레도,"챗베이커의 음악, 로즈우드 테이블과 위스키, 타바코 담배가 모여 한 편의 재즈를 연주하는 감각적인 향기","197,000원 17.9% 할인",4.7
21,킬리안 불레이 부 쿠셔 아베끄 모아 (나랑잘래) 오 드 퍼퓸 50ml,킬리안,"침대 위의 연인, 서로를 포근하게 끌어안은 온기만큼 몽글하게 퍼지는 화이트 플로럴-머스크","265,000원 14.0% 할인",5.0
22,아이젠버그 오프레쉬 우먼 30/50/100ml,아이젠버그,"라벤더의 선선함을 따라 이끌려간 곳, 아로마틱한 여운이 길게 남는 향기","65,200원 17.5% 할인",4.9
23,메종 마르지엘라 위스퍼 인 더 라이브러리,메종 마르지엘라,해리포터 도서관이 연상되는 웅장하고 부드러운 나무와 통카빈향기,"145,000원 17.1% 할인",4.7
24,세르주루텐 튜베로즈 크리미넬 오 드 퍼퓸,세르주루텐,"달빛처럼 유려하게 흐르는 곡선, 튜베로즈의 본질에 가장 가깝게 마주한 순연의 향기","395,000원 15.1% 할인",0.0
25,입생로랑 리브르 오 드 퍼퓸,입생로랑,"따뜻한 라벤더의 포근함 속, 힘있게 남는 오렌지블라썸 커리어우먼","82,000원 20.4% 할인",4.8
26,구찌 블룸 프로푸모 디 피오리 오 드 퍼퓸 50ml,구찌,구찌의 아이코닉한 블룸 감성을 더 잔잔하게 풀어낸 튜베로즈 향기,"107,000원 25.2% 할인",4.8
27,세르주루텐 페미니떼드부아 오 드 퍼퓸,세르주루텐,"세르주루텐의 첫 작품, 오리엔탈 계열의 삼나무와 클로브가 묘사하는 관능적인 여성성의 끝","174,500원 14.9% 할인",4.3
28,킬리안 문라이트 인 헤븐 오 드 퍼퓸 50ml,킬리안,"파랗게 물든 저녁 하늘, 그대와 맞잡은 두 손이 저릿한 설렘을 일으키는 트로피컬 향기","285,000원 7.5% 할인",4.9
29,딥디크 탐다오 오 드 뚜왈렛,딥티크,내 마음을 달래주는 가장 편한 우디 향기,"128,000원 10.5% 할인",4.9
30,세르주루텐 플뢰르 도랑제 오 드 퍼퓸,세르주루텐,무르익은 튜베로즈 꽃망울이 터지며 달콤한 허니 디저트 위로 사뿐히 내려앉는 섬세함,"174,500원 14.9% 할인",5.0
31,조말론 프랑지파니 플라워 코롱 30ml,조말론,봄바람을 탄 프랑지파니 꽃잎이 천천히 유영하듯 흐르는 하얀 아름다움,"87,800원 12.2% 할인",4.8
32,바이레도 어코드 우드 오 드 퍼퓸,바이레도,"느와르 식의 거칠고 섹시한, 스모키 오우드 향수의 끝판왕","197,000원 17.9% 할인",5.0
33,바이레도 선데이 코롱 오 드 퍼퓸,바이레도,"센트럴파크 화단에 핀 제라늄과 베티버, 그 사이를 톡톡히 적시는 푸른 봄비의 베르가못","197,000원 17.9% 할인",5.0
34,불리 오 트리플 다마스크 로즈 75ml,불리 1803,"장미 본연의 분위기, 온전한 아름다움으로 모두를 납득시키는 유려함","170,000원 17.1% 할인",4.9
35,세르주루텐 파이브 어 클락 오 진저 오 드 퍼퓸,세르주루텐,"영국 신사와 갖는 티타임, 그의 매너를 닮은 산뜻 달콤한 우디- 진저 티 한잔","174,500원 14.9% 할인",5.0
36,아이젠버그 디아볼리끄 옴므 30/50/100ml,아이젠버그,"나쁜 게 확실한데, 도저히 미워할래야 미워할 수 없는 매력","65,200원 17.5% 할인",4.8
37,프레데릭 말 윈로즈 30ml,프레데릭말,"야생화 기운을 받은 로즈, 그 치명적인 매력의 생장미 향기","195,000원 25.9% 할인",4.7
38,세르주루텐 상탈 마제스퀼 오 드 퍼퓸,세르주루텐,샌달 우드의 숨겨진 마스터피스- 샌달 나무의 하얀 속살을 인센스 향기가 감싸안는 신비로움,"174,500원 14.9% 할인",5.0
39,바이레도 1996 오 드 퍼퓸,바이레도,"인센스 연기가 자욱한 작업실 안, 바이올렛의 나른함을 풍기는 신비로운 예술가의 분위기를 담아낸 향기","193,500원 15.9% 할인",5.0
40,메종마르지엘라 레이지선데이 모닝 100ml,메종 마르지엘라,"편안한 침대에 누웠을 때, 이불 속으로 온 몸이 녹아들듯 느껴지는 편안함","145,000원 17.1% 할인",4.8
41,산타마리아노벨라 로사 가데니아 오 드 코롱 50ml,산타마리아노벨라,"연하고 여린 장미, 그 위로 투명하도록 지나가는 머스크가 완성하는 맑고 깨끗한 향기","102,000원 25.5% 할인",4.9
42,바이레도 블랑쉬 오 드 퍼퓸 50/100ml,바이레도,"바이레도 대표작, 기분까지 상큼해지는 산뜻한 비누","205,000원 14.6% 할인",4.8
43,딥디크 도손 오 드 퍼퓸 75ml,딥티크,"쌉싸름한 깨끗함에 바닐라를 섞은, 아이보리색 튜베로즈 향기","196,500원 16.4% 할인",4.8
44,산타마리아노벨라 멜로 그라노 오 드 코롱,산타마리아노벨라,"하얀 비누 거품을 가득 머금은 일랑일랑 꽃이 오크모스, 장미, 파츌리를 천천히 삼켜내는 포근함","103,500원 24.5% 할인",4.8
45,미스디올 블루밍부케 오 드 뚜왈렛 50ml,디올,"미스 디올 베스트셀러, 학생과 여인의 정체성 사이 화사하게 핀 피오니 향기","125,000원 7.4% 할인",4.8
46,세르주루텐 뉘드셀로판 오 드 퍼퓸,세르주루텐,"세르주루텐 베스트셀러, 샴푸 향기처럼 은은한 오스만투스가 마음을 홀리게 하는 상큼함","148,000원 27.8% 할인",4.9
47,톰포드 패뷸러스 오 드 퍼퓸 50ml,톰포드,"이성이 아닌 본성을 자극하는, 퇴폐미 가득한 섹시함","365,000원 22.3% 할인",4.9
48,디올 소바쥬 60ml,디올,"시크, 섹시 모든 것을 다 갖춘 남성의 정점에서 느껴지는 아우라","90,000원 12.6% 할인",4.8
49,불리 오 트리플 리켄 데코스 75ml,불리 1803,"비에 젖은 이끼 사이를 운행하는 상쾌한 바람, 그 깨끗한 자연의 향기","170,000원 17.1% 할인",4.9
50,톰포드 비터 피치 오 드 퍼퓸 50ml,톰포드,"보일 듯 말듯, 파츌리에 가려진 복숭아의 농익은 달콤함이 더욱 은밀하게 느껴지는 순간","288,000원 38.7% 할인",4.9
