,0,1,2,3,4
0,조말론 포피 앤 바알리 코롱,조말론,"보리수의 달콤함 위로 블랙커런트 이슬이 스며드는 양귀비, 한 폭의 낭만을 완성짓는 향기","83,800원 21.7% 할인",4.9
1,몽클레르 뿌르 옴므 오 드 퍼퓸,몽클레르,"사이프러스의 시원한 상록수잎과 시더우드가 만나 퍼지는, 겨울 한기를 품은 자연의 향기","110,000원 8.3% 할인",0.0
2,아쿠아 디 파르마 미르토 디 파나레아 오 드 뚜왈렛,아쿠아 디 파르마,"청량한 비누향수의 대명사, 아쿠아 디 파르마 베스트셀러","73,000원 30.5% 할인",4.8
3,메종 마르지엘라 커피 브레이크,메종 마르지엘라,"에스프레소 위로 하얀 선을 그리는 우유처럼, 한껏 편안하고 단정한 무드의 자상한 커피 향기","80,900원 9.1% 할인",5.0
4,딥디크 오카피탈 오 드 퍼퓸 75ml,딥티크,"가시돋힌 장미의 줄기를 타고 흘러내리는 파츌리, 장미의 이면을 드러낸 독보적인 분위기의 향","191,800원 18.4% 할인",5.0
5,키에린 뉴욕 로즈 잉크 오 드 퍼퓸 스프레이,키에린 뉴욕,"시더우드와 샤프란 사이, 흩날리는 장미 꽃잎의 생경함","54,000원 44.9% 할인",0.0
6,키에린 뉴욕 샹탈 스카이 오 드 퍼퓸 스프레이,키에린 뉴욕,"샌달우드와 베티버가 선사하는, 자유로운 뉴요커의 하루 한 조각","54,000원 44.9% 할인",0.0
7,키에린 뉴욕 니트로 느와 오 드 퍼퓸 스프레이,키에린 뉴욕,"시프레와 구르몽이 초대하는, 향긋함이 감도는 뉴욕 도심의 풍경","145,000원 19.4% 할인",0.0
8,키에린 뉴욕 10am 플러트 오 드 퍼퓸 스프레이,키에린 뉴욕,"캐시미어 우드와 샌달우드가 전하는, 조화롭고 풍부한 뉴욕 도심 속 자연의 향취","145,000원 19.4% 할인",0.0
9,크리드 어벤투스 오 드 퍼퓸,크리드,"남자다움의 끝, 전세계적인 베스트셀러","330,000원 13.2% 할인",4.8
10,조말론 블랙베리 앤 베이 코롱,조말론,유기농으로 키운 블랙베리의 건강한 맛을 그대로 재현한 베스트셀러,"83,800원 21.7% 할인",4.8
11,조말론 154 코롱,조말론,"여유가 흐르는 런던의 베티버 나무, 만다린과 자몽의 산뜻함이 저절로 호감가게 만드는 남성의 정석","87,800원 17.9% 할인",5.0
12,조말론 다크 앰버 앤 진저 릴리 코롱 인텐스,조말론,"성별 무관, 시간을 느리게 흐르게 만드는 몽환적인 달콤함","185,000원 11.9% 할인",4.7
13,에르메스 보야지 데르메스 오 드 뚜왈렛,에르메스,"레몬과 홍차가 섞여 가을 낙엽이 떨어지는 듯, 우수에 젖은 분위기가 멋지게 연출된 가을 향기","145,000원 18.5% 할인",4.8
14,구찌 길티 뿌르옴므 오 드 뚜왈렛,구찌,"샤넬 알뤼르 옴므 스포츠와 뉘앙스가 비슷한 20, 30대 남자향수","90,000원 7.2% 할인",4.6
15,디올 옴므 코롱,디올,포카리 스웨트처럼 청량하고 깔끔한 공용 향수,"102,500원 21.2% 할인",4.8
16,반클리프 앤 아펠 네롤리 아마라 오 드 퍼퓸,반클리프 앤 아펠,"티 없는 가을 하늘의 청량한 달콤함이 나리는, 네롤리와 잔잔한 우디가 선사하는 산뜻함","187,000원 5.6% 할인",5.0
17,아쿠아 디 파르마 치노또 디 리구리아 75/150ml,아쿠아 디 파르마,이태리 남부의 따스한 햇살같은 시트러스가 마음을 어루만지는 평온함,"83,800원 45.9% 할인",4.3
18,샤넬 레조 드 파리 도빌 오 드 뚜왈렛 50ml,샤넬,"올여름, 가장 청량한 잔디에서 쉬는 듯한 편안함","124,000원 4.6% 할인",4.9
19,샤넬 알뤼르 옴므 에디션 블랑쉐 오 드 퍼퓸 50ml,샤넬,잔향이 정말 좋아서 많은 여성분들이 물어보는 섹시한 남자향수,"122,500원 5.8% 할인",4.8
20,샤넬 알뤼르 옴므 스포츠 코롱 50ml,샤넬,레몬 스프레이를 살짝 뿌린 새로산 하얀 와이셔츠,"102,500원 14.6% 할인",4.5
21,샤넬 알뤼르 옴므 스포츠 오 드 뚜왈렛 50ml,샤넬,"샤넬 남자향수 전성기의 시초, 고급스러운 남성미","102,500원 6.8% 할인",4.8
22,샤넬 플래티넘 에고이스트 뿌르옴므 오 드 뚜왈렛 50ml,샤넬,샤넬 남성향수중 가장 클래식한 매력을 갖고 있는 향수,"102,500원 6.8% 할인",4.6
23,불가리 뿌르옴므 익스트림 오 드 뚜왈렛,불가리,"세련되고 모던한 분위기가 묻어 나오는 남성, 근처에 시원 - 쌉싸름하게 퍼지는 녹차 내음","135,000원 28.9% 할인",5.0
