네이버 데이터랩 쇼핑인사이트 > 분야 통계
조회분야
화장품/미용 > 향수
조회기간 : 2021.09.27. ~ 2022.09.27. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","향수"
"2021-09-27",73
"2021-09-28",73
"2021-09-29",71
"2021-09-30",69
"2021-10-01",69
"2021-10-02",72
"2021-10-03",75
"2021-10-04",81
"2021-10-05",74
"2021-10-06",72
"2021-10-07",70
"2021-10-08",66
"2021-10-09",66
"2021-10-10",71
"2021-10-11",78
"2021-10-12",74
"2021-10-13",70
"2021-10-14",68
"2021-10-15",65
"2021-10-16",64
"2021-10-17",71
"2021-10-18",63
"2021-10-19",65
"2021-10-20",61
"2021-10-21",65
"2021-10-22",58
"2021-10-23",60
"2021-10-24",69
"2021-10-25",65
"2021-10-26",66
"2021-10-27",63
"2021-10-28",63
"2021-10-29",60
"2021-10-30",62
"2021-10-31",75
"2021-11-01",73
"2021-11-02",70
"2021-11-03",68
"2021-11-04",64
"2021-11-05",58
"2021-11-06",61
"2021-11-07",72
"2021-11-08",69
"2021-11-09",71
"2021-11-10",70
"2021-11-11",67
"2021-11-12",58
"2021-11-13",56
"2021-11-14",66
"2021-11-15",63
"2021-11-16",60
"2021-11-17",58
"2021-11-18",55
"2021-11-19",59
"2021-11-20",61
"2021-11-21",69
"2021-11-22",68
"2021-11-23",67
"2021-11-24",63
"2021-11-25",67
"2021-11-26",61
"2021-11-27",61
"2021-11-28",69
"2021-11-29",68
"2021-11-30",69
"2021-12-01",71
"2021-12-02",73
"2021-12-03",66
"2021-12-04",68
"2021-12-05",83
"2021-12-06",77
"2021-12-07",76
"2021-12-08",76
"2021-12-09",76
"2021-12-10",73
"2021-12-11",76
"2021-12-12",84
"2021-12-13",82
"2021-12-14",81
"2021-12-15",81
"2021-12-16",76
"2021-12-17",73
"2021-12-18",77
"2021-12-19",89
"2021-12-20",85
"2021-12-21",75
"2021-12-22",76
"2021-12-23",77
"2021-12-24",71
"2021-12-25",74
"2021-12-26",80
"2021-12-27",74
"2021-12-28",73
"2021-12-29",71
"2021-12-30",71
"2021-12-31",64
"2022-01-01",68
"2022-01-02",80
"2022-01-03",78
"2022-01-04",77
"2022-01-05",77
"2022-01-06",73
"2022-01-07",68
"2022-01-08",74
"2022-01-09",84
"2022-01-10",80
"2022-01-11",76
"2022-01-12",79
"2022-01-13",80
"2022-01-14",70
"2022-01-15",74
"2022-01-16",82
"2022-01-17",77
"2022-01-18",78
"2022-01-19",73
"2022-01-20",69
"2022-01-21",67
"2022-01-22",74
"2022-01-23",79
"2022-01-24",73
"2022-01-25",72
"2022-01-26",69
