품목별,항목,단위,2020.01 월,2020.02 월,2020.03 월,2020.04 월,2020.05 월,2020.06 월,2020.07 월,2020.08 월,2020.09 월,2020.10 월,2020.11 월,2020.12 월,2021.01 월,2021.02 월,2021.03 월,2021.04 월,2021.05 월,2021.06 월,2021.07 월,2021.08 월,2021.09 월,2021.10 월,2021.11 월,2021.12 월,2022.01 월,2022.02 월,2022.03 월,2022.04 월,2022.05 월,2022.06 월
총액,수출액[천달러],천달러,43103061,40911819,46167204,36270183,34854511,39214071,42785144,39469231,47819948,44818534,45751883,51332449,48006974,44706907,53690914,51225991,50725161,54778905,55461518,53165104,55913862,55660373,60330542,60734117,55460865,54154313,63785078,57849157,61579891,57625856
총액,수입액[천달러],천달러,42718100,36977247,41803860,37932611,34661974,35794860,38849185,35817929,39400190,39093795,39944763,44638246,44456822,42404636,49742555,50891152,47910522,50429027,53676256,51581093,51636341,53847824,57357549,61159671,60363481,53133762,63593038,60326206,63194249,60200435
식품 및 산동물,수출액[천달러],천달러,464273,468124,545261,545869,460918,531000,542869,488529,549811,554894,610933,651441,530373,489096,664398,640420,576571,595617,624236,599838,602458,690808,744879,786504,626650,611226,714919,724140,710015,662101
식품 및 산동물,수입액[천달러],천달러,2627428,2005395,2262352,2304002,2379665,2301011,2413044,2064751,2336115,2254470,2212784,2393576,2656845,2107335,2790457,2689624,2759388,2718457,2711897,2645404,2641506,2754248,3021359,3096336,3038687,2623332,3376922,3248464,3261850,2977361
중분류 03의 동물을 제외한 산 동물,수출액[천달러],천달러,190,398,181,120,195,387,443,374,465,593,547,703,550,887,680,796,778,874,616,528,587,711,827,615,612,530,775,548,729,590
중분류 03의 동물을 제외한 산 동물,수입액[천달러],천달러,4336,2828,8213,5815,6375,5098,4423,6648,6003,7112,6196,6491,4480,2462,7714,6084,4251,5430,5152,5484,5212,5373,7097,8733,4801,4042,7487,3901,4406,5693
중분류 03의 동물을 제외한 산 동물,수출액[천달러],천달러,190,398,181,120,195,387,443,374,465,593,547,703,550,887,680,796,778,874,616,528,587,711,827,615,612,530,775,548,729,590
중분류 03의 동물을 제외한 산 동물,수입액[천달러],천달러,4336,2828,8213,5815,6375,5098,4423,6648,6003,7112,6196,6491,4480,2462,7714,6084,4251,5430,5152,5484,5212,5373,7097,8733,4801,4042,7487,3901,4406,5693
고기및 고기 조제품,수출액[천달러],천달러,8896,8376,6904,10235,9857,11569,9919,9348,9910,9320,10814,11804,8438,7339,8907,10422,9354,9931,9409,9952,10894,14086,12282,13429,6764,6579,8828,9392,7376,6494
고기및 고기 조제품,수입액[천달러],천달러,605427,368586,439234,429653,475491,374496,450675,423398,455591,422843,397095,376554,572533,397571,516114,476022,519447,535609,519353,577310,558098,570510,585828,479541,775192,537704,660346,626635,656592,614201
"쇠고기,신선,냉장 또는 냉동한 것",수출액[천달러],천달러,202,151,328,207,195,312,234,141,437,134,436,398,295,139,323,365,187,94,296,217,197,244,284,414,114,129,221,275,378,438
"쇠고기,신선,냉장 또는 냉동한 것",수입액[천달러],천달러,381680,193521,236296,237725,250466,201347,228761,240824,271127,242033,226020,186245,377914,210018,276113,256932,297960,308472,266444,328405,319273,329134,349642,239689,489265,294779,356812,338931,376874,344658
"기타 고기 및 식용 설육,신선,냉장 또는 냉동한 것",수출액[천달러],천달러,6200,5228,2834,5226,5245,5573,5999,4128,4336,4395,4502,5533,3926,1946,3091,4195,3672,3650,2869,3893,4818,6122,4890,5476,1373,1780,1911,2033,1702,1293
"기타 고기 및 식용 설육,신선,냉장 또는 냉동한 것",수입액[천달러],천달러,194712,152072,184019,167192,200789,149202,197524,162708,160278,158362,145449,162902,174529,165095,212898,195130,194929,200469,230154,226072,215721,215466,209663,212449,261833,220335,277949,258172,252783,243153
"고기 및 실용석육,염장,염수장,건조 또는 훈제한 것",수출액[천달러],천달러,1,16,6,7,125,125,1,17,15,5,62,13,105,2,32,49,114,155,1,3,2,6,5,3,1,1,0,1,1,2
"고기 및 실용석육,염장,염수장,건조 또는 훈제한 것",수입액[천달러],천달러,1377,1349,1058,1083,1663,1263,1618,1714,1669,1347,1830,2128,1096,1798,1646,1851,1982,2313,1771,1104,1829,2833,2029,2526,1667,2024,1653,2665,2319,2270
달리 명시되지 않은 조제 또는 저장한 고기 및 설육,수출액[천달러],천달러,2493,2980,3736,4796,4292,5558,3685,5063,5121,4787,5814,5860,4112,5252,5462,5812,5381,6031,6244,5838,5876,7713,7104,7537,5276,4669,6696,7083,5296,4761
달리 명시되지 않은 조제 또는 저장한 고기 및 설육,수입액[천달러],천달러,27658,21643,17861,23653,22574,22684,22772,18152,22517,21102,23796,25279,18994,20660,25456,22108,24576,24355,20985,21729,21275,23077,24493,24878,22427,20567,23932,26866,24616,24121
