,0,1,2,3,4
0,조말론 포피 앤 바알리 코롱,조말론,"보리수의 달콤함 위로 블랙커런트 이슬이 스며드는 양귀비, 한 폭의 낭만을 완성짓는 향기","83,800원 21.7% 할인",4.9
1,몽클레르 뿌르 옴므 오 드 퍼퓸,몽클레르,"사이프러스의 시원한 상록수잎과 시더우드가 만나 퍼지는, 겨울 한기를 품은 자연의 향기","110,000원 8.3% 할인",0.0
2,메종 마르지엘라 스프링타임 인 어 파크,메종 마르지엘라,풍성하게 핀 하얀 꽃나무 아래서 가까워진 봄을 알아차리게 하는 향기,"80,900원 9.1% 할인",5.0
3,딥디크 오카피탈 오 드 퍼퓸 75ml,딥티크,"가시돋힌 장미의 줄기를 타고 흘러내리는 파츌리, 장미의 이면을 드러낸 독보적인 분위기의 향","191,800원 18.4% 할인",5.0
4,프레드릭엠 오베드상 오 드 퍼퓸 75ml,프레드릭엠,살갗의 가장 여린 속살을 떠올리게 하는 야릇한 포근함,"56,000원 50.0% 할인",4.7
5,조말론 피오니 앤 블러쉬 스웨이드 코롱,조말론,사과처럼 빨간 작약이 스웨이드와 연출하는 부드러운 여성미,"83,800원 21.7% 할인",4.8
6,조말론 잉글리쉬 페어 앤 프리지아 코롱,조말론,"조말론 여자향수 베스트, 부드럽고 우아한 느낌의 프리지아 향기","87,800원 11.3% 할인",4.8
7,조말론 프랑지파니 플라워 코롱 30ml,조말론,봄바람을 탄 프랑지파니 꽃잎이 천천히 유영하듯 흐르는 하얀 아름다움,"87,800원 12.2% 할인",4.8
8,조말론 허니서클 앤 다바나 코롱,조말론,연노랑빛 쉬폰 드레스 자락처럼 마음을 살랑살랑 간질일 것 같은 다바나 향기,"87,800원 17.9% 할인",5.0
9,조말론 다크 앰버 앤 진저 릴리 코롱 인텐스,조말론,"성별 무관, 시간을 느리게 흐르게 만드는 몽환적인 달콤함","185,000원 11.9% 할인",4.7
10,구찌 알케미스트 가든 어 송 포 더 로즈 오 드 퍼퓸,구찌,가장 순도 높은 불가리안 로즈 워터에서 느낄 수 있는 구찌 하우스의 품격,"360,000원 20.0% 할인",5.0
11,더 디퍼런트 컴퍼니 퓨어이브,더 디퍼런트 컴퍼니,석양의 온기를 닮은 아늑하고 포근한 파우더함과 바닐라향이 어울린 아늑함,"160,000원 4.8% 할인",4.9
12,반클리프 앤 아펠 네롤리 아마라 오 드 퍼퓸,반클리프 앤 아펠,"티 없는 가을 하늘의 청량한 달콤함이 나리는, 네롤리와 잔잔한 우디가 선사하는 산뜻함","187,000원 5.6% 할인",5.0
13,랄프로렌 로맨스 오 드 퍼퓸 30/50/100ml,랄프로렌,같은 행동도 뭔가 더 아름답고 예쁘게 만드는 선명한 로맨틱함,"63,500원 9.3% 할인",4.9
14,샤넬 가브리엘 오 드 퍼퓸 50ml,샤넬,"샤넬신상, 넘버5에서 클래식함을 제거하고 더 트렌디하게 바꾼 화이트플로럴 향수","133,500원 20.5% 할인",4.8
15,샤넬 샹스 오 비브 오 드 뚜왈렛 50ml,샤넬,샤워거품 같은 청아한 재스민과 오렌지플라워,"121,500원 13.2% 할인",5.0
16,샤넬 샹스 오 땅드르 오 드 뚜왈렛 50ml,샤넬,아나운서 느낌의 화사한 듯 단정한 여인의 향기,"121,500원 6.5% 할인",5.0
17,샤넬 샹스 오 땅드르 오 드 빠르펭 NEW 50/100ml,샤넬,"19년 샤넬신상, 달콤하고 기분좋은 여성스러운 플로럴의 군더더기 없는 아름다움","139,500원 17.0% 할인",4.8
18,샤넬 가브리엘 에쌍스 오 드 빠르펭 50/100ml,샤넬,"샤넬신상, 넘버5에서 클래식함을 제거하고 더 트렌디하게 바꾼 화이트플로럴 향수","139,500원 18.4% 할인",4.9
19,샤넬 레조 드 파리 리비에라 오 드 뚜왈렛 50/125ml,샤넬,여성스러움과 깨발랄함을 동시에 갖고 있는 섬세한 오렌지블로썸,"124,000원 4.6% 할인",4.9
20,불가리 쁘띠마망 오 드 뚜왈렛,불가리,"아이와 엄마가 그려지는 귀엽고 포근한, 사랑스러움을 담은 베이비 파우더 향기","65,000원 18.8% 할인",0.0
21,샤넬 No.5 로 (넘버5) LEAU 오 드 뚜왈렛 35/50/60ml,샤넬,"샤넬의 신상, 가장 산뜻하고 은은한 향기","111,500원 7.1% 할인",4.8
22,샤넬 레조 드 파리 베니스 오 드 뚜왈렛 50ml,샤넬,베이지톤의 깔끔한 복장이 생각나는 우아하고 담백한 여자향수의 극강,"124,000원 4.6% 할인",4.5
23,샤넬 코코 마드모아젤 우먼 오 드 퍼퓸 35/50ml,샤넬,자꾸 뒤돌아보게 되는 깊고 성숙한 달콤함,"102,500원 14.6% 할인",4.9
24,샤넬 No.5 (넘버5) 오 드 퍼퓸 35/50ml,샤넬,"샤넬의 영원한 대표작, 샤넬 넘버5","102,500원 6.8% 할인",4.8
