"날짜","향수"
"2018-09-27",57
"2018-09-28",72
"2018-09-29",50
"2018-09-30",58
"2018-10-01",64
"2018-10-02",48
"2018-10-03",59
"2018-10-04",50
"2018-10-05",44
"2018-10-06",46
"2018-10-07",64
"2018-10-08",57
"2018-10-09",60
"2018-10-10",62
"2018-10-11",55
"2018-10-12",51
"2018-10-13",41
"2018-10-14",41
"2018-10-15",59
"2018-10-16",51
"2018-10-17",43
"2018-10-18",42
"2018-10-19",36
"2018-10-20",45
"2018-10-21",49
"2018-10-22",57
"2018-10-23",57
"2018-10-24",47
"2018-10-25",48
"2018-10-26",50
"2018-10-27",37
"2018-10-28",51
"2018-10-29",54
"2018-10-30",50
"2018-10-31",46
"2018-11-01",55
"2018-11-02",39
"2018-11-03",50
"2018-11-04",55
"2018-11-05",61
"2018-11-06",57
"2018-11-07",58
"2018-11-08",57
"2018-11-09",49
"2018-11-10",56
"2018-11-11",66
"2018-11-12",57
"2018-11-13",70
"2018-11-14",52
"2018-11-15",55
"2018-11-16",42
"2018-11-17",41
"2018-11-18",54
"2018-11-19",62
"2018-11-20",49
"2018-11-21",45
"2018-11-22",44
"2018-11-23",37
"2018-11-24",44
"2018-11-25",45
"2018-11-26",45
"2018-11-27",46
"2018-11-28",43
"2018-11-29",40
"2018-11-30",45
"2018-12-01",41
"2018-12-02",60
"2018-12-03",56
"2018-12-04",58
"2018-12-05",57
"2018-12-06",56
"2018-12-07",50
"2018-12-08",44
"2018-12-09",62
"2018-12-10",52
"2018-12-11",56
"2018-12-12",47
"2018-12-13",49
"2018-12-14",44
"2018-12-15",49
"2018-12-16",53
"2018-12-17",59
"2018-12-18",69
"2018-12-19",54
"2018-12-20",53
"2018-12-21",54
"2018-12-22",58
"2018-12-23",55
"2018-12-24",52
"2018-12-25",50
"2018-12-26",63
"2018-12-27",51
"2018-12-28",50
"2018-12-29",46
"2018-12-30",48
"2018-12-31",49
"2019-01-01",51
"2019-01-02",54
"2019-01-03",64
"2019-01-04",54
"2019-01-05",62
"2019-01-06",58
"2019-01-07",66
"2019-01-08",59
"2019-01-09",60
"2019-01-10",56
"2019-01-11",46
"2019-01-12",44
"2019-01-13",56
"2019-01-14",42
"2019-01-15",51
"2019-01-16",54
"2019-01-17",49
"2019-01-18",53
"2019-01-19",48
"2019-01-20",59
"2019-01-21",64
"2019-01-22",71
"2019-01-23",65
"2019-01-24",55
"2019-01-25",45
"2019-01-26",60
"2019-01-27",57
"2019-01-28",65
"2019-01-29",57
"2019-01-30",52
"2019-01-31",53
"2019-02-01",62
"2019-02-02",45
"2019-02-03",59
"2019-02-04",48
"2019-02-05",59
"2019-02-06",72
"2019-02-07",75
"2019-02-08",78
"2019-02-09",72
"2019-02-10",76
"2019-02-11",69
"2019-02-12",69
"2019-02-13",61
"2019-02-14",68
"2019-02-15",63
"2019-02-16",55
"2019-02-17",64
"2019-02-18",49
"2019-02-19",58
"2019-02-20",59
"2019-02-21",59
"2019-02-22",53
"2019-02-23",48
"2019-02-24",44
"2019-02-25",55
"2019-02-26",52
"2019-02-27",52
"2019-02-28",48
"2019-03-01",53
"2019-03-02",66
"2019-03-03",61
"2019-03-04",55
"2019-03-05",55
"2019-03-06",59
"2019-03-07",52
"2019-03-08",64
"2019-03-09",60
"2019-03-10",69
"2019-03-11",69
"2019-03-12",59
"2019-03-13",56
"2019-03-14",53
"2019-03-15",50
"2019-03-16",54
"2019-03-17",73
"2019-03-18",58
"2019-03-19",47
"2019-03-20",55
"2019-03-21",47
"2019-03-22",43
"2019-03-23",51
"2019-03-24",61
"2019-03-25",54
"2019-03-26",49
"2019-03-27",54
"2019-03-28",47
"2019-03-29",44
"2019-03-30",61
"2019-03-31",61
"2019-04-01",63
"2019-04-02",70
"2019-04-03",67
"2019-04-04",61
"2019-04-05",53
"2019-04-06",53
"2019-04-07",65
"2019-04-08",60
"2019-04-09",64
"2019-04-10",65
"2019-04-11",61
"2019-04-12",52
"2019-04-13",45
"2019-04-14",63
"2019-04-15",64
"2019-04-16",57
"2019-04-17",60
"2019-04-18",55
"2019-04-19",52
"2019-04-20",55
"2019-04-21",65
"2019-04-22",49
"2019-04-23",75
"2019-04-24",67
"2019-04-25",60
"2019-04-26",51
"2019-04-27",57
"2019-04-28",63
"2019-04-29",70
"2019-04-30",69
"2019-05-01",78
"2019-05-02",70
"2019-05-03",72
"2019-05-04",67
"2019-05-05",68
"2019-05-06",76
"2019-05-07",73
"2019-05-08",67
"2019-05-09",67
"2019-05-10",55
"2019-05-11",60
"2019-05-12",58
"2019-05-13",63
"2019-05-14",72
"2019-05-15",67
"2019-05-16",56
"2019-05-17",55
"2019-05-18",48
"2019-05-19",61
"2019-05-20",100
"2019-05-21",63
"2019-05-22",60
"2019-05-23",53
"2019-05-24",43
"2019-05-25",44
"2019-05-26",53
"2019-05-27",70
"2019-05-28",56
"2019-05-29",56
"2019-05-30",54
"2019-05-31",49
"2019-06-01",59
"2019-06-02",54
"2019-06-03",65
"2019-06-04",58
"2019-06-05",50
"2019-06-06",51
"2019-06-07",62
"2019-06-08",72
"2019-06-09",89
"2019-06-10",77
"2019-06-11",77
"2019-06-12",67
"2019-06-13",74
"2019-06-14",66
"2019-06-15",50
"2019-06-16",59
"2019-06-17",66
"2019-06-18",66
"2019-06-19",74
"2019-06-20",62
"2019-06-21",57
"2019-06-22",54
"2019-06-23",71
"2019-06-24",64
"2019-06-25",70
"2019-06-26",59
"2019-06-27",67
"2019-06-28",57
"2019-06-29",49
"2019-06-30",65
"2019-07-01",73
"2019-07-02",72
"2019-07-03",68
"2019-07-04",59
"2019-07-05",61
"2019-07-06",68
"2019-07-07",73
"2019-07-08",63
"2019-07-09",67
"2019-07-10",60
"2019-07-11",64
"2019-07-12",57
"2019-07-13",58
"2019-07-14",68
"2019-07-15",77
"2019-07-16",75
"2019-07-17",71
"2019-07-18",74
"2019-07-19",60
"2019-07-20",63
"2019-07-21",69
"2019-07-22",74
"2019-07-23",84
"2019-07-24",70
"2019-07-25",69
"2019-07-26",59
"2019-07-27",67
"2019-07-28",67
"2019-07-29",60
"2019-07-30",87
"2019-07-31",63
"2019-08-01",71
"2019-08-02",65
"2019-08-03",63
"2019-08-04",66
"2019-08-05",66
"2019-08-06",71
"2019-08-07",76
"2019-08-08",55
"2019-08-09",69
"2019-08-10",71
"2019-08-11",62
"2019-08-12",69
"2019-08-13",67
"2019-08-14",58
"2019-08-15",69
"2019-08-16",58
"2019-08-17",50
"2019-08-18",62
"2019-08-19",71
