,이름,설명,평가,내용
0,톡쏘는 제주감귤막걸리,청량상쾌 감귤 막걸리,감귤 농축액을 넣어 새콤달콤한 감귤의 맛과 향을 잘 살린 감귤 막걸리예요. 시원하면서도 부드러운 목넘김으로 부담없이 마시기 좋습니다.,"톡쏘는 제주감귤막걸리, 어떤 술인가요?
청량상쾌 감귤 막걸리
상큼한 제주 감귤 풍미를 드러내는 막걸리예요.
귤 특유의 시트러스한 향과 새콤달콤한 맛이 느껴져요.
‘톡쏘는’ 시리즈답게 전반적으로 상쾌하면서 청량한 인상이 남지요.
라벨에 적힌 ‘Only Jeju’라는 문구로 짐작할 수 있듯 지역 한정 판매로 제주도에서만 구할 수 있는 제품이기도 해요.
톡쏘는 제주감귤막걸리, 어떻게 만드나요?
철저한 관리로 완성한 품질
경기 가평에 자리한 우리술 양조장에서 빚어내는 술이에요.
철저히 관리된 공정 절차에 따라 친환경 재배한 쌀과 가평의 깨끗한 지하 암반수를 사용해 만들어지지요.
우리술 양조장은 대중에 잘 맞는 주류 제품을 다수 보유한 생산자답게 우수한 품질을 갖춘 전통주를 생산하기 위한 노력을 아끼지 않아요.
톡쏘는 제주감귤막걸리, 음식과의 궁합은?
스낵
샐러드
톡쏘는 제주감귤막걸리는 감귤의 새콤달콤한 향미를 가진 막걸리예요.
간단한 스낵 등에 곁들여도 좋고, 가벼운 샐러드와 함께 식전주로 마셔도 좋습니다."
1,골목막걸리 프리미엄,풍부하고 짙은 맛과 향,"쌀 본연의 부드러운 향과 달콤한 맛을 살린 탁주입니다. 입자가 고와 목넘김이 부드럽고, 달콤한 참외와 바나나 향이 매력적입니다. 얼음을 더해 마시면 좀 더 시원하고 산뜻하게 즐길 수 있어요.달콤한 과일향과 고소한 향이 조화로워요. 한모금 마시자마자 단맛이 입안을 감싸는데, 감미료를 쓰지 않고도 이정도라니 정말 잘 만든 술이라는 생각이 들어요.균형이 좋은 프리미엄 막걸리예요. 매끄러운 과실향, 부드러운 목넘김, 적절한 단 맛이 느껴져요. 얼음이나 물을 더해 즐겨도 좋지만 첫 잔만큼은 원액 그대로 맛보기를 추천해요.","골목막걸리 프리미엄, 어떤 술인가요?
풍부하고 짙은 맛과 향
골목막걸리 프리미엄은 쌀 본연의 묵직한 단 맛과 풍부한 향, 새콤한 산미가 조화를 이루는 알코올도수 12도 막걸리예요.
농밀하면서 부드러운 질감과 진하고 깊은 맛이 매력이지요.
차갑게 해서 그냥 마셔도 좋지만, 얼음을 넣은 잔에 따라내어 물에 천천히 희석되는 과정을 즐기기에도 아주 좋아요.
골목막걸리 프리미엄, 어떻게 만드나요?
특허 받은 발효기술로 완성
곡창지대인 충남 예산의 고품질 쌀로 만드는 막걸리예요.
일반적으로 술을 만들 때, 발효가 진행되면 원주의 온도가 불규칙적으로 변하게 되는데요.
골목막걸리 프리미엄은 발효 온도를 적절한 수준으로 관리하는 특허 기술을 적용한 제품이에요.
해당 기술을 통해 자연스러운 단 맛을 갖게 되고, 효모가 잘 살아있어 신선한 풍미가 드러나게 되지요.
골목막걸리 프리미엄, 음식과의 궁합은?
보쌈
생선구이
골목막걸리 프리미엄은 쌀 본연의 중후한 단맛과 적당한 산미가 드러나는 막걸리입니다.
자극적인 음식보다 보쌈이나 두부, 생선구이와 같이 담백한 음식에 곁들이기 좋습니다."
2,원소주,국내에서 가장 ‘핫’한 소주,"바나나 같은 달콤한 과일향, 은은한 꽃향이 나요. 곡식의 고소함과 깔끔하고 부드러운 끝맛도 느껴져요. 다양한 음식, 특히 해산물과 잘 어울려요.","원소주, 어떤 술인가요?
국내에서 가장 ‘핫’한 소주
원소주는 감미료 없이 우리 쌀로만 만든 순수 증류식 소주예요.
음악 레이블 대표이자 힙합 아티스트인 박재범이 런칭한 스피릿 브랜드로, 출시하자마자 매진 행렬을 이어가며 화제의 중심에 놓인 제품이지요.
세련되고 감각적인 라벨 디자인과 군더더기 없는 맛, 부담 적은 알코올도수로 소주 및 전통주에 대한 MZ세대의 대중적 인식을 크게 바꾸어 놓고 있어요.
원소주, 어떻게 만드나요?
원소주는 강원도 원주에 자리한 농업회사법인 원스피리츠에서 생산합니다.
우리 쌀만을 원료로 사용해 감압 방식으로 세 차례 증류하여 만들어요.
증류를 마친 증류원액은 2주간 옹기에서 숙성하는 과정을 거치게 되는데요.
일반 희석식 소주에 흔히 사용하는 주정 및 감미료는 전혀 들어가지 않아요.
원소주가 깔끔하고 개운한 맛을 낼 수 있는 비결이지요.
원소주, 음식과의 궁합은?
활어회
보쌈
원소주는 부담이 적고 깔끔한 매력을 지닌 증류식 소주예요.
회를 비롯한 해산물은 물론 보쌈 등 육고기에도 곁들이기 좋은 제품입니다."
3,오메기맑은술,명인이 빚어낸 황금빛 제주의 자산,"제주 특산물인 차조를 이용하여 만든 술로 새콤달콤한 과일향과 은근한 곡물향이 잘 어우러진 밝은 금색의 약주입니다. 적당히 새콤달콤한 맛과 은은한 감칠맛으로 다양한 음식과 잘 어우러집니다.약간 꿉꿉한 느낌을 향신료같은 풍미와 달콤한 향이 보완해줍니다. 살짝 독특한 향을 즐기시는 분들께 잘 맞을거예요.다소 강한 맛을 지닌 오메기(차조)에 매끈한 쌀로 부드러움을 더한 제주의 맑은 술이에요. 올라오는 산미를 은은한 단 맛이 잘 감싸주며, 마시고 나면 기분 좋은 과실향이 입 안에 퍼집니다.","오메기맑은술, 어떤 술인가요?
명인이 빚어낸 황금빛 제주의 자산
오메기맑은술은 제주 오메기(차조)로 빚어낸 우리술이에요.
고소리술 제조 기능 보유자인 김희숙 명인이 빚어내고 있어요.
싱그러운 과일 향, 입안을 개운하게 하는 새콤한 맛이 일품이지요.
뛰어난 품질을 바탕으로 다양한 주류품평회에서 수차례 수상하고
청와대 공식 만찬주로 선정되는 등 명성을 공고히 하는 제품이에요.
오메기맑은술, 어떻게 만드나요? 
기다림으로 얻는 황금빛 결실
오메기맑은술의 주재료인 좁쌀(차조)은 껍질이 두껍고 전분이 적어요.
발효에 불리한 특징이기 때문에 원활한 양조를 위해서는 8시간 이상 물에 불려야 하지요.
잘 불어난 좁쌀을 빻아 떡을 만들고 누룩을 넣어 버무리면 발효가 진행되는데요.
항아리에서 오랜 기간 저온 발효시킨 뒤 노랗게 농익은 맑은 술만 떠내어 병입하면 오메기맑은술이 완성됩니다.
오메기맑은술, 음식과의 궁합은?
해산물
육회
오메기맑은술은 풍성한 과일향과 함께 입에 감기는 산미가 좋은 술이에요.
산뜻하고 시원한 특징으로 다양한 해산물에 곁들여 마시기 좋아요."
4,백제소주25,향이 풍부한 명품 소주,"동증류기로 증류, 도자기에서 숙성하여 은은한 곡물의 향과 부드러우면서 깔끔한 뒷맛이 잘 어우러지는 소주입니다. 부담없는 맛과 향으로 음식과 잘 어우러집니다.구리증류기로 증류하여 거북한 냄새를 제거한 깔끔한 소주입니다. 시트러스한 과일향이 나며 고소한 곡물향의 밸런스가 좋습니다.쌀의 풍미를 잘 살린 부드러운 소주입니다. 상압 증류주 특유의 구운 듯한 향이 잘 느껴지지 않고 좋은 밸런스를 가지고 있습니다.","백제소주25, 어떤 술인가요?
향이 풍부한 명품 소주
백제소주25는 내변산 양조장에서 생산하는 증류식 쌀 소주예요.
입 안을 거스르지 않는 부드럽고 유순한 풍미와 꽃을 연상케 하는 그윽한 향이 일품이지요.
보틀과 라벨 디자인까지 군더더기가 없어 멋스러워요.
취향에 따라 얼음을 넣어 마시거나 탄산수 등을 더해 즐기기도 좋은 프리미엄 소주입니다.
백제소주25, 어떻게 만드나요?
8개월 도자기 숙성으로 완성
백제소주25는 내변산 양조장에서 전라북도 지역의 쌀을 사용해 생산하는 제품이에요.
전라북도는 삼국시대때 백제의 영토이기도 했던 지역이지요.
이곳에서 수확한 쌀을 발효시켜 독일에서 수입해 온 증류기로 두 차례 증류해 내면 소주 원주가 만들어지는데요.
이를 도자기에서 8개월간 숙성해 내면 부드럽고 그윽한 향을 지닌 백제소주를 맛볼 수 있게 되지요.
백제소주25, 음식과의 궁합은?
생선구이
육회
백제소주25는 기분 좋은 향과 부드럽고 유순한 질감이 특징인 소주예요.
적당히 기름진 맛을 지닌 생선구이 혹은 고소한 육회와 함께 마시기 좋아요."
5,서울핑크,보기만 해도 즐거운 핑크빛 한잔,백년초와 진달래꽃 향과 은은한 곡물의 단향이 느껴지며 예쁜 연분홍색을 가진 술입니다. 목넘김이 부드러워 부담없이 즐기기 좋습니다.색만 보면 딸기우유라는 생각이 들 정도예요. 달달한 과일향이나 단 맛을 좋아하는 분들께 추천해요.정말로 색이 아름다운 막걸리예요. 인공색소를 전혀 사용하지 않고 천연 재료로 낸 색이지요. 단 맛이 강할 것처럼 생겼지만 단 맛보다 은근슬쩍 풍기는 쌉사름한 맛이 잘 살아있는 제품이에요. 겉으론 순진해 보이지만 카리스마가 있는 사람과 같달까요.,"서울핑크, 어떤 술인가요?
보기만 해도 즐거운 핑크빛 한잔
서울핑크는 코와 입은 물론 눈으로도 즐길 수 있는 오감만족 막걸리예요.
은은한 단 맛과 고급스러운 풍미, 우유를 마시는 것처럼 부드러운 질감에 더해 레트로풍 보틀을 가득 채운 발그레한 핑크빛이 감성을 제대로 건드리지요.
공기 접촉 과정을 거치고 나면 더욱 풍부한 맛과 향을 느낄 수 있어 디켄터 사용을 적극 권장하는 제품이기도 해요. 
서울핑크, 어떻게 만드나요?
제주 백년초와 함양 진달래꽃의 만남
서울핑크는 보은 멥쌀과 김제 찹쌀, 설화곡을 주재료로 하여 제주 백년초와 함양 진달래꽃을 더해 빚어낸 막걸리예요.
특유의 분홍빛 색상은 백년초와 진달래꽃에서 기인하는데요.
천연 색상이라 시간이 지나면 색이 옅어지는 특징이 있어 품질관리를 위해 소량만 생산한다고 해요. 
서울핑크, 음식과의 궁합은?
닭구이
디저트
서울핑크는 은은한 단 맛과 부드러운 질감, 예쁜 색감이 마음을 움직이는 술이에요.
소금으로 간을 한 닭꼬치구이 또는 시각적인 만족을 주는 예쁜 디저트 메뉴에도 곁들여 마시기 좋아요."
6,녹파주,선비의 기품이 느껴지는 깔끔한 맛,"일제강점기에 사라진 전통주를 복원하는 프로젝트에서 복원된 약주입니다. 솔향과 사과향, 은은한 곡물향이 느껴지며 깔끔한 단맛과 은은한 신맛을 가지고 있어 다양한 음식과 페어링하기 좋습니다.고소한 곡물향과 약초, 민트같은 풀내음이 나며 산미가 살짝 느껴지고 단맛은 적습니다. 화이트 와인에 어울릴 만한 음식과 궁합이 좋습니다.부드러운 누룩향, 은은한 쌀 맛을 특징으로 가진 술이에요. 시원하게 해서 즐기면 이름 그대로 풀빛깔의 파도가 입술을 치는 듯한 청량감을 느낄 수 있습니다. 연잎밥 등 생산지인 함양 지역 음식과 함께 즐기기 좋아요.","녹파주, 어떤 술인가요?
푸른 파도처럼 잔잔한 아름다움
우리나라 최초의 요리책, <산가요록>에 실린 주방문을 토대로 박흥선 명인이 복원한 역사 깊은 우리술이에요.
잔에 담긴 모습이 거울에 비친 푸른 파도같이 맑다 하여 '녹파'라는 이름이 붙었다고 해요.
이름처럼 맑은 빛깔과 담백하고 드라이한 맛이 매력적이지요.
녹파주를 즐기던 옛 선조들처럼 술 한잔에 담긴 은은한 기품을 느껴보세요.
녹파주, 어떻게 만드나요?
옛 선조들의 기품이 느껴지는 정통 약주
녹파주는 두 번 빚어내는 이양주예요.
특유의 깔끔한 향을 완성하기 위해 특별히 도정한 찹쌀과 멥쌀만을 사용해 만들어요.
솔송주를 만드는 박흥선 명인이 복원해 빚어내는 술로,
더욱 더 많은 사람들이 녹파주를 즐길 수 있도록 생산에 힘쓰고 있지요.
녹파주, 음식과의 궁합은?
떡갈비
연잎밥
드라이하고 깔끔한 맛이 일품인 녹파주는 어느 메뉴와도 잘 어울리는 술인데요.
달착지근한 떡갈비, 담백한 연잎밥과 같은 한식 메뉴에 곁들여 맛과 향을 모두 즐겨보기를 추천 드려요."
7,라라,즐겁고 흥겨운 화이트와인,"서양배, 흰 꽃, 시트러스의 느낌을 잘 살린 청수 화이트와인입니다. 다른 청수 와인에 비해 단맛이 적고 산미가 좋아 해산물과 궁합이 좋습니다.상큼한 청도포향, 매끄러운 목넘김을 잘 표현한 와인이에요. 혀에 닿는 순간 프레쉬한 산미가 느껴져요. 밸런스가 좋아 흰살 생선, 어패류, 문어 등 해산물을 곁들여 즐기기 좋아요.생각보다 더 드라이하고 깔끔한 맛이 느껴지는 와인입니다. 열대 과일 향이 놀라울 정도로 기분 좋아요. 모든 요리에 잘 어울리는 와인이며, 생선을 활용한 전채요리 또는 디저트와의 페어링을 특히 추천합니다.","라라, 어떤 술인가요?
즐겁고 흥겨운 화이트와인
라라는 흥겨운 콧노래처럼 즐거움을 선사하는 화이트와인이에요.
품질 좋은 청수 포도로 만들어 상큼하고 향긋한 맛이 잘 드러나요.
단 맛이 적고 적절한 산도를 갖춰 다양한 음식에 곁들이기 좋지요.
와인을 잘 알지 못해도 어렵지 않게 즐길 수 있는 산뜻한 술입니다.
라라, 어떻게 만드나요?
특유의 떼루아에서 완성한 매력
라라는 한국 와인의 메카, 영동 지역 와인이에요.
생산자인 산막와이너리에서 청수 포도를 직접 재배하고 가공하여 만들고 있어요.
포도밭은 마사토로 이루어진 토양과 경사진 언덕에 위치하는데요.
수확할 때는 ph농도를 명확히 측정하여 기준에 부합하는 과실만을 선별합니다.
이를 저온에서 침용하고 발효 과정을 거치면 상큼하고 산뜻한 라라 와인이 만들어져요.
라라, 음식과의 궁합은?
활어회
해산물
라라는 단 맛이 덜하고 산도가 잘 드러나는 상큼한 화이트와인이에요.
싱싱한 활어회나 해산물과 함께 마시기에 좋은 특징을 지니고 있어요."
8,국순당 쌀 바밤바밤,바밤바의 맛과 향이 그대로,"고소하면서도 달콤한 밤과 부드러운 쌀 맛의 조화가 매력적이에요. 산미와 텁텁함이 적고, 부드러운 단맛이 잘 드러나요. 매콤한 음식과 함께 먹기 좋아요.","국순당 쌀 바밤바밤, 어떤 술인가요?
바밤바의 맛과 향이 그대로
국순당 쌀 바밤바밤은 국순당과 해태아이스크림의 협업으로 탄생한 술이에요.
전 국민이 다 아는 아이스크림, '바밤바'를 술에 그대로 녹여낸 듯 달달하고 고소한 풍미와 재미있는 디자인으로 구성된 제품이지요.
출시 한 달 만에 초도 생산 물량 100만병을 모두 판매하는 기록을 세우는 등 지속적인 인기를 얻고 있어요.
국순당 쌀 바밤바밤, 어떻게 만드나요?
수백 번의 시도 끝에 맺은 결실
국순당 쌀 바밤바밤은 2년에 가까운 개발기간을 거친 끝에 만들어졌어요.
유행을 좇아 재미를 주는 정도로 만족하는 일회용 상품이 아닌 것이지요.
테스트 기간에는 확실한 퀄리티로 고객 입맛을 사로잡기 위해 시험 주류로만 200병 이상을 만들었다고 해요.
셀 수 없이 많은 시도와 연구 끝에, 모두를 만족시키는 현재의 바밤바밤이 나오게 되었지요.
국순당 쌀 바밤바밤, 음식과의 궁합은?
매운 닭발 / 떡볶이
국순당 쌀 바밤바밤은 달콤하고 진한 밤 풍미가 두드러지는 술이에요.
실제 아이스크림을 녹여 먹는 듯한 재미가 있는 술로, 매운 양념을 넣고 요리한 닭발이나 떡볶이와 함께 즐기기 좋아요."
9,백련 맑은술,균형 잘 잡힌 산뜻한 약주,"12도의 도수감이 거의 느껴지지 않을 정도로 백련잎과 쌀 본연의 향과 풍미가 깊은 술입니다. 당도와 산도의 밸런스가 좋아요.상콤한 향이 아주 약하게 나고, 맑은 술이라는 이름에 어울리게 자극적인 맛이 없어 술술 마시기 좋아요.","백련 맑은술, 어떤 술인가요?
균형이 잘 잡힌 산뜻한 약주
백련 맑은술은 은은한 단 맛과 산미가 절묘한 조화를 보이는 약주입니다.
이름에서 유추할 수 있듯 연잎이 재료로 들어가 특유의 깔끔하고 고소한 향미를 드러내기도 해요.
알코올함량은 12%로 크게 부담스럽지 않은 수준인데요.
맛의 전반적인 균형이 좋고 입 안에서도 유순하게 느껴지는 편입니다.
뒷맛 역시 대체로 깔끔한 인상을 주어 음식과 함께 산뜻하게 즐기기 좋은 약주입니다.
백련 맑은술, 어떻게 만드나요?
다섯 번 빚어 맑게 걸러낸 술
백련 맑은술을 만드는 신평양조장에서는 당진 해나루 쌀을 주 원료로 사용해 술을 빚습니다.
해나루 쌀은 충남 당진 간척지 땅에서 바닷바람을 맞고 자란 쌀로, 우수한 품질을 자랑하지요.
또 하나의 시그니처 재료인 백련잎은 백련 시리즈를 만들 때 빼놓을 수 없는 요소인데요.
술에 특유의 깔끔한 맛을 더하는 역할을 합니다. 재료를 넣고 일련의 과정을 거쳐
80년이 넘은 재래식 항아리에서 발효와 숙성을 마치고 맑게 걸러내면 백련 맑은술이 완성됩니다.
백련 맑은술, 음식과의 궁합은?
갈비찜 / 소불고기
제육볶음
백련 맑은술은 깔끔하고 개운한 캐릭터가 매력인 술입니다.
은근한 단 맛과 신 맛의 균형도 좋지요. 경쾌하고 산뜻한 느낌이 있어 오징어초무침과 같이 새콤한 안주에 곁들여 마시기 적합합니다.
돼지고기수육처럼 담백한 육류 요리에도 꼭 맞아요."
