date,star,text
2022-11-26,5,막걸리 유통기한도 길고 포장도 엄청 꼼꼼히 해주셨어요 맛있어요
2022-11-27,5,너무너무 맛있어서 최애술이 되었음
2022-10-31,5,배송도 빠르고 포장도 꼼꼼히 와서 잘받아보았어요ㅋ 주문한것중엔 이것만 아직 못마셔봤는데 왜냐면 젤 기대중이니깐ㅋㅋ 곧 있을캠핑때 마시려고 아껴두었습니당 패키지도 예쁘고 맑고투명하네요ㅋ기대중
2022-11-24,5,잘받았습니다 감사합니다
2022-11-06,5,포장도 너무 꼼꼼하게 해서 보내주시고 산머루주 너무 맛있어요 재구매 의사 있어요
2022-11-27,5,술마켓에서 살때마다 꼭 사는 제품이에요 그냥 먹어도 맛있고 술 못 마시는 사람은 사이다에 섞어 먹어도 좋아요
2022-11-18,5,포장 꼼꼼하고 빨리 왔습니다
2022-11-19,5,배송 꼼꼼하고 맛있어요
2022-11-14,5,알코올은자연에서 나온주님의 은총이에요
2022-11-12,5,술에 취미를 찾고자 시켰어요 기되 됩니다
2022-10-25,5,여행갔을때  사와서 마셨는데너무좋아서 술마켓에서 주문했어요가족들이 좋아해요 복숭아향도 은은하니 좋아요
2022-11-17,5,감사합니다 잘 마실게요
2022-11-14,5,기대됩니다 배송도 빨라서 좋아요
2022-11-23,5,복숭아향이 끝에 은은히 나는게 좋았고달지 않까 걱정했는데 아주 살짝만 달아서 좋았어요
2022-11-16,5,최애술이 되어버렸네요 ㅋㅋ
2022-11-05,5,저는 술을 안좋아 하지만 손님들 때문에 샀어요 맛있을거 같아요
2022-11-06,5,아직 안먹어봤어요 배송은 잘 왔어요
2022-10-16,5,도원결의는 토닉워터와 같이 먹는게 역시 젤 좋은듯니모메는 첨 먹어봤는데 귤향보다 껍질향이 맞는듯 해요약간 끝맛이 씁쓸한듯한 느낌이 있어요ㅎㅎ여기를 종종 이용할듯 해요
2022-11-06,5,기대됩니다 먹어보기 전이에요
2022-10-31,5,배송 빠르고 맛있어요 또 주문할게요
2022-11-08,5,친구들과 마시려고 샀는데 기대돼요
2022-11-09,5,빠른 배송 감사합니다
2022-11-06,5,목넘김 부드럽고 맛있었어요
2022-11-24,5,먹고보고 싶은거였믄데 싸게 잘샀어여
2022-10-23,5,색다르고 다양하게 먹어볼수 있어서 좋네요 아직 막걸리 종류만 먹어서 맛은 모르지만 기대됩니다
2022-10-27,5,최애 술이 되어버렸네요순하고 너무 맛있어요
2022-11-09,5,쐬주는 역시 쐬주잔에
2022-11-23,5,다양한 전통주를 살 수 있어서 좋네요
2022-11-23,5,월드컵 보면서마시려고 구매했어요
2022-11-20,5,집에서 한잔하기 넘 좋아요
2022-10-17,5,친구에게 선물했는데 맛있다고 좋아하네요 재구매 의사 있습니다ㅎㅎ
2022-11-11,4,요새 담금주 매력에 빠져서 자주먹는데 달달하면서 술 같은 그런 느낌이 좋았어요
2022-10-25,5,거봉으로 만든 증류주 두레앙 기대되는 평들이 많아서 마실날이 기다려집니다
2022-10-13,5,아직 맛보기 전이에요 배송하루만에 왔고 인기 많은 술인거 같아 구매했어요 얼른 먹어보고 싶어요 ㅎㅎ
2022-10-31,5,향이 좋고 달콤한 계열의 술입니다 저는 개인적으로 아주맛있었어요
2022-11-07,5,종종시켜먹어요배달도 빠르고 맛도좋고포장상태 굿또시킬게요
2022-10-16,5,너무너무 맛있는 술이에요주문할때마다 꼭 넣어서 주문 합니당
2022-11-08,5,매실원주 황진이 도원결의 전통주 삼대장인데 그중에 최고
2022-10-08,5,복숭아 향이 진하게 느껴지고 부드럽게 마실수 있어서 좋네요 포장도 꼼꼼하게 해주셔서 잘받았습니다
2022-11-07,5,제스타일은 아니었지만 향은좋았어요
2022-11-14,5,20도보단 들하지만 맛있습니다
2022-11-10,5,매우 만족하네요 감사합니다
2022-10-22,5,포장 정말 잘 왔어요 감사합니다
2022-10-22,5,포장도 꼼꼼하고 배송도 옴청 빨라요
2022-10-11,5,맛있어요 은은한 복숭아향 온더락으로 먹으면 더좋아요
2022-10-26,5,기존 증류수에 2프로 살짝 섞은 맛이에요 맛있어요 향이나 단맛 싫으시면 패스요
2022-09-30,5,복숭아술 시켜봤어요 맛있을거 같아서ㅋㅋ 술을 잘 못해서 이프로랑 마셔보려고 하는데 기대되네요여기 배송도 빠르고 포장도 안전해서 너무 좋습니다
2022-11-03,3,이거 정말로 맛이 별로임 화학약품 같은 맛이 남
2022-10-19,4,저한테는 약간 알콜 먹는 느낌이 나긴 했는데 같이 술자리 한 분은 깔끔하고 맛있다고 하시네요복숭아 향이 은은하게 입안에 맴돕니다 잘 마셨습니다
2022-10-12,5,40도만 마셔보다가 전 라인업 궁금해서
2022-11-02,5,좋아요만족합니다
2022-10-18,5,배송도 빠르고 좋아요
2022-10-07,5,인기많은 주종위주로 골랐습니다 가격도 착하고 포장도 잘되어서 좋네요
2022-10-12,5,맛있어요 너무너무너ㅠ
2022-11-03,5,제품 배송 만족합니다
2022-10-28,4,배송도 빠르고 가성비 좋은것 같아요 ㅎ
2022-10-29,5,복숭아 맛나서 맛있어요
2022-10-27,5,존맛탱 하루에4병다뿌셨습니다
2022-09-23,5,배송빠르고 안전하게 왔어요  종류별로 먹어보고 맛있으면 재주문하려구요
2022-11-14,5,감사합니다 감사합니다
2022-09-08,5,식당에서 사먹어보고 괜찮아서 따로 주문한것도 있고요 맛있다고 해서 궁금해서 사본것도 있네용배송 엄청 빨라서 추석에 가족들ㅇ 잘 먹을것같아요
2022-09-02,5,여러 후기처럼 포장 꼼꼼하게 왔어요명절 앞두고 용량 큰 전통주 한병을 살까하다 여러가지 맛 보는 즐거움이 있을것 같아 여러 병 샀어요냉장고에 잘 보관하다 추석때 맛있게 먹어보겠습니다
2022-09-30,5,소문데로 최고네요 ㅎㅎ
2022-09-19,5,이젠 최애 술이 되었네요너무 맛있어요
2022-10-06,5,술집에서 한잔에 8천원하는 하이볼을 집에서 쉽고 맛있게 만들어 먹기 너무 좋아요
2022-10-10,5,또사먹을겁니다 소주보다 조아요
2022-09-29,5,너무 맛잇어요 최고
2022-09-11,5,복숭아향이라고 했는데 생각보다 소주향이 강했어요 나쁘진않았는데 취향은 아녔어요
2022-09-19,5,새롭고 맛있어요 다음에 또마실게요
2022-09-17,5,선물 했는데 너무 조아해서 저도 기분 좋았어요 
2022-10-02,5,저번에 마셔보고 맛있어서 두번째 구매했어요 친구들이 다 맛있대요
2022-10-09,5,맛있어요 자주 구매함
2022-09-25,5,맛나게 잘마셨습니당ㅋㅋ
2022-10-13,5,기대됩니당 빠르게 배송해주셨어요
2022-09-21,5,이번에도 재구매하였습니다
2022-09-16,5,달달하니 맛있고 취하는 느낌 없이 취해용
2022-10-11,5,상큼하니 호랑이 기운이나네여
2022-08-18,5,아직 안먹어봤는데 술마켓 너무 좋아요 술집같은곳가서 먹으면 23만원대인데 저렴한 가격으로 집에서 맛볼수있어서 좋습니다 ㅎㅎ 이것저것 먹어보고 맛있는술은 재구매하겠습니다
2022-09-18,3,약간 화장품맛 나요
2022-09-09,5,달아서 제 입맛엔 별로지만 향이 너무 좋았어요
2022-09-13,5,배송이 굉장히 꼼꼼해서 좋았어요
2022-09-17,5,소주대신 편히 먹었어용
2022-09-12,5,빠른배송 감사합니다 맛잇어요
2022-09-13,5,아직 마시기 전인데 하이볼 기대합니다
2022-09-14,3,복숭아향이 강하네욯 향 참고해주세요
2022-10-02,5,배송빠르고 아주좋아요
2022-10-01,5,구매 리뷰보고 구입했는데 선택잘한듯
2022-09-01,5,정말 깔끔하고 맛있습니다 덕분에 좋은 식사가 되고있습니다
2022-08-12,5,전 주로 와인을 먹는 사람이라 도수가 14도 넘어가면 좀 부담스럽거든요 이 술은 15도 이지만 부드럽고 첨엔 좀 무거울수 있지만 끝엔 복숭아향이 잔잔하게 남아서 괜찮았어요ㅋㅋ 가볍게 마실 술은 아닌것 같지만 맛있었어요
2022-09-22,5,복숭아향이 좋아요 2음료수가 술이 된 느낌
2022-10-01,5,전통주가 맛도 좋군요
2022-09-08,5,늘 애용하는 제품입니다 훌륭한 우리 술
2022-09-06,5,복숭아향기도 좋고 식구들이 다 좋아해요
2022-09-04,5,도원결의는 처음인데 생각보다 달아요
2022-09-26,5,싸고 좋아요 만족합니다
2022-08-30,5,이것저것 여러개 평소에 먹고싶었던거 다 주문했어요 ㅎㅎ 기대됩니당
2022-09-03,5,너무 맛있었어요같이 받은 것마냥 순하리 고급버전 생각했는데 이건 색다르네요 또 구매의사 있어요향이 좋아요
2022-08-20,5,술마켓에서 벌써 4번째 주문인데도원결의는 빼먹지 않고 무조건 주문 합니다너무 맛있고 제 스탈이에요
2022-09-28,5,맛있게 잘 마셨습니다
2022-09-06,5,배송 꼼꼼하고 맛나요
2022-09-03,5,향이 좋아요재구매 할것같아요
2022-09-22,5,향이 살짝 인위적인 느낌이라 조금 아쉬워요
2022-09-23,5,도원결의 이름이 귀여워서 친구들 주려고 많이 샀어요ㅋㅋ
2022-09-05,5,패키지가 너무 이뻐요
2022-08-20,5,항상만족하며 먹고있어요술마켓이 젤 저렴해요 감사합니다
2022-09-25,5,술맛 좋습니다 크으
2022-09-06,5,배송빠르고 잘받았습니다
2022-09-10,5,샀던 술 다 성공 ㅎㅎㅎ
2022-08-23,5,여자들이 좋아할것같아요 도수만10도정도만하고 좀더 맛이난다면 작업주일듯ㅋㅋ
2022-09-04,5,배송도 빠르고 술맛도 좋네요 ㅎㅎ
2022-09-06,4,포장 꼼꼼하게 잘 왔습니다  파손걱정 노노아직 마시진 않았지만 명절에 부모님 형제자매와 오붓한 시간 보낼수 있을듯 합니다
2022-08-11,5,복숭아향이 은은하고 깔끔하고 부드러운 소주네요 배송도 빠르고 정말 안전하게 와서 만족합니다
2022-09-02,5,빠른배송 감사합니다
