date,star,text
2022-11-24,5,안동 소주중에 제일 좋아요
2022-11-13,5,포장잘되서 깨짐없이 받았고 선물도 잘했어요 다음날 숙취없어서 역시 안동소주네 했어요 좋아요 또주문할거에요
2022-11-21,5,아주 좋은 소주입니다
2022-11-09,5,왜 증류소주를 사람들이 진짜라고하는지 알겠어요향도 독특하고 첫느낌이랑 마지막향까지 깔끔하고 부드러우며 잔향이 코로 나오며 매력적인 느낌이 드네요차가워도 좋지만 상온에서 조금씩 먹으니 아주 좋네요
2022-11-16,5,음 향과 맛이 특이해요
2022-11-17,4,잘받았습니다 잘먹을게요
2022-11-02,5,맛있는 소주라고 추천받아서 구매했는데 만족스러웠습니다
2022-11-03,5,술맛도 좋고 빠른배송도 좋아요 꼼꼼한 포장은 덤이요
2022-11-08,5,구수한 누룩향 깔끔한 뒷맛  개운한 다음날까지 너무 좋아요 다시 생각날즈음 재구매하러 올게요
2022-11-21,5,적절한 향과 맛 고급스러운 행사용주류로 손색이 없습니다
2022-11-18,5,아버지가 너무 좋아하셔서 자주 구매합니다다먹으면 또 구매할게요
2022-11-14,5,꼼꼼한 포장 감사합니다 차후에도 주문 드리겠습니다
2022-10-21,5,신랑이 이제 이술만 찾아요끊기지않게 채워둡니다
2022-11-14,5,맛은 이미 확인 된 바  꼼꼼한 포장 감사합니다
2022-11-10,5,늘 주문하는 술이죠 소주 중에 최고
2022-11-02,5,잘 받았습니다 잘 마실게요
2022-10-31,5,뭐 다른말 필요할까요 혼자 유튜브 보면서 홀짝 홀짝 먹기 정말 좋습니다 맛에서 가성비에서 아주 좋습니다
2022-11-14,5,언제나 믿고 다시 찾게 되는 맛과 향기 입니다 고맙습니다
2022-11-09,5,집에서 술자리가 있는 날이면 주문을 해서 저렴하게 즐긴답니다 다들 칭찬이 자자해요
2022-11-11,5,자주 사먹지만 가성비에 이정도 퀄리티 좋습니다
2022-11-09,5,아버지가 완전 좋아세요ㅎㅎㅎ재주문 자주 할 예정입니다
2022-11-03,5,늘 주문하는 소주예요 이번에도 맛있어서 바로 재주문합니다
2022-11-16,5,신랑이 이것만 마셔요
2022-10-19,5,역시나 빨리왔네요즐겨먹습니다
2022-11-08,4,맛좋고 빠르고 깔끔핰게 쵝오에요
2022-11-10,5,종종 마시는 소주 매일 1잔 이상 마셔요
2022-11-09,5,늘 사용하는 제품이에요
2022-10-20,5,아후 그냥 최고네요
2022-11-09,5,어르신들 선물용으로 구매합니다
2022-09-27,5,맛있어요 그냥먹어도 맛있고 부드럽게 희석해도 좋아요차게 먹어도 좋고 스트레이트로 마실 땐 상온에 두고 먹어도 좋습니다 ㅎ
2022-10-19,5,신랑이 이제 안동소주만 찾아요ㅠ
2022-10-01,5,주문한 다음날 바로 받았어요지인이 추천해 줘서 샀는데 마음에 들어요
2022-09-23,5,깨질수가 없는 포장 쌀100로 빚은 술이라 위스키같은 깊은 맛이 있고 첫 목넘김은 부드럽지만 도수가 센술이라 가슴이 싸해지네요 알콜이 강해서 고량주 마시는 거랑 비슷했어요 전 하이볼로 즐기려구요
2022-10-17,4,저번에도 구매했는데 맛 있어요
2022-10-19,5,완벽한 포장 빠른 배송 감사합니다 완전 맛 있어서 수령 즉시 2병 마시자 마자 뻗었습니다
2022-10-16,5,포장상태제품만족도다  좋았습니다 
2022-10-15,5,정말 좋은 소주입니다
2022-10-29,5,가격대비 아주 맛과 향이 좋습니다
2022-10-30,5,늘사용하는 제품이에요
2022-10-07,5,항상 구매하는 최애술입니다
2022-10-20,5,가성비 좋은 제품입니다 항상 이용하고 있어요
2022-10-03,5,이정도 가격에 좋은 증류주을 만난것 같습니다 자주 사먹을듯해요
