date,star,text
2022-11-30,5,주말에 펜션 가져가려 주문했는데배송 안전하게 잘 받았습니다
2022-11-29,5,하이볼 만들어 먹기 딱이네요
2022-11-19,5,만족도 최고입니다자주 이용할게요
2022-11-18,5,정보를 전혀 모르는 상태에서 리뷰만 믿고 구매했습니다
2022-12-05,5,맛있어요 다음에 또 구매 할게요
2022-11-15,5,맘에들어요만족합니다
2022-11-12,4,언제나 먹는 술들 시켜봤어요 다 soso해요
2022-11-12,5,향이 부드럽고 목넘김이 좋아요
2022-10-31,5,부드럽고 맛있어요 병모양도 너무 이쁘구여
2022-11-08,5,역시 맛있습니다 스컬
2022-11-06,5,배송도 빠르고 넘 맛있어요
2022-10-18,5,술병이 너무 제스타일이라 아직 못 먹었어요ㅋ서울의밤과 비슷하다고 하니 실망할일은 없을거같습니다ㅎㅎ
2022-11-20,5,집에서 한잔하기 넘 좋아요
2022-10-30,5,포장 좋고 배송 빠르고
2022-10-24,5,매실향도 좋고 도수가 낮아서 부드럽네요
2022-10-31,5,처음 주문했는데요포장도 참잘돼있고요일반소주보다훨씬좋았어요
2022-10-09,5,연휴 준비 완료 포장도 꼼꼼하고 가격도 너무 좋으네요
2022-11-03,5,잘 먹을게요 목넘김 좋아요
2022-11-02,5,좋아요만족합니다
2022-10-16,5,잘 받았어요 배송 빨라요
2022-10-20,5,역시 스컬이죠 ㅎㅎ
2022-10-27,5,요기서 자주 구입하는데 매번 만족합니다
2022-09-19,5,명랑스컬은 처음 시켜서 먹어봤네요 서울의밤을 워낙 좋아해서 이건 어떨까 궁금했는데 이것도 맛있어요 추천합니다
2022-10-04,5,하이볼로 먹으면 너무맛있어요
2022-10-26,5,은근 가볍고 좋아요
2022-11-14,5,감사합니다 감사합니다
2022-09-16,3,아직 먹어보진 않앗어요 포장 좋네요
2022-09-28,5,한병을 먹어도 제대로 먹는 느낌이랄까 부드러운 느낌도 좋고 배송도 빠르고
2022-09-26,5,가볍게 먹기에 엄청 좋네요 맛있습니다
2022-09-09,5,아직 먹기 전이에요
2022-09-02,5,전 너무좋아하는 술입니다
2022-08-25,5,자주주문해요 포장도잘되어와요
2022-08-30,5,빠른 배송 감사합니다
2022-09-14,5,서울의밤 낮은 도수 버전 만족합니다
2022-08-31,5,한번시켜봤어요 ㅎㅎ
2022-09-01,5,재구매 의사 30000 입니다
2022-09-01,5,재구매 의사 30000 입니다
2022-09-14,5,표지가 이쁩니다
2022-08-30,5,주문할때마다 포장에 늘 신경써 주셔서 감사합니다
2022-08-17,5,먹어보기전이지만 병도이쁘게 좋아여
2022-07-01,5,포장도 야무지게 해서 왔고 맛도 괜찮고 저렴하게 두매해서 좋구요 그리고ㅠ신선도유지에 파손에 전부다 신경쓴듯 해요 ㅎㅎㅎ재구매 항꺼에요 ㅎㅎㅎ
2022-07-29,5,17도 명랑소주해골이 있어서 멍라해보이지 않지만저정도로 명랑해진다는마시고 죽어보자죽이런 건 아닐 듯다양함에 또 놀랍니다
2022-07-30,5,맛있는술 편하게 살수 있어서 좋아요
2022-08-06,5,이자카야에서먹고 반한술
2022-08-21,5,좋아요 자주마십니다
2022-07-30,5,맛있어서 또 묵곧잡네요
2022-08-10,5,먹어봤던술 여기마켓에서 처음주문해봅니다 포장 꼼꼼하게 빠르게 잘 받았습니다
2022-07-24,5,잘 받았습니다  휴가 때 가져가려고요
2022-07-05,5,참이슬만 먹었는데 이렇게 좋은것이 있는 줄 모르고 굿이에요
2022-07-21,5,서울의 밤은 먹어봤어도 명랑스컬은 처음이었는데 도수가 낮더라도 매실향은 잘 있어 좋았음
2022-07-06,5,이전에 식당에서 먹어보고 재주문
2022-07-03,5,잘 마시겠습니다 병이 이뻐요
2022-07-24,5,배송이 빨라서 좋았어요
2022-06-27,3,일반소주를 굉장히 싫어해서 증류주나 리큐르를 좋아하는데이 술은 소주에 매실향을 첨가한것처럼 알콜향이 진하게 났습니다ㅠㅠ소주좋아하시는분은 괜찮게 드실수있을거 같아요
2022-06-28,5,빠르게 잘 받았습니다
2022-06-19,5,친정에 가면서 주문했는데 다들 좋아하셨어요
2022-07-18,5,역시 스컬이 최곱니다 ㅎㅎㅎ
2022-07-12,5,굳 술병이 예뻐서 좋아요
2022-06-21,5,맛있길바래요 귀엽네요 
2022-06-07,5,포장 꼼꼼히 잘 왔어요 매실향도 많이 나구 맛있네요
2022-06-07,5,매실향이 엄청 찐해요 맑은 매실주 같아요 맛있었습니다
2022-06-18,5,빠른배송 감사합니다
2022-07-12,4,잘 받았습니다잘 마시겠습니다
2022-06-11,5,포장완벽합니다 택배로 받을수 있어서 너무 편하네요
2022-07-05,5,배송 빠름 포장 엄청 꼼꼼 최고입니다
2022-06-14,5,잘받았습니다 만족합니다
2022-06-17,5,자두 술 기대됩니다
2022-06-11,5,오랜만에 시켜요  막걸리 기도되요
2022-06-17,5,맛좋아요
2022-06-27,4,기존 서울의밤이 더 맛있어요
2022-06-01,5,구매하고 다음날 바로 받을 수 있어서 좋아요
2022-06-23,5,믿고 먹는거쥬앞으로 어디갈때 미리 여기서 사갈생각이에요
2022-06-02,5,꼼꼼히 포장되어 있고 깔끔하게 마시기 좋은술이예요
2022-05-28,5,배송 걱정이 컸는데 정말 꼼꼼히 잘왔어요ㅋ잘먹겠습니다ㅋ
2022-06-19,5,배송도 빠르고 만족스럽습니다
2022-06-05,5,술 잘받았습니당ㅎㅎ
2022-06-18,5,뭐니뭐니 해도 스컬이 최고에요 ㅎㅎ
2022-06-10,4,25도 오리지널이 더 맛있는거 같습니다
2022-06-09,3,향이 있어 좀 안맞는거 같아요
2022-06-09,5,토닉워터에 타먹으니 맛있어요
2022-06-05,5,만족합니다만족합니다
2022-05-29,5,아직 안먹어봤는데 기대중입니다포장도 튼튼하게 오고 다 너무 예뻐요
2022-05-20,5,배송도 빠르고 만족합니다ㅎㅎ
2022-06-08,5,역시 스컬이 쵝오
2022-05-13,5,배송도 엄청빠르고 꼼꼼해요 맛있어요
2022-05-25,5,맛있고깔끔해요굿초이스
2022-05-23,5,서울의밤 사면서 궁금해서 하나 사봤는데 괜찮은것같아요
2022-06-02,5,배송도 빠르고 제품도 좋습니다
2022-05-03,5,화학소주가 싫어져 최근 전통주 자주 먹고 있습니다 기대중 입니다
2022-05-03,5,그냥 내 스탈 독하지 않고 부드럽고 은근히 취하는 뭐 그런거
2022-04-14,5,맛도 좋구요 배송도 빠르고 안전하게 왔네요좋아요담에 또 구매할께요
2022-05-04,4,아주 잘 먹고 있습니다 ㅎㅎ
2022-05-20,5,더한 제품들은 모두 만족스럽습니다
2022-04-22,4,향도 풍부하고 맛있네요 자주 애용하겠습니다
2022-04-28,5,빠른 배송과 포장이 너무 맘에 들어요
2022-05-18,5,아직 맛보진않았는데 맛있을거같아요 ㅋㅋ
2022-04-16,5,항상 시키는 제품입니다 배송포장이 꼼꼼하고 빠르게 도착했습니다
2022-05-15,5,서울의밤 매실원주 버전같아요 ㅎㅎㅎ
2022-05-12,5,아직 맛은 안봤습니다 맛있게 먹겠습니다
2022-04-21,5,맛있어요 짱빨리왔어요
2022-03-23,5,토닉 레몬 넣어 마시니 역시 맛있었어요 포장도 꼼꼼히 와서 안심이 됩니다 ㅎㅎ 또 주문할게요
2022-04-09,4,서울의밤에서 만든 술은 언제나 믿고마시죠매실주 좋아하시는분들은 만족도가 높을것같습니다
2022-04-19,5,아직 안먹엇지만 맛이기대
2022-04-16,5,스컬 너무 맛나요
2022-04-07,4,술이 맛잇어요ㅎㅎㅎ 빠른배송도 굿
2022-05-06,5,역시 스컬이 최고에요 ㅎㅎ
2022-05-06,5,잘 마셨습니다 ㅎㅎ
2022-04-25,4,아직 못마셨습니다 맛있었으면 좋겠네요
2022-04-26,5,술이 맛잇어서 중독되겠어요
2022-03-19,5,저번에 한번 시켰는데 반해서 또 생각나서 주문했어요ㅎㅎ 이번에도 힐링하겠습니당
2022-03-25,5,좋아요 감사합니다 번창하세요
2022-04-23,5,명랑하게 이빠이야요요
2022-02-21,5,전통주라고 해서 종류별로 여러가지 주문해 봤어요 아직 다 먹어보진 않아서 맛평가는 힘들지만  먹어보고 맛있으면 또 주문하고 싶어요 인터넷에서 우리나라 전통주를 구입할수 있다는게 너무 좋네요
2022-03-23,5,다음에도 또 구입하려구요
2022-04-15,5,그냥 스컬이 최고에요 ㅋㅋㅋ
2022-03-17,5,강쇠랑 서울의밤이랑 다같이 주문챘는데 서울의밤은 다 먹어서 사진이 없네요
2022-04-03,5,맛있어요 토닉워타 타먹었터요
2022-04-14,5,아직 마시기 전입니다
2022-03-10,5,친절하시고 가격도착하고 배송도빠르고 꼼꼼해요
2022-03-20,5,서울의밤보다 도수 낮다고 해서 같이사ㅆ어요
2022-04-03,5,깨지지않게 깔끔하고 안전하게 배송와서 좋네요
2022-03-08,4,깔끔하네요 막걸리는 생각보다
2022-03-24,5,스꺼어어얼  근데 좀 달아서 개인적으로는 별로입니다
2022-03-05,5,서울의밤 보다 도수가 살짝 낮고 디자인이 이뻐요 ㅎ
2022-02-28,5,술을 자주 마시지 않아 아직 전부 먹어보지 못했는데 포장상태도 만족합니다
2022-02-19,5,포장꼼꼼 완전 만족합니당패키지가맘에들어서 시켜봤습니다
2022-03-28,5,장식용으로 구매 했는데 좋아요
2022-03-04,5,스컬이 최고 인듯 합니다 ㅋㅋㅋ
2022-03-01,5,그컬이 귀여워서 샀는데 제 입맛엔 서울의밤이 나은듯해요
2022-02-24,4,그냥 마시기에는 그렇고 토닉워터에 타먹어야 궁합이 좋네요
2022-02-26,5,해골그림이 있어서 아침에 숙취가있으려나 했지만 적당히만먹으면숙취 없죠ㅋㅋ
2022-03-22,5,빠른배송 만족합니다
2022-03-18,5,자주이용할께여 빠른배송
2022-03-21,5,술같지 않은 느낌이 강한 매우 부드러운 술입니다
2022-02-24,5,상품 잘 받았습니다
2022-02-08,5,맛있어요 근데 서울의밤 오리지널이 훨씬 더 제 입맛인것 같아요 얘가 더 쓴 느낌 그래도 잘 먹었습니다
2022-02-22,5,포장도 잘되어있고 맛있네요
2022-03-17,5,선물했는데 좋아요 
2022-02-18,4,서울의밤보다 도수가낮아서인지 확실히 부드럽네요 좋아요 좋아요
2022-03-20,5,잘 마셔보겠숩니다
2022-02-28,5,서울밤보다 순해서 부담없이 계속 시켜먹고 있어요  배송 빠르고 꼼꼼하게 잘와서 여기서만 시켜요
2022-03-09,5,병도 예쁜데 맛도 좋아요 
2022-02-11,5,발렌타인데이에 남편한테 선물하려고 주문했는데 안전하게 잘 받았어요
2022-02-19,5,포장이 매우 꼼꼼하네요
2022-03-18,5,스컬이 최곱니다 ㅋㅋㅋ
2022-03-03,5,맛있게 잘 마셨습니다 다들 좋아하더라구요
2022-01-29,5,빠른배송과 꼼꼼한 포장이 만족하였고 술도 맛있고 좋아요
2022-02-08,5,지인의 추천으로 마셔봤어요도수 높은 청하 느낌이네요
2022-03-03,5,배송도 빠르고 다양한 술을 한번에 받아봐서 좋았습니다
2022-01-21,5,서울의 밤을 예전부터 먹어보고싶어서 샀어요 원래는 오리지널을 살까 했는데 패키지가 너무 이뻐서 샀어요 ㅎㅎ 도수는 원래것보다 낮더라구욯ㅎㅎ 전 알쓰라 만조쿠
2022-02-11,5,먹어보고 목넘김도 좋고 그다음날 힘들지도않아요
2022-02-15,5,완전 존맛탱구리 술
2022-02-24,5,궁금해서 시켜봤어요 토닉이랑 레몬있어서 같이 먹엇어요
2022-03-05,5,부드럽고 맛있어요
2021-12-29,4,마트에서 구하기 힘든 다양한 소주를 맛볼 수 있어 좋았습니다 배송을 걱정했는데 포장이 꼼꼼해서 좋았어요 사업 번창하세요
2022-02-04,5,배송도빠르고 안전하게 받았습니다
2022-02-23,5,매실향이 그윽한게 좋습니다아아
2022-02-21,5,다른 술 종류별로 많이 시켜봤지만 스컬이 최고 인듯여 ㅎㅎ
2022-02-15,5,맛있어요 서울에 밤에 비해서는 향이 약한거같앙ㅅ
2022-02-06,5,맛있습니다 사조막걸리는 약간 세서 오네요 ㅠㅠ 나머진 맛있고 강추합니다
2022-02-17,5,25도짜리보다 17도짜리가 더 맛있네요
2022-01-18,5,아직 개봉은 안했는데 리뷰가 좋아서 일단 구매함요 ㅋㅋ 기대중중
2021-12-27,5,여행가서 호로록 마셨네요 스컬은 서울의 밤 순딩 버전이라 그런지 편하게 스타트하기 좋았어요ㅎㅎ 서울의 밤은 자주 마셔보던 술이라 그런지 익숙하면서 좋았구 토끼소주는와이건 오크향이 진하고 여태 마셔봤던 술 중에서 가장 목넘김이 부드럽고 좋었네요 토끼소주 원픽됐어요다음에 또 시키겠습니다
2022-01-15,5,빨리 마셔보고 싶어요  엄청 기대 됩니당
2021-12-17,5,최근 지인들과 술자리에서 처음 먹어보고 너무 마음에 들어서 검색해봤는데 술마켓에서 판매하셔서 바로 구매했어요 도수가 17이지만 소주보다 더 목넘김이 좋고 제가 좋아하는 서울의밤과 옥토끼의 콜라보 술이라니 빠른 배송에 구매할 수 있어서 너무 좋습니다 
2022-02-18,5,구수하고 맛있어요
2022-02-04,5,포장 완벽토닉워터와 섞어 마셨는데 부드럽고 좋습니다
2022-01-24,5,재구매  서울은 매실주 느낌이네오ㅡ
2022-01-21,5,빠른배송 잘받았습니다
2022-01-15,5,맛있어요 진짜 또 먹을거에요
2022-02-10,5,배송도 빠르고 제품도 만족합니다
2021-12-25,5,스트레이트로도 좋고 토닉이랑 섞으면 맛있게 먹을 수 있어요  서울의밤도 좋았는데 깔끔한맛이 좋네요
2022-02-11,5,지인들이 다 맛있다고 하네요 ㅎㅎ
2022-01-03,5,혹시 깨져서 오지 않을까 걱정했는데 포장도 꼼꼼하게 보내주셔서 친구들과 즐거운 파티했습니다
2022-01-19,4,맛있긎니다 다읔에또머등ㄹ게여
2022-01-04,4,항상 잘먹고있습니다 감사합니다 번창하세요
2021-12-25,5,술집에서 먹었는데 너무 맛잇어서 인터넷 찾아 구매했어요 너무 맛있어요 또 살거에요
2022-01-03,5,기대됩니다 포장이 꼼꼼해서 좋아요
2022-01-19,5,여러종류 많이 시켰는데 아직 못 먹어 봤지만 포장상태 매우 만족합니다 한달 후 리뷰 써보겠습니다 ㅎㅎ
2022-01-01,4,서울의밤 좋아하는데 다른버젼인거 같아 궁금해서 사봤어요 괜찮았는데 원래 서울의밤이 더 좋네요
2022-01-05,5,배송도빠르고 잘받았습니다 감사합니다
2022-01-07,5,배송도 안전하게 오고 맛있어 보여요
2022-01-23,5,집에서 맛잇는 음식이랑 깔끔하게 먹기 넘 좋습니다
2022-01-11,5,서울의밤이랑 비슷해요
2021-12-22,5,음 특유의 향이 나네요제 스타일은 아니지만 향을 좋아하시는 분들은 좋을듯요
2021-12-14,5,연말 지인들 선물용으로 구매했어요맛도 중요하지만 선물용이라 병 이쁜걸로 구매했습니다개인적으로 우리나라 증류주 좋아하는데 여길 이제야 알았네요앞으로 자주 구매할거에요
2022-01-26,5,항상 만족하고 사는 곳입니다
2021-12-15,5,매실 맛이 부드럽게 느껴져서 편하게 마시기 좋습니다 레몬넣고 명랑토닉으로 마셔도 좋네요 아직 안동소주는 시운전인데  느낌은 좋아요
2022-02-02,5,만족합니다
2022-01-07,5,아직안마셨지만 기대됩니다
2021-12-13,3,병이 예뻐서 맛도 기대했는데 저에게는 별로였던거 같아요 도수에 비해서 목넘김도 별로고 맛도 저에겐 안맞앚던거 같아요
2021-12-28,5,부드러우니 좋네요 목넘김도 향도 좋습니다
2022-01-09,5,선물했는데 맛있다고 합니다포장도 잘 해주셔서 감사합니다자주 구입할게요
2021-12-31,5,깔끔한 목넘김이 좋았어요
2022-01-20,5,배송빠르고 좋아요
2021-12-25,5,맛있었어요 할로윈 용이었는데
2022-01-08,5,집에 두고 가볍게 한잔씩 먹기에 좋았어요 매실 향은 안나요
2021-12-04,5,저는 정말 매실주에 대해 안좋은 기억이 있는데요음이건 매실향이 나지만 달달구리한 그런 매실주가 아니고 매실향 소주 느낌이라 그동안 마셨던 매실주랑은 다르게 맛있네요해골 비주얼에 비해 도수도 높지 않아 희석시킬 필요도 없고 깔끔합니다
2021-12-22,3,여러종류의 술을 맛볼수 있어 너무 좋으네요
2021-12-06,5,너무 맛있어요 배송도 꼼꼼하게오고 판매자분도 너무 친절하셔서 또 주문할거예요 추천합니다
2021-12-18,4,포장잘돼서 왔어요 배송도 빠르고좋네요
2021-12-30,5,맛있게 먹었습니다
2021-12-22,5,목넘김이 좋은 깔끔한 전통주와 소주 사이의 맛이라 좋았어요 마실 때 알코올향이 훅 안 올라와서 도수가 높아도 계속 마시게 된다는 점이 있습니다
2021-12-21,5,포장도 꼼꼼하고 저렴하게 잘 구입했네요
2021-12-29,5,크리스마스에 잘 마셨어요
2022-01-19,5,신기한술많이팔아주세횻ㅋㅋ
2022-01-13,5,꼼꼼하게 포장이 잘 되어 있네요
2022-01-10,5,좋아요좋아요좋아요좋아요
2021-12-06,5,여기 술 다 너무 좋아요 포장도 꼼꼼하고 하나도 깨진거 없이 술이 다 맛있어서 너무 좋아요
2021-12-10,5,포장도 잘해서 오고 좋습니다
2021-11-08,5,어렸을 때는 친구들과 모여 부어라 마셔라가 좋았지만 나이가 들면서 집에서 저녁을 먹으며 혹은 간단한 메뉴에 가볍게 음미하며 마실 수 있는 음주를 선호하게 되었어요 참 많은 맛있는 술들이 있지만 와인과 맥주 등만 찾아오며 살다가 우연하게 술마켓을 알게되며 전통주에 관심을 갖게 되었네요 맛있고 멋있는 우리의 전통주들이 이렇게 많은 걸 처음 알았죠 앞으로 자주 시켜 마실 것 같아요 꼼꼼하고 빠르게 배송해주셔서 감사합니다
2021-12-07,5,잘받았습니다 포장 꼼꼼했는데 막걸리는 좀 샜는지 박스랑 병마다 막걸리냄새가 진동하네요
2021-12-26,5,2번째 구매입니다 굿
2021-12-14,5,표지가 매우 기대되는 술이네요 ㅎㅎ맛도 좋았으면 좋겠너요 ㅎㅎ
2021-12-06,3,아주 맛있습니다 청주 느낌인데 토닉워터에 같이 먹었습니다 레몬은 필수
2021-12-15,5,선물용으로 아주 좋아요
2021-12-14,5,매실향이 은은한게 굳굳입니다
2022-01-04,5,서울의밤은 진챠 맛있어용
2021-12-13,5,맛있어요 또 마실거 같네요
2021-12-17,5,일반소주보다 부드러워요
2022-01-02,5,포장도 꼼꼼하고 맛도 좋습니다
2022-01-03,5,토닉워터랑 같이 마시면 좋을것 같아요
2021-11-24,3,향이 좀 강한편이네요재료가 매실이지만매실에다가 어떠한 향을 더한것 같은 느낌입니다그래서 좀녹넘김이 좋지는 않네요이제품의 재구매의사는 좀 없어지는 편이네요
2021-12-30,5,기대했던 맛 좋습니다 굿
2021-11-25,5,꼼꼼한 포장이 좋았고 살짝 달콤한 느낌에 매실향이 좋았어요 홀짝홀짝 잘 넘어가네요
