date,star,text
2022-11-18,5,일단 두말할것없이 너무 고급스럽고 달고 맛있어요 레드 와인이 소량 마시면 몸에 좋다고 해서 한 번 구매해봤는데 뜯자마자 향긋하고 풍미도 좋네요 무엇보다 어머니께서도 알코올 잘 못 드시는데 한 번 마셔보시더니 알코올 거부감 없이 맛있고 좋다고 하시네요 앞으로 레드 와인 생각날 때마다 자주 애용할 것 같아요 맛있어요
2022-11-24,5,같이 마시려했던 분이 좀 편찮으셔서 아직 못뜯었네요 와인 초보라 기대가 많이 됩니다 평가가 좋은데엔 이유가 있지요 잘 마시겠습니다 감사합니다
2022-11-21,5,오프너 필요없을때 따로 구매하는곳이 있네요 ㅎ 담엔 저기로 시켜야겠어요
2022-11-17,5,아이스와인 종류를 찾다가 후기 보고 구입합니다 지인들 선물 주려고 여러병 주문했어요
2022-11-23,5,안전하게 뾱뾱이로 잘 감싸서 보내주시고 맛도 달달하니 좋더라구요 다음에 재구매 예정
2022-11-21,4,달콤하고 맞이좋아요자기전에 부담없이 마시기 좋아요
2022-10-26,5,매번 시키네요 포장잘되어왔어요
2022-11-20,5,또 시켜 먹었는데 역시 엄청 달달구리합니다
2022-11-20,5,친구와캠핑가서분위기냄
2022-11-09,5,소백산와인 스위트버전 머루맛 강해서 달고 맛있어요
2022-10-11,5,맛있어요 달콤해서 좋아요 김치냉장고 보관중
2022-10-21,5,한병남았는데 또 시킬꺼예요
2022-10-14,4,아직 안마셔봤어요 추천받았어요
2022-11-08,5,떨어지면 항상 재구매 합니다
2022-11-01,5,부드럽고 맛있어요 좋아요
2022-11-01,5,안전하게 잘 왔어요잘 마실게요
2022-10-07,5,벌써 열병은 시킨듯신랑이 이것만 마셔요
2022-10-22,4,달달한게 목 넘김이 좋아요
2022-10-26,4,맛있게 잘 먹었습니다
2022-10-26,4,달콤한게 너무 맛나네요
2022-09-24,4,맛있고 술 냄새도 많이 나지도 않고 떫지도 않고 너무 좋았어요
2022-10-17,5,맛있고 분위기낼때 조은거같아요
2022-09-23,5,선물용으로샀어요 맛있었읏ㅇ좃계네요
2022-09-17,5,여유만 된다면 열병씩 재놓고 먹고싶습니다
2022-09-13,5,명절 선물로 보내고 처음 보내는 국산와인이라살짝 걱정했는데 리뷰처럼  다들 맛있다고해서다행이었습니다 감사합니다
2022-10-04,5,항상 여기 와인사요 맛있어요
2022-09-13,5,명절에  식구들에게 보냈는데   한국와인을 처음 보내는거라  살짝 걱정했는데  리뷰대로 다들 만족하시네요감사합니다
2022-09-20,5,잘먹었습니다 다음에 또 볼수있습니다 좋을꺼 같아요 감사합니다 수고하세요
2022-09-13,5,명절 선물로  식구들에게 보내주었어요모두 만족하신다고 하시네요한국와인 자주 이용해야겠어요
2022-09-13,5,명절 선물로 보냈습니다 포장과 배송은 절대 걱정할 필요없네요  맛도 다들 좋다고해주셔서아주 좋았습니다
2022-08-21,5,아주 만족한 선물이였습니다또 구매하겠습니다함께주신 와인따는것도 별거아니여도 함께 선물드리니 좋아하시네요
2022-08-20,5,리뷰가너무좋아서   먹어봤는데 너무맛있어요  와인초보들이 먹기에는 너무좋아요
2022-09-13,5,명절선물로 식구들과  주변 지인들에게 보냈는데배송과 포장은 절대걱정하실 필요가없을듯합니다맛또한  괜찮으니 너무 좋습니다
2022-09-13,5,주변 지인들과 식구들에게  보냈습니다다를 괜찮다고 좋다고해주시니  너무 좋았습니다감사합니다
2022-09-24,4,국산메이커의 자존심 맛있어요
2022-09-13,5,리뷰가 좋아서 명절 선물로 보내드리고  기다렸는데다들 배송도 빠르고  맛도 괜찮다고합니다
2022-09-02,5,병도 이쁘고 기대해봅니다
2022-09-21,2,맛이 와인의 느낌이 아니에요
2022-09-02,5,적당한 가격에 적당합니다 저는 와인도 술도 안좋아하는 사람이지만 그냥 평범하네 라는 느낌입니다
2022-09-11,5,항상 잘 이용하고있습니다
2022-08-11,5,뽁뽁이라고 돌돌돌 안깨지게 안전하게 포장 잘해주셨고너무 맛있어서 선물하려고 4병 구매했슴다
2022-08-16,5,음료처럼 편하게 마시기 좋아요
2022-08-09,5,시원하게 냉장고에뒀다먹으니광명동굴에서 사먹었던 그와인 맞네요
2022-08-14,5,자주 시켜먹는데 아주좋아요
2022-08-31,5,항상 맛있게 먹는 한국형 와인입니다 최고
2022-08-17,5,맛있어요 달콤하고 딱 제 취향
2022-07-17,5,맛은 좋아요 조금 단감이 높다는거 빼고는아무튼 잘마실게요 감사합니다
2022-08-10,4,친구 생일 선물로 보내서 맛은 모르겠지만 선물하기 좋은거 같아요 다음에는 저도 한번 주문해 먹어보려 합니다
2022-08-21,5,좋아요좋아요좋아요굿
2022-08-21,5,향도 좋고 맛있어요
2022-08-21,5,숙성된 느낌으로 묵직하네요
2022-07-24,5,여행가면 꼭 사고 와인마시고 싶으면 이거만 사서먹어요ㅠㅠ말이 필요없죠 진짜 이거야말고 술 잘 못마시고 잘 마셔도 알콜향싫어하시는 분들을 위한 술 그치만 그냥 술을 잘 마시는 분들에게는 포도쥬스로 느껴진다는 점 참고해주세요
2022-07-26,5,맛있게 잘 먹고 있습니다굿
2022-08-03,5,진짜너무마싯어요ㅜㅜ
2022-07-13,5,저는 술을 못해서 이것도 강했는데 주위에선 좋아해서 선물을 엄청 많이했어요 가격대비 훌륭한거 같아요
2022-07-27,5,국산 와인은 처음인데 도전해 봅니다
2022-08-17,5,빠른 배송 감사합니다
2022-07-24,5,특별한일 있을때 자주사는 와인이에요 굿
2022-07-27,5,와인을 많이 즐기지는 않지만너무 맛있어서 와인 먹을 땐 항상 주문합니다 많이 파세요
2022-07-04,4,술술 잘넘어가요단맛이 강하고 가볍게 한잔씩 마시기 딱 조아요
2022-07-03,5,작년에 3병구매하구 이번엔 선물용으로 구매했어요너무너무 밋있다고 감동해서 기분이 좋네요
2022-07-06,5,배송도 빠르고 늘 맛있게 잘 먹고 있습니다
2022-07-23,5,넘 맛있어서 여행기념으루 친구들한테 선물 했어용맛있다고 좋아해서 뿌듯했습니당 
2022-07-09,4,빠른배송 감사합니다포장도 꼼꼼하게 잘 보내주셨어요 맛있게 먹고 또 주문할게요
2022-07-08,4,아내랑 호강스 떠나면서 2병 구매해서 가지고 갔는데 집사람이 정말 좋아 하네요 알콜류를 않좋아 하는데 이 와인 만큼은 너무 좋아하고 호강스 내내 같이 한잔씩하면서 즐기다 왔어요
2022-06-30,5,술을 못하지만 이건 맛이 있네요주말에 가족여행때 가져가려고 주문했어요
2022-07-09,5,배송도 빠르고 만족합니다
2022-07-28,5,배송도 빠르고 넘 조아요
2022-06-25,5,잘 받았습니다 국산와인에 맛도 좋아요 
2022-07-05,5,와인초보 신랑은 이것만 마셔요 ㅎ
2022-06-08,5,벌써 몇병째인지 몰라요ㅎ 맛있어도 다양한종류가 있음 더 좋겠어요
2022-07-08,5,여기알고 너무 먹네요 암튼 굿굿
2022-07-11,5,와인은 항상 여기꺼 먹어요 맛있어요
2022-07-13,5,여자친구 생일때문에 샀습니다
2022-06-29,5,지인한테 선물했는데 달달하니 맛있다고 하네요 ㅎㅎ 선물용으로 가볍게 좋은 것 같아요
2022-07-11,5,배송도빠르고 좋아요
2022-06-11,5,선물용으로 구입해서 맛은 못 봤어요 ㅠㅠ 개별바틀 박스도 있어서 선물용으로 좋네요
2022-06-21,5,달달하고 맛있네요
2022-06-22,5,가성비 좋은 한국와인 최고에요지인들에게 전파중입니다 세번째구매인데 다 맛있대요
2022-06-27,5,배송도 빠르고 달달하니 맛있어서 넘 잘마셨습니다
2022-06-21,4,기대이상으로 달달한데 살짝아쉬운 맛 그래도 전채적으로는 맛있네요
2022-06-01,5,요즘 소백산 와인에 푹 빠져 살아요 넘넘 신세계 맛이에요
2022-06-27,5,진짜 포도맛나네요 좋네요 굿굿
2022-06-22,5,넘 만족했고 다음에 와인 살일 있으면 또 구매하려구요
2022-07-01,5,배송도 빠르고 포장도 꼼꼼
2022-05-31,5,부모님 선물로 드렸는데 친구분들과 즐거운 시간 보내셔 좋았어요
2022-05-23,4,항상 애용하는와인입니다  향이독특하고 달달진해요  가격이저번에주문했을때보다 올랐네요ㅠ
2022-06-29,4,가성비 좋은 와인입니다
2022-05-20,5,엄청 달고 맛있어요 딱 저희부부스타일 한잔씩먹고 푹자려고샀는데 재구매할것같아요
2022-06-22,5,바로 재주문들어갑니다 서비스많이주세요
2022-06-22,5,좋은제품감사합니다
2022-05-28,5,2번째주문 한잔먹고 자면 꿀잠보장
2022-06-07,5,달달하니  맛납니다 단맛에 혹해서 취할듯 도수가 높네요
2022-05-11,5,역쉬 좋아요 달달하니 제입맛에는 딱이네요 자꾸 구매하게 되네요
2022-05-10,5,선물로 입문용 국내와인 산건데 좋아하네요 또 주문할게용
2022-05-17,5,아주 맘에 듭니다 다음에 또 구매할께요
2022-05-16,5,항상 애용하는 제품입니다 맛있어요
2022-05-30,5,만족합니다 배송도 빠르고
2022-05-09,5,배송정말 빠르고 좋습니다 맛은 달달합니다
2022-04-28,4,먹어보진않았지만 후기믿고 선물용으로 구매했어요  배송받은거에있어 문제가있었는데 빠르게 해결해주셔서 문제는 없었습니다
2022-04-19,5,넘 맛있어서 다 마시기도전에 부족할까봐 2개 더 주문했어요나중에 선물용으로도 넘 좋을것 같아요이렇게 고급진 와인을 만들어주셔서 감사해요
2022-05-28,5,술 못먹는 술찔이인데전 한잔먹으니까 바로취함요 
2022-05-14,5,저는 첫날보다 먹고 다음날이 더 맛이 좋았던거같아요ㅎㅎ진짜 포도맛이 확느껴져서 저녁마다 한잔씩 먹는데 좋은거같아요ㅎ
2022-03-07,5,스위트 레드와인을 찾던 중에 좋은 와인을 발견했어요 엄청엄청 단편은 아니고 달달하면서 신맛이 덜하고 묽은 편이어서 목넘김 부드럽구 가볍게 마시기 좋아요 가격도 착하고 맛있어요 저녁에 까서 한번에 반병 마시구 잤어요 ㅎ 아 떫은맛은 포도먹을때 느낄 정도보다 약간 더 세요 약간의 씁쓰름한 맛이 있는데 더 달달한 걸 좋아하시는 분은 와인이랑 코카콜라랑 1대1로 넣구 와인칵테일로 해서 드시면 좋을 것 같아용배송은 택배상자에 뽁뽁이로 꼼꼼하게 포장되어 왔어용 평소 스위트 와인 좋아하는데 앞으로도 계속 구매해서 먹을 것 같아요
2022-05-03,5,선물로 보내드렸습니다 맛있으셨답니다 만족
2022-05-22,5,적당한 달달함이 완전 맛있어요
2022-04-25,5,아직 먹어보진 않았지만 맛있을거 같아요 평도좋구요 잘먹을게요
2022-05-02,5,친구들이랑 마셨는데 다들 달달해서 맛있다고 했어요
2022-05-01,5,아직 먹지는 않았지만 장식용으로도 예쁘네요
2022-04-26,5,맛잇어용 달아서 좋아요  재구매 할거예욤
2022-04-22,5,제가 제일 좋아하는 와인이에요 늘 만족합니다
2022-04-26,5,맛있는  국산  와인을  알게되어서  정말  좋아요
2022-04-06,5,지인선물로 보냇더니 넘좋아하시네여국산와인맞냐구하시면서ㅎㅎ근데 와인따개는 별도로 사야하나보네요ㅠ첨에는 줬던거같앗는데편의점가서삿네요ㅋ
2022-05-06,5,달아서 좋네요 맛있어서 자주 시키고 마시게 되는게 유일한 단점이네요 ㅋㅋㅋ
2022-05-09,5,맛있어요 다음에 또 주문 하게습니다
2022-05-07,5,너무도 만족입니다담에 재구매 의사 있어요
2022-05-04,5,다른 비싼와인보다 이게 제일 제 입맛에는 최고네요
2022-04-08,4,먹기전이라서요근데 기대 많이 하고있어요
2022-05-01,3,아직 마셔보진않았지만 리뷰가좋아 기대가큽니다제가좋아하는 스윗한맛이기를ㅎ
2022-04-13,5,간만에 맛있는 와인 한잔했네요
2022-05-06,5,달콤하고 맛있어요
2022-04-13,5,좋아요 맛도있고 또 구매할께요 감사합니다
2022-04-21,5,배송이 빨라서 좋았구요무엇보다 와인 초보자인 저도 목넘김도 부드럽고맛도 적당히 단맛이나서 맛있었습니다
2022-04-28,4,단골집입니다 달달하고 맛나요
2022-04-05,5,잘 왔습니다 맛있어요
2022-04-23,5,와인 초보인  저에겐 신맛이나떪은맛이없고 달콤함이좋았어요
2022-04-09,5,하루만에 다먹었습니다 ㅋㅋ
2022-03-19,5,저번에 먹고나서 넘 맛있어서 친구 선물로 줬어요 아주 맛있습니당ㅎㅎ
2022-03-29,5,처음시켜봤는데 맛있으면 또주문할게요
2022-04-30,5,달달한게 맛있어요
2022-04-17,5,선물로 구매했는데 너무 잘먹었다고 하네용
