date,star,text
2022-11-22,5,원래도 조아래요 배송오니 너무 좋아요
2022-11-25,5,자주 주문해서 먹고 있습니다믿고먹는 느린마을내일을 위해 조금 남겨뒀는데남은 것도 잘 먹겠습니다
2022-11-23,5,밀키스 마시는거 같아요 목넘김이 좋아서 그냥 들어가네요 금방 취합니다 ㅋㅋㅋ
2022-10-27,5,우유같은부드러움에 맛도좋고가격도좋고요즘막걸리즐겨마셔요
2022-10-25,5,지인분 선물로 보내드렸는데 첨 마셔본건데 너무 맛있다고 만족하셨어요 감사합니다
2022-11-24,1,중간에 배송사고로 인해서 3일이나 늦게 도착했어요
2022-11-24,5,막걸리 그 맛 입니다 아주 훌륭해요
2022-11-23,5,부드럽고 목넘김이 좋습니다 숙취도 덜한것같구요
2022-11-17,5,김장때 먹으려고 샀어요 꿀맛입니다
2022-11-03,5,우리 장인어른 최애 막걸리 3병입니다역시 맛있네요ㅠ 전 특히 우곡생주가 맛있습니다
2022-11-21,4,달달하니 맛있네요
2022-11-08,5,아버지가 좋아하시네요 다행입니다
2022-11-18,5,빠른 배송 감사합니다
2022-11-13,5,정말 맛있고 부드러워요
2022-11-01,5,배송도 빠르고 안전하게 도착했어요 탄산이 없어 목넘기가 좋네요 잘마시고 재구매할께요
2022-11-09,5,부모님이 좋아하셔서 곧 또 보내드릴예정입니다
2022-11-04,4,맛있는데 너무 단맛이  느껴질때도있어요
2022-10-19,5,맛나게 잘먹었습니다
2022-10-12,4,애정합니다 좋아해요
2022-10-19,5,목넘김이 좋네고 맛이 참 좋네요
2022-09-24,5,감사합니다 잘먹겠습니다
2022-10-10,5,달지않도 부드럽게 마실수있어서 좋았어요
2022-09-15,5,너무맛있어요 게속먹다가뤼취해서오
2022-10-06,5,부모님 사드렸는데 너무 맛있다고 좋아하셔서저도 기분좋았습니다
2022-10-23,5,좋아요 좋아요 좋아요 좋아요 좋아요
2022-10-02,5,맛있게 잘먹었습니다 담백하고 맛있네요
2022-10-05,5,딱 적당한 맛이네요 깔끔하고
2022-10-05,5,배송도 빠르고 좋아요
2022-10-03,5,너무 배송도 빠르고 좋아요
2022-09-16,5,기대했던거 만큼 확실히 다른 막걸리랑은 차원이 다르네요술 잘 못마시는 저도 느린마을 막걸리는 술술 들어가요ㅎ
2022-09-27,5,선물 했는데 너무 좋아하시더라고요
2022-09-28,5,너무 부드럽고 맛있어요
2022-08-31,5,역시나맛있네요비도오고다먹었습니다5통
2022-09-02,4,역시 소문대로 맛있어요 다음에 또 주문하겠습니다 감사합니다
2022-09-09,3,텁텁하고 눅진한 맛 숙성만이 답이다
2022-08-26,5,막걸리주엔 최고인듯 하네요
2022-08-21,5,사용중인데 좋습니다 깔끔
2022-08-18,5,뒤끝없고 깔끔한 막걸리
2022-08-18,5,배송 엄청빠릅니다  잘먹겠습니다
2022-09-03,5,좋아요 좋아요 좋아요
2022-08-05,5,우유처럼 부드럽고 인공단맛이 아니라 넘맛있음
2022-08-06,5,감사합니다 잘먹었습니다
2022-08-06,5,늘 주문해서 먹습니다 너무 맛있어요
2022-07-05,5,너무 깔끔하니 맛잇어요 제입맛에는 해창보다 더 맛잇어요
2022-07-02,5,잡냄새없고 편의점에서 파는 막걸리에서 느껴지는 톡쏘는 느낌이나 자극적인 느낌이 없이 부드럽습니다 많이 파세요
2022-08-10,5,좋습니다좋습니다좋습닏
2022-07-14,4,포장도 꼼꼼하고 막걸리 맛도 끝내줘요
2022-07-30,5,조아요조아 추천합니다
2022-07-02,5,약간새긴했어요ㅜ 그래도 맛있습니다
2022-07-09,5,두번째 구매인데 역시 좋네요
2022-06-29,5,달달하니 마시기 좋아요
2022-06-24,5,역시 막걸리는 느린마을 막걸리죠 짱맛
2022-06-25,5,부드럽고 머리 안아프고 정말 좋습니다
2022-07-14,5,일반 음식점에서도 팔았으면 좋겠습니다 ㅠㅠ 넘 맛있어요
2022-07-10,5,배송 빠르고 정홬해요
2022-06-27,5,목넘김이 부드럽고 도수도 적당하고 뒤끝이 없고 인공감미료가 없어서 정말 좋아요
2022-06-22,5,아빠가 드시고싶다고 하셔서 배송시켰는데 너무 좋아하시네요
2022-06-25,5,배송도 빠르고맛도 좋아요
