date,star,text
2022-10-15,5,배송도 빠르고포장도 좋구맛도 좋아요
2022-09-20,5,빠른 배송 꼼꼼한 포장  감사드립니다
2022-08-12,5,잘 먹겠습니다 감사합니다
2022-07-12,5,전통소주 저렴한 가격고유의 좋은 풍미빠른배송
2022-05-03,5,매운맛이 좀 덜한데 막 엄청 맛있다 이정도는 아니에요 화요보다는 낫습니다
2022-03-11,5,와이프랑일끝나고 빈속에 소주 먹듯이 먹다가1병 먹고 안먹었어요어릴때 첫 소주먹단 생각이 났네요 ㅎ
2022-03-21,5,선물용으로 구매했는데 마니 좋아하네요 시중에서 구매가 어려워요
2022-03-17,4,포장이 꼼꼼하게 와서 좋습니다
2022-03-04,5,시중에 파는 일반 소주는 기끔 역한 느낌나는데 이건 그런거 없이 부드럽네요
2022-01-07,5,항상 맛있게 잘 먹고 있습니다
2021-12-26,4,안동소주는 처음이었어요 만족합니다
2021-11-04,5,행사가 있어서 이번에 30병을 주문하였습니다롯데택배 기사님 고생하시는 줄은 충분히 인지합니다만배송시 넓은 정문으로 놓아주시고  가셨으면 합니다자주 구매를 합니다만 다른 택배 기사님들은 정문출입을  하시여 놓고 가시는 반면 롯데택배 기사님분들만  후미진 조그마한 후문앞으로 놓고 가시다보니 잃어버리는 경우들이 있어서  죄송합니다만 다음 주문시 부탁드립니다 아니면 전화라도 주시면 후문은 잠가놓고 이용을 하지 않는곳 입니다만 바로 움직여서 분실되는 일들이 없도록 방지를 하여야  하다보니 부득이 이리 메모 드립니다수고하세요 참고로 여기는 개인주택이 아닙니다
2021-11-02,5,빠른 배송으로 주말에 가족과 평일에 친구들과 한잔 했네요 백신 맞고 딱 좋은 시간에 맞추어 먹었네요
2021-10-28,5,소주가 고급지네요포장도 꼼꼼해요
2021-11-11,5,안동소주 일품 40도 맛이 끝내줍니다편의점 돌다가 파는곳이 없어서 주문하기 ㅎ
2021-11-16,5,부모님이 좋아하십니다 최고입니다
2021-11-14,5,최고입니다 ㅎㅎㅎ
2021-11-07,4,안동소주 아주 좋아요
2021-10-26,5,가성비 좋은 제품 잘 먹었습니다 번창하세요
2021-09-11,5,남편이 주문해달라 해서 샀는데 맛있다 하네요 반주로 가성비 갑 냉동실에 넣었다 먹으면 더 맛있다 하네요
2021-09-28,5,아주 좋아요 최고예요
2021-09-17,5,간편하고혼술하기에좋아요
2021-09-12,5,가성비 좋은 제품 구매해서 기분 좋아요
2021-09-15,5,가끔 생각날때 주문하는 아주 좋네요
2021-08-25,5,빠른배송 감사합니다
2021-08-19,5,두번째 구매입니다맛있고 모든 음식에 맞아 또 구매했네요
2021-08-09,5,안동소주 21도 먹어보고 40도 남편이랑 먹을라고 구매했는데맛있어서 훅 취했어요 추천 추천
2021-07-28,5,꼼꼼하게 포장되어 왔습니다그리고 배송이 빠릅니다
2021-07-13,5,비싼 술 필요 없습니다 저렴하며 맛도 정말 훌륭해서 여러번 사먹었어요 ㅠㅠ
2021-07-16,3,생각보다 맛은  잘
2021-05-17,5,맛도 좋고 배송시 포장도 좋아요
2021-06-01,5,40도같지않은부드러운목넘김좋아요
2021-05-02,4,깨끗하고 증류주의 향이 좋아요 단지 아스파탐이 들어가 좀 달아요
2021-05-07,5,조금 저렴했으면 마트와 별차이가
2021-05-06,5,빠른배송 고맙습니다
2021-04-16,5,맛있네요  부모님도 좋아 하시네요
2021-04-11,5,아침에 숙취없음 술먹으면 많이 취함그래서 재구매함
2021-03-23,5,맛도좋고 배송도 빨라요
2021-03-15,4,깨지지 않고 잘 도착했어요 한가지 불만이라면 설탕이 첨가되어 소주 본연의 맛이 설탕의 단맛 때문에 가려졌다는 것입니다 고순도의 술을 즐기는 애주가들은 주정 특유의 맛을 느끼고자 하는데 설탕을 섞지않은 제품도 같이 있었으면 합니다
2021-04-05,5,맛도 좋구 목넘김도 좋아요
2021-04-05,5,포장도 좋구 맛도 좋아요
2021-03-18,5,아주좋은소주입니다
2021-02-03,5,잘받았습니다 수고하세요
2021-01-28,5,포장도 좋았구 맛도 좋아요
2021-01-28,5,배송도 빠르고 맛도 좋아요
2021-01-28,5,경제적이고 만족도 높은 증유주
2021-01-06,5,포장도 좋아요 목넘김이 좋아요
2020-12-23,5,배송이 아주빠르네요포장도꼼꼼하고 잘먹겠습니다
2020-12-17,5,깔끔하고 아주 좋아요 선물도 하고 모임에서 마셨는데 다들 평도 좋네요
2021-01-08,5,숙취도 없고 너무 좋습니다 재구매의사 100
2021-01-08,5,저렴한가격에 집에서 마실수있으니 좋습니다
2021-01-02,5,정말 좋아요말이 필요없네요
2020-12-29,5,선물로 보내드렸더니 만족하시고 맛또한 좋다하시네요
