date,star,text,name
2022-11-27,5,아직 먹어보지는 않았지만 포장도 꼼꼼하고 빠르게 받았습니다,술샘 이화주 8도
2022-11-23,5,포장이 엄청 잘되서 왔어요 궁금했던 이화주 드디어 마셔먹어보네요 ㅋㅋㅌ,술샘 이화주 8도
2022-11-20,5,사이즈는 귀여운편이고 제 취향은 아니지만 선물용이나 다른 사함 소개시켜주기용으론 괜찮은거 같아요,술샘 이화주 8도
2022-11-22,4,막걸리 맛있어요 다양하게 먹어서 좋아요,술샘 이화주 8도
2022-11-22,5,떠먹는거라고 해서 신기해서 우선 구입했어요뭔가 몽글몽글 신기해요,술샘 이화주 8도
2022-11-22,3,한식대첩 보고 한 번 주문해봤는데 나쁘진 않아요 요거트처럼 걸쭉하고 스푼으로 떠먹는 방식의 술이라는 게 독특합니다 맛은 적당히 달달했고 술맛이 크게 느껴지지 않지만 어느새 취해 있는그런 느낌이네요,술샘 이화주 8도
2022-11-15,5,신혜선이 먹는 것 보고 꼭 먹어보고 싶었음 생가보다 양이 작아 좀 놀란 것은 있음,술샘 이화주 8도
2022-11-23,5,요거트같고 맛있어요,술샘 이화주 8도
2022-11-23,5,맛있는데 술같지 않네요,술샘 이화주 8도
2022-11-22,4,아쁘게 잘왔어요 잘먹을께요,술샘 이화주 8도
2022-11-26,5,약간 씁쓸한 듯한 맛 이었어요와이프가  주당이라 이렇게 말하네요저는  그냥  쓴 배막걸리 요플레ㅋ,술샘 이화주 8도
2022-11-15,5,생각했던 맛은 아닌데 엄청 맛있네요,술샘 이화주 8도
2022-10-21,5,처음 시켜봤는데 너무 맛있네요포장 꼼꼼하게 보내주셔서 감사합니다,술샘 이화주 8도
2022-11-24,5,먹어보고 맛있어서 재주문해요,술샘 이화주 8도
2022-11-11,5,이화주는 진리,술샘 이화주 8도
2022-10-21,5,두개 먹음 취합니다 ㅋ 잠들기전에 디저트처럼 먹기좋아요 성인용 요플레 ㅋ,술샘 이화주 8도
2022-10-04,5,후기에 포장 얘기많으셔서 걱정했는데 뚜꺼운 에어캡에 잘 왔어요맛은 호불호 갈릴 맛이긴한데 저는 호 이따금 주문해서 먹을것같아요,술샘 이화주 8도
2022-10-21,4,좋아요저렴히 다양하게 잘 산듯 합니다,술샘 이화주 8도
2022-11-12,2,하나가 터져서 버렸습니다 포장에 조금 더 신경을 써주셨으면 합니다,술샘 이화주 8도
2022-10-13,4,특별한맛 보다는막걸리 떠먹는맛이네요맛보고싶어서 주문했어요크기가 진짜 작아요,술샘 이화주 8도
2022-10-27,5,색다른 맛이네요,술샘 이화주 8도
2022-10-15,5,처음 먹어봤는데 막걸리네욤,술샘 이화주 8도
2022-10-15,5,아직 먹기전인데 궁금해서 시켜봤어요,술샘 이화주 8도
2022-10-20,5,특이해서 시켜봤어요요거트 처럼 떠먹다 보니 금방 다 먹었네요딱 요거트 제형이고 막걸리맛이예요,술샘 이화주 8도
2022-10-25,5,도수 높은 거 좋아하는데 향도 좋고 흥취도 오르고 맛있어요,술샘 이화주 8도
2022-09-30,5,맛있어요 떠먹는 막걸리에요,술샘 이화주 8도
2022-10-22,5,요플레같은 식감에 배맛도 살짝 나고 맛있네요,술샘 이화주 8도
2022-10-18,5,배송빠르고 물건상태 양호,술샘 이화주 8도
2022-09-21,5,술을 못먹는데 달달하니 자꾸 맛을보게되네요,술샘 이화주 8도
2022-10-17,4,포장이 아주 꼼꼼했습니다,술샘 이화주 8도
2022-09-23,5,포장이 꼼꼼하고 배송이 빠릅니다,술샘 이화주 8도
2022-09-14,5,동생 생일 선물로 보내줬는데 엄청 특이하다고 하더라구요,술샘 이화주 8도
2022-10-02,5,무척 맛있어요 좋은 경험이었어요,술샘 이화주 8도
2022-09-17,5,떠먹는 탁주 새로운 느낌,술샘 이화주 8도
2022-10-05,4,제취향은 아닌가봐요,술샘 이화주 8도
2022-09-06,5,넘 맛있고 디자인도 이뿌네요 안전배송 고맙습니다,술샘 이화주 8도
2022-09-06,5,추석 선물로 구매했어요 이화주 좋아해서 여러 브랜드 먹어봤는데 여기가 가격도 좋고 무난하게 맛있습니다  그냥 먹어도 맛있지만 과일과도 엄청 잘 어울려요,술샘 이화주 8도
2022-09-09,5,제입맛은 아닌가 보네요,술샘 이화주 8도
2022-09-27,5,떠먹는 전통주가 신기합니다,술샘 이화주 8도
2022-10-21,5,너무좋다 너무좋다 너무좋다,술샘 이화주 8도
2022-09-01,4,떠먹는 요구르트 같은 느낌에 알코올과 쌀맛이 추가된 느낌이랄까뒷맛에 아세톤인지 알코올 치는 향 빼곤 경험해볼만한 맛입니다가격대비 비싸서 더 사 먹는건 좀 더 생각해보구요,술샘 이화주 8도
2022-09-06,5,제 취향은 아니었지만 술에 대한 색다른 경험을 할 수 있어 좋았습니다,술샘 이화주 8도
2022-09-06,3,맛이 그리 좋지는 않고 평범한 이화주에요,술샘 이화주 8도
2022-08-28,5,떠먹는 막걸리어덜트요거트 같네요술자리에서 하나씩 먹고 재미납니다,술샘 이화주 8도
2022-07-31,2,막걸리를 좋아하는 편인데 이 상품은 맛이 너무 쎄서 그런지 나에게는 불호한번쯤은 이런 술도 있구나 하고 먹어볼 수 있지만 두번 구매는 안할듯기대가 너무 컸나봄,술샘 이화주 8도
2022-08-28,5,포장 꼼꼼하고 맛도 좋았어요,술샘 이화주 8도
2022-07-31,4,아이스팩이 다 녹아서 술이 찬기운이 하나도 없게 받았습니다 ㅠㅜ 속상하지만 빨리 먹어치워야겠죠 ㅠㅜ 맛은 좀 쌨어요,술샘 이화주 8도
2022-08-26,5,궁금해서 먹어봤는데 호불호가 많이 갈릴 것 같아요,술샘 이화주 8도
2022-08-31,5,빠른배송 감사합니다,술샘 이화주 8도
2022-08-04,5,새롭고 신선해요,술샘 이화주 8도
2022-07-22,4,처음먹어보는 신기한 느낌에 세숟갈 정도 먹으니 갑자기 훅 치고 올라오네요,술샘 이화주 8도
2022-08-21,5,신기해서 구매해봤는데 만족합니다,술샘 이화주 8도
2022-07-20,3,옥 첨엔 괜찮은 맛인데 라고 먹었지만술로는 못먹겠네요 ㅠㅠ그리고 두병 샀는데 두병 다 열때 터져가지고 닦느라 난리났어요,술샘 이화주 8도
2022-08-02,5,꼼꼼한 포장에 빠르게 잘받았습니다,술샘 이화주 8도
2022-08-24,5,딸기랑 잘 어울리네요,술샘 이화주 8도
2022-08-06,5,별다리 유튜브 보고 호기심에 주문했어요 다 친구 줘서 맛은 모르겠지만신기해하고 좋아해서 흐뭇했어요,술샘 이화주 8도
