,이름,해시태그,종류,해시태그_vector,원핫인코딩,fruit,acidulous,savory,sweet,bitter,clean,soft,thick,light,sparkling,mood
0,감홍로,#계피 #고급스럽다 #명주,청주,"[31, 0, 37]",[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0],0,0,0,0,1,0,0,0,0,0,1
1,금설,#금가루 #젤리 #금,청주,"[11, 5, 16]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0,0,0,0,0,0,0,0,0,0,0
2,증류주_더한매실원주_13도,#매실주 #매실 #매화수,증류주,"[24, 15, 23]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],1,0,0,0,0,0,0,0,0,0,0
3,도원결의 15도,#복숭아 #은은하다 #프로,증류주,"[8, 2, 13]",[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0],1,0,0,0,0,0,1,0,0,0,0
4,도원결의 25도,#복숭아 #은은하다 #시럽,증류주,"[8, 2, 46]",[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0],1,0,0,0,0,0,1,0,0,0,0
5,도원결의 40도,#복숭아 #은은하다 #칵테일,증류주,"[8, 2, 14]",[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0],1,0,0,0,0,0,1,0,0,0,0
6,박재서명인 안동소주 22도,#희다 #석식 #특유,증류주,"[42, 36, 27]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0,0,0,0,0,0,0,0,0,0,0
7,박재서명인 안동소주 35도,#누룩 #희다 #깨다,증류주,"[18, 42, 49]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0,0,1,0,0,0,0,0,0,0,0
8,박재서명인 안동소주 45도,#고급스럽다 #듭니 #상자,증류주,"[0, 25, 39]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0],0,0,0,0,0,0,0,0,0,0,1
9,서울의밤 25도,#매실 #은은하다 #레몬,증류주,"[15, 2, 26]",[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0],1,0,0,0,0,0,1,0,0,0,0
10,안동소주 일품 21도,#은은하다 #담 #온라인,증류주,"[2, 32, 21]",[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0],0,0,0,0,0,0,1,0,0,0,0
11,안동소주 일품 40도,#더락 #위스키 #온라인,증류주,"[10, 19, 21]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0,0,0,0,0,0,0,0,0,0,0
12,고헌정 동학 1957 특선 13도,#사케 #단맛 #약주,증류주,"[34, 40, 28]",[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0,0,0,1,0,0,0,0,0,0,0
13,양촌양조 무농약 우렁이쌀,#약주 #백세주 #완벽하다,청주,"[28, 3, 4]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0,0,0,0,0,0,0,0,0,0,0
14,오메기 맑은술,#제주도 #와인 #화이트와인,청주,"[7, 43, 50]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0],0,0,0,0,0,0,0,0,0,0,1
15,우포의아침,#사케 #드라이 #단맛,청주,"[34, 12, 40]",[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0,0,0,1,0,0,0,0,0,0,0
16,복순도가,#샴페인 #스파클링 #와인,막걸리,"[41, 35, 43]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1],0,0,0,0,0,0,0,0,0,1,2
17,배상면주가 느린마을 막걸리,#우유 #단맛 #순하다,막걸리,"[6, 40, 48]",[0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0],0,0,1,1,0,1,0,0,0,0,0
18,죽향도가,#꿀 #단맛 #꿀맛,막걸리,"[30, 40, 42]",[0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0,0,0,2,0,0,0,0,0,0,0
19,모주,#음료 #음료수 #진하다,탁주,"[44, 1, 29]",[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0],0,0,0,0,0,0,0,1,0,0,0
20,술샘 이화주,#요거트 #특이하다 #과일,탁주,"[20, 33, 9]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0,1,0,0,0,0,0,0,0,0,0
21,금이산농원 복숭아 와인,#복숭아 #와인 #달콤하다,과실주,"[8, 43, 17]",[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0],1,0,0,1,0,0,0,0,0,0,1
22,덕유양조 산머루주,#머루 #와인 #진하다,과실주,"[45, 43, 29]",[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0],1,0,0,0,0,0,0,1,0,0,1
23,배상면주가 빙탄복,#스파클링 #복분자 #와인,과실주,"[35, 47, 43]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0],0,0,0,0,0,0,0,0,0,1,1
24,산내들 소백산 스위트 와인,#와인 #달콤하다 #포도,과실주,"[43, 17, 38]",[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0],1,0,0,1,0,0,0,0,0,0,1
25,컨츄리 와인 영동포도 와인,#와인 #달콤하다 #포도,과실주,"[43, 17, 38]",[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0],1,0,0,1,0,0,0,0,0,0,1
