술이름,단맛,순함,독함,부드러움,탄산,선물,향
감홍로 40도,0.046267087276550996,0.0,0.002103049421661409,0.0473186119873817,0.0010515247108307045,0.3217665615141956,0.014721345951629864
금설 35도,0.03251599147121535,0.0015991471215351812,0.0031982942430703624,0.04477611940298507,0.0015991471215351812,0.488272921108742,0.0015991471215351812
더한 매실원주 13도,0.1742039068771742,0.0037463205780037465,0.0008027829810008028,0.07920792079207921,0.0002675943270002676,0.046293818571046294,0.019801980198019802
도원결의 15도,0.08853529171766626,0.006119951040391677,0.0004079967360261118,0.0934312525499796,0.004895960832313341,0.04202366381068951,0.05752753977968176
도원결의 25도,0.05380333951762523,0.0,0.0037105751391465678,0.08719851576994433,0.0,0.04823747680890538,0.05380333951762523
도원결의 40도,0.050505050505050504,0.0,0.005050505050505051,0.09595959595959595,0.0,0.05555555555555555,0.045454545454545456
박재서 명인 안동 소주 22도,0.03127398311588642,0.0030698388334612432,0.0011511895625479663,0.13142747505755947,0.0005755947812739831,0.05353031465848043,0.004796623177283192
박재서 명인 안동 소주 35도,0.030273197144966773,0.0014767413241447206,0.0014767413241447206,0.1336450898350972,0.0004922471080482402,0.05414718188530642,0.006153088850603003
박재서 명인 안동 소주 45도,0.024059308994264932,0.0003496992586375717,0.0023779549587354875,0.06979997202405931,0.0003496992586375717,0.4772695481885578,0.0030773534760106308
서울의밤 17도,0.03359173126614987,0.003875968992248062,0.002583979328165375,0.12919896640826872,0.0012919896640826874,0.050387596899224806,0.023255813953488372
서울의밤 25도,0.045090715048025615,0.0014674493062966916,0.0021344717182497333,0.13260405549626467,0.00040021344717182497,0.04602454642475987,0.028014941302027748
안동소주 일품 21도,0.030851063829787233,0.002127659574468085,0.0010638297872340426,0.15053191489361703,0.0,0.045744680851063826,0.005319148936170213
안동소주 일품 40도,0.02750809061488673,0.0024271844660194173,0.002696871628910464,0.1272923408845739,0.0018878101402373248,0.0447680690399137,0.005124056094929882
