,단어,tf-idf,idf
10040,와인,390.9285489524505,4.7985639412518175
2925,달콤하다,148.85294086362512,5.70419049062716
14422,포도,48.346971129149054,7.286985533147262
14424,포도주,29.05738849810177,8.094400807256147
2840,단맛,25.919052885279672,5.515780147196643
13204,초보,22.394294590075244,8.399782456807328
8178,스위트,22.36133227511822,8.605226431022137
14425,포도주스,22.194062902811098,8.640944513624216
2945,담,19.674450681340783,6.603272384820675
11227,입문,17.220699885780203,7.975448864394781
3574,드라이,14.612735577100352,7.780743248401104
15262,홀짝,13.830018979608758,7.3059434468918765
8182,스윗,13.828979213598291,8.887077583163125
4063,레드와인,13.305790279522279,8.278829846389666
5950,뱅쇼,12.093590793786378,9.703838719690246
1211,국내,12.08919682026618,8.182369580202103
2916,달콤,11.967057996004845,8.291568872167096
9683,여자친구,10.570290451778094,7.765475776270316
2946,담그다,10.397152482204575,7.743002920418258
1568,기다,10.22823361770804,7.0535663192548474
8769,쓸다,10.058608968046228,7.110943431838151
10343,우리나라,10.053047996712468,7.6854330685967795
12688,진하다,9.971571339632101,6.018914445419238
11803,점,9.395390294354641,6.78180964192339
11644,저녁,9.129270010843717,7.02065658516605
11210,입,9.025348273519736,6.427687528756948
14426,포도쥬스,8.956774926425537,9.652545425302696
14751,한국,8.814290312056574,7.422531025143486
1108,굉장하다,8.301342510098992,6.724021901442155
1497,금방,8.01569182346488,6.864452516526949
14391,평,8.003637548798107,7.699517808478519
3752,딱좋다,7.988057640334621,7.780743248401104
1148,구리,7.793771168713512,8.266251064182805
13312,추가,7.779949476778339,6.873726153312279
12016,조만간,7.776978840197626,7.438791546015266
3736,따개,7.555415639943454,9.875688976616905
3182,덜,7.492535686258904,7.027876833139537
12522,지난번,7.3080983041618,7.483491724933173
2759,다마,7.223385620986111,8.148468028526423
10481,원하다,7.128322503033294,7.427921873778362
8202,스타일,7.087574815538411,7.3059434468918765
10212,요술,7.060057160465753,6.961302342516867
11820,접,7.049469628009056,7.245600316984408
