,단어,tf-idf,idf
10375,우유,153.78852703666774,6.8163952215731705
2839,단맛,151.6712280348942,5.515780147196643
8002,순하다,116.4965455053875,6.527980279905736
12684,진하다,105.02816320376184,6.018914445419238
2924,달콤하다,58.31787091884887,5.70419049062716
236,감미료,51.94161852087115,7.6854330685967795
9872,오늘,48.304842828416625,6.72938384458354
10286,용량,47.692414948075964,7.254650152504325
12390,중독,47.02876074935144,7.282301683834835
12506,지금,46.467209711805914,7.083757291533994
657,겨울,46.36149703377911,7.542332224956106
4800,매일,46.16877133494291,7.286985533147262
15553,흐르다,45.946172889606714,7.592031893508379
2650,늘다,45.59475658839945,6.185248241936017
106,가을,45.5315679121856,8.033157182015428
7628,세번,44.696803257428165,7.171814146925176
4805,매주,44.42785624727673,8.148468028526423
2247,냄새,43.80248292174958,6.751123831219946
14397,평소,43.413337371311165,6.563778285781516
14628,필요없다,42.9734878183924,7.263782636067598
1569,기다리다,42.49440743919808,7.2411059273965686
4269,리터,42.10581028782,8.115678205703432
10993,이틀,41.800752723978036,7.354972874132194
8903,아이스박스,40.66494570347872,7.427921873778362
6173,보관,38.90115621371414,6.798952918909828
5433,뭐,38.180912534047955,6.58682077992867
12775,짱,37.986209224896974,7.006370627918574
1550,기간,37.7355223210836,7.59842169160715
1892,꾸준하다,37.43622393074007,7.66467107714835
11838,정기,37.43279196944119,7.8360933434842694
11206,입,37.077996320176695,6.427687528756948
3189,덜하다,36.95887741270008,7.296419565380621
1740,깨끗하다,36.004744518994954,7.180217557721556
2044,나오다,35.45236994060491,6.692440329391856
529,건강,35.308027732850455,7.894687507750322
6968,사랑,35.28891302196801,7.227742699584401
12001,조금씩,35.10224572361554,7.401253626696201
14255,판매,34.88620306053292,6.737481054816159
947,곳,34.72284773977435,6.71074149377426
14373,편의점,33.34860196934344,7.788465294495015
3832,떨어지다,33.16676508931927,7.180217557721556
5363,문제,33.129307770283745,7.013488095687437
