,이름,해시태그
0,감홍로,#계피 #고급스럽다 #명주
1,금설,#금가루 #젤리 #금
2,증류주_더한매실원주_13도,#매실주 #매실 #매화수
3,도원결의 15도,#복숭아 #은은하다 #단맛
4,도원결의 25도,#복숭아 #은은하다 #시럽
5,도원결의 40도,#복숭아 #은은하다 #칵테일
6,박재서명인 안동소주 22도,#희다 #정종 #완벽하다
7,박재서명인 안동소주 35도,#누룩 #희다 #서명
8,박재서명인 안동소주 45도,#고급스럽다 #상자 #분도
9,서울의밤 17도,#은은하다 #매실 #레몬
10,서울의밤 25도,#매실 #은은하다 #레몬
11,안동소주 일품 21도,#은은하다 #깔다 #뒷맛
12,안동소주 일품 40도,#위스키 #깨끗하다 #완벽하다
13,고헌정 동학 1957 특선 13도,#사케 #단맛 #약주
14,양촌양조 무농약 우렁이쌀,#약주 #백세주 #완벽하다
15,오메기 맑은술,#제주도 #와인 #화이트와인
16,우포의아침,#사케 #드라이 #단맛
17,복순도가,#샴페인 #스파클링 #와인
18,배상면주가 느린마을 막걸리,#우유 #단맛 #순하다
19,죽향도가,#꿀 #단맛 #꿀맛
20,모주,#음료 #음료수 #진하다
21,술샘 이화주,#요거트 #특이하다 #과일
22,금이산농원 복숭아 와인,#복숭아 #와인 #달콤하다
23,덕유양조 산머루주,#머루 #와인 #진하다
24,배상면주가 빙탄복,#스파클링 #복분자 #와인
25,산내들 소백산 스위트 와인,#와인 #달콤하다 #포도
26,컨츄리 와인 영동포도 와인,#와인 #달콤하다 #포도
