date,star,text
2022-11-27,5,선물로 구입했는데 빠르고 안전하게 왔어요 감사합니다
2022-11-24,5,선물로 드렸어요 너무 만족하셨답니다
2022-11-22,5,포장 꼼꼼하고 고급져보임
2022-10-27,5,선물용으로 좋아요
2022-10-14,4,배송 빠르고 선물용으로 샀는데 좋아보입니다
2022-10-23,4,도수가 높아서 걱정했는데 드셔보신 분께서 좋다고 하시네요
2022-10-07,5,여행가서 먹을려고 아껴 두고 있습니다 포장이 잘 되어서 도착했습니다 감사합니다
2022-10-12,5,수업용으로 사용하기 위해 구입했는데 전통주라서 인터넷 구입이 가능 하네요상품 잘 도착 했습니다
2022-10-22,5,역시감홍로 죽입니다
2022-09-28,4,식당에서 먹어보고 너무취향이라 시켰습니다식당에서 시킨것보다 내용물이 좀 적은것같은 듯한데 느낌이겠죠
2022-10-01,5,선물 받으신 분이 좋아하십니다 ㅎㅎ
2022-09-20,5,배송빠르고좋아요ㅎㅎ
2022-09-16,5,독하지만 뒤끝없는 좋은술
2022-08-24,5,아직 맛은 못봤지만 기대됩니다
2022-09-09,5,선물로 샀는데 괜찮아요
2022-08-29,5,계피향이 나는 매우 맛있는 전통주입니다 잘 마실게요
2022-08-26,5,맛있어요 선물용으로 좋아요
2022-08-30,5,조아요 조아요 조아요
2022-08-29,5,상품 배송 모두 만족합니다
2022-07-28,5,쇼핑백까지 주시네요 선물로 딱입니다 ㅎㅎ
2022-07-25,5,한잔 마실때마다 향이 올라오니 좋네요
2022-07-15,5,선물했습니다꼼꼼한 포장 감사합니다
2022-07-01,5,아버지께 선물드렸는데 매우 좋아하셨어요
2022-05-30,5,선물햇구요 만족하시네요 감사합니다
2022-06-04,5,감사합니다 잘 마시겠습니다
2022-05-25,5,잘 마셨습니다 ㅎㅎ
2022-05-15,5,잘먹겠습니다 감사합니다
2022-04-16,5,총알 배송 굳안전 배송 굳굳선물용으로 딱이네요
2022-05-12,5,상품디자인 구웃 선물용으로쵝오
2022-04-11,5,감사합니다 귀한 술이니 만큼 귀한 시간 귀한 사람과 함께 하겠습니다
2022-05-07,5,맛있게 잘 먹었습니다
2022-03-26,5,아버지와 조선 3대 명주 먹어보기 중인데 역시 3대 명주중 최고라는 감홍로인것 같습니다
2022-03-29,5,처음먹어보는데 정말 맛있네요
2022-04-18,4,좋습니다ㅎㅎ잘먹을게요
2022-02-23,5,아주 맛있게 먹었습니다 포장도 꼼꼼히 보내주셨구요 상당히 높은 도수임에도 특유의 향과 맛으로 거북함이 없습니다
2022-04-01,5,선물받은 분이 좋아했어요
2022-03-26,5,술맛이 기가막힙니다 향도 굿
2022-02-24,4,부모님께 선물했어요 마음에들어하셔서 기쁘네요
2022-02-16,5,포장도 단단히 해서 보내주셨네요부모님 선물로 드릴려구요
2022-03-17,5,먹었보진 않았지만 맛있을것 같아요
2022-02-17,5,맛있어요이거좋아해요
2022-03-03,5,선물용으로 너무좋습니다 받으신분이 만족하시네요
2022-01-24,5,다행히 빨리 왔네요배송기사님이 그날 10시가 되도록저희꺼 딱 하나만 배송안해주셔서직접 찾아오긴 했는데아직 먹어보진 않았지만 기대중입니다병도 너무 이뻐요
2022-03-07,5,선물용으로 구매했어요 좋아요
2022-02-24,5,온 가족이 다 같이 먹기 너무 좋아요모임 있을때 한번 더 구마 하려고요
2022-01-26,5,배송상태 넘 좋구요 안에 확인해보니 감홍로도 안전히 왔네요  좋은 선물할게요  번창하세요
2022-02-10,5,선물로 드렸는데 매우 좋아하셨네요
2022-01-30,4,약주느낌 물씬나서 어르신들 좋아요
2022-01-14,5,첫 전통주인데 왜 이제야 알았을까요 올 설 선물로 돌려야겠어요 ㅋㅋ
2022-01-26,5,병도 너무 예쁘고 선물 받은 사람도 좋아합니다
2022-01-26,5,선물 드렸는데 좋아하시네요
2022-02-04,5,맛있게 잘 먹었습니다 재구매 의사 있습니다
2022-02-10,5,병이 너무 예뻐서 개봉두 못하구 있네요
2022-01-06,5,포장 사이언쓰담주에 선물할껀대 좋아했으면 좋겟어요꼼꼼하게 포장되서 아주 만족합니당
2022-02-08,5,선물로 최고에요
2022-01-29,5,포장도 선물용으로 꼼꼼하게 해주셨네요
2022-01-10,5,선물로 드렸더느 좋아하세요
2022-01-07,5,단체 주문했는데 배송관련해서 택배 파업에도 불구하고 사장님께서 직접 신경써주셔서 잘 받을 수 있었습니다 매우 감사합니다
2021-12-23,5,꼼꼼하게 포장되어서 왔네요 배송도 빠르구요다 마시면 또 주문할께요
2022-01-18,5,또 먹어도 너무 맛있음
2021-12-14,5,10년도 전에 전통주 축제에서 만난 이후로감홍로는 항상 제가 가장 사랑하는 전통주였습니다이번에 급히 필요한 일이 있었는데 다행히 시간에 맞춰 배송을 받았습니다의미있는 자리에 감홍로와 함께 할수 있어서 다행이었습니다항상 좋은 술을 즐길 수 있게 해주셔서 감사합니다
2022-01-13,5,부드러운 목 넘김  향이 좋습니다
2021-12-04,5,일단 병 자체가 너무 예쁘네요 도자기가 맛도 굳 추천입니다 선물로도요
2021-12-16,5,개인적으로 마셔본 전통주 중에 최고라 생각합니다
2021-12-28,5,전통주 배송되는거 짱조아요 선물 잘했어요
2021-12-07,5,오늘 지인들과의 연말 송년회자리에 가져갈겁니다 아주아주 기대가 됩니다ㅋㅋ
2021-11-24,5,2번째 주문인데 먹을때마다 향이 좋아 찾게되네요 좋은 술 보내주셔서 감사드립니다
2022-01-04,5,겨울에 따뜻하게 마시기 좋아요
