date,star,text
2022-11-20,5,포장 꼼꼼하고 안전하게 배송왔어요여러 종류의 증류식소주를 이렇게 손쉽게 먹을 수 있어서 좋았어요복숭아향이 부담스럽지 않고 맛있어요
2022-11-20,5,배송도 빠르고 포장도 매우 꼼꼼하게 와서 아주 만족합니다 아직 다 마셔보지는 않았지만 증류소주들이라 안봐도 좋을거라 생각되고 자주 이용할듯합니다
2022-12-01,5,무슨 안주를 준비해야할지오전인데벌써 설레네요ㅋㅋ
2022-11-26,5,종류별로사서 탄산수와 섞어먹으니 맛있네요또사러올께요
2022-11-19,5,아직 먹기전인데 한병씩 먹어볼께요기대됩니다너무 행복하네요다먹고 또 주문할께요
2022-11-29,5,포장도 좋고 배송도 빠르고 대만족입니다
2022-10-31,5,진짜 복숭아향이나고 맛이 부드러워서 도수가 쎈가싶으면 훅 속에서 뜨거워지네용 다른 리뷰같이 복숭아시럽맛은 아니고 복숭아향이많이나요 스트레이트로 못마실까봐 토닉워터 샀는데 스트레이트로 마셨네요ㅋㅋ 토닉워터넣어서 한번 마셔봤더니 완전 음료수 정도예요 술못드시는분들 강추ㅎㅎ
2022-11-01,4,앱솔루트 저렴이 버전이예요 달달한 못은 아닌데 향이 좋고  싼 앱솔루트 정도로 보시면 됩니다 가격대비 좋아요 포장이 너무 감동스러울 만큼 좋아요
2022-12-02,5,도수  한단계  높은걸로
2022-11-20,5,빠른 배송도 좋고 포장도 꼼꼼해서 좋아요
2022-11-16,5,25도짜리는 처음 주문 햤네요안먹어봐도 맛 날듯해요 ㅋㅋ
2022-11-18,5,아직먹어보기전인데 기대되요
2022-11-18,5,배송 포장 넘 꼼꼼하고 좋습니다 이제 여기서 계속 구입할것 같구요 품절 상품 바로 공지오고 하루이틀 딜레이 있었으나 가격도 좋고 만족합니다 다음에는 다른 것들 시켜보겠습니다
2022-11-28,5,한번먹고 맛있어서 친구들한테도 항상 선물해요
2022-11-29,5,가성비 좋고 맛난 술만 주문했으니당연 굿이겠죠ㅎㅎ
2022-11-11,5,배송이 빠르고 포장이 꼼꼼해요
2022-11-24,5,자주 애용하는 술마켓 빠른 배송부터 포장상태까지 최고입니다
