date,star,text
2022-11-22,5,표문 막걸리는 제가 제일 좋아하는 막걸리예요표문막걸리 런칭 첫 라이브 에서부터 편의점에 팔았을때도 마트에서도 지금까지 사서 마시는 막걸리입니다집이 지방인데 내려 갔을때도 마트에서 판매하길래 사서 가족들과 마셨는데 부모님이 옛날 막걸리 맛이 난다고 너무 좋아하셨어요역시 입맛은 다 똑같나 봅니다 역시 한강주조 이번에 오랜만에 라이브 한다길래 일주일 내내 기다려서 보고 주문했는데 후디도 당첨되고 너무너무 행복합니다후드 재질도 엄청 탄탄하고 기모도 있고 두껍고 정말 좋아요 잘 입고 다니겠습니다 너무 감사드려요도착한 막걸리 중 한병과 후드 사진 그리고 얼마전 마트에서 표문이 없어서 산 두번째로 좋아하는 나루생 막걸리 사진 올려요 막걸리는 한강주조 입니다 더더더 번창하세요
2022-11-22,5,와라이브 이벤트에 후디 당첨되었어요와 진짜 당첨될줄 몰랐는데 너무 기분이 좋네요후디도 엄청두껍고 고급집니다블랙색상에 꺄표문막걸리는 제가 가장 좋아하는 최애 막걸리랍니다그 어떠한 안주랑도최고의 궁합이쥬김장김치또는 굴보쌈하고 이번주에 가족들과 함께 먹어야겠어요 이런 이벤트 자주자주  해주세요선물받은 기분이네요 ㅎㅎㅎ표문은 사랑입니다소프하면서 크리미한 매력을 갖춘 표문막걸리 말해뭐해 ㅎㅎㅎ 빠른배송과 꼼꼼한 아이스팩 포장 최고입니다 한강주조 화이팅유통기한 넉넉하고 굿입니다ㅎㅎㅎ
2022-11-26,5,한강주조를 처음 알게된건 인사동 어느 고기집이었는데 부모님과 함께 간단히 마시려고 시킨 막걸리가 어찌나 부드럽고 맛있는지 취하지도 않는다며 기분좋게마셨던 생각이 들어 표문 막걸리도  주문했어요원래 막걸리는 자주 마시지도 않지만 탄산이 들어간 막걸리를 선호했는데 한강주조 마시거 나니 취향이 바뀌었나봐요 꾸릿한 누룩 막걸리 맛이 전혀 안나고 목넘김이 부드럽고 마신 후 뒷끝에 은은하고 달달한 바닐라 향이 입안을 감돌아요 음식이랑 같이섭취하면 모를수도 있어요 옴뇸뇸 꼭 꼭 첫잔은 음미해보시길
2022-11-28,5,축구경기 보며 마셨어요부드럽고 은은한 단맛이 너무 좋아요계속 생각나는 맛이네요 라이브 방송 자주 부탁드립니다
2022-11-24,5,가격이 많이 내렸네여곰표 막걸리 중독성있습니다쏘는맛없지만 부드럽고 맛있어요
2022-11-09,5,막걸리를 제대로 먹기 시작한건 지독한 장염에 걸렸을때예요 병원 치료와 의사쌤 권유로 유산균을 열심히 먹고 있는데도 2주가 지났는데도 낫질 않더라구요 그때 동생 전남친 현남편이 막걸리를 마셔보라는거예요 막걸리에 유산균도 많고 주정뱅이에게 2주는 길었기에 두사발 드링킹 했죠 다음날 어제와 다른 변고가 생기드라구요 그렇게 막걸리의 기적을 맛본후 지금까지 즐겨마시고 있지만 저 따라하진 마세요 장염에 알콜이라뇨 떼끼어쨌든 표문 막걸리 만세
2022-11-19,5,아이스팩도  넉넉히  들어있고  포장도  꼼꼼히  하나도  새지  않고  잘  도착했어요3번째  구매인데  막걸리는  너무  진하고  맛나요 ㅎ쉽게  구입하게  되서  넘  좋네요 ㅎ
2022-11-22,5,포장부터 잘돼서보내주고 표문막걸리 처음인데 기대가되네요에코백도 당첨되서 좋네요
2022-11-22,5,김장을 앞두고 주문한 한강주조 표문막걸리어찌나 배송도 빠른지 게다가 라이브방송 이벤트 당첨으로 한박스 더왔어요  너무너무 행복합니다 잘마시고 또 주문할께요
2022-11-26,5,넘 맛있네요단골될것같아요연말에 최애가될것같아요
2022-11-09,5,바나나를 품은 듯한 은은한 단맛에 약간의 시트러스한 맛마트에서 우연히 한병먹고 완전 반해버려 주문했습니다 이런 프리미엄 막걸리를 집으로 배달해 먹을수 있다니 너무 행복합니다 한강주조 사랑합니다
2022-11-26,5,달콤달콤 딱제입에맞네요 사이즈는작아요 귀요미
2022-11-23,3,너무 기대했나봐요ㅠㅠ 제스타일은 아니네요
2022-11-28,5,맛납니다 아스파탐이 진짜로 없는지 뒤끝없어요 머리 안아프고요 술술 잘 넘어갑니다 막걸리마니아로서 조금 싱거운 느낌
