date,star,text
2022-11-27,5,포장패키지부터 맛까지 완벽한 오메기술진하면서 부드럽고 약간은 달큰한 맛이였는데 목넘김이 너무 좋아서 계속 홀짝거리면서 먹게되더라구요 향도 풍미도 좋아서 다른 날 파티할 사서 지인들과 나눠먹고싶은 맛이에요회랑도 먹었는데 화이트와인같은 느낌도 있고 아주 일품이였습니다 좋은날 함께하는 술로 추천드립니다해당 리뷰는 업체로부터 제품을 제공받아 직접 체허후 솔직하게 작성한 리뷰입니다
2022-11-05,5,일단 효모가 죽지 않으면서 깨지지 않게 확실한 포장 너무 좋았고 아무래도 tvn 이번주도 잘부탁해에 방영되었던 업체라서 기대하게 되었는데 제주도 전통주 오메기술로 만든 술이라 향도 좋고 맛도 좋고 목넘김도 좋아서 기대만점이었습니다 ㅎㅎㅎ 제주고소리술을 빚으신 명인께서 만든 술이라 의미도 깊고 전통주선물로도 좋아보이는데 역시 많은 사람들이 구매한 술이라 믿고 구매했습니다 ㅋㅋㅋ 향이 정말 달고 맛도 달았는데 화이트와인 느낌도 나면서 술못하는 사람도 술술넘어갈거같은 느낌이었어요 무엇보다 이렇게 단데 첨가물 없이 만드셨다는게 신기하고 이맛에 전통주 구매하나봅니다 ㅋㅋㅋ해당 리뷰는 업체로부터 제품을 제공받아 직접 체험 후 솔직하게 작성된 리뷰입니다
2022-11-21,5,전에 다른 곳의 약주를 먹어보고 약주는 이렇구나 나와 잘 맞지 않구나 생각하며 피했어요 그러다 보니 약주를 마실 기회가 있어도 선뜻 마시지 않았던 1인 주변에서 약주 중에서 장성만리와 제주오메기맑은술이 투탑이라고 해서 반신반의해서 마셨는데 왜 이제야 마셨나 생각이 들더라고요ㅠㅠ 선입견으로 인해 맛있는 술을 놓칠 뻔한 1인입니다 술 이름 그대로 맑은 술 그 잡채 첨가물 0라 그런지 확실히 깔끔하면서 목 넘김 자체가 평소 마시던 술과는 차원이 달랐어요 매콤한 음식과 페어링도 좋고 술이 술술 들어가서 한병으로 너무 아쉬웠던 그런 술 두병 먹고 싶은 마음이 굴뚝같았지만 참아준 데일리로 마시고 싶은 그런 약주입니다 가격 대가 있는 게 아쉽지만 특별한 날 한번씩 사서 마실 거 같아요
2022-11-10,5,제주 고소리술 제주에서 유일하게 전통방식 그대로고소리로 만든 장기발효숙성을 통해 빚어져 맛이 진짜 진하고 부드러우며 달콤한 맛과과실향이 나는 귀한 술이네요모과향도 느껴지면서 부드럽고 깔끔한 뒷맛이느껴지더라고요크리스마스 다가오는데 홈파티에 마시고 싶네요오랜만에 맛있는 술로 기분좋게 잘 먹었던 제주 오메기맑은술이었어요
2022-11-26,5,왠만한 전통주를 마실만큼 마셔봤다고 생각을 했는데제주오메기맑은술은 또다른 신선한 충격이었어요식후 가볍게 육포와 페어링을 해서 즐겼는데 달콤한 맛과 향이 너무 매력적인 전통주였습니다 해당리뷰는 업체로부터 제품을 제공받아 직접 체험 후 솔직하게 작성한 리뷰입니다
2022-11-24,5,고소리 술과 함께 주문했어요오자마자 오메기술만 먹어봤습니다 제가 느낀 맛은 이렇습니다끈적한 달달함과 사과과실주 같은 향에 놀랐어요 제 기준에서의 산미는 과실주 느낌이 나는 정도로 적고 알맞아서 너무 좋았어요 산미가 있다는 다른 리뷰를 많이 봐서 묵은 막걸리의 그런 걸 생각했었는데 전혀 아니었요 누룩의 향도 없으면서 입에 감기는 감칠맛은 분명 누룩의 영향이겠죠향은 다르지만 캐나다 아이스와인과 살짝 느낌이 비슷했지만 오히려 아이스와인보다 덜 달아서 적당하고 알콜느낌도 없으면서 적당히 취기도 올라오구요 여성분께 강추드립니다 연인 간에도 좋겠어요
2022-11-27,5,이번에 배송오류가 있었는데 신속하게 대처해주시고 매우 죄송해하셔서 되려 제가 민망하네요시댁어른께 충분히 대접해드리지 못하고 맛만 보시는 정도로 끝났지만 너무나 만족스러워하시고 감동스러워하셔서 기뻤습니다 이 맛 변치 않았으면 좋겠습니다 sweet한 주류 중에 탑급 아닌가 싶습니다
2022-11-10,5,포장 꼼꼼히 해주셔서 파손없이 잘 받았고선물용 박스도 동봉되어 있었어요가벼운 스타일일거라 생각했는데바디감이 제법 묵직하더군요 누룩의 효모향이 넘 좋았어요ㅎㅎ
2022-10-18,5,도수가 16도인데도 목넘김이 굉장히 부드러웠어요 은은한 단맛이 깊게돌아서 독주느낌도 크게 안들면서도 가볍지도 않아서 좋았어요 여럿이서 식주로 나눠먹었는데 다들 술맛 너무 좋다고 너무 잘 마셔대서 오히려 술이 부족할 정도였네요 ㅎㅎ선물용으로 진짜 좋았어요 재구매할만 합니다해당 리뷰는 업체로부터 제품을 제공받아 직접 체험 후 솔직하게 작성한 리뷰입니다
2022-11-04,5,포장이 진짜 꼼꼼하고박스도 젖지않게 포장되어 왔어요알콜향이 많이 나지않고 은은한 단맛에향이 좋고 목넘김이 좋아요모든음식에 다어울릴것같아요귀한술 대접받는 기분이에요손잡이가 달린 박스도 선물용으로도 좋을것 같아요해당 리뷰는 업체로부터 제품을 제공받아 직접 체험 후 솔직하게 작성한 리뷰입니다
2022-11-25,5,잘 받았습니다 배송에 문제가 있어서 연락드렸더니 ㅎㅎ 친절하게 잘 해결해주셨습니다ㅎㅎ 아직 마셔보진 못했지만 기대됩니다 ㅎ
2022-11-05,5,배송도 꼼꼼하고 전통주 에 맛을 재대로 느낄수 있었어요 목넘김이 부드럽고 달콤한 은은한게 화이트 와인을 먹는 느낌 이랍니다 입 안에 머무는 향까지 완벽해서 식전주나 간단한 식사에 딱 잘 어울리는 오메기 맑은술 너무 좋네요
2022-11-06,5,여러 종류을 술을 마셔보고 새로운술을 마셔보는게 즐거움인 1인인데 오메기술 알콜도수 부담없고 이름처럼 정말 맑네요 첫맛은 달달하고 뒷향은 과일향이 느껴져서 잔을 계속 채우고 싶어져요 요즘 절주로 마시는날  23잔 먹는데 요거는 남편이랑 극찬하면서 한변 다비웠네요 ㅋ
2022-10-24,5,도수가 낮지 않은데도 불구하고 목넘김이 부드러웠어요 술을 잘 못하는 사람도 즐길수 있는 향이 좋고 부드러운 전통주이고 패키지가 깔끔하고 고급스러워서 선물용으로도 좋은제품 같아요 해당 리뷰는 업체로부터 제품을 제공받아 직접 체험후 솔직하게 작성한 리뷰입니다
