,0,1,2,3
0,맛있다,5.3667397373501595,아니다,-3.6583655337347367
1,좋다,3.1367610783615607,별로,-3.384682447818589
2,최고,2.6540613082481213,시큼하다,-3.178910127716295
3,잇다,2.3445223183410286,그냥,-3.107501772458313
4,부드럽다,2.3165211334426488,셔,-3.0938184757800875
5,꼼꼼하다,2.068515322758357,밍밍,-2.958018521772605
6,역시,2.0301695942407236,실망,-2.768677659215181
7,만족하다,1.988571775713822,식초,-2.6808566070973003
8,적당하다,1.8692740429287265,신맛,-2.654456002438325
9,선물,1.517709416581199,맛없다,-2.619518718624531
10,자주,1.467167430487545,달다,-2.2864575155987485
11,복,1.4341408326601826,기대하다,-2.237880283516813
12,순도,1.334242308401297,루,-2.181831794021783
13,항상,1.3329448965746715,상한,-2.0607120690898144
14,와인,1.3319689696501427,입맛,-2.0020818253609023
15,부담,1.2969687225056332,대비,-1.9463209534590393
16,꼭,1.2026690844360965,상,-1.9076334656271718
17,귀엽다,1.1639395922572309,물탄,-1.822952527050014
18,성공하다,1.1589842567427813,밋밋하다,-1.7798379800097348
19,드디어,1.1384165722174036,심하다,-1.765574944919876
