date,star,text
2022-11-25,5,맛있어요 전에도 사서 마셨는데 맛있습니다
2022-11-24,5,항상 복분자주는 여기서 사먹네요 안 독하고 깔끔합니다
2022-11-12,5,저번에 대형마트에서 발견해서 먹어봤다 맛있어서 온라인 구매했어요 주변에서 많이 팔면 좋겠네용 그정도로 음료수같이 맛있어요
2022-11-24,5,지인한테 선물받아 먹어보니 너무 맛있어요먹어본 복분자술 중에 단연  최고에요너무 과하지않은 스파클링에 향도 좋고 기분좋게마시기 딱 좋아요 
2022-11-25,5,잘받았어요잘쓸게유
2022-11-24,5,맛있어서 종종 주문하는데 아이스박스에 안전하게 왔어요
2022-11-26,5,포장도 뜯기 쉽게 바꼇내요굿
2022-11-16,5,맛있어요 탄산맛이 편하게 마실수있는 정도라 좋아요
2022-11-25,4,맛잇어요ㅎ적당히들어가는맛
2022-11-26,5,맛있고 술술 넘어가는 술이요
2022-11-24,5,항상 구매하는 제품입니다가격이 좀 올랐네요
2022-11-22,5,한병씩 먹으면 좋을거같아요 빨대도 동봉되있고 만족합니다 맛있어요
2022-11-25,5,맛있어요 식당에서 먹어보고 바로 구입합니다부담없이 먹기좋아요
2022-11-16,5,복분자주 오랜만에 먹는데 맛있어요
2022-11-14,5,배송 꼼꼼하고 맛있어요
2022-11-23,5,진짜 맛있구요 동네방네 소문내는 중 입니다
2022-11-23,5,맛있어요 저녁식사와 함께 곁들일 와인처럼재구매각입니다
2022-11-24,4,적당히 달고 맛있어요 또 주문할게요
2022-11-06,5,아주아주 맛있어요 ㅎㅎㅎ 재구매의사 100
2022-11-10,5,맛있고 맘에드는술
2022-11-24,5,너무 맛있어요마트에도 팔면 좋겠어요ㅜㅜ
2022-11-15,5,여섯병 다먹고 다시 주문하러와서 리뷰쓰네용홀짝홀짝 마시니 한병 금방입니다ㅎㅎ고기랑 잘어울려요
2022-11-25,5,부담없이 먹기에 맛있어요
2022-11-19,4,먹을만 하네요  쎄지않고 편하게  먹기 좋네요
2022-11-25,4,부모님 선물 드렸는데 좋아하시네요ㅎㅎ
2022-11-20,5,자주 주문해요 필수 템입니다
2022-10-12,5,우연히 지방 전통주점에서 알게되어서 마셨는데 알쓰에겐 정말 딱 적합한 술이지않나싶습니다 만들어주셔서 감사합니다 탄산이 있어 더 가벼워 좋아요
2022-11-22,5,약한도수에 깔끔함 부모님이좋아하시네요
2022-11-25,5,상품과 배송 모두 만족합니다
2022-11-19,5,탄산이 있에 맥주처럼 가볍게 마시기 좋음
2022-10-13,5,가격이 조금 올랐는데도 너무 맛이 있어서 자주구매합니다저녁에 잠자기전에 하루1병씩 마시기 적당한 양이예요개인적으로 포도주보다 마시기 편하고 좋아요
2022-11-21,5,배송빠르고 상품만족합니다
2022-10-26,5,맛있는 술친구네 주문해서 보내주고 저도 다시 주문했네요 살짝 아쉬운 건   고급지고 맛있음에도 병이 살짝 투박스러워서 병 디자인에서 선물이나 특별한 날 꺼내놓기가 멈칫 병디자인 변경 계획은 없으신지 조심스레 건의 드려봅니다
2022-11-05,5,스티로폼박스가 깨져서와서 혹시나 술깨졌을까 걱정했는데 다행히 잘 오고 술도 맛있어서 다들 좋아해요
2022-11-08,5,맛있어요 다음에 또 주문해야겠어요 다음에는 12병 주문해야겠어요 ㅋㅋㅋ
2022-11-08,5,스트로폼 박스에 파손없이 왔어요 맛있어요
2022-11-02,4,동생 선물로 줬는데 전에 먹어본것이라 너무 좋아함한번에 마시기에 적당한 양으로 스파클한 느낌 많이 나 좋음
2022-11-15,5,너무맛있어요  또시켜야겠어요
2022-11-01,5,맛은 진짜 맛있어요 사이다랑 소주 섞은 느낌인가
2022-10-21,5,배송도 빠르고 맛있네요
2022-11-05,5,배송 안전하게 잘 받았어요 기대되네요
2022-10-13,5,술 잘못하는 사람에게 딱 좋네요 ㅎ
2022-11-08,5,포장도 꼼꼼하고 배송도 빨랐습니다
2022-11-16,5,잘받았습ㄴㅣ다
2022-11-04,5,맛있을거 같아요 포장 꼼꼼해요
2022-11-06,5,늘 맛있어서 주문하는 상품입니다 
2022-11-02,5,맛있어요 맛있어요  조아요
2022-09-30,5,맛있어요 빨대도 챙겨주셔서 잘먹었네요 재구매의사 있습니다
2022-10-11,5,정기적으로 시켜먹는 빙탄복 배송 엄청 빠르고 좋아요
