,단어,tf-idf,idf
10381,우유,153.6984639475626,6.8163952215731705
2840,단맛,151.2055542678342,5.515780147196643
8007,순하다,116.44117347230193,6.527980279905736
12690,진하다,104.98125451089078,6.018914445419238
2925,달콤하다,58.19317756626676,5.70419049062716
236,감미료,51.62057185236438,7.6854330685967795
9877,오늘,48.28326949998652,6.72938384458354
10292,용량,47.25161757684428,7.254650152504325
12396,중독,47.02876074935144,7.282301683834835
12512,지금,46.44739690903645,7.083757291533994
657,겨울,46.33018761341963,7.542332224956106
4804,매일,46.16206666447581,7.286985533147262
15561,흐르다,45.926066440082934,7.592031893508379
2651,늘다,45.59362652543756,6.185248241936017
106,가을,45.51462984879824,8.033157182015428
7633,세번,44.609173698280955,7.171814146925176
4809,매주,44.42785624727673,8.148468028526423
2248,냄새,43.331961600296026,6.751123831219946
14404,평소,43.22718120194033,6.563778285781516
14636,필요없다,42.9734878183924,7.263782636067598
1569,기다리다,42.48309042050697,7.2411059273965686
4273,리터,41.94772467890541,8.115678205703432
10999,이틀,41.78660829866548,7.354972874132194
2945,담,41.11384400475665,6.603272384820675
8908,아이스박스,40.49384884499397,7.427921873778362
6177,보관,38.8061067745761,6.798952918909828
5437,뭐,37.981143567858794,6.58682077992867
12781,짱,37.9779977988743,7.006370627918574
1550,기간,37.71427003587121,7.59842169160715
1893,꾸준하다,37.43622393074007,7.66467107714835
11844,정기,37.295597221212596,7.8360933434842694
11212,입,37.064370977374395,6.427687528756948
3192,덜하다,36.700616991411025,7.296419565380621
1740,깨끗하다,35.96903779708929,7.180217557721556
2045,나오다,35.39686266854454,6.692440329391856
6972,사랑,35.28402397198103,7.227742699584401
529,건강,35.27372089859053,7.894687507750322
12007,조금씩,35.061629922322254,7.401253626696201
14262,판매,34.73880399246625,6.737481054816159
947,곳,34.32571359154959,6.71074149377426
14380,편의점,33.32329301593908,7.788465294495015
3836,떨어지다,33.16676508931927,7.180217557721556
