date,star,text
2022-11-27,5,너무 고급스럽고 예뻐서 친구에게 생일선물로 보내줬는데 엄청 좋아해서 제가 다 뿌듯했습니다친한 친구라서 고르고 골라서 준건데 너무 좋아하니 저까지 기분이 좋네요주변 사람들 기념일 선물로 전해주면 너무 좋을 것 같습니다
2022-11-12,5,조명도 같이 들어있네요이뻐요감사합니다
2022-10-13,5,와이프와 어느 때와 같이 시간을 보내고 있는데 처음 금설을 보고 선물용으로 딱 이거다 싶어서 바로 5병을 구매했답니다항상 누군가에게 선물을 할 때 며칠을 고민하는데 당분간은 선물 걱정이 없어졌네요 택배 받자마자 장인어른과 함께 한 병 했답니다 맛도 너무 훌륭하네요 기분이 좋아지는 맛이었습니다 다 소진하면 꼭 재구매해야 되겠네요
2022-11-09,5,선물드릴려고 구매했는데 예뻐서 좋아하실거같은데 맛도 좋으면 좋겠네요 기대합니다
2022-11-28,5,빠른 배송부터 안전하게 포장되어왔고크기는 생각보다 조금 작은 느낌이지만 너무 좋았습니다
2022-11-15,5,포장도 선물하기 좋게 왔고 맛도 괜찮아요
2022-11-17,4,어른들께서 무척좋아하셨습니다
2022-11-08,5,선물할건데 잔도 넘 이뿌네여 합격
2022-11-01,5,선물했는데 받는애가 좋아하네요 선물로 딱인거같아요 ㅎㅎ번창하세요
2022-11-16,5,led켜면 더 예뻐서 먹기힘들겠아요ㅠ
2022-11-14,5,선물 잘 했습니다
2022-11-21,5,선물보냇는데 좋아하네요 선물용으로 좋을듯합니다
2022-10-30,5,배송도 빠르고 좋아요 
2022-11-21,5,사진은 못찍어서 아쉽지만 너무 괜찮았어요
2022-11-11,5,선물로ㅠ샀어요 맘에 들어하셨고 고오급스럽습니다
2022-11-16,5,선물용으로 자주 준비합니다 만족률 100
2022-09-12,5,배송도빠르고 사은품으로 주신 잔도 예쁘네요금가루가 예뻐서 선물용으로 주문한건데 조명까지 있어서 더 좋았어요 실수로 살짝 깨뜨려 제가 마셨는데 패키지는 럭셔리인데 맛은 막걸리같은 곡주라 더 맘에 들었어요깨뜨리는 바람에 제입은 호강했는데 선물용은 추가 주문 해야되네요
2022-11-11,5,너무고급져요 선물용으로 딱입니다
2022-10-11,5,선물용으로 준비했는데 파티성공이에요 잔에 금가루도 은은하게 가라앉아서 예쁘더라구요
2022-11-05,5,너무 이뻐요 잔도 주셔서 감사합니다
2022-11-19,5,선물용으로 좋습니다
2022-10-26,5,빠른 배송 감사합니다
2022-09-23,5,선물용으로 샀는데 확실히 예뻐보여서 만족스러웠습니다 포장이 정말 꼼꼼하게 되어 있어서 감동했어요 좋은 상품 감사합니다
2022-10-30,5,술좋아하는 지인이 있어서 선물해서 맛 후기는 못남기네여 ㅎㅎ 후기도 좋아서 기대하고 있습니다
2022-10-16,5,자꾸 생각나네요 다음 기회가 되면 재구매하고싶어요
2022-11-11,5,술마실때 분위기 있어 좋아요
2022-11-10,5,선물로 보냈어요 만족합니다
2022-10-08,5,선물 드리려고 구매 했는데 포장 엄청 꼼꼼해요  배송도 빠르구요 ㅎㅎ 받으시는 분이 좋아하실거 같네요 
2022-09-23,5,추석때 부모님과 함께 마셔봤어요 목넘김도 부드럽고 맛있었어요조명도 함께 들어있어서 분위기도 더 좋았어요조명 사진을 못찍어서 아쉽네요 너무 예쁘고 좋았는데
2022-11-05,5,선물을 드렸는데 지인분이 정말 좋아했어요
2022-11-07,5,꼼꼼하게 잘포장되서 왔어요
2022-10-02,5,선물로 드렸는데  너무 만족하셨어요불끄고 조명켜니 진짜 이쁘네요
2022-09-15,5,선물하려고 구입했는데 받으신 분이 좋아하셨어요 술잔도 깔끔하고 마음에 들어요 포장도 꼼꼼하게 해주시고 배송도 빠르고 너무 만족합니다
2022-09-25,5,선물용으로 구매했어요 아직은 마셔보진 않았구요 포장용 봉투랑 잔까지 들어가있어서 좋네요
2022-11-09,4,가격도 품질도 적당
2022-10-27,5,지인분한테 선물로 사줬는데 맛도 괜찮고 보기도 예뻤다고 해요
2022-09-13,5,남자친구 가족여행에 선물로 2병 보내드렸어요 사진을 넘 못찍어서 안이뻐보이지만 실제로는 진짜 이뻐요 가족분들 다 마음에 들어하셨다고 하니 기쁘네요  저도 다음에 놀러갈때 한번 더 구매할게요
2022-10-05,4,선물이라 맛은 모르겠네요 아담한게 예쁩니다잔도 예쁘구요
2022-09-29,5,선물용으로 최고의 술입니다 정말 좋아해요
2022-10-17,5,배송도 빠른 편이고 선물용으로 아주 좋습니다 너무 이쁘고 고급스러워 보여요
2022-10-02,5,선물로 준비했어요 좋아할 듯 합니다
2022-10-05,5,맛보지는 못했지만 기대하고 있습니다
2022-10-22,5,선물한거라 안마셔봤지만 넘 좋아하네여
2022-09-13,5,선물용으로 드렸고 디자인 너무 마음에 들어서 샀는데 너무 좋아하셔서 다행이에요 배송도 빨리보내주셔서 감사했어요
2022-09-13,5,포장도 엄청 꼼꼼하고 잔도 주실 줄 몰랐는데 잔도 같이 왔어요 선물용으로 주문했는데 엄청 좋아하시네요
2022-10-27,5,선물하니 좋아합니다
2022-10-20,5,선물이라 안먹어 밧는데 너무 이뻐여
2022-10-14,5,선물로 드렸는데 너무 좋아하네요 감사합니다
2022-09-20,5,선물했는데 아주 좋아하네요 배송도 빠르고 굿입니다
2022-09-29,5,포장 꼼꼼하고 빨리왔어요
2022-09-24,5,네 잘 받았어요 그리고 이 같은 느낌 아니까
2022-09-30,5,술 맛 좋고 예쁘네요
2022-10-19,5,선물했는데 좋아하셨어요ㅋㅋ
2022-10-10,5,배송도 빠르고 보기에도 좋고 보기에 좋은게 먹기도 좋은법이니까요
2022-09-27,5,친구선물주니까 좋아합니다
2022-10-19,5,선물용으로 좋아요
2022-10-13,5,선물용으로 구매했는데 잘 먹었다고 연락받았어요 ㅎㅎ
2022-09-22,5,배송빠르고 상품 좋습니다 많이파세요
2022-09-07,5,사무실 추석선물로 하나씩 돌렸어요맘에 들어요많이 파세요
2022-10-13,5,감사햐요ㅎㅎㅎ잘마셔요
2022-09-18,5,선물용으로 사서 맛은 잘모르겠지만 좋아요
2022-10-05,5,보기너무이뻐서 맛도좋았던거같아요
2022-10-13,5,맛좋고섬물젛고향좋고
2022-10-03,5,이벤트용으로 최고에요 핵인싸됐다는ㅋㅋ
2022-10-08,5,선물했는데 좋아하셔서 기뻤습니다
2022-09-12,5,술이 예뻐서 어른들이 좋아하세요이번 명절 때 예쁨 많이 받았네용 
2022-09-25,5,선물용으로사서 맛은 모르겠어요도자기잔도 주시고뽁뽁이포장도 꼼꼼했습니다
2022-09-03,5,선물용으로 구매했어요 꼼꼼한 포장이라 파손걱정없어요 사은품으로 잔 감사해요3병인데 2잔만 주셔서 당황했어요 실물이 더 예뻐요
2022-08-04,5,선물이라 맛을 못 보았지만 깨지지 않고 무사히 잘 도착하였고 병 속의 금 가루들이 움직이는 것을 보니 고급지네요 하지만 아쉬운 점은 박스 디자인이 좀 더 고급지게 보였으면 좋겠다고 생각합니다 박스에 구멍이 없이 검은색 보다는 밝은 색으로 뭔가 고급지면 한번 감동 받고  열었을 때 금 가루가 움직이는 모습이 보이면 또 한번 감동이 될 것 같아요주관적인 생각이라 ㅎㅎ 선물로 주신 작은 잔 귀엽고 좋네요
2022-07-30,5,아들이 아버지생신선물로 준비해 줬습니다처음 아들한테 받아보는 선물이라 먹어보지 못하고 전시용으로 고이 넣어놨습니다아까워 먹지 못 하겠네요나중에 아들과 함께 먹을겁니다불빛도 나오니 더 멋지네요술잔도 함께 왔어요
2022-08-30,4,도수가 생각보다 쎄네요ㅋㅋ 불빛나게 하는거 있는줄몰랐는데 생신선물로 드렸더니 좋아하세요
2022-09-22,5,추석선물로 샀는데 반응이 좋아서 추가 주문했어요 많이파세요
2022-08-28,5,선물용이라 마셔보지는 못했어요깨지지 않게 꼼꼼히 포장되어 왔고 서비스로 주신 술잔도 귀엽네요
2022-09-03,5,진짜 좋아요ㅎㅎ다음에 또 구매할게요ㅎ
2022-09-07,5,저 사고 괜찮아서 선물로 보냈더니 좋아합니다 만족스럽네요
2022-08-26,5,포장상태 꼼꼼해서 안심하고 받았습니다ㅎㅎ금가루가 들어있는게 매력적이네요
2022-09-23,5,금빛이나서 고급스럽네요  선물용으로 좋아요
2022-09-07,4,선물하기 좋을거 같아요안전하게 배송와서 좋아요
2022-08-14,5,선물용으로사서 먹어보지는못했어요 근데너무예뻐요
2022-09-09,5,배송과 품질 그리고 가격 대 만족
2022-09-03,5,조부모님 팔순 기념으로 선물해드렸는데 엄청 좋아하셨어요
2022-09-03,5,선물용으로 샀는데 안에 금설용 조명도있고 좋아요
2022-09-23,5,지인에게 선물했는데 매우 좋아하심 선물용 모임용으로 굿굿입니다 ㅋㅋ
2022-09-19,5,시부모님께서 이런 술 처음보신다고 며느리덕에 이런것도 먹어본다며 좋아하셨어요
2022-08-23,5,신혼인 친구에게 보냈더니 금술이 더 좋아질거 같아요 금설이 금술이 되었어요 ㅎ다음엔 허리에 좋은술 보내줘야겠어요
2022-08-28,5,예쁜 잔과 선물용 종이가방까지 주셨네요고맙습니다
2022-08-19,5,좋은날 좋은사람들과 
2022-08-23,5,포장 완전꼼꼼하고 예상치못한 전용술잔도 함께와서 선물하기 너무 좋을 것 같아요
2022-09-14,5,선물받은 사람이 정말 만족했습니다구우웃
2022-09-14,5,착한 가격에 좋은 선물 할수 있어서 좋아요
2022-08-24,5,음음음선물용 최고입니다포장도 짱입니다
2022-09-20,5,선물용으로  좋아여예쁘고
2022-08-04,4,선물용으로 주문했어요 포장도 꼼꼼하고 마음에 들어요생각보다 사이즈는 작습니다ㅎㅎ그래도 예뻐요
2022-08-27,1,포장 택배가 막걸리인데거꾸로 담고 옆으로 담고 원래 이런 포장인데속인건가요그래서 뚜껑으로 쏠려 떨어지지도 않네요다신 시키지 말란 뜻으로 이해하겠어요
2022-08-24,5,추석때 마셔보려고 주문했어요
2022-08-14,5,금가루가보여요선물하기좋은 제품입니다
2022-09-05,5,포장도 잘되어 있고 배송도 빠르고 제품도 마음에 드네요
2022-07-28,5,아빠 선물로 드릴 거라 먹어보진 않았지만 너무 예뻐서 좋아하실 것 같아 기분이 좋네요 ㅎㅎ 주신 잔도 너어무 맘에 들어요 많이 파세요
2022-08-31,5,선물받은분이 넘좋어했어요 담에또시킬게영
2022-07-27,5,파손없이  잘왔습니다 금색가루가  너무이뻐요 아직 마셔보진않았지만 이번주말에 개시할꺼라서 먹어보고 다음에 주문더 넣겠습니다
2022-07-31,5,배송도 빠르고 구성이 좋아요 할아버지 팔순 선물로 준비했는데 완전 만족
2022-09-03,5,금가루 술중에 최고에요
2022-09-07,5,섡물용으로 정말 좋은  
2022-09-01,5,예뻐서 기념일에 먹으면 좋아요 ㅎㅎ
2022-08-15,5,선뭉했어요 만졷하네요
2022-07-30,4,금설 병이 너무 이쁘네요 맛은 아직 안마셔봐서 모르겠지만 선물하기에 좋아요
2022-08-14,5,선물용으로 구입했어요
2022-08-04,5,좋은가격에 좋은술이네요선물하기좋습니다
2022-07-14,5,아버지 생신 선물로 사드렸는데 금가루가 들어 독특하면서도 술병 바닥에 붙일 수 있는 후레쉬를 같이 보내주셔서 좋은 경험 했습니다 35도지만 부드럽게 넘어갑니다ㅎㅎ
2022-08-15,5,어우 도수 안보고 먹었다가 목이 타 들어갔어요 그래도 이쁘고 선물용으로도 좋아요
2022-08-24,5,좋아요좋아요좋아요좋아요
2022-08-26,5,선물받으신분이 너무 좋아하셨어요
2022-08-23,5,행사에 사용하려고 구매했는데 조명도 큰몫을 하네요 좋았습니다
2022-08-26,5,도수가 있어서 양주보다 더 쓴것같아여
2022-08-24,5,선물로 준비했어요참 좋은선물 같아요
2022-08-27,5,조명 신박한 느낌 좋아요
2022-08-16,5,선물용으로 구매했습니다 받으신 분이 매우 만족하여 선물을 준 저또한 기분이 좋네요
2022-08-18,5,문배보다 길이가 작아짧아서ㅋㅋ양이 쬐끔해보여요
2022-08-09,5,금빛가루도 예쁘고 맛도 있고 led등 켜면 분위기도 짱짱  또 구매할게요 
2022-08-03,5,병이 투명해서 안에 금가루가 이쁘게 날리고 조명까지 켜주니 너무 이쁘네요 선물해서 먹어보지는 못했지만 병이 스노우볼 느낌이라 아까워서 못먹을듯해요
2022-08-10,5,친구 어머님께 선물로 드렸어요 좋아하셔용
2022-07-27,5,선물용이에용 좋아오용
2022-08-09,5,선물용으로 구매했어요 감사합니다
2022-08-01,5,생일 선물로 줬는데 만족해서 다행이에요예쁜 술에 잔까지 구성이 좋네요
2022-08-04,5,비주얼 최고에요 선물용으로 추천
2022-07-23,5,선물겸 주문했는데 진짜 맛있다고 하네요 보기에도 예쁘고 목넘김도 좋다고 해서 다행이에요
2022-07-13,5,선물로 산건데아직 개봉전이라 맛도 좋았으면 하네요
2022-08-02,5,선물용으로 샀는데 먹어보지는 않았지만 비쥬얼이 넘 이뻐요
2022-07-17,5,가족모임에 아버님 선물로 들고갓는데 사실 혼자 드신다고 들고가셔서 맛이랑 목넘김은 모르겠습니다 그런데 좋아라하셔서 별다섯개입니당
2022-08-05,5,배송빠르고 선물 받으신분도 좋아하심니다
2022-07-29,5,이뻐서 시댁에 드릴려고 구매했어용 이런 술은 못보셨을것 같기에ㅎㅎ
2022-07-28,5,선물용으로 구매했는데넘 좋아했어요담엔 제껄 구매해야겠어요
2022-07-24,5,선물용으로 샀어요금이 눈에 보여서 좋아요
2022-08-05,5,저렴하게 잘 샀습니다
2022-07-29,4,일단 반짝이는 금가루와 조명이 먹고들어갑니다
2022-07-22,5,부모님이랑 같이 먹으려고 샀어요 선물하기에도 좋을거 같아요
2022-07-21,5,반짝반짝 눈도호강하고인삼주가진해서 맛도좋았어요
2022-07-12,5,좋아요좋아요좋아요 좋아요좋아요좋아요
2022-07-22,5,외국인 친구에게 선물 해 주었는데 금가루가 반짝여서 좋아하더랍니다 ㅎㅎ
2022-07-18,5,선물하려고 샀어요 맛은 제가 안마셔서 모르겠지만 술이 이뻐요 ㅋㅋ
2022-08-26,5,
2022-07-09,5,물건 잘받았습니다
2022-07-31,5,맛있네요 ㅎㅎㅎ
2022-06-28,5,선물용으로구입했어요 고급스럽고 배송빠르고 좋아요
2022-06-02,5,어버이날 선물로 드렸는데 아주 좋아하십니다 관상용으로도 좋고 맛도 좋아서 선물로 제격입니다
2022-06-22,4,사이즈가 귀엽네요 생각보다 ㅎㅎ선물용인데 잔도 같이와서 드리렵니다
2022-07-23,5,배송 빠르고 좋아요
2022-07-17,5,선물했는데 받으신분이 아주 만족했습니다
2022-07-15,5,항상만족하고 선물용으로도 좋아요
2022-07-16,5,잔도주시고이쁘고선물용으로좋아요
2022-06-28,5,챙겨가면 바로 인싸되는 금설입니다
2022-06-28,5,잠자버려서 맛을 못봄 ㅠㅠ 그러나 너무 이쁘고 인스타용 술로 딱 단점은 여름에 차게해서 먹으면 병에 습기때문에 잘않보임 불빛 깜빡이는건 삭제하고 불빛의 강도 조절로 바뀌었으면함
2022-07-20,5,완전 고급지고 이뻐요
2022-06-28,5,배송 빠르고 좋습니다
2022-07-10,5,어머니  생신날 가족들과 좋은음식과 좋은술로 즐거운 하루를 보냈습니다
2022-07-06,5,아직 먹어보지는 않았지만 일단은 정말 꼼꼼히 포장해서 보내주셔서 깨짐없이 받았습니다
2022-08-01,5,좋아요좋아요 선물할라구삿슴당
2022-06-23,5,이벤트로 하기 딱 좋아요
2022-06-27,5,잔에 따르면 반짝반짝 너무 이뻐요같이 들어있는 잔도 이쁘구요 도수는 높지만 맛있어요
2022-06-20,5,선물용으로 좋아요 굿
2022-06-21,5,선물용으로 샀어요 이뿌네요
2022-06-24,5,배송 빠르고 잔도 챙겨주시고 술은 제가 좋아하는 것들만 사서 너무 좋습니다 감사합니다
2022-06-29,5,술 좋아하는 친한 오빠 선물로 줬는데 좋아하네요 
2022-07-28,5,너무너무맛잇어요
2022-05-14,4,달달하고 목넘김이 참 부드럽네요특히 동봉해주신 불빛쏘는 장치로 금가루 제대로 즐길 수 있어서친한 분들과 좋은날 마시려고 몇 병 저장해놨습니다
2022-07-02,4,금설  진짜 예뻐요
2022-06-06,5,어버이날 선물로 좋아요
2022-06-23,5,물건조아요배송조아요
2022-06-05,5,빠른 배송덕에 아빠생신이 즐거웠어요
2022-05-16,5,선물용으로 진짜 좋았요 매번 구매하고 있습니다
2022-06-24,5,배송도빠르고 만족합니다
2022-06-11,4,흔들흔들 해서 보니 금가루가 눈처럼 너무 이뼜습니다인삼주라서 목넘김도 좋았고 35도라 좀 강했습니다다시 구매하고 싶어요
2022-06-25,5,배송도 빠르고 술도 이뻐요
2022-06-22,5,신랑이 회식용으로 자주 사달래요
2022-06-15,5,병하고 술도 이쁘고 알콜향이 많이 안나요
2022-05-23,5,가족들이랑 즐거운 파티를 할 수 있게 해주는 술금이 팔락팔락 ㅋㅋ
2022-05-13,5,맛있어요 진짜 그리고 디자인이 진짜 이뻐서 감격이에요
2022-05-05,5,술 좋아하시는 부모님께 어버일날 선물로 드렸어요 좋아하시네요 다음엔 다른 것도 여기서 시켜보려구여
2022-05-23,5,선물용으로 구매했어요 배송도 빠르고 이쁘네요 받은분이 좋아했어욤
2022-05-07,5,어버이날 부모님과 마시려고 샀어요 사이즈가 자긴 한데 이벤트용으론 좋아요
2022-05-10,5,어버이날 선물로 사드렸는데 좋아하시네요 잔도 예뻐요
2022-05-15,4,술에 대한 설명지가 있으면 더 좋을거 같아요
2022-05-01,5,제품잘받있습니다 배송 빠르고 포장 꼼꼼하네요 선물할건데 좋아하실거 같습니다 담에 또 주문할께요
2022-05-03,5,부모님께 드리려고 샀어요 포장 꼼꼼하고 쇼핑백에 딱 술이랑 잔이랑 맞게 들어가네요 
2022-02-23,5,안녕하세요 판매자님우선 진심으로 감사드린단 말부터 전해드리고싶네요생애 첫 여자친구 아버님 생신 선물로 무얼하면좋을지 고민하다가 우연히 알게되어 문의전화도 드렸는데 정말 친절히 잘설명해주셔서 구매하게 되었네요ㅎㅎ그런데 택배가 CJ로 잡혀 걱정했었는데 신경써주신 덕분에 정말 빠르게 잘 배송되었습니다친절하신 판매자님덕에 즐거웠고 빠른배송에 감탄했고 물건을 뜯어본뒤에 꼼꼼한 포장에 행복해졌네요 여러 구매자분들 리뷰처럼 정말 더할나위없이 이쁘고 좋은것 같습니다맛은 선물드릴꺼라 못봤지만 추후 여자친구와 여행이나 친구들과 파티할때 꼭 한번더 구매하려고요ㅎㅎ너무 감사드리고 100점 만점에 101점 드리겠습니다
2022-04-21,5,너무 이쁘고 맛있었어요  또다른것도 먹어보려구요
