date,star,text
2022-11-06,5,포장을 안전하게 해주셨어요맛은 아직 보지 못했습니다기본적으로 평점 좋은 놈으로 골랐으니 맛있을 거라 기대가 됩니다
2022-11-20,5,먹기전입니다기대됩니다
2022-11-16,5,주말에 캠핑가서 마시려고 구매했어요 아직 먹진 않았지만 리뷰가 좋아서 믿고 구매확정합니다
2022-11-19,5,맛이 좋아요 잘먹고 있습니다
2022-11-12,5,유튜브보고 호기심에 구매해봤는데 배송도 빠르고 맛도 괜찮네요 앞으로 자주 이용하겠습니다
2022-11-21,4,딱 기분 좋은 소주네요독하지도 않고
2022-11-25,5,저번에 마셔봣는데 좀 독한 맛은 나는것같아요
2022-11-16,5,약간 강한 술 좋아하는 분 추천 참이슬 처음처럼 같이 무작정 알콜향은 아닙니다
2022-11-15,5,잘받았어요배송지연이있지만 그만큼 인가가있어서 그런거겠죠
2022-11-16,5,후기가 워낙 좋아서 샀어요 얼른 먹어보고 싶네요 ㅎㅎ
2022-11-16,5,넘 좋아요 배송이 너무 빨라요 재구매입니다
2022-11-22,5,배송 빠르고 포장 좋아요
2022-11-20,5,배송도 빠르고 맛도 좋아요
2022-11-14,5,맛있게 잘마셨습니다 깔끔하고 좋네요
2022-11-14,5,좋아요 다음에도 또 시킬게요
2022-11-09,5,잘먹고 있어요 증류주라 다음날이 편해요
2022-11-17,4,가격대비 괜찮아요 
2022-11-12,4,언제나 먹는 술들 시켜봤어요 다 soso해요
2022-11-13,5,술이정말깔끔하고맛있습니다
2022-11-28,5,만족합니다 배송도 빠릅니다
2022-11-12,5,  빠릅니다 잘먹을게요
2022-11-07,5,일품진로 처음 먹어봤는데 신세계네요목넘김 깔끔하고 특유의 전통주 향도 많이 나지않아서 좋았습니다  먹고 다음날에 숙취도 없네요 강추합니다
2022-11-22,3,주정의 맛이 생각보다 강해서 기대했던 것 보다는 별로임
2022-11-01,5,워낙 맛있는거라 믿고 사죠 ㅋㅋㅋ잘 먹을께요 ㅎㅎㄹ 또구매할께요
2022-11-12,5,배송빠르고 좋습니다
2022-11-07,5,만족합니다 다음에 또 시킬께요
2022-11-01,5,도수가 더 높은 걸로 사려고 하다가 실수로 구매하게 됐는데 받은 분은 만족스러워 하셨어ㅛ
2022-11-26,4,항상 여기만 배송합니다 맛있어요
2022-11-19,5,40도짜리보다 부드러운것 같아요지인들과 캠핑에서 즐겼습니다
2022-11-09,5,배송이 정말 빠르네요
2022-10-28,5,무난하고 깔끔하게 맛있습니다편하게 먹기 좋습니다 꾸준하게 주문하네요
2022-11-06,5,아직못먹어봄 기대됩니다
2022-11-03,5,좋아하는 술이에요 감사합니다
2022-11-24,5,항상애용하는 술마켓 최고
2022-11-03,5,배송도 빠르고 맛있어요
2022-11-17,5,따악 말씀드리겠습니다 증류주는 추사  일품 두개는 확실하게 추천
2022-10-31,5,배송빠르고 제품도 만족합니다
2022-10-16,5,진짜 도수가 안 믿겨질 정도로 알콜 향 없고 부드럽고 미쳤어요 그냥 소주는 이제 못 먹을 것 같아요받자마자 마셔서 빈병 사진입니다 ㅜ
2022-11-01,5,일품소주는 뭐 말모 존맛이죠
2022-11-22,5,배송 빠르고 포장 꼼꼼해요
2022-11-18,5,배송빠르고좋아요 저렴한 가격에 잘 샀어영
2022-10-20,5,포장 너무 꼼꼼하게 와서 놀랐어요 맛도 있고 다마시고 또 시킬게요
2022-11-20,5,막과 향에서 괜히 안동이 아닙니다
2022-11-20,5,맛있게 잘 먹었습니다
2022-10-18,5,40도랑 같이 삿어여 ㅎㅎ 안동소주 깔끔하고 조아요
2022-10-19,5,최애 소주 입니다 하나도 안쓰고 숙취도 없고 병도 이쁘고
2022-11-17,5,빠른배송 완벽한 포장 너무너무 좋아요
2022-11-25,5,잘 먹겠습니다
2022-11-21,5,배송 빠르고 좋습니다
2022-11-13,5,전통주 그대로의 맛 자주 구매합니다
2022-10-28,5,배송 빠르고 좋은 가격에 좋은 술 마셨습니다
2022-11-18,3,저에겐 참이슬이 딱
2022-11-12,5,깊은맛이네요 추천합니다
2022-10-31,3,증류주의 전형적인 맛이었어요 부드럽고 잘넘어가는데 큰 특징은 없었던것 같아요
2022-11-12,5,아버지가 좋아하시는 술이라 잘마시고 있습니다
2022-11-07,5,역시 증류식 전통주가 좋네요많이 먹어도 숙취가 다릅니다 ㅎㅎ
2022-11-06,5,처음 먹어보는데 도수는 높은데 깔끔하네요
2022-11-07,5,뒷맛 깔끔하고숙취없고독한 향 없고최고입니다
2022-11-02,5,포장은 에어비닐로 충격에 대비하여 잘 되었으며맛은 음 도수가 21도이ㅓ서 그런지 소주맛 ㅎㅎㅎ0이었습니다3병 먹고 이번주말에 친구들과 나머지 조질 예정입니다
2022-10-17,5,항상대만족입니다 감사합니다
2022-10-12,5,장바구니에만 담아두고 있다 구매합니다 맛깔나게 마셔 볼쎄요
2022-11-10,5,같이 산건데 따로따로 써야 하다닛 포인트를 위해서
2022-11-13,5,배송도 빠르고 좋네요
2022-11-15,5,명품소주 일품소주 귯
2022-10-10,5,다양한 술을 즐길수 있어서 좋아요
2022-09-17,5,안동소주 진짜 맛잇어요1병 먹어보고 바로 5병 주문했습니다도수가 높은데도 불구하고 뒷맛이 달아요애주가라면 꼭꼭 드셔보세요
2022-10-16,5,배송 빨라요 잘 받았습니다
2022-10-18,5,포장 꼼꼼하게 잘되어있고 잘마셨어요
2022-10-18,5,안동소주는다 맛있어요 
2022-11-10,5,빠른 배송 감사합니다
2022-10-22,5,이주    좋습니다
2022-10-07,5,항상 감사합니다 파손 없이 잘 도착했습니다
