date,star,text,name
2022-11-24,5,전주로 여행 갔을 때 못 사 와서 아쉽던 참에 모임에서 모주 이야기하다가 먼저 친구한테 보내주고 며칠 후 저도 구매했습니다술을 잘 못 먹는 체질이라 도수가 거의 없어서 편하게 분위기 내며 마실 수 있어서 정말 좋네요 술 좋아하시는 아버지도 맛이 좋다고 하시네요 번창하세요,천년주가 전주모주
2022-11-27,5,두번째 주문했어요술못먹는전모주가 딱이네요이러다 살찌겠어요다먹고 또주문할게요넘맛있어요,천년주가 전주모주
2022-11-28,5,판매자 분이 친절 합니다좀 새콤한 맛이 나는 모주 입니다,천년주가 전주모주
2022-11-21,5,계피향이 좋으며 모주도 제품에 따라 도수가 다른데 이제품은 1도 미만이라 음료로 먹기에 좋네요,천년주가 전주모주
2022-11-24,5,처음이지만 맛나게 먹어보겠습니다,천년주가 전주모주
2022-11-04,5,와 생전첨 먹어봤는데 맛나네요 달달새콤하면서 술기도 약간도는데 겨울에는 데워먹어야겠어요,천년주가 전주모주
2022-11-08,5,전주갔을때 넘 맛있게 마셨는데 이렇게 구매할수있어 기뻐요 술잘못도 마실수있어 기쁩니다,천년주가 전주모주
2022-11-20,4,전주에서 먹던 거랑 좀 다른느낌,천년주가 전주모주
2022-10-31,4,맛있네요 계티향도 진하지 않고 간단하게 마시기에 좋네요 알콜도 강하지 않아서 차 같네요 좋아요,천년주가 전주모주
2022-11-23,1,너무 신맛이 나요ㅠ 혹시 상한건가 싶을정도로요ㅜ 도대체  저 많은걸 다 버려야 할까요,천년주가 전주모주
2022-11-12,5,너무 궁금해서 주문해봤어요 먹어보고 맛있음또 주문할께요,천년주가 전주모주
2022-11-29,3,배송은 느렸어요ㅜ 그래도 여기 모주 맛있음,천년주가 전주모주
2022-11-05,5,부러쓰 부러쓰 또 구매해 부러쓰중독되서 이거없음 밥을 못먹는데 어찌하지요,천년주가 전주모주
2022-10-30,5,너무  맛있어요막걸리랑 섞어머으면 맛있어요,천년주가 전주모주
2022-11-16,5,식당에서 먹어보고 시켰어요 막걸리맛 조금 나면서 달달해서 맛있어요,천년주가 전주모주
2022-11-01,5,모주를 좋아하는데 이렇게 시킬 수 있어서 좋아요,천년주가 전주모주
2022-11-01,5,맛은 약간 새콤 하네요 많이 파세요,천년주가 전주모주
2022-10-10,5,진짜 완전 만족합니다 알쓰인 제게 안성맞춤이라 다 마시면 추가 주문하려고요,천년주가 전주모주
2022-11-13,3,음전주에서 먹은 모주를 기대하면 안 됩니다만한번쯤 먹을만 한것같기도,천년주가 전주모주
2022-10-18,5,오우 술 못 먹는 저랑 엄마랑 아주 맛나게 잘 먹고 있어용,천년주가 전주모주
2022-11-10,5,좋아요감사합니다,천년주가 전주모주
2022-11-14,5,예전 사먹었던 그 맛입니다 건강한 맛,천년주가 전주모주
2022-11-05,5,맛있어요 그런데 뭔가 계피맛이 조금 부족한 듯해요,천년주가 전주모주
2022-10-12,5,진하고 맛있어요 술이라 안팔줄알았는데 다행이네요 ㅎㅎ,천년주가 전주모주
2022-11-12,5,부모님이 맛있다고 좋아하세요,천년주가 전주모주
2022-10-11,4,선물용구입했는데 포장이 뜯어진게 몇개있네요맛은좋아요,천년주가 전주모주
2022-10-13,5,맛잇어서 재주문 큰사이즈도 괜찮네요,천년주가 전주모주
2022-10-03,5,술못먹는 남편픽입니다전주갔을때 사와서 먹어보곤 자기술이라 얘기하네요,천년주가 전주모주
2022-11-10,5,음료수 같아요 ㅋㅋ,천년주가 전주모주
2022-10-14,5,잘받았습니다 감사합니다,천년주가 전주모주
2022-09-06,5,아직 마셔보진 않았는데 너무 기대돼요항상 콩나물 국밥집에서 모주를 마셨었는데 정말 맛있어서 이번엔 추석에 다같이 이 맛을 공유하고 싶어서 구매했어요 다들 좋아하면 좋겠어요아 그리고 배송도 정말 빠르고 좋아요,천년주가 전주모주
2022-10-27,5,알콜도수도 낮고 가볍게 하지만 맛있게 먹고 있습니다,천년주가 전주모주
2022-10-11,4,술못드시는분도 잘드셨어요,천년주가 전주모주
2022-10-21,5,달달하니 맛나네요술을 못마시는데 한잔씩,천년주가 전주모주
2022-10-27,5,편하게 마실수있어서 좋습니다,천년주가 전주모주
2022-09-29,5,달달하고 음료수 같은 술맛나요,천년주가 전주모주
2022-09-29,5,주문하루만에 도착특급배송 과음 뒤 마시면 속이 좀 편안해집니다,천년주가 전주모주
2022-09-29,5,수술 때문에 당분간 술을 못 마셔서 막걸리 대용으로 주문했습니다 맛이 너무 좋아서 받자마자 한 병 해치웠네요ㅋㅋ,천년주가 전주모주
2022-10-13,4,술이아니라 음료에요제겐 딱 맞아요,천년주가 전주모주
2022-10-01,5,맛있어요 전주음식점에서 먹던 그맛이네요 알콜도 낮아서 맘편히 먹기 좋아요,천년주가 전주모주
2022-10-05,5,빠른 배송 굿,천년주가 전주모주
2022-09-20,5,배송 빨라요 일단 먹어보려고 합니다,천년주가 전주모주
2022-10-02,5,제품 만족해요 모주를 시원하게 먹으니 맛있어요,천년주가 전주모주
2022-10-15,5,아내가 좋아하네요,천년주가 전주모주
2022-09-15,5,가족들과 추석에 마시려고 구매했는데 맛이 좋습니다,천년주가 전주모주
2022-10-05,5,맛있어요 또 구매할게요,천년주가 전주모주
2022-09-19,5,잘받았습니다 감사합니다,천년주가 전주모주
2022-09-01,5,전통의 맛이 느껴지는 그윽한 모주였습니다,천년주가 전주모주
2022-09-23,5,배송 빠르게 포장 잘되서 왔어요맛은 아직 모르겠어요안먹어봐서,천년주가 전주모주
2022-09-06,5,달달하니 맛있어요취저입니당D,천년주가 전주모주
2022-08-31,5,달짜지근하니 맛이좋아요힘이 불끈솟아요 ㅎㅎ,천년주가 전주모주
2022-09-18,5,우와 술 잘 못마시는 엄마와 마시기에 무척 좋네요,천년주가 전주모주
