,단어,tf-idf,idf
4735,선물,1308.6286893728823,3.5241040395981127
4671,샴페인,268.18581139502913,5.257959035080309
1851,달달,196.11206534673016,4.229925661054786
1103,깔끔하다,160.33528374033,4.472531761443907
6325,와인,148.40016881360245,5.625331702525933
5293,시큼하다,141.91137503100364,5.69154974157872
5180,스파클링,139.3479463028585,5.9001299287050335
1849,달다,124.38416410943144,5.006996843506109
5348,신맛,117.99324968802797,5.894123904644822
4584,상큼,104.64582985744617,6.1255350716353005
8343,청량감,93.61239883404029,6.262847187099728
520,고급스럽다,89.62852877508315,6.28031488014012
1890,달콤하다,84.5579739665885,5.716303480731659
7380,저렴하다,73.68291797581203,5.988237196215301
59,가볍다,71.20125521860358,5.718812892337085
1827,단맛,69.44501477089489,5.024410218831307
6410,요구르트,65.03524138915486,6.605398469797324
8056,진하다,61.03555256827844,5.78100910020699
4472,산미,58.56387486842164,6.599319423720941
4427,사이다,56.05424050101314,6.587271085204767
8356,청량하다,52.182722340098245,6.8377304471659395
