,단어,tf-idf,idf
5456,샴페인,248.50930880671737,5.501938060505865
4765,부모님,242.84854901988209,5.122698699490485
113,가족,189.79012586976896,5.28356020526467
9256,지인,187.4192170188347,5.068859840861073
9944,친구,181.90011969875005,5.133603932972747
2168,달달,172.15586313876932,4.140108524926541
3748,명절,167.08540993648364,5.783826068815658
1302,깔끔하다,141.36415635385947,4.423065009700933
7351,와인,137.0152619151001,5.828946504096128
6031,스파클링,129.50841909452677,6.132132763083874
6155,시큼하다,129.1482747298696,5.853419360614853
6125,시원하다,125.06205439140385,5.51309355467765
560,계속,117.19412768439213,5.3041529535414345
9821,추석,116.08965917926133,6.027665503403263
5406,생각나다,115.91515283924775,5.624884960665767
2166,달다,108.47110366344465,5.020706104882413
6214,신맛,107.55679074744559,6.046610589645712
580,고급,98.28888537946187,6.001208933866432
5356,상큼,97.5138647195103,6.252150436541674
5037,빨르다,93.67653308527578,5.84668532843351
9794,최애,91.14151217869494,5.8333517975640445
6928,언제나,89.82720759927146,6.147125547670015
825,괜찮다,89.03818708969384,5.131413351592928
2626,두번째,87.70356845221592,5.596614526727512
2160,달,87.3310287139874,4.972895852599329
1184,기대,87.08633731144138,5.243604828187076
9675,청량감,86.1558530899279,6.427783005184832
8587,전,85.08873377232625,5.349373423834241
582,고급스럽다,83.80422016406284,6.481183781911947
8096,인생,83.80241006481975,5.906611089364697
10411,특별하다,83.7396823641295,6.262268566707259
