date,star,text
2022-10-31,5,지인으로부터 알게된 복순도가 막걸리처음 먹는순간 너무 맛있어서 깜짝놀랐어요원래 술을 좋아하지않는 사람인데 수시로 냉장고에서 꺼내 마시고있네요맛은 달큰시큰한마치 샴페인을 먹는것같구요탄산또한 자잘한 탄산이라 목넘김도 좋아요술같지않은 맛이지만 은근히 알코올이 올라오더라구요암튼 너무나 맛있고 고급진 막걸리인것같아요굳이 단점을말하자면 처음 오픈할때에 여러번에 걸쳐서 탄산을 빼주면서 따야한다는 거예요안그러면 정말 샴페인터지듯이 여기저기 난리납니다ㅋ아무튼 저에게는 너무나 찰떡인 술이예요주변 지인들에게 계속 홍보중입니다
2022-11-17,5,그냥 차게 마셔도 군내나 잔여물 찌꺼기 느낌이 거의 없이 깔끔담백하고 샴페인처럼 톡쏘는 맛과 상큼함이 있었어요전통 샴페인으로 명명해도 좋을만큼 맛있었네요전 반병 비우고 냉동 40분1시간 보관하고 꺼내서살얼음 막걸리를 마셨는데 그야말로 최고의 술이었답니다욕심나서 온병을 얼렸더니 입구가 가늘고 길어서마개를 따는동안 김이 빠질 입구까지 언 상태로 좁아져서씨름하다가 아깝게도 한컵 분량을 낭비하고 개봉했다는 ㅠㅠ그래서 늦은 오후에 꼭 먼저 반병을 마시고 밤에 꺼내서살얼음 낀 동동주 아닌 살얼음 낀 전통샴페인으로즐겨보시길 추천드립니다맛에 반했어요조금 싸게 공급해주시면 안될까요어휴매일 마시고픈데 벌써 6병을 소진하고 말았네요 ㅠ그리고 도수가 65라는데맥주나 소주처럼 금방 확 올라오지 않고부드럽게 알게 모르게 기분좋게 해주네요그래서 부담없고 탄산이 많고 강해서배부르지 않았어요 트림이 계속 나왔거든요ㅋㅋㅋ
2022-10-19,5,지인이 비싼데 고급지고 맛있는 막걸리가있다고 해서하도 궁금하여 한번 시켜봤어요배송도 꼼꼼하게왔고 병도 참 예쁘더라구요 ㅎ마셔보니 탄산도 많고 깔끔한맛이였어요 스파클링와인을마시는거같기도하고 저는 사실 애주가는 아니라서 즐겨하진않지만 적당한 달콤함과 새콤함으로 맛있어서 종종 생각날거같아요  명절전에 요 막걸리를 알았다면 가족들과 같이 먹었을텐데 넘 늦게알아서 ㅠ 다음명절엔 미리 준비해야겠어요 선물용으로도 적극추천합니다 
2022-10-28,3,본인은 맛있었는데 아버지는 너무 삭힌거같다는 평이네요 새콤함이 좀 있긴함근데 막걸리의 맛있는 숙성된 새콤함임
2022-10-13,5,복순도가 맛있다고 한참전에 소문만 들었지 먹어본것은 올해가 처음이네요 평소에도 달달하고 새콤한 술을 좋아하는 편인데 복순도가가 딱 그런맛이에요 요구르트사이다막걸리 느낌인데 술 잘 못하시는 분들도 잘 즐길 수 있고 평소에 막걸리 드시는분들도 색다르게 잘 즐길 수 있는 프리미엄 막걸리라는 생각이 드네요 맨첨에는 식당에서 먹어보고 너무너무 맛있어서 명절에 3병을 사서 가족들과 함께 시간을 보냈는데 가족 모두 다 맛있다고 하네요 한식 양식 가릴 것 없이 모두 잘 어울리는 주류 같아요 탄산이 많이 포함되서 막걸리 잔 보다는 샴페인 잔에 먹으면 더 맛있는거 같아요 가족 모임 친한 사람한테 가볍게 대접하기에도 너무 좋은 술 이라고 생각이 들어 재 구매의사 있습니다 병당 가격도 준수하여 선물용으로도 너무 좋을 것 같고 일반 막걸리랑 비싸다는 생각이 들어도 먹어보면 납득이 갈 맛이라는 생각이 듭니다 완전 추천해요
2022-11-09,5,특별한 날에 마시는 특별한 막걸리 복순도가 막걸리 넘 애정해요 할인 소식에 냉큼 구매했어요 ㅎㅎ 브루잉키트도 잘 만들어보겠습니당
2022-11-14,5,섞을 필요 없이 뚜껑여는 것만으로도 섞어질 정도의 탄산감입니다 이거 한번 먹으면 다른 막걸리는 못먹어요ㅠㅠ 너무너무 맛있어서 지인에게 선물하기에도 좋습니다
2022-11-15,5,제가 막걸리중에 젤 좋아하는 복순도가구여 유통기한 긴 제품이 와서 너무 좋았어요 받자마자 먹은건 더 시큼하고 프레시했고 그담에 먹은건 좀더 깊어졌어영 복순도가진짜 너무맛있는것같아요 한식이랑도 넘나리 잘어울려요
2022-11-08,5,포장도 꼼꼼히 잘왔써요맛은 머 두말하면 잔소리죠막거리계에 신세계지요오래오래 유지해 주세요
2022-11-24,5,가족들과 맛있게 먹었어요첫병은 의도치않게 분수를 뿜 었네요ㅋ꼭 가스빼고 드세요
