date,star,text
2022-11-21,5,포장도 잘되어있고 배송도 빨라서 최고에요 물론 물맛도최고
2022-11-01,5,진짜 복숭아 향과 맛이 과하지않을정도로 감돌아서 너무 좋아요 한식들과 페어링하기에도 딱 좋더라구요높은 도수에 비해 목 넘김도 부드러워서 함께 마신 사람들이 다들 만족했던 전통주입니다 포장까지 꼼꼼하게 와서 앞으로 애용하는 스토어가 될 것 같아요
2022-12-03,5,빠른배송 좋은디자인 화이팅
2022-11-23,5,빠르게 배송왔어요 감사합니다
2022-11-09,5,안녕하세요 사장님 감사합니다 잘받았어요 ㅎㅎ 잘먹겠습나당 많이 팔세요 ㅎ 
2022-11-29,5,전통주를 인터넷으로 사서 다양하게 즐기니 너무 좋아요
2022-11-05,5,향이 은은하고 깔끔해서 단독으로 먹어도 맛있어요 너무 달지않고 약간 쌉싸래 한 맛이 날 수 있어요 복숭아 향을 생각하신다면 낮은 도수를 추천드려요 친구들과 나눠먹기 좋은 술이네요
2022-11-28,5,저렴하고 맛 있어서 금방 먹고 다시 주문 합니닫
2022-12-02,5,향도 디자인도 너무 좋아요
2022-11-23,5,브드럽고 좋습니다 강력추천
2022-11-30,5,꼼꼼한포장 빠른배송
2022-11-02,5,포장꼼꼼히잘되어있내요
2022-11-15,5,향이가미된 토닉워터랑 더 잘어울리는것 같아요
2022-11-17,5,어마어마한 사이트임 
2022-10-13,5,조아요  맛잇을걱닡아요
2022-12-02,5,좋습니다Good  
2022-10-28,5,맛있어요 여행갈때 챙겨갈거에요
2022-11-20,5,좋아요좋아요좋아요
2022-07-10,5,도원결의로 나온 세트용은 선물드리려구 한세트 사고 도수별 세병을 각 구매해서 한잔씩 맛보고 후기 남깁니다 일단 저의 원픽은 중간맛 25도 15도는 복숭아향 많이 나는데 약간 소주보다 도수가 낮아서인지 음료수같은 느낌이었습니다 ㅋㅋ 그런데 아내는 좋아하더라구요 남녀노소 편하게 즐길 수 있는 도수가 15도였습니다저에게 딱 맞던 도원결의 25도는 완전 전통주 증류주에 요즘 푹 빠진 제 입맛 완전 사로잡았습니다 가격대도 1만원 언더에 저렴한 가격이고 병도 튼튼해 따르는 맛이 나네요 25도는 아직은 온더락으로 먹기엔 스트레이트 샷잔이 좋았습니다40도는 왠만한 위스키 못지 않네요 우리나라도 높은도수 술이 많이 나오기 시작해 좋습니다 공항 면세점에서 위스키들 사던 지난날이 생각나지만 이젠 국내에서도 즐길 수 있다는거 ㅎㅎ 특히 싱글몰트처럼 특유의 향이 과일향처럼 나서 만족입니다 도원결의가 해냈네요 ㅋㅋ 온더락 유리잔에 동글얼음 세개 넣고 한샷 넣어 돌리면 좋습니다배송은 애어캡으로 싸서 옵니다 안전하게 깨지지 않고 도착했네요 세병을 모두 조금씩 먹어서 한동안 술걱정 없겠습니다 ㅋㅋ
2022-10-22,5,아주 맛나게 마셨네요
2022-10-20,5,괜찮은데저한테는독해요
2022-09-26,5,배송빨라요맛도 좋습니다
2022-08-31,5,개인적으로 증류주에 단맛이 있는 느낌을 별로 좋아하지않는데도원결의 술은 단맛은 없지만 끝에 은은한 복숭아 향이 올라와서 너무 향긋하고 목넘김이 좋았어요복숭아안주에 복숭아향술완벽한 하루입니다
2022-09-27,5,25도인데 15도를 않마셔봐서 어떤지 몰라도 복숭아향이 나면서 맛있네요  그리고 배송 빠르고 포장 너무너무 꼼꼼해서 좋았습니다
2022-09-21,5,칵테일 하기 좋음 맛있습니다
2022-09-26,5,어름과 함께 마셔봐요  알죠 탄산수 추가  가격 대비 이정도면 훌륭합니다
2022-10-05,5,너무 좋아요 또 구매할께요
2022-09-17,5,개별 포장 되어 있는게 좋았어요한병이 잘못 오긴 했는데 바로 재발송해주셨어요토닉워터에 타서 마시니까 술술 들어가네요
2022-09-14,5,여러가지 술 다양하게 잘 마셨습니다
2022-09-16,5,하이볼 만들어 먹어요
2022-10-01,5,강한 도수라서 취향대로
2022-09-10,5,복숭아향이 은은하게 나네요
2022-09-25,5,하이볼로 만들어서 먹었는데 맛있어요
2022-09-17,5,맛있어요 맛있어요 맛있어요
2022-08-09,5,배송 정말 빨랐고 저번에는 15도 먹어봤는데 40도 토닉워터랑 타먹으니 정말 맛있었어요 파티용 집들이용으로 강추합니다
2022-10-05,5,맛있어요  좋아요
2022-08-14,5,집들이 선물로 딱이에요 배송도 빨라서 좋았습니다
2022-08-23,5,좋아요 맛있어서 한번씩 생각날때마다 주문해요 ㅋ
2022-08-25,2,전에먹었을때보다향과 맛이 확연하게줄었어요
2022-08-22,3,예의상3점복숭아향없구요그냥 청주맛토닉워터를 타도맛없크흠
2022-08-18,4,배송이 좀 늦게와서 아직 못먹었어요 맛있었으면 좋겠네요
2022-07-30,5,배송이 진짜빠릅니다
2022-08-07,5,잘 받았습니다 아직 먹어보진 읺았어요
2022-08-19,5,좋아요 좋아요 좋아요
2022-07-25,5,고도수라고 느껴지지 않을 정도로 부드러워요
2022-06-26,5,아주 맛좋고 배송도 엄청 빠르네요
2022-06-15,5,술맛좋습니다 배송빠름포장상태깔끔
2022-06-30,5,좋습니다 좋아용 잘산고 같아용
2022-11-25,5,빠른배송 감사합니다
2022-11-18,5,아직먹어보기전인데 기대되요
2022-11-10,5,40도인데 별로 부담안되고 좋네요
2022-11-06,5,배송상태도 좋고 맛도좋았어요
2022-10-29,5,맛있어요  최고입니다
2022-10-09,5,이번에도 다 맛있을 것 같네요
2022-09-28,3,15도짜리는 복숭아향이 은은하게맛잇던데 40도는 복숭아향도 없구ㅜ 아쉽네요
2022-08-30,5,이것저것 여러개 평소에 먹고싶었던거 다 주문했어요 ㅎㅎ 기대됩니당
2022-09-23,5,언제나 늘 만족합니다
2022-08-12,4,이프로란 음료정도로 아주 은은하게 복숭아 향이 나는데 도수가 높은데도 부드러워서 그냥 니트로 먹어도 괜찮더라구요
2022-08-26,3,처음느껴지는건 강한 알콜향 약간 단내복숭아라고 해서 기대했는데 보드카에 액상복숭아 몇방울 넣은느낌
2022-09-02,5,좋아요 맛있게 마실게요
2022-09-04,5,배송 빨리 왔어요
2022-08-16,5,양주대신 마시기에 딱 입니당ㅋㅋㅋ
2022-08-05,5,포장도 깔끔하고 배송도 빠릅니다 번창하세요
2022-07-22,5,복숭아술이라는 글귀만 보고 구입했는데 45도 라는 높은 도수에 아직 맛은 보지 못했습니다만각자 취향이 다 다르니 맛은 어떨지 궁금하네요포장은 꼼꼼히 잘 배송되어 왔습니다종이백까지 꼼꼼히 챙겨 보내주셨어오
2022-07-05,5,두번째주문입니다 역시 도원결의
2022-07-13,3,병원갔다 약 받아서 집으로 온 줄 ㅜ 물약맛이 너무 쎄요 ㅜ 복숭아 향은 안나고 ㅜ
2022-06-30,5,은은한봉숭아향 맛있어요
2022-06-21,5,복숭아 향이 은은하니 좋아요
2022-06-30,5,지인 생일선물 했는데 너무 좋아했어요 이색적인 선물입니다
2022-06-28,5,도원결의는 믿고 먹는 제품이죠
2022-05-05,1,도수가 높아도 복숭아향은 날거라 생각했는데 별로 안나네요  토닉워터나 탄산수에 섞은다면 모를까 스트레이트론 별로네요 그냥 알콜맛이에요 복숭아라 기대하며 도수별로 샀는데 벌써 두가지가 맛이 좋지 않네요칵테일용이라면 도수 낮은 것들은 복숭아 향이라도 나서 괜찮은데 이건 그냥 보드카 사먹는게 낫겠어요
2022-06-15,4,빠른 배송 감사합니다
2022-06-14,5,도원결의는 워낙 맛있지요
2022-04-27,5,병이 너무너무 예쁘네요 오늘은 배도가 로아40 화이트 마셔봤어요아카시아향이 은은하게 나고 부드럽네요
2022-04-28,5,그냥 저냥 쏘쏘에요 복숭아향 나는지 잘모르겠어요 재구매 안 할 것 같아요 ㅜ
2022-05-03,5,기대됩니다 감사합니다
2022-05-10,5,잘못 와서 안동소주 40도 짜리가 왔는데 무료로 새로 보내주신 깔끔한 처리 감사합니다
2022-04-29,5,배송 빨라서 좋아요
