,단어,tf-idf,idf
7057,사케,17.11470528462471,7.860785956074641
2840,단맛,6.955947322269616,5.515780147196643
9234,약주,6.799959436735135,8.159641329124547
10686,은은하다,6.648447422880975,6.169768056648118
8007,순하다,6.313171179848649,6.527980279905736
4787,매력,6.301339033622245,7.017065917035321
2522,누룩,5.642637190316063,7.401253626696201
1740,깨끗하다,5.091342990475992,7.180217557721556
1713,깔다,5.073558615707649,6.978396775876167
15507,훌륭하다,5.066301858656685,6.992285888036834
4259,리용,4.946350908986944,9.875688976616905
776,고급스럽다,4.378679335473217,5.646121744453065
11897,정종,3.9815656450657135,8.229437091060088
4957,먼저,3.944245796476258,7.757928570634934
801,고르다,3.9158754817811037,7.82799613325165
11822,접,3.852842881495868,7.245600316984408
9027,안주,3.8359313268498405,6.547958746836623
7337,생기다,3.754377135348604,7.236631647001647
11611,쟁,3.7096686081241943,7.554527498049925
14404,평소,3.529215974136535,6.563778285781516
14942,해산물,3.5013479420144993,8.716452066132362
13314,추가,3.484328002708306,6.873726153312279
8647,쌀,3.286309561867743,7.494986104358908
14398,평범하다,3.1719535657237543,8.063310220186114
3574,드라이,3.132688103513172,7.780743248401104
12920,차갑다,3.1155744321340455,7.630997862041762
5736,반주,3.0765563108504566,7.250114997338934
13580,캠핑,3.0296631549614297,7.091449637157149
5497,미리,3.0138256137685415,7.04247563256069
2140,남기다,2.955537842710679,7.560681363624303
274,갑,2.9023924570902366,8.677985785304564
4534,만해,2.855056137828951,7.713803765725995
15242,혼술,2.828335972089552,7.263782636067598
7297,새롭다,2.815977773841926,7.099201613961467
8285,습,2.716242807953929,7.167638775514695
7095,산미,2.6987069706247144,7.197239245290986
2651,늘다,2.694464498498236,6.185248241936017
10060,완벽하다,2.681049457210523,6.924692596904306
8861,아부지,2.656867658891514,7.66467107714835
12018,조만간,2.6538644582345654,7.438791546015266
3629,든든하다,2.6438578574871316,8.605226431022137
6412,부드러움,2.6422940662826964,7.401253626696201
3192,덜하다,2.597507668576471,7.296419565380621
