date,star,text
2022-09-19,1,다른건 포장이 잘 되어서 왔는데 이건 다 새고 열자마자 막걸리냄새 진동해서맛은 맛있었어요
2022-06-23,1,한여름에 막걸리를 배송 시키는데 아이스팩 작은거 달랑 하나 보내는게 맞는건가요 아이스팩은 다 녹아있고 스티로폼은 다 깨져있고 진짜 엉망입니다 스티로폼이야 택배에서 막 던져서 그렇다 해도 아이스팩 하나는 진짜 실망스럽네요 소주는 맛있어서 재주문 한건데 이런식으로 배송 보내시면 누가 다시 주문 합니까 약속이 있어 어쩔수 없이 먹을수 밖에 없어서 먹는데 맘 같으면 바로 다 환불 하고 싶습니다
2022-06-21,1,다시는 여기서 안시킬 생각입니다막걸리가 다 터져서 왔던데요 그냥 버렸어요저번 금계당 별바랑도 아예 다 산화되서 배송되었어요 연속으로 다 망가진 상품을 보내는데 솔직히 돈아까워서 못시키겠네요
2022-05-28,1,뚜껑이 약간 오픈되어 있어서 흘러내려 있었네요 약간 흘러내리는 정도라 그냥 받은날 마셨습니다
2022-03-03,1,그냥 저는 개인적으로별로에요ㅠㅠㅠ
2022-02-07,1,너무 달아요 제 입맛은 아닌듯
2022-02-06,1,박스를 열자마자 다 새어나온 막걸리에 포장이 이게 뭔가 싶었어요포장을 이렇게 해주시면 배송과정중의 당연히 다 새어 나올 수 밖에 없을텐데요 4병 다 새서 물이 가득했어요 막걸리 배송을 이렇게 해주시는 곳은 처음봤네요
2022-01-07,1,터져서와서 막걸리가 새었어요박스 열자마자 냄새때문에 혼났네요
2021-12-13,1,목넘김은 좋아요 근데 진짜 달아서 너무 질려요 꿀 함유라고 되어있지만 001프로 정도 함유되어 있어서 사실상 다른 첨가물인 스테비아로 단맛을 내는거에요 뭐 후기보면 꿀맛이 좋다 어쩌고 되어있는뎈ㅋㅋㅋ 한강에 꿀단지 하나 풀고 꿀맛 난다고 하는거나 마찬가지입니다 목넘김과 깔끔함은 좋아요
2021-12-11,1,개인적으로 제 입맛에는 꿓의 단맛이 따로 노는 느낌이었습니다ㅠㅠ
2021-09-13,1,내용물이 흘러나왔어요
2021-09-13,1,아니저는 상품이 원래그런건가 햇네요두개다 많이 흘려는지 양이 3분에1이 없어요모지 했는데 두개다 그래서 원해그런가근데 딴 사람들 수령한 사진 보니 아닌거 같아요먹어도 되는건지 알려주세요
2021-09-07,1,달아요ㅠ 꿀 향기도 막걸리와 어울리진 않는것같아요 좋은경험
2021-08-29,1,대대포 막걸리 맛있어요
2021-08-29,1,막걸리가 안에서 터졌네여
2021-07-16,1,이건 저희는 별로네요
2021-05-15,1,아버지는 맛없다고퇴근후 나도 먹을려고했는데 ㅠ
2021-04-03,1,술이 터져서 질질세면서 와서 오자마자 버렸어요
2021-03-28,1,량도 작아지고병도 정말 불만족기존병으로 전환요청합니다
2021-02-28,1,ㅠㅠㅠ 느린마을이 훨 나아요 실망
2021-02-26,1,전에 꺼랑 제품이 바뀠나요양도 600ml로 작는데 가격은 똑같아요확인해주시길 바랍니다
2020-12-28,1,맛은 있는데 너무 새서 옵니다
2020-12-05,1,배송 지연수요일 주문 해서 목요일에 출고 되었다고 했으나 실제 금요일 오후 출고되어 주말 수령 불가
2022-11-08,2,리뷰가 제일 많은 제품에 개인적으로는 막걸리를 즐기는 지라 기대했지만 상당히 실망스러웠습니다 좋게 말해야 부드러운 거지 막걸리의 향도 약하고 맛도 약해서 처음 먹거나 막걸리 잘 못 드시는 분들에게 권해볼 정도인듯하네요
2022-09-03,2,그럭저럭 만족스럽지못 합니다
2022-08-26,2,달아서 이게 술인지 음료인지
