,단어,tf-idf,idf
6291,복숭아,278.555585017661,5.555703982882008
10042,와인,195.5527268693581,4.7985639412518175
2925,달콤하다,30.187585367832057,5.70419049062716
10686,은은하다,29.33230192520041,6.169768056648118
12920,차갑다,23.654974146727792,7.630997862041762
6951,사과,21.622068352698516,8.278829846389666
9684,여자친구,21.6021565295174,7.765475776270316
3709,디저트,21.193390326226623,8.043107512868595
1564,기념일,20.84463547655823,8.053157848722098
2840,단맛,16.850248984117407,5.515780147196643
12690,진하다,16.52251684005547,6.018914445419238
15338,화이트와인,16.40874375435167,7.98483860474462
7274,상큼,13.526651628582172,6.584492490169079
1006,과일,13.363657461027389,7.031506601190116
6887,뽁뽁이,13.326417922983712,8.08392950738885
1412,그렇게,11.139843297138729,7.592031893508379
2063,나중,11.07177922427358,7.197239245290986
2945,담,10.670677034506568,6.603272384820675
13874,탄산수,10.410477700175216,7.277639670729024
7038,사이즈,10.368937290788752,7.852487153259946
3574,드라이,10.12118160471559,7.780743248401104
5497,미리,9.553834995701004,7.04247563256069
2437,놀다,9.513866400496333,7.4333419412477015
10292,용량,9.46929678542897,7.254650152504325
9704,여행가,9.323782256418605,8.073566720353304
200,갈다,9.247108038313032,6.889375924979406
9999,올라오다,9.097544982922853,6.773346968004657
14532,품절,9.050551146573799,8.137418192339837
12623,직접,8.383335428186609,6.773346968004657
3067,대요,8.373038683170037,7.210198389933492
12364,줄,8.229541084598319,7.00283080121345
10795,의향,8.163740527294522,7.637642404760431
13672,코르크,8.108924657946547,8.841615209086367
2045,나오다,8.10207839028006,6.692440329391856
7416,서다,8.075899209961037,6.651825610237666
13917,탱,7.959110453319758,7.611325096443058
15336,화이트,7.929579136216686,8.677985785304564
3168,덕분,7.906887459215285,6.8163952215731705
10893,이산,7.861772234893278,9.757905940960523
3182,덜,7.861739389528752,7.027876833139537
229,감동,7.8602871680163435,7.1268167809944405
10720,음료수,7.816195101748495,6.742915850802117
8236,스티로폼,7.62774797449293,7.268380345316228
