date,star,text
2022-11-22,5,술 좋아하는 신랑이를 위해 샀어요꼼꼼한 포장 빠른배송 감사합니다신랑이가 좋아하면 좋겠어요사은품 잔도 귀여워용
2022-11-19,4,리뷰가 좋아서마셔보고 재구매 예저밉니다포장은 예술이죠
2022-11-22,5,배송도 빠르고 포장도 꼼꼼하게 잘 왔습니다 잘 먹겠습니다
2022-11-13,5,매실 맛이 인위적이지 않아 좋네요 맛있어요
2022-11-15,5,맛있어요 하이볼해먹습니다
2022-11-19,5,복분자 알아보면서 이것저것 사봤어요
2022-11-09,5,매실주 너무  좋아하는데 얼마나 맛있을지 병도 너무이뻐요
2022-11-14,5,회랑 정말 잘어울립니다
2022-11-11,5,배송도 빠르고 맛도좋네요
2022-11-12,5,ㅎㅁㅎ 선물용으로 좋아요
2022-11-18,5,맛있어요 포장도 꼼꼼
2022-11-15,5,생각보다 달지 않습니다깔끔하니 맛있어요
2022-11-04,5,넘나맛있어요모두들만족했습니다
2022-09-21,5,여러 전통주 주문한것중에 제일 마음에 들었어요 맛있어요 또 주문해서 먹을 의사가 있어요 적당한 매실향 맛에 많이 달지도 않고 향도 너무 좋았어요
2022-10-04,5,집에서 한잔 만족했습니다ㅎㅎ 저는 항상 이 제품만 쓴답니다ㅎㅎ 추천 그리고 별 다섯개
2022-11-10,4,매실향나고 맛있어요
2022-10-24,5,포장도 꼼꽁하게 되어 배송되었고 우리나라 술들 골라먹는 재미가 있어서 좋아요
2022-10-25,5,항상 빼른배송 덕분에 특별한날 잘 음용하고 있습니다
2022-09-15,5,매실주 좋아하는데 저번에 한번 먹어보고 맛있어서 다시 주문합니다 포장이 항상 꼼꼼해서 만족합니다
2022-09-21,5,친절한 포장 감사합니다 들고 가야돼서 제가 따로 포장해서 이상태인점 양해바라요ㅎ
2022-10-04,5,지난번에 샀을때보다 가격이 올라서 아쉽
2022-10-11,5,어떨지 몰라서 몇가지를 사봤는데 매실원주가 가장 맛났습니다 너무 달지않고 목넘김이 좋아서 마냥 들어갑니다 다음 캠핑에 재구매할겁니다
2022-10-03,5,맛있어요 추천합니다
2022-10-05,5,먹을때는 참 좋은데 먹고난 다음날 참 힘드네요 그래도 맛나니까 또 먹게됨
2022-09-19,5,전통주가 조금더 많이 판매됬으면 좋겠어요
2022-09-17,5,추천받아서 삿어요 ㅎㅎ
2022-08-26,5,예전에 한번 먹어보고 맛있어서 주문했어요 가격이 올랐네요 빠른 배송 감사합니다
2022-09-15,5,포장대박 무조건 여기서 사야지 이제
2022-09-20,5,배송 꼼꼼히 잘 돼서 왔어요 종류별로 주문했는데 천천히 마셔보려구요
2022-09-29,5,배송 빠르게왔고 기대됩니다 ㅎㅎ
2022-09-09,5,부모님 추석선물로 주문했는데 좋다고 하시네요 제가 직접 마셔보지 못해서 맛평가를 할 수는 없지만 많이 파세요
2022-08-24,5,아직 먹어보진 못했는데 맛있으면 좋겠어요
2022-08-14,5,가족들과 먹으려 샀어요 맛있어요엄마가 좋아해셨어요
2022-06-27,5,라이브 이벤트 진행해서 당첨자분께 선물로 보내드렸는데직접 받는게 아니라서 마음에 많이 걸렸음에도 꼼꼼하게 포장해서 보내주셔서 잘도착한거 같아요 받으시는분이 좋아해주셔서 선물하는 입장으로 너무 기분좋은 구매였어요  감사합니다 종종 구매할게요 
2022-08-14,5,아직 마시지못했지만 기대됩니다
2022-08-20,5,배송빠르고 무척 맛나고 좋아요 강추합니다
2022-09-04,5,맛있는 매실주에요
2022-08-08,5,매이랑 비슷한 맛이지만 뒷끝도 좋고 맛도 깔끔하네요
2022-08-21,5,너무 맛있어요 재구매할게요
2022-07-14,5,굿뜨시중에파는것보단 조금 진한것같네요소고기랑도 저는 괜찮았던것같습니다얼음에다가 시원하게 원샷크 이맛이여
2022-07-17,5,진짜 그냥 매실주맛이고 달달해요텁텁함은 없는 깔꼼한 매실주예요매실주마시고싶을때는 얘가 딱이쥬
2022-07-02,5,일반 소주 먹다 요런거 먹으니 향도 좋고 목넘김도 부드럽고 너무 좋네요 밖에서 소주 45천원주고 먹는거 생각하면 가격은 좀쎄지만 봐줄만하네여 ㅎㅎ
2022-08-11,5,다른걸 떠나서 포장 엄청 꼼꼼하고배송빠릅니드
2022-08-12,5,배송도 빠르고 맛있어용
2022-07-12,5,맛있어요 포장도 꼼꼼하게 잘 왔습니다
2022-07-07,5,기대되는 후기들과 이쁜 디자인에 끌려 주문해요여러 사람들 모인 자리에서 다양한 술 마실건데 맛있길 바라요
2022-07-13,5,포장이 아주 꼼꼼하게 잘되어있어요 맛있어요
2022-07-08,5,아주 맛있어요 매장에서 먹는거 보다 훨씬 저렴하게 먹을 수 있어요
2022-07-20,5,매실원주 잘 마시고 있어요굿
2022-06-18,5,우연히 마셔보고 너무 맛있어서 주문했어요도자기잔 증정 한다는 내용보고서 일부러 5만원 넘겨서 구매했는데 수령 원한다는 문구를 별도로 작성했었어야 하네요ㅠㅠ아이고 아쉬워라 다음에는 꼭 작성해서 수령해야겠어요ㅠㅠ
2022-07-09,5,기대됩니다잘마시겠습니다
2022-08-15,5,조아요조아요조아요
2022-06-08,5,배송 정말빠르네요 예전에 주문해보고 생각나서 오랜만에 주문했는데 여전히 빠르고 정확하고 꼼꼼히 포장해서 보내주시내요 이쁜 잔도 감사합니다
2022-07-17,5,조아요맛잇어요깔끔해요
2022-06-17,5,하루만에 왔네요빠르네요오늘 불금이라 맛좀볼께요
2022-07-20,5,맛있게 잘마셨습니다
2022-06-17,5,외국에 선물로 들고 가려고 여러 종류로 샀어요 천원 더 해서 컵하나 더 받아서 선물로 들고 갈껄 그랬어요
2022-06-08,5,가볍게 먹기에도 좋은 도수에 깔끔한맛이에요 포장상태도 좋고 만족합니다
2022-06-16,5,먹어보진못했지만 포장은 튼튼하게 안전하게 잘왔어요
2022-06-08,5,포장 꼼꼼히 보내주셨어요 아직 먹기 전인데 기대되네요
2022-07-10,5,배송빠르고 좋네요요
2022-06-22,5,매실맛을 좋아하는데  병두 이쁘고 맛도 좋다하니  기대중입니다   선물용으로  더구매하려고요
2022-06-20,5,얼음 한두개 넣고 시원하게 마시니 좋네요그런데 단맛이 강해서 한 번에 많이 마시진 못할 것 같아요
2022-06-16,5,배송 빠르고 저렴하게 잘 샀습니다
2022-06-06,5,포장상태도 너무 좋고 맛있습니다 재구매할거에요
2022-06-30,5,장인어른과 술한잔 잘 했습니다감사합니다
2022-06-14,5,깔끔 상큼 맛있어요
2022-06-26,5,포장꼼꼼하고 맛있었습니다
2022-05-18,5,우와 포장이 아주 바람직 합니다 ㅋㅋㅋ 사은품으로 주시는 술잔도 마음에 듭니다
2022-05-24,5,지인한테 선물하려고 구매했어요배송은 꼼꼼하게 잘왔어요
2022-06-22,5,깔끔하고 맛있습니다
2022-06-11,5,만족스럽습니다 감사합니다
2022-06-17,5,매실 탄산수 해먹기에 딱 좋아요
