date,star,text
2022-11-22,5,날이 추워져서인지 따뜻한 청주가 생각나서 청주 종류를 주문했어요 향이 좋은 청주도 많이 판매해주세욤ㅎ
2022-11-26,5,넘 조아용지역주를 알게되고그로인해즐거움도 느끼고넘 좋슴다
2022-11-02,4,주로 소주만 마시다가 주종을 바꿔보려고 이것저것 맛보고있어요청주가 취향은 아니지만 날씨가 쌀쌀해져 따뜻하게 데운술이 마시고싶기도해 주문했어요맛의 적응은 아직 좀 안되지만 따뜻한 술맛이 새로워서 이계절에 좋은거같습니다
2022-11-08,5,우리것이 최고예요유튭에서 쿠캠프를 검색해주세용
2022-11-24,5,보고만 있어도 든든합니다
2022-11-10,5,엄청맛있어요 굿 담에 또 살게요
2022-11-19,5,4병 주문해서 지인이랑 한번에 다 먹어버렷네요냉장하지 않고 상온온도에서 먹어도 맛이 깊네요
2022-11-11,4,클래식한 청주맛이에요 나쁘지 않음
2022-11-02,5,정종으로 데워마셔야 진짜 맛있는 술입니다 쌀쌀한 지금 계절에 딱이라서 쟁여놨어요 ㅎㅎ
2022-11-03,5,맛있게 잘 마셨습니다김치찜에다가 홀짝홀짝 다 마셔버렸습니다
2022-11-12,5,마트에는 없는 대용량 좋습니다
2022-11-08,5,빠르고 꼼꼼한 배송 맛도 기대됩니다
2022-11-21,5,가성비 좋은 청주에요 재주문 들어갈겁니다
2022-11-24,5,국내 청주중에 입에 젤 맞는거 같아요
2022-10-22,5,어떤느낌일까 궁금해서 구입했는데 맛이 좋습니다포장도 꼼꼼하게 잘보내주셔서 잘받았습니다
2022-11-23,5,다양한 전통주를 살 수 있어서 좋네요
2022-10-24,4,깔끔하니 어디에단 페어링 가능할듯한 맛 맛있게 잘 마셨습니다
2022-10-20,5,술마켓 배송 빠르고 깔끔합니다 술도 맛도 좋고 좋습니다
2022-11-17,5,부드럽고 좋습니다
2022-10-31,5,포장이 꼼꼼하게 되어있어요 잘 받았습니다번창하세요
2022-11-09,5,포장지가 완벽하고 배솜도 빠릅니다
2022-10-07,5,포장 잘 되어 왔습니다 주말에 한번 달려볼게요
2022-11-04,5,부드럽고 달달하고 재구매각
2022-10-18,5,가성비 좋은 술이에요
2022-10-20,5,아주 훌륭합니다 ㅎㅎ
2022-11-04,5,배송도 빠르고 상품도 좋습니다 
2022-10-16,5,부드러워요 소주의 캬한 맛보다 부드러움에 홀짝홀짝 하게되는
2022-09-26,5,4병 주문했는데 포장 꼼꼼히 해서 상처없이 잘 받앗네여시원하게 해서 가볍게 한잔했는게 향좋고 목넘김이 좋네요한잔 술에 다양한 맛을 느낄수 있는 매력이 있네요
2022-10-15,5,부드럽고 고급진 맛
2022-10-08,4,잘 마셨습니다포장은 감탄스러울 정도 입니다
2022-08-30,5,회랑 해산물과 정말 잘어울려요ㅡ처음 먹고 목넘김이 너무 좋아서 찾고찾았었는데인터넷에 팔아서 주문했어용
2022-09-02,5,첫잔은 부드럽고 두번째는 햐기롭고 셋째는 깔끔합니다
2022-08-29,5,첫 구매인데 괜찮네요
2022-10-08,3,좋습니다 좋습니다 괜찮아요
2022-08-23,5,무난한 맛이라 가끔 주문합니다
2022-09-04,5,자주 주문합니다 맛있고 좋아요
2022-09-07,5,항상 잘 이용하고 있어요
2022-10-02,5,배송 만족 상품 만족
2022-08-25,5,배달빨리 왔구요 맛있게먹던 술이라 주문했습니다 깨진거없이 잘왔어요
2022-09-03,5,잘 받았습니다 감사드려요
2022-08-17,5,인생의 낙 인생 술
