date,star,text
2022-11-21,5,머루주는 처음 먹어봤는데 아주 맛있네요 적당히 달고 약간 그 포도씨 씹어 먹으면 약간 씨에 고소한 맛이 있는데 그게 끝맛에서 느껴지는 듯합니다ㅋㅋㅋ 와인같은 느낌에 술이에요 복분자 보다 농도가 가벼운 느낌이라 먹기 편합니다
2022-11-13,5,술집에서 한번먹고 여러번 구매해서 먹어요 회사사람들한테까지 퍼뜨려서 먹고있어요ㅎㅎ 달달한데 소주도수라 알콜이 부족하지도 않고 아주 좋습니다
2022-11-20,5,먹기전입니다기대됩니다
2022-11-28,5,새콤달콤 넘 맛있어요 고기집에서 처음 먹어보고 맛있어서 주문했어요
2022-11-26,5,막걸리 유통기한도 길고 포장도 엄청 꼼꼼히 해주셨어요 맛있어요
2022-11-17,5,빠른배송은 물론이고 포장상태 마음에 들고여  술도 맛있어요  자주 애용할게요 수고하세요
2022-11-22,5,처음먹을땐 좀 단가 했는데 먹다보니 너무 맛있어요
2022-11-18,5,포장 던져도 안깨질거 처럼 왓구요 딴데서 넘 맛있어서 인터넷으로 시켯어요
2022-11-25,5,빠른 배송과 좋은 술 감사합니다 잘 마시겠습니다
2022-11-25,5,머루 함량이 높아서 향긋하니 맛이 좋아요
2022-11-26,5,집파티 때 최고템입니다 강츄
2022-11-28,5,머루주는 먹게되네요
2022-11-19,5,맛있게 먹고 있습니다 다먹고 또주문할께요
2022-11-28,5,머루주맛있네요
2022-11-22,5,맛있어요맛있어요맛있어요
2022-11-16,5,가격도 착하고 배송도 빨랐어요 알콜 도수가 있어서 몸이 따뜻하네요 ㅋㅋ
2022-11-06,5,포장도 너무 꼼꼼하게 해서 보내주시고 산머루주 너무 맛있어요 재구매 의사 있어요
2022-11-24,5,지인집에서 먹어보고 너무 맛있어서 구입햇어요  달콤하고 맛잇음  도수는 좀 있는거 같아요
2022-11-22,5,다른 술도 구매 예정입니다
2022-11-15,5,엄청 맛있어요 이 술 호
2022-11-15,5,잘먹겠습니다  감사합니다 
2022-11-15,5,맘에들어요만족합니다
2022-11-12,5,유튜브에서 소개해준 제품은 아니지만 왠지 눈에띄어서 함께 담았어요 ㅋ
2022-11-12,5,술에 취미를 찾고자 시켰어요 기되 됩니다
2022-11-14,5,기대됩니다 배송도 빨라서 좋아요
2022-11-23,5,엄청 달아요 술 못마시는 사람도 기분좋게 마실수있는 술
2022-11-14,5,머루맛이 세서 좋아요
2022-11-27,5,술자체가 맛이 좋고 달달한 와인먹는 느낌이 드네요
2022-11-10,5,좋아요 달달구리 한게 최고
2022-10-22,4,달달한 포도향이 가득해요 개취로는 탄닌이 강한걸 좋아하지만 달달하고 가볍게 마실 와인이 먹고 싶으면 생각날거 같아요
2022-11-26,4,빠른배송에 맛도 괜찮습니다 병이 너무 예뻐서 구입해버림
2022-11-21,5,잘받았고 배송상태도 좋았어요 다음에 재구매하겠습니다
2022-11-26,5,다른분 말씀처럼 토닉워터에 타먹으면 더 맛있을거같아요
2022-11-09,5,토닉워터랑먹으면 술술들어가요
2022-10-31,5,배송 빠르고 맛있어요 또 주문할게요
2022-11-10,5,머루주 기대가큽니다 굿
2022-11-05,5,배송도 빠르고 가격대비 좋아요
2022-11-24,5,선물했는데 받은사람이 너무 좋아해요
2022-10-29,5,항상 꼼꼼하게  포장해주시고여러가지 골라 마시는 재미가 있어서 좋아요
2022-11-25,5,달달해요 맛있어요
2022-11-19,5,향도 맛도 저에게는 딱 석화랑 즐기니 너무 좋았습니다
2022-10-19,5,육회 사시미랑 아주 잘 어울려요 달달한 포도 향이 잘 느껴지는 술이에요 재구입 의사 있어요
2022-11-07,5,아주 맛있고 좋아요자주시킬게요배달도 빠르고 포장상태 굿
2022-11-17,5,배송도 빨라요  만족합니다
2022-11-23,4,맛이 좋은술 입니다
2022-10-19,5,복분자보다 향과 맛이 더 진하고 좋은거같습니다만족합니다
2022-10-26,5,두번째 구매입니다집에서 시켜먹으니 편하고 좋네요
2022-10-23,5,맛있어요 배소  빠름
2022-10-24,5,맛있습니다 강추강추요추매예정
2022-10-21,5,배송도 빠르고 좋아요
2022-11-09,5,아주아주 촣았어요 다음에도 구매하려고 해요
2022-10-21,5,새콤달콤 포도맛이 남니다
2022-10-18,5,맛있어서 재주문했습니다
2022-10-13,5,목넘김 부드럽고 산머루 함량도 높고 괜찮네요
2022-11-08,4,만족합니다만족합니다
2022-11-08,5,다 마시면 또 시키려구요
2022-10-27,5,맛있어요또 재구매 해야겠어용
2022-10-29,5,배송도 빠르고 포장도 깔끔하게 잘되었고 맛도 괜찮아요
2022-11-08,5,배송도 빠르고 포장도 훌륭합니다
2022-10-02,5,머루주 단골입니다점점 구매 할때마다 갯수도 늘어나네요ㅋㅋ
2022-10-24,5,내 스타일이라서 자주 삽니다 달달하니 맛이 아주 좋아요
2022-10-29,5,좋아하는술이에요 ㅋㅋ맛있어요 역시
2022-11-04,5,잘 마셨습니다 좋아요
2022-11-06,5,너무너무 맛있어요
2022-10-08,5,새콤달콤하고 향긋해서 매번 여러병 주문하고 있어요
2022-10-15,5,이것도 제가 마실거예요
2022-10-12,5,배송 빠르고 아주 조아요
2022-09-29,5,지인선물로 보냈습니다와인을 좋아하는 것 같아서 픽저도 맛이 궁금하네요
2022-10-08,5,배송이 빠르고 포장이 꼼꼼 해서 깨질걱정이 없습니다
2022-10-06,5,적당히 달큰하고 목넘기도아주돟아요 알쓰들의 원픽입니다
2022-10-06,5,탄산수애 타먹으묜 맥주보다 더 맛잇어요
2022-09-21,5,완전 맛나요 여름 휴가 때 사가지고 갔더니 가족들도 다 빠졌어요
2022-10-04,5,맛있네요 잘먹었어요
2022-10-01,5,넘 달지 않고 향긋하고 새콤달콤해서 자주 구매하고 있어요
2022-08-09,3,제품을 수령하고 난 뒤 주문한 수량 및 유통기한부터 살펴보니 수량 1병은 일치함그리고 유통기한을 살펴보니 제조일자는 표기되어 있지만 제조일로부터 몇개월까지라는 표기는 되어있지 않아 만족스럽지 못함그리고 아직 머루주를 음미해 보지 않았지만 맛은 어떨지 아직 잘 모르겠음게다가 제주도 머루주와 비교도 해봐야 하는데아직미정임평가 점수도 미정임
2022-10-21,5,맛있어요  또 구입할게요
2022-10-27,5,빠른배송 감사합니다
2022-10-25,5,배송빠르고맛도좋습니다
2022-09-27,5,지인이 추천해줘서 주문합니다 다 맛있다고 해요
2022-09-23,5,배송빠르고 안전하게 왔어요  종류별로 먹어보고 맛있으면 재주문하려구요
2022-09-30,4,음 달아요 근데 넘김이 진짜 부드럽고 달아서 안쎈거같은데 5잔 혼자 마시고 취햇어요ㅎㅎ 소주는 이갓보다 덜 취하는데 ㅎㅎ 포장은 거의 완벽하게 잘 왓어요 와인셀러에 막걸리랑 전통주만 쌓이네요 잘 마실게용
2022-10-02,5,든든합니다 조만간 먹어보고 한달리부 할게요
2022-10-23,5,가격대비 제품 만족합니다
2022-10-12,5,달달해서 음료같아요 맥주랑섞어 마셨더니 심술이랑 맛이 똑같네요
2022-10-26,5,선물인데 아주 좋라요
2022-10-18,5,너무 맛있어요 양은 좀 적어요
2022-10-20,5,좋아요좋아요좋아요
2022-10-01,5,매번 주문해서 먹어요 맛있어요
2022-10-20,4,약간 꾸덕꾸덕한 느낌의 주류였습니다
2022-10-09,4,저번에 주문하고 맛있어 재주문 했어요토니워터 섞어먹으니 술 같지가 않아요
2022-09-18,5,부모님이 아주 좋아하세요 제일 좋아하시는 술이시래요 병이 이뻐서 모으고 계십니다
2022-10-14,5,아주맛있어요 또 시켜먹을께요
2022-11-08,5,맘에들어요또살게요맘에들어요또살게요
2022-09-02,5,여러 후기처럼 포장 꼼꼼하게 왔어요명절 앞두고 용량 큰 전통주 한병을 살까하다 여러가지 맛 보는 즐거움이 있을것 같아 여러 병 샀어요냉장고에 잘 보관하다 추석때 맛있게 먹어보겠습니다
2022-09-24,5,배송빠르고 마음에드네요 많이파세요
2022-09-09,5,배송도 빠르고 넘맛있어서 친척선물용가족모임용으로 8병 또주문했습니다ㅋ진짜 맛있음
2022-10-18,5,맛있겠죠 아직 안 먹었지만
2022-09-15,5,김악산도 맛있고 이것도 맛있고다행히 이건 2병 샀어서 한병먹고 한병은 아직 아끼는중ㅎ
2022-09-23,5,짱짱 맛나요 또 사먹을게요옹
2022-10-04,5,포장도 꼼꼼하고 달달한 와인같아서 좋았어요
2022-10-12,5,달달하게 혼술하기도 좋아요
2022-09-18,5,이거 정말정말 맛있어요 제가 애 입맛이라 그런지 여태껏 마셨던 포도주들은 다 별로였는데 이 머루주는 달고 정말 맛있어요 ㅎㅎ 완전 추천합니다
2022-09-28,5,예전부터 주문햇던건데요알시 품절이엇는데 다시 구입하게되서 좋아요
2022-09-21,5,구매한거중에 이게 젤 마싯어료
2022-10-12,5,새콤달콤 맛나네요
2022-10-11,5,포장 잘해주셔서 배송 잘 받았습니다
2022-09-08,5,명절에 가볍게 드시라 선물용으로 구입했습니다 박스안에 한번 더 속포장 되어있어 안전하게 잘 받았습니다
2022-10-12,5,가장 좋아하는 술 중 하나요
2022-09-21,5,머루주라서 맛있을거같어요
2022-09-17,4,아직 마셔보지못했지만 나중에 한달후기 쓸게요
2022-09-18,5,달달하고 마시기 편해요
2022-09-22,5,병이 앙증맞고 이뻐요
2022-09-27,5,이것저것 사봤는데 너무 좋았어요 판매하는 모든 수를 정복하는 그 날까지
2022-09-27,5,단맛이 감돌고 쌔요ㅎㅎㅎ 맛남 시중에 복분자같은맛
2022-10-06,5,선물용으로 딱입니다 아주굿
2022-08-20,5,꼼꼼한 포장으로 안전하게 잘 도착했어요아직 맛을 보진 못했지만 여러가지 전통주를 즐길수있어 좋네요ㅋㅋ감사합니다 잘마실게요
2022-09-06,5,엄청 진해요 걸쮹해서 뭐에 타먹기 좋아요
2022-09-04,5,맥주대신 탄산수랑 섞어먹으면 안주도필요없고 아주맛나요
2022-09-01,5,정말 깔끔하고 맛있습니다 덕분에 좋은 식사가 되고있습니다
2022-08-24,5,포장도 꼼꼼하고 배송도 빨라요머루주 사이다 21 존맛물론 그냥 먹어도 존맛놀러 갈 때마다 삽니다
2022-10-06,5,좋은제품입니다
2022-09-26,5,싸고 좋아요 만족합니다
2022-08-30,5,이것저것 여러개 평소에 먹고싶었던거 다 주문했어요 ㅎㅎ 기대됩니당
2022-09-28,5,맛도 좋고 나름 만족합니다
2022-09-22,5,여러종류의 전통주를 맛보고 싶어서주문했는데 너무 만족합니다
2022-09-02,5,명절 앞두고 차례주 사는김에 추석에 가족들과 마실 술 몇가지 구매해봅니다
2022-09-08,5,맛있게 먹고있습니다
2022-09-03,5,아직먹어보진않았는데 진열해보니 이쁘네요
2022-08-21,5,우린 언제나 무주 머루주술장고에 6병 채워넣으니 든든 하네요다 마시고또 주문할게요
2022-09-27,5,좋은제품 잘먹을게요
2022-09-05,5,저는 개인적으로 맛있고 신맛잘모르겠던데요그냥 너무 맛있고 재구매 의사있습니다
2022-09-12,5,머루의  진한향이  풍부하고  달콤함도  적당해서  목넘김이  아주  좋아요
2022-09-27,4,잘먹었어 잘먹었어 잘먹었어 잘먹었어 잘먹었어
2022-09-23,5,배송빠르고 좋습니다
2022-08-30,5,선물로 드릴려고 산건데 좋아하세용
2022-09-14,5,맛도진하고 달콤하니 맛있었어요
2022-08-26,5,빠르고 안전한 포장 감사드립니다
2022-08-30,5,선물용으로 구매 포장 완벽
2022-08-25,5,저번에 신청하고 마음에 들어 다시 신청합니다
2022-09-10,5,친구랑 가게에서 사먹기 비싸서 샀는데 좋아요
2022-09-01,5,재구매 의사 30000 입니다
2022-08-11,5,무주가서 먹어보고 계속 찾게 되는 맛이네요포장도 꼼꼼합니다
2022-09-02,5,너무 맛있어요 그래서 넘 많이 마시게되는게 단점이네요ㅎ
2022-08-09,5,배송 잘 받았습니다 와인을 좋아해요 진하고 맛있어요
2022-08-05,5,다른 곳에서 머루주 시켰을 때는 맛도 배송도 별로 만족스럽지 않았는데 요 머루주 지이이인쨔 맛있어요 도수가 16도 정도 되는데 믿기지 않을 정도로 목넘김이 좋고 깔끔해요 6병 샀는데 한 번에 3병 먹고 하나는 친한 친구 선물했어요 남은 2병도 맛있게 먹고 또 주문할게요
2022-08-31,3,포장이 너무 잘되서 와요 만족해요
2022-08-11,5,확실히 복분자하고는 다른 매력이 있고 도수가 제법 있어 좋습니다
2022-09-07,5,항상 잘 이용하고 있어요
2022-08-17,5,먹어보기전이지만 병도이쁘게 좋아여
2022-09-03,5,배송 안전하게 왔고 맛도 좋아요
2022-08-08,5,술집에서 처음먹고 반해서 구매했어요 너무맛있어요
