date,star,text
2022-11-09,5,포장도 꼼꼼하고 패키지나 병 디자인 맛 가격까지 어느하나 빠지지 않는 레드와인입니다 저는 드라이한 맛보다는 달달한 레드와인을 선호하는데 진짜 달달하고 도수도 적당하고 향과 풍미까지 다 너무 맛있었어요 끝 맛은 탄산같이 청량감이 들어서 더 맛있었어요 어떤 음식에도 잘 어울리고 누구나 좋아할만한 달달한 레드와인입니다 캠핑가서 마셔도 좋을 것 같고 집들이 선물로도 좋을 것 같은 와인이에요  강추강추 해당 리뷰는 제품을 제공받고 솔직하게 작성한 후기입니다 
2022-10-31,5,스위트와인 베베마루결혼기념일에 기분가득내고싶어 주문했는데요우와 와인색도 정말 예쁘고 맛도 달콤한포도맛이여서 마음에 들었어요목넘김도 부드럽고 깔끔해서 굿굿 상품을 협찬 받았는데 마음에들어서 기념일마다 구매하려고요적극추천드려요
2022-11-02,5,포장이 엄청 깔끔하게 되어있어서 좋았어요ㅎㅎ기념일에 항상 와인 한병을 마시는데선물용 와인으로도 충분할거 같네요맛도 좋고 달달해서 자주 마시게 될거 같아요포도향도 너무 좋고 와인 안주랑 같이 즐기니 좋네요상품은 제공받았지만 솔직하게 작성한 후기
2022-11-07,5,이번에 가족들과 먹었는데 달달하고 포도향도 은은하게 풍기면서 목넘김도 좋은 와인이네요 다들 너무 좋아했습니다 도수가 10도인데 이렇게 맛있는 와인은 첨이에요  감사합니다
2022-11-03,5,친구들과 집에서 생일파티 할때 마시려고 주문했습니다 달달하고 부드러운 맛이라 술을 잘 못마시는 친구들도 맛있게 잘 먹었고 양식 한식 다 잘어울리는 맛이었습니다 바디감이 무겁지 않아서 시작하는 첫술로 마시기 좋습니다 포장도 고급스럽고 포도향이 많이 나서 좋았습니다 상품을 제공받아 직접 마셔보고 솔직하게 남기는 후기입니다
2022-11-04,5,생일에 남자친구랑 같이 마시려고 사봤어요분위기 내기도 좋고 맛도 좋아서 남자친구란 둘 다 기분이 좋더라고요ㅎㅎ와인 자주 마시는 편인데 가성비도 좋고 앞으로 자주 시키려고요
2022-11-03,5,열자마자 퍼지는 향이 좋고 와인에 대해서는 잘 모르는 저도 달달한 와인이 마시기 좋았어요포장 상태도 너무 꼼꼼하고 안전하게 포장되어 와서 기분 좋게 받았습니다상품을 제공받았는데 직접 마시고 솔직하게 작성하는 리뷰입니다
2022-11-09,5,평소 탄닌이 강해 레드와인을 즐겨먹기 힘들었는대 달달한 레드 스위트와인을 알고는 데일리로 즐기고 있어요과일이나 치즈와도 너무 잘 어울려서 지인들과 가볍게 즐겼네요
2022-09-25,5,전통주 선물 스위트와인 와인쇼핑몰 오드린에서 즐기는 아내를 위한 와인 이라고하니눈길이 가고마셔보고 싶어지네요사랑하는 아내와와인을  즐기기 위해 만든와인진짜 더 의미가 깊은것 같아요향이 깊은데달달한 맛처음 와인 마시는분들에게추천체리 장미 딸기 허브향 다양한 과실향을 가지고 있는와인깔끔함이 느껴지는 와인의포장상태 안전하게왔고 선물용으로 좋겠고요안주는 쿠키와도 잘 어울리네요치즈도 좋을 것 같아요
2022-11-03,5,진짜 부드럽고 맛잇네요 완전 빠졌습니다어떤 음식이랑도 잘맞아요 ㅎㅎㅎ병도 완전이쁘네요
