,단어,tf-idf,idf
10175,요거트,67.39324365603217,7.232177296652267
14163,특이하다,35.80275238167904,7.277639670729024
1006,과일,22.822941344913556,7.031506601190116
7315,색다르다,22.66369022120904,7.406530683797045
3760,딸기,18.62149611085866,8.777076687948796
7297,새롭다,17.5613686676856,7.099201613961467
3343,독특하다,15.367349319476324,7.444271011779891
10246,요플레,14.749922361535932,9.151770137390207
7034,사이다,13.562451715022153,7.171814146925176
2471,농축,12.874789208242799,9.352440832852357
15194,호기심,12.7573536068809,7.9661464717324675
3572,드라마,12.644978828902676,9.390181160835205
12690,진하다,10.90934697732182,6.018914445419238
12700,질감,10.566324551811093,8.841615209086367
9250,양,10.481575202272287,7.354972874132194
12897,찍다,9.541647000475807,7.2592059690401864
207,갈리다,9.452501198680954,7.735622813120635
8425,식감,8.830455745431808,9.429401873988486
11576,재미있다,8.238360314023145,8.93470563215238
3709,디저트,8.04806302157323,8.043107512868595
5782,발효,7.937600995043122,7.180217557721556
13874,탄산수,7.886656655365692,7.277639670729024
2840,단맛,7.2369943583186025,5.515780147196643
5448,뭔가,7.018186915548365,7.2145556953024474
4534,만해,6.649840227665353,7.713803765725995
11212,입,6.240943799108329,6.427687528756948
1883,꾸다,6.199212271740296,8.473890428961049
9769,열다,6.114386241037227,7.114888210129167
6177,보관,5.872942580849193,6.798952918909828
2675,늦다,5.77839150970095,6.889375924979406
1898,꿀,5.748976426841808,6.8675341830643575
5383,물,5.59383667339383,7.360010668162152
3167,덕,5.45679974246651,8.19393040260318
8482,신맛,5.262345123724999,6.656813151748705
1568,기다,5.212579721464827,7.0535663192548474
8457,신경,5.168229391632032,6.9312499974504655
13408,취하,5.034641801842622,7.035149592468617
5385,물건,4.909270784758367,7.130824802391979
8778,씁쓸하다,4.885774582353062,8.864088064938425
2421,녹다,4.869215262414934,7.630997862041762
1108,굉장하다,4.791661831426394,6.724021901442155
1395,그대로,4.759963230710644,7.245600316984408
11805,점,4.737414994127628,6.78180964192339
