date,star,text
2022-11-23,5,잘받았습니다 빨리먹어보고 싶네요
2022-11-26,5,빠른 배송 감사합니다
2022-11-12,5,안동소주를 인터넷으로 구할 수 있어 좋습니다
2022-11-19,5,좋아요 좋아요 좋아요 좋아요 좋아요 좋아요
2022-10-29,5,빠른 배송 감사합니다 좋은날 잘 마시겠습니다
2022-10-25,5,술맛납니다 포장도 고급스러워요
2022-11-06,5,해외 출장시 보스한테 선물로 줫는데 좋아하네요
2022-10-11,5,아빠가 진짜 좋아하세요가장 도수높은걸 좋아하시네요
2022-10-30,5,만족합니다 ㅎㅎ 맛있어요
2022-11-04,5,여윽시 45도 성님이시다
2022-10-21,4,깨끗한 냄새와 부드러운 목넘김이 매력적입니다
2022-10-04,5,모임마다 들고가니 다들 좋아합니다
2022-10-19,5,맛잇어욤많이 파세요
2022-09-03,5,두번째 구입햇어요친정아빠가 좋아해요
2022-08-07,5,처음에 박스가 모두 깨져서 와서 택배하시는 분들이 일부러 깬 건 같았어요 놀래서 교환 신청했는데 픽업도 안했는데 바로 담날 새상품을 보내주셨어요 오히려 제가 놀래서 픽업 왜 안해가냐고 문의를 했습니다 새로온 택배는 더 꼼꼼하게 포장해주셔서 하나 다친 곳 없이 왔어요 덕분에 잘 마셨어요 번창하세요
2022-09-03,5,좋고 잘 왔고 맛있슴니다
2022-08-02,4,아직 안 먹어봤지만 좋아하십니다
2022-08-13,5,친정아빠가 안동소주 좋아해서 구입했습니다좋아요
2022-07-04,5,맛있게 잘먹었어요 남은건 먹을때 쓴 잔뿐이네요
2022-07-23,5,병이 귀여워요잘 먹겠습니다
2022-07-26,5,술맛 좋다고 하세네요
2022-06-23,5,빠른 배송 좋은 상품 모두 만족합니다
2022-07-09,5,감사합니다 맛얏어요
2022-07-04,5,받으신 분이 좋아하시네요
2022-06-03,5,좋아하는 술중에 하나라 만족합니다
2022-06-13,5,잘 받았다 하네요 ㅇㅇ
2022-06-02,5,크아주좋아요만족
2022-05-04,5,빠르게 잘 받았습니다포장도 아주 꼼꼼하게 해주셔서파손 걱정하실 필요가 없네요맛이야 누구나 다 인정하는좋아요 입니다
2022-06-24,5,향이 좋고 부드러워요
2022-06-23,5,잘 배송되었습니다
2022-05-18,5,선물하려고 사봤어요 호리병이 고급지고 좋아요
2022-05-21,5,포장이 꼼꼼하게 잘 왔어요
2022-05-30,5,너무 좋습니다 재구매해야겠어요
2022-06-06,4,자주 삽니다 여기서ㅓㅓ
2022-05-05,5,제사지내려고 샀는데 남편이 좋다고하네요
2022-04-29,5,선물 줄거라 맛은 잘 모르겠구요포장은 꼼꼼하게 잘되어서 왔어요
2022-04-14,5,포장도 엄청 꼼꼼하게 잘해주시고 병도 고급지고 좋아요 ㅎㅎ 맛나게 마실게요
2022-05-23,5,가격과 편리성 모두 좋습니다
2022-05-22,5,가격도 착하고 맛도좋네요
2022-05-13,5,먹던거라 또 시켰어요 저렴하게 구매했어요
2022-05-17,5,맛있어요 역시네요
2022-04-08,5,선물용으로 7개 구매했는데 뽁뽁이로 깨지지않게잘 싸여 받았습니다 받는분들이 좋아하시네요
2022-04-24,5,진짜 부드러우면서 강력함
2022-04-12,5,잘왔네요 잘먹을께요 감사합니다
2022-05-07,5,선물로 너무 좋아요 항상
2022-05-03,5,돟아욛 돟아요 좋아요
2022-04-07,5,좋아요 맛있어여
2022-03-29,5,선물용으로 샀습니다 포장 엄청 꼼꼼하게 왔네여
2022-01-25,5,설 선물로 주문하였습니다판매자님 많이많이 파시고 사업 번창하세요 감사합니다포장 상태 너무 감동 
2022-03-08,5,가격대비 가성비최고
2022-03-05,5,선물용으론 너무좋은것같아요
2022-01-28,5,처음 시켜보는데 맛이 정말 궁금해요 설날에 가족들과 마시려고 시켰습니다
2022-02-19,5,포장 매우꼼꼼 병도 예쁘고 맛도좋고
2021-12-07,5,우선 제 원픽은 명인입니다다른소주 거의 다 먹었는데 아주 큰 차이로 명인이 좋았어요그래서 이번에 40도에 도전해보았습니다결론은 세배 차이가 나는 가격이지만 이제 저는 40도만 먹으려고요누구 선물은 35도로 하겠지만 저는 40도 호리병 먹겠습니다기본 향은 같은 술이란게 느껴집니다하지만 입안에서의 깔끔함은 말도 안되게 차이가 나네요35도의 부드러운 향과 약간은 걸죽한 질감 깔끔한 목넘김이 좋았었는데40도는 이게 왜 40도지라고 느낄만큼 입에서의 깔끔함과 부드러움이 말도 못합니다하지만 식도를 타고 내려가며 위에 안착했을때의 그 뜻뜻한 느낌 이건 확실히 40도가 맞네요한잔 더 먹어보니 35도 40도 둘 다 사다놓고 먹어야겠어요35도의 강렬함이 있는거 같습니다암튼 40도는 입안에서만큼은 약간 화이트와인같은 깔끔한 향긋함이 느껴지네요좋아요 좋습니다
2022-01-21,3,배옹빠르고좋아요ㅎㅎ
2022-02-04,5,상품 빠르게 배송되네여
2022-01-30,5,역시 믿고 마시는 안동소주 입니다
2022-01-11,5,음주후 뒤끝최고증류주라 숙취가 거의없어요
2021-11-21,5,연말 선물하려구요 정말 좋아요
2021-11-23,5,선물용으로 잘 포장 되어 왓어요
2021-11-14,5,향도좋고 맛있었습니다
2021-12-02,4,한번쯤 사서 먹기 좋네요
2021-11-29,4,포장도 깔끔하고 좋습니다
2021-11-05,5,추천합니다 포장도 꼼꼼
2021-11-15,5,배송 하루만에 왔어요당일날 두병 다 마셨어요 ㅋㅋㅋ
2021-11-20,5,도수에 비해 목넘김이 좋고 맛도 좋아어
2021-11-19,5,선물로 구매했는데 상대방이 만족하네요
2021-10-30,3,생각한것과 좀 다르네요
2021-11-07,5,전통주라 넘기기 부드럽고 향도 좋습니다 숙취도 별로에요
2021-10-24,5,선물용으로 좋아요
2021-10-14,5,아부지드리려고 주문했음
2021-09-28,5,선물받아소 먹어보고 신랑이ㅜ너무 맛있다며 선물할려고 3개샀어요
2021-10-25,5,너무 맛있어서 검색해서 산겁니다 이번에도 너무 맛있을 거 같아요
2021-10-13,5,45도 라는 숫자에 겁을 먹었지만넘겨보니 왜 그런 걱정은 기우였음을 알게 되었습니다 병도 예쁘고 좋은 안주에 잘 어울리는 술이었슥니다
2021-10-12,4,아직 시음전이라 맛은 모르겠지만 포장 꼼꼼히 안전하게 배송됬습니다
2021-10-15,5,선물이었는디 생각보다 작았어요
2021-09-23,4,부드러운 목넘김짜릿함 좋아요
2021-09-07,5,배송이 너무 감동적이네오ㅠㅠㅠ
2021-09-17,5,배송과 포장상태가 마음에 듭니다
2021-08-17,5,같은분 상품인 35퍼센트 보다 45퍼센트가 오히려 부드럽고 더 맛있네요
2021-08-26,5,최고에요 다른 술 생각이 안나요
2021-08-11,5,아버지가 정말 좋아하십니다ㅎㅎ
2021-07-07,5,포장도 잘되어있고 맥주는 알콜이 없다는데 약간취하네요
2021-07-15,5,안동소주 필요했는데
2021-07-09,5,아버지가 제일 좋아하십니다ㅎㅎ
2021-06-01,5,장어에 삼겹살에 같이 먹으니 더욱 맛있네요
2021-05-28,5,친구가 술을 좋아해서 선물용으로 사봤어요
2021-05-27,5,배송빠르고 만족스러워요
2021-06-23,5,조아요조아요조아요
2021-05-15,5,아버지가 엄청 만족하십니다ㅋㅋ
2021-04-03,5,여러술들을 구매할 때 참 좋네요
2021-04-12,5,선물용으로 구입했습니다
2021-04-05,5,맛있습니다 하하 재구매의사 있음
2021-03-21,5,아버지가 좋아하세요
2021-03-25,5,빠른 배송 안전한 포장 굿
2021-03-17,5,선물용으로 최고입니다
