date,star,text
2022-11-24,4,시중에서 구하기 힘든 술을 한번에 구입이 가능하네요 다 먹어보고 입에 맞는걸로 추려 다시주문해야겠네요
2022-11-20,5,포장 꼼꼼하고 안전하게 배송왔어요여러 종류의 증류식소주를 이렇게 손쉽게 먹을 수 있어서 좋았어요매실향이 살짝 나고 목 넘김도 좋았어요
2022-11-22,5,3 서울의 밤  이건 너무 유명해서 뭐 따로 말한건 없지만 밸런스가 좋은 맛입니다 추천드립니다 ㅎㅎ 과일맛이 좋네요 ㅎㅎ
2022-11-16,5,포장 정말 꼼꼼하고 예쁜 병 상하지 않고 잘 받았어요 아내가 전통주들 맞냐고 너무 예쁘다고 놀라네요 매실 증류주는 어떤 맛일까 궁금한데 여러 분들이 극찬하는 맛을 저도 느낄 수 있었으면 합니다
2022-11-13,5,배송도 역시나 빠르고 만족 스랍습니다
2022-11-28,5,한번먹고 맛있어서 친구들한테도 항상 선물해요
2022-11-19,5,아직 먹기전인데 한병씩 먹어볼께요기대됩니다너무 행복하네요다먹고 또 주문할께요
2022-11-26,5,저한테는 도수가 높은데 동생은 엄청 맛있게 잘 마시더라구요
2022-11-12,5,유튜브보고 호기심에 구매해봤는데 배송도 빠르고 맛도 괜찮네요 앞으로 자주 이용하겠습니다
2022-11-16,5,술은 잘 못하지만특별하게 먹겟단 생각으로 주문햇네요별구 아니지만 하이볼 처럼 먹기도하구요
2022-11-05,5,마트에서 가끔 보긴 했는데 그때는 새로나온 소주인 줄 알았는데 매실 증류주였네요최근 증류주가 다양해지는 거 같습니다은은한 매실향과 목넘김이 좋네요가격도 이 정도면 좋은 거 같습니다
2022-11-29,5,술이랑 홍차랑 같이 사서 한꺼번에 리뷰하는줄 알았는데 아니었네여소주보다 도수는 세지만 맛은 더 순합니다홍차 섞어서 마시면 그냥 달달 하네여
2022-11-26,5,종류별로 맛있게 잘마셨습니다
2022-11-27,5,빠른 배송감사드립니다
2022-11-22,5,향이 좋고 깔끔해서 혼술하기 좋네요
2022-11-28,5,궁금해서주문해봤어요
2022-11-22,5,좋아요 맛있습니다 여러병 샀어요
2022-11-26,5,부드럽고 좋네요 맛있어요
2022-11-12,5,아 진짜 맛있음 매실주라해서 일반매실주인줄알았는데 와 차원이틀림 매실향이 아주 좋음
2022-11-25,5,평이 좋길래 구매했습니다
2022-11-19,5,미지근하게 먹으면 더 맛있는 것 같습니다
2022-11-20,5,배송도파르고 포장도 깔끔합니다
2022-11-17,5,와 가성비 굿입니다매실향이 은은하게 끝까지 가네요
2022-11-15,5,증류주에 관심 생겨서 위스키랑 같이 하나 둘 모아 볼려구요 배송 아주 안전하게 잘 왔어요
