,단어,tf-idf,idf
10686,은은하다,8.349143113896806,6.169768056648118
4798,매실,8.12997421363048,6.349328452000744
4068,레몬,5.3561762337421,7.579373496636455
4263,리지,4.5245935773618715,9.151770137390207
1963,끝맛,3.8707292553768076,7.027876833139537
1638,기존,3.8518831054094047,7.512479261806425
4799,매실주,3.8281671257673877,6.6719267895587535
9100,알코올,3.2246825472961405,7.536289910500144
947,곳,3.1704052679572152,6.71074149377426
8226,스트레이트,2.940490991233743,7.947797333064271
8203,스타일,2.9341226209921523,7.3059434468918765
14918,해골,2.861187250396355,10.702367549801373
14844,할로윈,2.7887470323023944,11.038839786422587
8007,순하다,2.703776688046708,6.527980279905736
15242,혼술,2.5378169762692666,7.263782636067598
15345,화학,2.4117138627439987,8.115678205703432
11300,자두,2.362218459746877,9.875688976616905
11805,점,2.2867075656686753,6.78180964192339
8041,술병,2.252856013349377,7.651065425092572
9706,역,2.1314745454927904,8.253828544184248
9027,안주,2.1004877881029325,6.547958746836623
3664,듭니,2.100011961303788,6.941167434107811
2684,니,2.084242137155664,7.320401530067106
7397,샷,2.0701128746499133,9.875688976616905
941,곱다,2.037402555626753,7.360010668162152
13495,친절하다,2.034757795016935,7.176007025185212
12265,주류,2.0068613641067645,7.4333419412477015
10483,원하다,2.0,7.427921873778362
241,감사히,1.9522931044012641,8.266251064182805
15662,힙,1.9294642928529977,10.702367549801373
8770,쓸다,1.9250797620181832,7.110943431838151
13835,타도,1.9181708829827466,11.038839786422587
1425,그림,1.9101955357806122,10.163371049068687
14500,표지,1.904643530916605,10.702367549801373
14151,특유,1.8863923923448498,6.687272359233414
14789,한술,1.8799111325583158,8.357818257708296
2248,냄새,1.765121307702621,6.751123831219946
7416,서다,1.7559407178105866,6.651825610237666
4523,만족도,1.7533997414273799,7.644331392911228
12689,진토닉,1.6932254358546168,9.652545425302696
7148,살수,1.678926792667987,8.458622956830261
10055,완료,1.668659044127796,8.640944513624216
7297,새롭다,1.6595554642957246,7.099201613961467
