date,star,text
2022-11-12,5,몇 달 전에 맛보고 생각나 다시 구매한 술입니다그동안 술을 바꿔가며 여러 청주를 마셔봤지만 이 술이 제 입맛에 제일 맞습니다알콜 맛도 덜하고 달지 않고 담백합니다당분간은 입에 맞는 다른 청주를 만나지 않는 한 청주는 이술로 정착합니다
2022-11-16,5,먼저 미안하게도 구매확정에 대해 인지하지 못해서 자동구매확정이 되었네요 10개를 주문했는데 안전하게 잘 배송이 되었습니다 맛은 청주답고 같이 마신 주변분들이 많이 물어봐서 알려줬습니다 다음에 구매할 때는 받자마자 구매확정을 할께요
2022-11-26,5,전통주도 종류별로 많고 맛도 다양해서 좋네요빠른배송과 꼼꼼한 포장으로 잘 받았습니다 
2022-11-23,5,가족들하고 맛있게 잘 먹었어요술 잘 마시는 분들은 끝도없이 들어가겠어요
2022-11-26,5,막걸리 유통기한도 길고 포장도 엄청 꼼꼼히 해주셨어요 맛있어요
2022-11-26,5,포장 꼼꼼하고 유통기한 넉넉하고 배송빠릅니다
2022-11-26,5,넘 조아용지역주를 알게되고그로인해즐거움도 느끼고넘 좋슴다
2022-11-28,5,맛있게 잘 마셨어요
2022-11-22,5,부드럽고 깔끔해요 굿굿
2022-11-08,5,아떻게 이가격에 이런 고급진 맛이 나죠 해산물과 궁합 미쳤구요 이거 살짝 얼려서 슬러쉬같이 먹으면 미친놈입니다
2022-11-24,5,포장 꼼꼼히 잘 도착했습니다
2022-11-08,5,정말 꼼꼼하고 빠른 배송에 감동엄청 기대하고 있어요 맛있으면 재주문할겁니다
2022-11-25,5,이것도 혼술할때 먹겄습니다
2022-11-25,5,깔끔하게 맛있어요
2022-11-23,5,뚜껑불량이 좀 많은 제품
2022-11-24,5,보고만 있어도 든든합니다
2022-11-21,5,깔끔하면서 청량한 느낌이었어요
2022-11-03,5,맛있습니다가격 대비 정말 훌륭합니다잘 마셨습니다 재구매 갑니다
2022-11-04,5,대존맛 청주를 이 가격에 이 맛이라니니혼슈 3만원대 제품들 맛과 가성비로 압도 합니다
2022-11-10,5,엄청맛있어요 굿 담에 또 살게요
2022-11-22,5,으음 약주라서 그런지 아버지 입맛에는ㅋㅋ 별로셨다고 하시지만 조아하셨습니다
2022-11-09,5,전에 마셔보고 너무 괜찮아서 또 구매 합니다
2022-11-16,3,청하나 백화수복 이런 정종류 보다는향이 거의 없는 사케와 맛이 비슷함 부드러운 맛을 선호하는 사람들의 선택할 주종향이 거의 없고 맛이 거의 안 느껴져 주당들은불호일듯요
2022-10-31,5,은은하고 깔끔해요 쌀단맛이 살짝나요
2022-11-08,5,포장도 잘 되어 있고 기대돼요
2022-11-09,5,배송도빠르고 제품도몹시만족해요
2022-11-29,5,만족합니다 감사합니다
2022-10-31,5,배송도 꼼꼼하구 청주특유의 깔끔한맛과 목넘김이 좋아요
2022-11-07,5,울릉도라 파손걱정이 컸는데 받아보고 깜짝놀랐습니다 어쩜 이렇게 야무지게 포장했을까요  앞으로 자주 이용하겠습니다  번창하세요
2022-11-03,5,전통주 청주 중에 거의 유일하게 좋았던 기억누룩향 강함
2022-11-05,5,먹기전이지만 꼼꼼하게 포장되왓어요
2022-11-01,5,선물용으로 구매했는데 받는 분이 좋아하셨어요
