date,star,text
2022-11-25,5,굿굿굿 역시 실망시키지 않는 완벽포장 끝내줘요
2022-11-26,5,배송이 너무 깔끔하게 포장되어 왔어요 3만원이상 무료배송이라구 되어잇는데 서울임에듀 나중에 확인하니 배송비가 결제되었더라구요 그부분만 제외하면 다 만족해요
2022-11-29,5,강쇠는 제가 진짜 좋아하는 술이라 손님들에게도 추천해드리는데 다들 좋아하시더라구요
2022-11-19,4,익숙한 백세주 같은 맛이 났어요 도수가 좀 더 높았으면 더 맛있었을텐 아쉬워요
2022-11-18,5,맛있어서 또 재구매 햇어요
2022-11-12,4,약주로는 믿기지 않는 저렴한 가격 오가피 산수유 오미자로는 단맛이 제대로 안났는지 설탕까지 말아 넣긴 했지만 가격대 성능비를 고려하면 무난하다고 여겨집니다 적당한 약주맛으로 가성비를 최우선으로 생각하신다면 체크해 보실만한 술이라고 생각이 되네요
2022-11-15,5,지리산 기운 느껴집니다추천드려요
2022-10-31,5,맛있어요 후기가 아주좋아서 기대를 많이했었는데 달달한걸 좋아하는 제입맛에는 우렁이쌀주나 오메기주보다는 덜 맛있었어요 하지만 가격 생각한다면 가성비는 짱인것같아요 재구매의사 있습니다
2022-11-11,5,포장도 잘하고 잠도 보냈어요
2022-10-31,5,우리나라 전통주 너무 맛있음
2022-11-15,5,아버지께 선물로 사 드렸습니다맛있게 잘 드셨다고 합니다
2022-11-25,5,배송 맛 모두 좋았습니다
2022-11-01,5,맛나게 잘 먹겠습니다
2022-10-27,4,지인선물로 불빛이 있어 더 멋졌어요
2022-11-19,5,어떤 음식과도 잘 어울림
2022-11-15,5,역쉬 맛나고 부드럽습니다
2022-11-12,5,선물하기 좋아요 맛있고
2022-11-20,5,배송도 빠르고 좋네요 ㅎㅎ
2022-11-04,5,가성비 최고의 술인것 같습니다다음에는 1박스 주문해봐야겠네요
2022-10-27,5,다음에는 그냥 한 박스살게요술잔도 두개로 맞춰주셨으면 좋았을텐데맛 좋고 최곱니다
2022-09-23,5,가격은 저렴하지만 맛은 뛰어나네요사실 큰 기대를 하고 구입한 술은 아니었는데 제 지인은 이게 제일 맛있다네요 ㅎㅎㅎ배송비 맞출 겸 산건데 개이득다음번에도 또 주문할게요
2022-11-08,4,좋아요좋아 좋아 좋아 좋아 좋아 좋아 좋아 좋아 좋아 좋아
