지점,영업시간,주소,전화번호,주소2
학동역 DT점,평일 06:30~22:00ㅣ주말/공휴일 07:30~22:00,서울시 강남구 학동로 211 1층  ,02-3444-9973,서울특별시강남구학동로2111층
차병원점,평일 07:00~18:00 | 토요일 07:00~15:00 | 일.공휴일 휴무,서울시 강남구 논현로 566 강남차병원1층  ,02-538-7615,서울특별시강남구논현로566강남차병원1층
강남대로점,"월-금 06:30-22:00 | 토-일,공휴일 08:00-22:00  ",서울시 서초구 강남대로 369 1층  ,02-588-5778,서울특별시서초구강남대로3691층
강남에스점,월-목 07:00-22:30 | 금 07:00-23:00 I 토 08:00-23:00 I 일 08:00~22:30 ,서울시 서초구 서초 1306-3호  ,02-593-5095,서울특별시서초구서초1306-3호
청담에스점,월-금 07:00~22:00 | 토 08:00~22:00| 일/공휴일 08:00~21:00,"서울시 강남구 압구정로 461 네이처포엠빌딩B108,109호  ",02-548-6052,"서울특별시강남구압구정로461네이처포엠빌딩B108,109호"
신사점,월-금 07:00~22:00 | 토 09:00~22:00| 일/공휴일 09:00~22:00,서울시 강남구 도산대로 126  ,02-548-2741,서울특별시강남구도산대로126
압구정역점,월-금 07:00~21:00 | 토 07:30~21:00 | 일/공휴일 08:00~21:00,서울시 강남구 논현로 842 압구정빌딩1층  ,02-544-6823,서울특별시강남구논현로842압구정빌딩1층
역삼점,월-금 07:00~22:00 | 토-일요일 08:00~22:00 ,"서울시 강남구 논현로 512  지상1,2층  ",02-569-8051,"서울특별시강남구논현로512지상1,2층"
양재스포타임점,"월-금 06:30~22:00 | 토 7:00~ 22:00  | 일, 공휴일 08:00~21:00",서울시 서초구 강남대로 213 24호 지하1층  ,02-578-6833,서울특별시서초구강남대로21324호지하1층
청담성당점,월-금 07:00~21:00 | 토 07:30~21:00 | 일/공휴일 08:00~21:00,서울시 강남구 삼성로 716 LEE76빌딩2층  ,02-542-2053,서울특별시강남구삼성로716LEE76빌딩2층
영동점,월-목 07:00~22:00 | 금 07:00~23:00 | 토 08:00~23:00 | 일/공휴일 09:00~22:00,서울 서초구 반포동 736-17 P빌딩 2층  ,02-3443-2096,서울특별시서초구반포동736-17P빌딩2층
도곡점,"월~금 06:30~22:00 |토,일, 공휴일 06:30~22:00","서울시 강남구 언주로 30길 10,112 현대비젼21 112호  ",02-572-2781,"서울특별시강남구언주로30길10,112현대비젼21112호"
영동고앞점,월-금 07:00~22:00 | 토 08:00~22:00 | 일/공휴일 08:00~22:00,"서울시 강남구 선릉로 749 1,2층  ",02-544-3794,"서울특별시강남구선릉로7491,2층"
압구정시티점,매일 08:00~22:00 | ,"서울시 강남구 도산대로49길 13 1층 17,18호  ",02-543-5922,"서울특별시강남구도산대로49길131층17,18호"
압구정로데오점,매일 08:00~22:00 | ,서울시 강남구 선릉로 157길 12 석전빌딩 1~4층  ,02-3445-5093,서울특별시강남구선릉로157길12석전빌딩1~4층
서초우성점,평일 07:00~22:00ㅣ토/일/공휴일 08:00~22:00,서울시 서초구 강남대로 51길 1 511 TOWER  1층  ,02-582-0158,서울특별시서초구강남대로51길1511TOWER1층
논현팍스타워점, 월-금 07:00~21:00 | 토 09:00~20:00 | 일 09:00-18:00I,서울시 강남구 논현 231-13호 팍스타워지하1층  ,02-513-3870,서울특별시강남구논현231-13호팍스타워지하1층
삼성오크우드점,평일 07:00~21:00 | 주말/공휴일 09:00~21:00,서울 강남구 영동대로 513 컨벤션별관A동 지하 2층  ,02-3466-8507,서울특별시강남구영동대로513컨벤션별관A동지하2층
트레이드타워점,평일 07:00~21:00  | 주말/공휴일 10:00~19:00 ,서울시 강남구 영동대로 511 트레이드타워 지하1층  ,02-6002-6470,서울특별시강남구영동대로511트레이드타워지하1층
삼성봉은사거리점,평일 07:00-22:00 | 주말/공휴일 08:00-22:00,"서울시 강남구 영동대로 607 1,2층  ",02-3443-5618,"서울특별시강남구영동대로6071,2층"
반포엘루체점,월-일 07:30~19:00  ,서울시 서초구 신반포로 23 1141호 엘루체백화점내1층1013~1015호  ,02-3477-5571,서울특별시서초구신반포로231141호엘루체백화점내1층1013~1015호
잠실신천점,월-금 07:00~22:00 | 토-일 07:00~22:00,서울시 송파구 석촌호수로 118 1층  ,02-416-9520,서울특별시송파구석촌호수로1181층
