field1,field2,field3,field4,field5,_GC_TYPE,_X,_Y
학동역 DT점,평일 06:30~22:00ㅣ주말/공휴일 07:30~22:00,서울시 강남구 학동로 211 1층,02-3444-9973,서울특별시강남구학동로2111층,유,127.060932630986,37.52008274470033
신사점,월-금 07:00~22:00 | 토 09:00~22:00| 일/공휴일 09:00~22:00,서울시 강남구 도산대로 126,02-548-2741,서울특별시강남구도산대로126,정,127.0224109999771,37.51696869995594
차병원점,평일 07:00~18:00 | 토요일 07:00~15:00 | 일.공휴일 휴무,서울시 강남구 논현로 566 강남차병원1층,02-538-7615,서울특별시강남구논현로566강남차병원1층,정,127.03482431236546,37.50643991419043
강남대로점,"월-금 06:30-22:00 | 토-일,공휴일 08:00-22:00",서울시 서초구 강남대로 369 1층,02-588-5778,서울특별시서초구강남대로3691층,유,127.01848611448254,37.518105598225794
청담에스점,월-금 07:00~22:00 | 토 08:00~22:00| 일/공휴일 08:00~21:00,"서울시 강남구 압구정로 461 네이처포엠빌딩B108,109호",02-548-6052,"서울특별시강남구압구정로461네이처포엠빌딩B108,109호",정,127.04723282433596,37.52525527988616
강남에스점,월-목 07:00-22:30 | 금 07:00-23:00 I 토 08:00-23:00 I 일 08:00~22:30,서울시 서초구 서초 1306-3호,02-593-5095,서울특별시서초구서초1306-3호,정,127.02604867789687,37.50030811178368
압구정역점,월-금 07:00~21:00 | 토 07:30~21:00 | 일/공휴일 08:00~21:00,서울시 강남구 논현로 842 압구정빌딩1층,02-544-6823,서울특별시강남구논현로842압구정빌딩1층,정,127.0287311871236,37.52403908202882
역삼점,월-금 07:00~22:00 | 토-일요일 08:00~22:00,"서울시 강남구 논현로 512  지상1,2층",02-569-8051,"서울특별시강남구논현로512지상1,2층",정,127.03652129441626,37.50234991136999
양재스포타임점,"월-금 06:30~22:00 | 토 7:00~ 22:00  | 일, 공휴일 08:00~21:00",서울시 서초구 강남대로 213 24호 지하1층,02-578-6833,서울특별시서초구강남대로21324호지하1층,유,127.01848611448254,37.518105598225794
청담성당점,월-금 07:00~21:00 | 토 07:30~21:00 | 일/공휴일 08:00~21:00,서울시 강남구 삼성로 716 LEE76빌딩2층,02-542-2053,서울특별시강남구삼성로716LEE76빌딩2층,정,127.05003205496142,37.519898403230826
