"날짜","향수"
"2019-09-27",46
"2019-09-28",54
"2019-09-29",58
"2019-09-30",57
"2019-10-01",71
"2019-10-02",75
"2019-10-03",67
"2019-10-04",56
"2019-10-05",69
"2019-10-06",69
"2019-10-07",58
"2019-10-08",55
"2019-10-09",59
"2019-10-10",56
"2019-10-11",55
"2019-10-12",62
"2019-10-13",54
"2019-10-14",64
"2019-10-15",55
"2019-10-16",59
"2019-10-17",51
"2019-10-18",55
"2019-10-19",55
"2019-10-20",54
"2019-10-21",64
"2019-10-22",63
"2019-10-23",54
"2019-10-24",55
"2019-10-25",50
"2019-10-26",53
"2019-10-27",58
"2019-10-28",58
"2019-10-29",53
"2019-10-30",61
"2019-10-31",52
"2019-11-01",61
"2019-11-02",64
"2019-11-03",69
"2019-11-04",66
"2019-11-05",68
"2019-11-06",67
"2019-11-07",72
"2019-11-08",57
"2019-11-09",69
"2019-11-10",81
"2019-11-11",69
"2019-11-12",72
"2019-11-13",63
"2019-11-14",69
"2019-11-15",61
"2019-11-16",57
"2019-11-17",78
"2019-11-18",58
"2019-11-19",69
"2019-11-20",66
"2019-11-21",56
"2019-11-22",61
"2019-11-23",62
"2019-11-24",74
"2019-11-25",65
"2019-11-26",65
"2019-11-27",68
"2019-11-28",61
"2019-11-29",43
"2019-11-30",43
"2019-12-01",68
"2019-12-02",63
"2019-12-03",56
"2019-12-04",57
"2019-12-05",58
"2019-12-06",57
"2019-12-07",62
"2019-12-08",69
"2019-12-09",80
"2019-12-10",69
"2019-12-11",74
"2019-12-12",57
"2019-12-13",81
"2019-12-14",64
"2019-12-15",74
"2019-12-16",67
"2019-12-17",71
"2019-12-18",63
"2019-12-19",69
"2019-12-20",65
"2019-12-21",63
"2019-12-22",88
"2019-12-23",69
"2019-12-24",60
"2019-12-25",57
"2019-12-26",49
"2019-12-27",45
"2019-12-28",45
"2019-12-29",52
"2019-12-30",45
"2019-12-31",42
"2020-01-01",47
"2020-01-02",52
"2020-01-03",51
"2020-01-04",50
"2020-01-05",57
"2020-01-06",61
"2020-01-07",57
"2020-01-08",44
"2020-01-09",54
"2020-01-10",48
"2020-01-11",56
"2020-01-12",55
"2020-01-13",55
"2020-01-14",55
"2020-01-15",57
"2020-01-16",53
"2020-01-17",42
"2020-01-18",46
"2020-01-19",52
"2020-01-20",52
"2020-01-21",53
"2020-01-22",46
"2020-01-23",48
"2020-01-24",46
"2020-01-25",39
"2020-01-26",63
"2020-01-27",63
"2020-01-28",60
"2020-01-29",61
"2020-01-30",64
"2020-01-31",47
"2020-02-01",64
"2020-02-02",76
"2020-02-03",67
"2020-02-04",62
"2020-02-05",67
"2020-02-06",73
"2020-02-07",73
"2020-02-08",72
"2020-02-09",72
"2020-02-10",74
"2020-02-11",72
"2020-02-12",86
"2020-02-13",88
"2020-02-14",66
"2020-02-15",61
"2020-02-16",79
"2020-02-17",71
"2020-02-18",67
"2020-02-19",65
"2020-02-20",62
"2020-02-21",55
"2020-02-22",59
"2020-02-23",59
"2020-02-24",62
"2020-02-25",64
"2020-02-26",70
"2020-02-27",59
"2020-02-28",57
"2020-02-29",64
"2020-03-01",72
"2020-03-02",71
"2020-03-03",67
"2020-03-04",77
"2020-03-05",82
"2020-03-06",78
"2020-03-07",81
"2020-03-08",72
"2020-03-09",80
"2020-03-10",92
"2020-03-11",80
"2020-03-12",78
"2020-03-13",71
"2020-03-14",86
"2020-03-15",71
"2020-03-16",70
"2020-03-17",67
"2020-03-18",64
"2020-03-19",66
"2020-03-20",62
"2020-03-21",61
"2020-03-22",68
"2020-03-23",68
"2020-03-24",72
"2020-03-25",83
"2020-03-26",66
"2020-03-27",60
"2020-03-28",63
"2020-03-29",93
"2020-03-30",68
"2020-03-31",75
"2020-04-01",87
"2020-04-02",69
"2020-04-03",69
"2020-04-04",73
"2020-04-05",86
"2020-04-06",74
"2020-04-07",66
"2020-04-08",68
"2020-04-09",67
"2020-04-10",63
"2020-04-11",66
"2020-04-12",81
"2020-04-13",73
"2020-04-14",70
"2020-04-15",77
"2020-04-16",65
"2020-04-17",74
"2020-04-18",77
"2020-04-19",86
"2020-04-20",92
"2020-04-21",86
"2020-04-22",83
"2020-04-23",74
"2020-04-24",73
"2020-04-25",85
"2020-04-26",80
"2020-04-27",77
"2020-04-28",68
"2020-04-29",72
"2020-04-30",67
"2020-05-01",78
"2020-05-02",74
"2020-05-03",78
"2020-05-04",82
"2020-05-05",94
"2020-05-06",71
"2020-05-07",82
"2020-05-08",76
"2020-05-09",86
"2020-05-10",98
"2020-05-11",75
"2020-05-12",59
"2020-05-13",79
"2020-05-14",74
"2020-05-15",74
"2020-05-16",74
"2020-05-17",88
"2020-05-18",100
"2020-05-19",75
"2020-05-20",86
"2020-05-21",71
"2020-05-22",57
"2020-05-23",58
"2020-05-24",77
"2020-05-25",64
"2020-05-26",61
"2020-05-27",65
"2020-05-28",61
"2020-05-29",61
"2020-05-30",61
"2020-05-31",81
"2020-06-01",68
"2020-06-02",56
"2020-06-03",62
"2020-06-04",61
"2020-06-05",50
"2020-06-06",48
"2020-06-07",72
"2020-06-08",50
"2020-06-09",53
"2020-06-10",60
"2020-06-11",53
"2020-06-12",49
"2020-06-13",53
"2020-06-14",66
"2020-06-15",51
"2020-06-16",51
"2020-06-17",54
"2020-06-18",48
"2020-06-19",55
"2020-06-20",61
"2020-06-21",65
"2020-06-22",61
"2020-06-23",60
"2020-06-24",66
"2020-06-25",51
"2020-06-26",50
"2020-06-27",53
"2020-06-28",58
"2020-06-29",55
"2020-06-30",74
"2020-07-01",70
"2020-07-02",71
"2020-07-03",56
"2020-07-04",69
"2020-07-05",64
"2020-07-06",67
"2020-07-07",63
"2020-07-08",68
"2020-07-09",54
"2020-07-10",56
"2020-07-11",61
"2020-07-12",67
"2020-07-13",68
"2020-07-14",75
"2020-07-15",61
"2020-07-16",63
"2020-07-17",55
"2020-07-18",56
"2020-07-19",68
"2020-07-20",66
"2020-07-21",75
"2020-07-22",62
"2020-07-23",56
"2020-07-24",58
"2020-07-25",58
"2020-07-26",68
"2020-07-27",62
"2020-07-28",57
"2020-07-29",62
"2020-07-30",63
"2020-07-31",54
"2020-08-01",58
"2020-08-02",65
"2020-08-03",57
"2020-08-04",66
"2020-08-05",66
"2020-08-06",59
"2020-08-07",60
"2020-08-08",55
"2020-08-09",65
"2020-08-10",76
"2020-08-11",73
"2020-08-12",68
"2020-08-13",61
"2020-08-14",51
"2020-08-15",52
"2020-08-16",60
"2020-08-17",60
"2020-08-18",59
"2020-08-19",61
"2020-08-20",55
"2020-08-21",50
"2020-08-22",53
"2020-08-23",61
"2020-08-24",72
"2020-08-25",59
"2020-08-26",60
"2020-08-27",64
"2020-08-28",48
"2020-08-29",66
"2020-08-30",57
"2020-08-31",60
"2020-09-01",66
"2020-09-02",77
"2020-09-03",58
"2020-09-04",62
"2020-09-05",57
"2020-09-06",77
"2020-09-07",75
"2020-09-08",66
"2020-09-09",58
"2020-09-10",90
"2020-09-11",67
"2020-09-12",66
"2020-09-13",68
"2020-09-14",68
"2020-09-15",69
"2020-09-16",74
"2020-09-17",74
"2020-09-18",66
"2020-09-19",65
"2020-09-20",78
"2020-09-21",55
"2020-09-22",63
"2020-09-23",64
"2020-09-24",56
"2020-09-25",61
"2020-09-26",56
"2020-09-27",54
