,Date
0,2022-09-28
1,2022-09-28
2,2022-09-28
3,2022-09-28
4,2022-09-28
5,2022-09-28
6,2022-09-28
7,2022-09-28
8,2022-09-28
9,2022-09-28
10,2022-09-28
11,2022-09-28
12,2022-09-28
13,2022-09-28
14,2022-09-28
15,2022-09-28
16,2022-09-28
17,2022-09-28
18,2022-09-28
19,2022-09-28
20,2022-09-28
21,2022-09-28
22,2022-09-28
23,2022-09-28
24,2022-09-28
25,2022-09-28
26,2022-09-28
27,2022-09-28
28,2022-09-27
29,2022-09-27
30,2022-09-27
31,2022-09-27
32,2022-09-27
33,2022-09-27
34,2022-09-27
35,2022-09-27
36,2022-09-27
37,2022-09-27
38,2022-09-27
39,2022-09-27
40,2022-09-27
41,2022-09-27
42,2022-09-27
43,2022-09-27
44,2022-09-27
45,2022-09-27
46,2022-09-27
47,2022-09-27
48,2022-09-27
49,2022-09-27
50,2022-09-26
51,2022-09-26
52,2022-09-26
53,2022-09-26
54,2022-09-26
55,2022-09-26
56,2022-09-26
57,2022-09-26
58,2022-09-26
59,2022-09-26
60,2022-09-26
61,2022-09-26
62,2022-09-26
63,2022-09-26
64,2022-09-26
65,2022-09-26
66,2022-09-25
67,2022-09-25
68,2022-09-25
69,2022-09-25
70,2022-09-25
71,2022-09-25
72,2022-09-25
73,2022-09-25
74,2022-09-25
75,2022-09-25
76,2022-09-25
77,2022-09-25
78,2022-09-25
79,2022-09-25
80,2022-09-25
81,2022-09-25
82,2022-09-25
83,2022-09-25
84,2022-09-25
85,2022-09-25
86,2022-09-25
87,2022-09-25
88,2022-09-25
89,2022-09-25
90,2022-09-25
91,2022-09-25
92,2022-09-25
93,2022-09-25
94,2022-09-25
95,2022-09-25
96,2022-09-25
97,2022-09-25
98,2022-09-25
99,2022-09-25
100,2022-09-25
101,2022-09-25
102,2022-09-25
103,2022-09-25
104,2022-09-25
105,2022-09-25
106,2022-09-24
107,2022-09-24
108,2022-09-24
109,2022-09-24
110,2022-09-24
111,2022-09-24
112,2022-09-24
113,2022-09-24
114,2022-09-24
115,2022-09-24
116,2022-09-24
117,2022-09-24
118,2022-09-24
119,2022-09-24
120,2022-09-24
121,2022-09-24
122,2022-09-24
123,2022-09-24
124,2022-09-24
125,2022-09-24
126,2022-09-24
127,2022-09-24
128,2022-09-24
129,2022-09-24
130,2022-09-24
131,2022-09-24
132,2022-09-24
133,2022-09-24
134,2022-09-24
135,2022-09-24
136,2022-09-24
137,2022-09-24
138,2022-09-23
139,2022-09-23
140,2022-09-23
141,2022-09-23
142,2022-09-23
143,2022-09-23
144,2022-09-23
145,2022-09-23
146,2022-09-23
147,2022-09-23
148,2022-09-23
149,2022-09-23
150,2022-09-23
151,2022-09-23
152,2022-09-23
153,2022-09-23
154,2022-09-23
155,2022-09-23
156,2022-09-23
157,2022-09-23
158,2022-09-23
159,2022-09-23
160,2022-09-23
161,2022-09-23
162,2022-09-23
163,2022-09-23
164,2022-09-23
165,2022-09-23
166,2022-09-23
167,2022-09-22
168,2022-09-22
169,2022-09-22
170,2022-09-22
171,2022-09-22
172,2022-09-22
173,2022-09-22
174,2022-09-22
175,2022-09-22
176,2022-09-22
177,2022-09-22
178,2022-09-22
179,2022-09-22
180,2022-09-22
181,2022-09-22
182,2022-09-22
183,2022-09-22
184,2022-09-22
185,2022-09-22
186,2022-09-22
187,2022-09-22
188,2022-09-22
189,2022-09-22
190,2022-09-22
191,2022-09-22
192,2022-09-21
193,2022-09-21
194,2022-09-21
195,2022-09-21
196,2022-09-21
197,2022-09-21
198,2022-09-21
199,2022-09-21
200,2022-09-21
201,2022-09-21
202,2022-09-21
203,2022-09-21
204,2022-09-21
205,2022-09-21
206,2022-09-21
207,2022-09-21
208,2022-09-21
209,2022-09-21
210,2022-09-20
211,2022-09-20
212,2022-09-20
213,2022-09-20
214,2022-09-20
215,2022-09-20
216,2022-09-20
217,2022-09-20
218,2022-09-20
219,2022-09-20
220,2022-09-20
221,2022-09-20
222,2022-09-20
223,2022-09-20
224,2022-09-20
225,2022-09-20
226,2022-09-20
227,2022-09-20
228,2022-09-20
229,2022-09-20
230,2022-09-20
231,2022-09-20
232,2022-09-20
233,2022-09-20
234,2022-09-20
235,2022-09-20
236,2022-09-19
237,2022-09-19
238,2022-09-19
239,2022-09-19
240,2022-09-19
241,2022-09-19
242,2022-09-19
243,2022-09-19
244,2022-09-19
245,2022-09-19
246,2022-09-19
247,2022-09-19
248,2022-09-19
249,2022-09-19
250,2022-09-19
251,2022-09-19
252,2022-09-18
253,2022-09-18
254,2022-09-18
255,2022-09-18
256,2022-09-18
257,2022-09-18
258,2022-09-18
259,2022-09-18
260,2022-09-18
261,2022-09-18
262,2022-09-18
263,2022-09-18
264,2022-09-18
265,2022-09-18
266,2022-09-18
267,2022-09-18
268,2022-09-18
269,2022-09-17
270,2022-09-17
271,2022-09-17
272,2022-09-17
273,2022-09-17
274,2022-09-17
275,2022-09-17
276,2022-09-17
277,2022-09-17
278,2022-09-17
279,2022-09-17
280,2022-09-17
281,2022-09-17
282,2022-09-17
283,2022-09-17
284,2022-09-17
285,2022-09-17
286,2022-09-17
287,2022-09-17
288,2022-09-17
289,2022-09-17
290,2022-09-17
291,2022-09-17
292,2022-09-17
293,2022-09-17
294,2022-09-17
295,2022-09-17
296,2022-09-17
297,2022-09-16
298,2022-09-16
299,2022-09-16
300,2022-09-16
301,2022-09-16
302,2022-09-16
303,2022-09-16
304,2022-09-16
305,2022-09-16
306,2022-09-16
307,2022-09-16
308,2022-09-16
309,2022-09-16
310,2022-09-16
311,2022-09-16
312,2022-09-16
313,2022-09-16
314,2022-09-16
315,2022-09-16
316,2022-09-16
317,2022-09-16
318,2022-09-16
319,2022-09-16
320,2022-09-16
321,2022-09-16
322,2022-09-16
323,2022-09-16
324,2022-09-16
325,2022-09-16
326,2022-09-16
327,2022-09-16
328,2022-09-16
329,2022-09-16
330,2022-09-16
331,2022-09-16
332,2022-09-16
333,2022-09-16
334,2022-09-16
335,2022-09-16
336,2022-09-16
337,2022-09-16
338,2022-09-15
339,2022-09-15
340,2022-09-15
341,2022-09-15
342,2022-09-15
343,2022-09-15
344,2022-09-15
345,2022-09-15
346,2022-09-15
347,2022-09-15
348,2022-09-15
349,2022-09-15
350,2022-09-15
351,2022-09-15
352,2022-09-15
353,2022-09-15
354,2022-09-15
355,2022-09-15
356,2022-09-15
357,2022-09-15
358,2022-09-15
359,2022-09-14
360,2022-09-14
361,2022-09-14
362,2022-09-14
363,2022-09-14
364,2022-09-14
365,2022-09-14
366,2022-09-14
367,2022-09-14
368,2022-09-14
369,2022-09-14
370,2022-09-14
371,2022-09-13
372,2022-09-13
373,2022-09-13
374,2022-09-13
375,2022-09-13
376,2022-09-13
377,2022-09-13
378,2022-09-12
379,2022-09-12
380,2022-09-12
381,2022-09-12
382,2022-09-12
383,2022-09-12
384,2022-09-12
385,2022-09-12
386,2022-09-12
387,2022-09-12
388,2022-09-12
389,2022-09-11
390,2022-09-11
