,제목,참조주소,내용,방송사
0,잘 안쓰는 국유 토지·건물 적극 매각‥5년간 '16조+α' 규모,https://imnews.imbc.com//news/2022/econo/article/6396057_35687.html,"
사진 제공: 연합뉴스정부가 잘 안 쓰는 국가 보유 토지, 건물 등을 적극적으로 매각하기로 했습니다.

 5년간 16조원 이상 규모의 매각을 추진한다는 계획입니다.

 기획재정부는 비상경제장관회의에서 이런 내용을 담은 `유휴·저활용 국유재산 매각·활용 활성화 방안`을 발표했습니다.

 추 부총리는 ""최근의 어려운 경제 상황을 이겨내기 위해 공공부문에서도 강도 높은 혁신을 추진하고 있다""며 ""그 일환으로 국가가 보유한 국유재산 중 생산적으로 활용되지 않고 있는 유휴·저활용 재산을 매각해 민간 주도의 경제 선순환을 유도하겠다""고 밝혔습니다.

 지난해 결산 기준 국유재산 중 토지·건물 규모는 총 701조원으로, 정부는 이 중 유휴·저활용 재산을 찾아내 매각에 나설 방침입니다.

 우선 한국자산관리공사(캠코)나 한국토지주택공사(LH)가 선 투자한 뒤 임대 수입 등으로 투자 비용을 회수하고 있는 위탁개발 재산 중 행정 목적이 아닌 상업용·임대주택용으로 사용 중인 재산은 민간에 팔기로 했습니다.

 경기 성남 수진동 상가, 시흥 정왕동 상가 등 9건이 거론되고 있으며 이를 모두 매각하면 약 2천억원 수입이 생길 것으로 예상됩니다.

 미래 행정수요에 대비하기 위해 보유한 비축토지는 매입 후 5년 이상이 지났으나 활용계획이 없으면 매각할 계획입니다.

 여기에 해당하는 재산은 현재 11건 정도이며 약 900억원 규모입니다.

 농업진흥구역이나 보호구역 등으로 묶여 국가가 활용하기 어려운 약 5천억원 규모의 농지 1만4천필지에 대해서도 매각을 추진합니다.

 정부는 즉시 매각하기 어렵거나 단독으로 활용할 수 없는 국유재산에 대해서는 민간 참여 개발을 추진하거나 활용도를 높이기로 했습니다.

 민간이 매입하기 어려운 대규모 유휴부지는 민간 참여 개발을 유도한 뒤 조성된 주택용지 등을 매각하고, 필지 분할을 통한 매각도 진행한다는 계획입니다.

 이미 2019년부터 이와 같은 방식으로 총 16곳의 국유지 토지개발 사업지를 선정했으며 이 중 7곳은 사업계획이 승인된 상태입니다.

 한편 사업성이 낮아 팔기 어려운 비도시지역 국유지는 귀농·귀촌, 관광 활성화 등 지역 친화적 개발을 추진하고, 대지면적 500평 이하 도심 내 소규모 자투리 국유지는 여러 소규모 국유지를 결합해 하나의 개발사업을 진행하는 방안을 검토하기로 했습니다.

",mbc
1,[재택플러스] 귀농·귀촌‥연령별 다른 '이유' ,https://imnews.imbc.com//replay/2022/nwtoday/article/6383952_35752.html," 앵커 

귀농·귀촌 인구가 늘고 있다는데, 최근 역대 최고치를 기록했습니다. 

그런데 농촌으로 가는 이유, 연령대에 따라 조금씩 달랐습니다.

오상연 기자입니다.

 리포트 

[영화 <리틀 포레스트> 중]
""긴 겨울을 뚫고 봄의 작은 정령들이 올라오는 그때까지 있으면 해답을 찾을 수 있을까? 그래 해 보자!""

팍팍한 도시의 삶을 뒤로하고 소박하고 평범한 농촌 생활에서 행복을 기대한다는 내용의 영화, 최근에는 현실에서도 이런 경향이 나타나고 있습니다.

지난해 귀농·귀촌 인구는 1년 새 4% 넘게 늘어난 51만 5,434명으로 2년 연속 오름세를 보이고 있습니다.

귀농·귀촌 가구도 38만 가구에 육박해 관련 통계 집계 이후 가장 많았습니다.

가장 눈에 띄는 것은 귀농·귀촌 인구의 45.8%가 30대 이하라는 점입니다.

특히 청년들이 귀농을 택한 가장 큰 이유로 '농업의 비전과 발전 가능성'을 꼽았는데 (26.4%), 미묘한 차이긴 하지만 부모님의 농사를 물려받기 위한 '가업 승계'(26.2%)를 처음으로 앞질렀습니다.

귀농 청년들은 스마트폰과 SNS를 통해 재배법 등을 공유하며 앱 프로그램으로 농장을 관리하고 또 작물을 판매하는 이른바 '스마트팜'을 농촌 지역에 확산시키고 있습니다.

[조영진/다큐프라임 '나는 스마트한 청년 농부다']
""농사가 종합 예술이거든요. (스마트팜) 설비를 다룰 수 있는 기계적인 능력도 필요하고‥""

40대 이상에선 귀촌 이유로 '주택 문제'를 꼽는 경우가 많았습니다.

특히 연령층이 높을수록 비싼 '집값' 때문에 도시를 떠나 귀촌한 인구가 많아, 농촌 지역 '신' 고령인구에 대한 대책 마련도 필요하다는 지적도 나옵니다.

MBC뉴스 오상연입니다.
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  MBC 뉴스는 24시간 여러분의 제보를 기다립니다. ▷ 전화 02-784-4000▷ 이메일 mbcjebo@mbc.co.kr▷ 카카오톡 @mbc제보
",mbc
2,"농협, 농가 영농자금 부담 줄여준다‥1조원 규모 저금리 대출상품 출시",https://imnews.imbc.com//news/2022/econo/article/6383797_35687.html,"
농협중앙회 제공농협상호금융은 고금리 시대, 농가 영농자금 부담을 낮추기 위해 최저 연 2%대의 금리를 적용받을 수 있는 '새출발 농촌희망 저금리대출' 상품을 출시했다고 밝혔습니다.

   상품 총한도는 1조 원으로, 농협은 대출금에 대해 최대 1.5%의 이자를 지원합니다.

   청년 창업농, 귀농인, 농·축협 조합원이라면 누구나 가까운 농·축협에서 1인당 최대 5천만 원 운전자금을 3년 이내 기간으로 대출받을 수 있습니다.

  또 기존 영농자금의 대환대출도 신청할 수 있습니다.

   농협 측은 이를 통해 농업인 약 2만 명에게 450억 원 규모의 혜택이 제공될 것으로 보고 있습니다.

  이성희 농협중앙회장은 ""금리 상승기에 농업인들이 생산비 부담을 덜고 영농에만 집중하는 데 이번 상품이 도움되길 바란다""고 말했습니다.


",mbc
3,코로나19·집값 급등 여파‥작년 귀농·귀촌가구 집계이래 최다,https://imnews.imbc.com//news/2022/econo/article/6381615_35687.html,"
사진 제공: 연합뉴스작년에 귀농·귀촌한 가구가 관련 통계 집계 이래 가장 많았던 것으로 나타났고 귀어 가구 역시 3년 만에 증가했습니다.

  이는 코로나19 장기화, 도시주택 가격 상승, 농어촌에 대한 관심 증가 등이 복합적으로 작용한 결과로 분석됐습니다.

  농림축산식품부, 해양수산부, 통계청은 오늘 이런 내용을 골자로 한 `귀농어·귀촌인 통계` 조사 결과를 발표했습니다.

  작년에 귀농·귀촌한 가구는 37만7천744곳으로 전년보다 5.6% 증가해 귀농·귀촌 통계 집계 이래 최다치를 기록했습니다.

  전 연령대에서 귀농·귀촌 가구가 증가했는데 30대 이하와 60대 가구가 전년보다 각각 5.0%, 16.4% 늘어나며 증가세를 견인했습니다.

  30대 이하 청년농의 증가는 농촌에 대한 청년들의 인식 변화와 함께 영농정착 지원사업 등 정책의 결과라고 농식품부는 진단했습니다.

  60대의 귀농 증가는 도시에 거주하는 베이비붐 세대의 은퇴가 본격화된 영향으로 분석됐습니다.

  귀농·귀촌 인구는 51만5천434명으로 4.2% 늘었으며, 2020년에 이어 2년 연속 증가했습니다.

  귀촌 사유로는 직업이 34.3%, 주택 27.1%, 가족이 22.2%, 자연환경 4.9% 등의 순으로 응답률이 높았습니다.

  연령대가 낮을수록 일자리를 구하기 위해 귀촌한다는 비율이 높았으며 연령대가 높을수록 `주택`이 귀촌 동기라는 응답률이 높았습니다.

  작년 귀어 가구는 1천135곳으로 전년보다 26.5% 증가해 2018년 이후 3년 만에 귀어 가구가 늘어난 것으로 조사됐습니다.

  귀어인은 1천216명으로 25.7% 증가했습니다.

  이들의 평균 연령은 52.7세이며 성비는 남성 63.6%, 여성 36.4%로 나타났습니다.

  작년 귀어 인구가 증가한 것은 코로나19에 따른 전원생활 수요 증가, 수도권 주거비 상승 등 외부적 요인과 정부의 지원정책이 맞물린 결과로 분석됐습니다.

  조승환 해수부 장관은 ""귀어를 희망하는 청년들에게 창업·주택구매 비용, 정착금, 어선 임대 등을 지원하는 사업을 확대해 어촌지역 인구 유입을 늘리기 위해 노력할 것""이라고 말했습니다.

",mbc
4,[MBC 뉴스데스크 주요뉴스] 566일 만에 벗는다‥'실외 마스크 해제'에 기대와 우려,https://imnews.imbc.com//news/2022/society/article/6364540_35673.html,"
                                   ▶ 566일 만에 벗는다‥'실외 마스크 해제'에 기대와 우려 

▶ ""회의 방해 징계"" VS.""책임은 민주당""‥검찰청법 표결 후폭풍

▶ 전원 생활하러 귀농했다가‥주택 화재로 4명 사망

▶ 대통령실 '2실 5수석'으로 인선 완료‥국가안보실장에 김성한 

▶ 미국 캔자스에 강력 토네이도‥건물 1천 채가 부서졌다 

▶ 성추행 하려던 60대 남성‥'안심귀가' 대원들에 덜미

▶ 국내 유일의 '푸른 벚꽃'‥개심사에 핀 '청벚꽃'
                      ",mbc
5,울진 아파트 뒷산까지 불길‥주변 마을들 잿더미,https://imnews.imbc.com//replay/2022/nwtoday/article/6347736_35752.html," 앵커 

울진 산불은 1만 4천여 명이 살고 있는 울진읍 도심지까지 위협했습니다.

큰 불길은 잡았지만 마을마다 피해가 잇따랐습니다.

김형일 기자입니다.

 리포트 

경북 울진읍 방향으로 내려온 산불이 산등성이를 따라 붉은 띠를 길게 형성합니다.

불길은 울진읍 중심지 2~3km 앞까지 근접했고, 오후 한때 한 아파트 단지 뒷산까지 위협했습니다. 

인근 마을 피해도 잇따랐습니다.  

70대 농부는 고향으로 귀농해 20여년 일궈 온 삶의 터전이 하루 아침에 사라졌습니다. 

거실과 안방이 어딘지 구분조차 할 수 없을 정도로 새카만 잔해들만 남아 있습니다. 

[전원수/울진군 울진읍]
""지금 한순간에 잿더미가 됐는데 가슴이 멍하고 먹먹하고, 살길이 막막합니다.""

도로 변 주택도 날아 든 불씨에 순식간에 잿더미로 변했고, 집에서 탈출하며 겨우 들고 나온 건 베개와 이불, 전기 밥솥 뿐입니다. 

재활용품 보관 창고도 산불에 폭격을 맞은 듯 처참하고, 여기저기 잔불이 그대로 남아 있습니다.

[강복희/울진군 울진읍]
""불과 몇 시간 만에 이 동네 저 동네 불이 날아 다녀서 이 상황까지 왔다는 게…""

새벽녘 집 바로 앞까지 불길이 닥친 80대 할머니는 불안감 때문에 추운 날씨에도 집 안에 들어가지 못하고 있습니다.

[전선양/울진군 울진읍]
""겁이 나서 (집에) 못 들어가고 그렇게 있잖아요. <혹시나 불날까 봐요?> (불이) 확 넘어올까 겁이 나서…""

야산에 있던 개 농장에선 철창에 갇혀 있던 5마리가 죽었고, 1백40여 마리가 동물보호단체에 구조됐습니다.

MBC뉴스 김형일입니다.
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  MBC 뉴스는 24시간 여러분의 제보를 기다립니다. ▷ 전화 02-784-4000▷ 이메일 mbcjebo@mbc.co.kr▷ 카카오톡 @mbc제보
",mbc
6,울진 아파트 뒷산까지 불길‥주변 마을들 잿더미,https://imnews.imbc.com//replay/2022/nwdesk/article/6347632_35744.html," 앵커 

울진 산불이 1만 4천여 명이 살고 있는 울진읍 도심지까지 위협했습니다.

큰 불길은 잡았지만 울진읍 일대에 흩어져 있는 마을마다 피해가 잇따랐습니다.

김형일 기자가 보도합니다.

 리포트 

오늘 새벽 경북 울진읍 방향으로 내려온 산불이 산등성이를 따라 붉은 띠를 길게 형성합니다.

불길은 울진읍 중심지 2~3km 앞까지 근접했고, 오후 한때 한 아파트 단지 뒷산까지 위협했습니다. 

인근 마을 피해도 잇따랐습니다.

70대 농부는 고향으로 귀농해 20여 년 일궈 온 삶의 터전이 하루아침에 사라졌습니다.

거실과 안방이 어딘지 구분조차 할 수 없을 정도로 새카만 잔해들만 남아 있습니다. 

[전원수/울진군 울진읍]
""지금 한순간에 잿더미가 됐는데 가슴이 멍하고 먹먹하고, 살길이 막막합니다.""

도로변 주택도 날아든 불씨에 순식간에 잿더미로 변했고, 집에서 탈출하며 겨우 들고 나온 건 베개와 이불, 전기밥솥뿐입니다. 

재활용품 보관 창고도 산불에 폭격을 맞은 듯 처참하고, 여기저기 잔불이 그대로 남아 있습니다.

[강복희/울진군 울진읍]
""불과 몇 시간 만에 이 동네 저 동네 불이 날아다녀서 이 상황까지 왔다는 게…""

새벽녘 집 바로 앞까지 불길이 닥친 80대 할머니는 불안감 때문에 추운 날씨에도 집 안에 들어가지 못하고 있습니다.

[전선양/울진군 울진읍]
""겁이 나서 (집에) 못 들어가고 그렇게 있잖아요. <혹시나 불날까 봐요?> (불이) 확 넘어올까 겁이 나서…""

야산에 있던 개 농장에선 철창에 갇혀 있던 5마리가 죽었고, 1백40여 마리가 동물보호단체에 구조됐습니다.

[이수민/케어 활동가]
""불에 탄다는 것은 정말 상상도 할 수 없는 고통이잖아요. 그 고통을 당했다는 게 너무 참혹하고 잔인하고 슬퍼서 그 현장에서 바로 계속 울었고요.""

사흘째 불길이 확산되면서 울진군 산불 피해 면적은 1만 2천여 헥타르, 주택 262채 등 3백 91개 건물이 불탔습니다. 

MBC 뉴스 김형일입니다.

영상취재: 양재혁(포항)
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  MBC 뉴스는 24시간 여러분의 제보를 기다립니다. ▷ 전화 02-784-4000▷ 이메일 mbcjebo@mbc.co.kr▷ 카카오톡 @mbc제보
",mbc
7,"[신선한 경제] ""귀농 꿈꾼다면 농촌에서 6개월 살아보세요""",https://imnews.imbc.com//replay/2022/nwtoday/article/6344045_35752.html,"
                                    
                                        
                                        전원생활을 꿈꾸면서, 귀농 계획하시는 분들 있으실 텐데요. 

오늘부터 귀농·귀촌 체험 프로그램인 '농촌 살아보기' 참가자 모집이 시작됩니다. 

농림축산식품부의 '농촌에서 살아보기'는 농촌에서 길게는 6개월까지 거주하면서 지역 주민과 교류하고 귀농 생활을 직접 체험해볼 수 있는 프로그램입니다.

'귀농형'과 '귀촌형', '프로젝트 참여형' 등 세 가지 유형으로 운영되는데요. 

유형에 따라 작물 재배 기술이나 농기계 사용법 등 영농 기술도 배울 수 있고, 다양한 농촌 활동과 지역 일자리 체험도 가능합니다. 

올해는 95개 시·군의 마을 110곳이 프로그램 운영에 참여할 것으로 예상하는데요. 

오늘부터 '귀농·귀촌' 홈페이지에서 참여 신청을 받고요.

참가자로 선정되면 다음 달 14일부터 충남 부여, 전북 김제 등 8곳을 시작으로 전국 110곳의 운영 마을에서 입주가 진행됩니다. 

지금까지 신선한 경제였습니다. 
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  MBC 뉴스는 24시간 여러분의 제보를 기다립니다. ▷ 전화 02-784-4000▷ 이메일 mbcjebo@mbc.co.kr▷ 카카오톡 @mbc제보
",mbc
8,"""이러다가 소멸될라""‥귀농인 유치 '안간힘'",https://imnews.imbc.com//replay/2022/nwtoday/article/6339488_35752.html," 앵커 

농촌 지자체들이 인구가 많이 줄면서 귀농이나 귀촌을 생존 전략으로 보고 있습니다. 

머물 집과 실습할 농장까지 지원하는 모습입니다.

김윤미 기자입니다.

 앵커 

인구가 지속적으로 줄어드는 소멸 위기, 중소도시들의 공통된 고민인데요.

농촌 지자체들은 귀농이나 귀촌을 생존 전략으로 보고, 머물 집에 실습할 농장까지 지원하는 등 그야말로 안간힘을 쓰고 있습니다.

김윤미 기자입니다.

 리포트 

10가구가 살고 있는 3층짜리 건물.

충남 부여군이 운영하는 임시 거주시설입니다. 

이곳에 입주한 박영지 씨는 초보 귀농인입니다.

최대 월세 20만 원만 내면 길게는 1년까지 살 수 있어 그동안 여건과 기술 수준에 맞는 작목을 찾고 정착할 집과 농지 등도 꼼꼼히 준비합니다.

[박영지 / 귀농 2년 차]
""시행착오가 있을 수 있고, 그 시간 동안 충분히 알아보고 땅을 구입한다든지, 아니면 주택을 새로 구매한다든지…""

집을 짓거나 구입할 경우 7천5백만 원까지, 비닐하우스 등 영농 시설 비용은 농업 창업으로 보고 3억 원까지 연 2%의 낮은 금리로 빌려줍니다. 

[백경숙 / 딸기 재배 농민 (귀농 3년 차)]
""지원금을 받아서 쉽게, 다른 사람보다 편하게 할 수 있었어요. 지금 시설비도 엄청 비싸졌고, 땅값도 많이 올라서 힘든데…""

충남 부여군이 귀농·귀촌 인구를 위해 마련한 지원책인데, 농업기술센터 교육을 비롯해 주택 자금, 창업 비용에 농기계 지원까지 20여 개나 됩니다.

청년 귀농인에게는 실습할 수 있는 농장도 거의 공짜로 몇 년씩 내줍니다. 

[신동진 / 부여군농업기술센터 농촌지원과장]
""선도 농가하고 같이 직접 재배하고 경험하는 것입니다. 그렇게 해서 본인이 스스로 작물을 키울 수 있는 능력을 갖추도록…""

부여군의 인구는 이제 6만 명 남짓, 숨지는 노인이 출생아보다 수백 명씩 많고, 젊은 층은 죄다 도시로 떠나면서 해마다 천 명 넘게 인구가 급감하고 있습니다.

인구 감소와 고령화로 소멸 위기가 눈앞에 닥치면서 귀농과 귀촌이 절박한 농촌의 생존전략이 되고 있습니다.

MBC뉴스 김윤미입니다.
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  MBC 뉴스는 24시간 여러분의 제보를 기다립니다. ▷ 전화 02-784-4000▷ 이메일 mbcjebo@mbc.co.kr▷ 카카오톡 @mbc제보
",mbc
9,폐교한 초등학교 건물 임차해 쓰던 '귀농 학교'서 화재,https://imnews.imbc.com//news/2022/society/article/6334386_35673.html,"
어제 저녁 7시쯤, 경남 거창군 고제면의 폐교 건물에서 불이 나 1시간 반만에 꺼졌습니다.

이 불로 건물 안에 있던 2명이 대피했고, 건물 전체가 불에 타면서 소방서 추산 1억 원 재산피해가 났습니다.

불이 난 건물은 폐교한 초등학교를 개인이 빌려 성인을 대상으로 귀농 학교를 운영하던 곳으로 알려졌습니다.

소방당국은 건물 내부 식당 쪽에서 불이 시작된 것으로 보고, 정확한 화재 원인을 조사하고 있습니다.
                      ",mbc
