,tfidf
맛있다,0.2669642663090216
와인,0.23394211252008537
분위기,0.20545944918167425
나오다,0.19439576082783627
메뉴,0.17957379665914494
오다,0.15987451949477313
감성,0.15753087558775786
많다,0.1533925494096047
추가,0.15043660213949533
맥주,0.1471428323242306
안주,0.14368015123638816
주문,0.1420332663287558
중구,0.12740297827012656
이웃,0.12632451797903166
느낌,0.12609226497923734
공유,0.12404421579923298
신고,0.12210173616458968
카페,0.11371951426292236
싶다,0.11350837517220026
추천,0.11095359217446286
말다,0.10797653099528128
칵테일,0.10744698466144689
닫다,0.10730088590497056
들어가다,0.10548508972476052
찍다,0.1044082803620778
정말,0.10020661245670805
서울특별시,0.09980544818433605
친구,0.09908757527588093
서울,0.09421026228020044
을지,0.09121574735302487
자리,0.09049421428349151
테이블,0.08994525264761405
방문,0.0864403437416272
많이,0.08375887728945655
도국,0.08200642283646313
도지,0.08162637247316336
좋아하다,0.07734024893150475
골목,0.07077382321004748
가게,0.06807124284880463
가격,0.06775453421272147
주다,0.06701554739519412
호프,0.06547423203292281
메뉴판,0.06541089030570618
넘다,0.0652208651240563
알다,0.06110365285497536
찾다,0.06091362767332548
식당,0.06090112490932212
소스,0.06038577994652023
음식,0.059921273946931614
나다,0.059562337492704044
치즈,0.05850664203909355
요즘,0.056543048495378036
영상,0.056306352538931306
파스타,0.05609965640486163
앉다,0.0549806192240345
오늘,0.05457945495166251
처음,0.05367155686155749
예쁘다,0.05360821513434086
가보다,0.0534815316799076
인테리어,0.0517713050450586
크다,0.05168684940876976
사장,0.05137014077268662
예약,0.051113444120323925
치킨,0.05056781222794264
커피,0.050515308072107364
내부,0.050398900955364964
도움말,0.049889984021699155
근데,0.049322091592682256
엄청,0.04927986377453784
모르다,0.04921652204732121
느끼다,0.048604218684227124
데이트,0.04832973786628839
리다,0.0474851815034
골뱅이,0.0472740424126779
다양하다,0.04628168868628404
하이,0.04624679172801648
즐기다,0.04592275223205647
한잔,0.04579606877762321
오뎅,0.045104895635966695
아주,0.044993740232879234
소주,0.04480371505122935
포차,0.0447192594149405
해주다,0.04414918386999084
차다,0.04395915868834095
웨이,0.043473538779680125
가기,0.04341923950008368
컨셉,0.04305126059823593
저녁,0.04292457714380267
입구,0.042819007598441615
공간,0.04269232414400836
피자,0.042114215394883914
