,tfidf
건대,0.7752790547717018
맥주,0.4763503762328209
구역,0.25376679185315065
안주,0.1424749996633155
포차,0.09785075448574876
느낌,0.08279679225717203
메뉴,0.07580745265104712
감성,0.06935575455308567
가성,0.06505462248777802
포토,0.06451698097961457
그대로,0.0629040564551242
인테리어,0.0559147168489993
간판,0.05483943383267238
정말,0.04946301875103784
튀김,0.04677481121022056
통닭,0.04623716970205711
옛날,0.04408660366940329
레트로,0.04408660366940329
뉴트,0.04247367914491292
추천,0.04193603763674947
떡볶이,0.040323113112259105
공유,0.03978547160409565
도지,0.036021981046951465
도국,0.036021981046951465
구성,0.036021981046951465
가격,0.036021981046951465
포인트,0.03387141501429765
계단,0.033333773506134194
소개,0.032258490489807286
치킨,0.03064556596531692
분위기,0.03064556596531692
양념,0.03064556596531692
추억,0.030107924457153466
꼬치,0.026882075408172737
컨셉,0.026882075408172737
내부,0.02365622635919201
파스타,0.02365622635919201
오늘,0.02365622635919201
바삭,0.0225809433428651
최고,0.02150566032653819
레이스,0.02150566032653819
매콤,0.020968018818374734
제공,0.020968018818374734
식사,0.020968018818374734
한번,0.02043037731021128
국물,0.02043037731021128
이용,0.018817452785720917
생맥주,0.018279811277557463
마르다,0.016666886753067097
처음,0.016666886753067097
장소,0.015053962228576733
비쥬,0.015053962228576733
별로,0.014516320720413279
만족,0.014516320720413279
날씨,0.013978679212249824
공간,0.012903396195922914
데이트,0.012903396195922914
천원,0.012903396195922914
한잔,0.01129047167143255
친구,0.01129047167143255
모임,0.01129047167143255
소스,0.010752830163269096
소주,0.01021518865510564
돈까스,0.009677547146942186
요즘,0.009677547146942186
방문,0.009139905638778732
기분,0.008602264130615276
역시,0.008602264130615276
정보,0.008064622622451821
인생,0.008064622622451821
먹기,0.007526981114288366
지다,0.007526981114288366
호프,0.007526981114288366
요리,0.007526981114288366
자리,0.007526981114288366
알다,0.006989339606124912
마음,0.006989339606124912
준비,0.006451698097961457
일상,0.005914056589798002
여름,0.005914056589798002
찍기,0.005914056589798002
계시,0.005914056589798002
주소,0.005376415081634548
입구,0.005376415081634548
출구,0.005376415081634548
얼음,0.004838773573471093
테이블,0.004838773573471093
마리,0.004838773573471093
라면,0.004838773573471093
하루,0.004838773573471093
음식,0.004838773573471093
지로,0.004838773573471093
리다,0.004838773573471093
코로나,0.004838773573471093
선택,0.004301132065307638
손님,0.004301132065307638
물씬,0.004301132065307638
인기,0.004301132065307638
막걸리,0.003763490557144183
취향,0.003763490557144183
모습,0.003763490557144183
영업,0.003763490557144183
매장,0.003763490557144183
메뉴판,0.003763490557144183
외관,0.0032258490489807286
저녁,0.0032258490489807286
서울,0.0032258490489807286
벌써,0.0032258490489807286
판매,0.0032258490489807286
리뷰,0.0032258490489807286
조합,0.0032258490489807286
위해,0.0032258490489807286
제일,0.0032258490489807286
뿜뿜,0.0032258490489807286
언니,0.0032258490489807286
자체,0.0032258490489807286
입맛,0.0032258490489807286
재미,0.002688207540817274
예전,0.002688207540817274
대박,0.002688207540817274
하니,0.002688207540817274
오픈,0.002688207540817274
이기,0.002688207540817274
코스,0.002688207540817274
보고,0.002688207540817274
고민,0.002688207540817274
이야기,0.002688207540817274
보통,0.002688207540817274
차로,0.002688207540817274
매일,0.002688207540817274
존맛,0.002688207540817274
실내,0.002688207540817274
근처,0.002688207540817274
먼저,0.002688207540817274
샐러드,0.002688207540817274
새벽,0.002150566032653819
모든,0.002150566032653819
먹음,0.002150566032653819
부담,0.002150566032653819
살짝,0.002150566032653819
비주,0.002150566032653819
가게,0.002150566032653819
외부,0.002150566032653819
더욱,0.002150566032653819
종로,0.002150566032653819
조명,0.002150566032653819
기억,0.002150566032653819
골목,0.002150566032653819
치즈,0.002150566032653819
카페,0.002150566032653819
종류,0.002150566032653819
양도,0.002150566032653819
스타,0.002150566032653819
술술,0.002150566032653819
포스팅,0.0016129245244903643
주말,0.0016129245244903643
버터,0.0016129245244903643
카운터,0.0016129245244903643
한국,0.0016129245244903643
참고,0.0016129245244903643
해물,0.0016129245244903643
서비스,0.0016129245244903643
블로그,0.0016129245244903643
수가,0.0016129245244903643
잡고,0.0016129245244903643
뭔가,0.0016129245244903643
이름,0.0016129245244903643
은근,0.0016129245244903643
오후,0.0016129245244903643
여행,0.0016129245244903643
아래,0.0016129245244903643
사장,0.0016129245244903643
이색,0.0016129245244903643
회식,0.0016129245244903643
가득,0.0016129245244903643
모이,0.0016129245244903643
계속,0.0016129245244903643
등장,0.0016129245244903643
금요일,0.0016129245244903643
마지막,0.0016129245244903643
냄새,0.0016129245244903643
감자,0.0016129245244903643
갑자기,0.0016129245244903643
걱정,0.0016129245244903643
