,tfidf
와인,0.26271290129304525
분위기,0.23174444738281216
나오다,0.22003774422890487
메뉴,0.20379318500709126
감성,0.17762810001980156
맥주,0.16792481204481036
안주,0.1638214315578738
중구,0.1435963802434253
느낌,0.1423631653644231
공유,0.1402873375886787
싶다,0.12860477196704753
추천,0.12551516783570704
말다,0.12254625136574704
칵테일,0.12196367880415603
카페,0.12076007397731583
들어가다,0.11979457268627193
찍다,0.11740495699093828
정말,0.1132533014394495
친구,0.11248090040661439
서울,0.10719478083814903
자리,0.1027534748993471
테이블,0.10186038620513148
을지,0.09967826654559846
방문,0.09809493117006027
많이,0.09522256482920467
도국,0.09278467406931881
도지,0.0920605481010359
좋아하다,0.08752269203312957
골목,0.08049867014078518
가격,0.07697459042847495
가게,0.07673321510571397
주다,0.07608150173425934
호프,0.07465738732996959
메뉴판,0.07410222408761935
넘다,0.07383671123258227
식당,0.0698711391314329
알다,0.06896092971281058
소스,0.06891265464825838
찾다,0.06845404153501253
음식,0.06828507880907984
나다,0.06744026517941644
치즈,0.06611270090423108
영상,0.06424539349851949
파스타,0.06420583585441937
요즘,0.06369894767662132
앉다,0.06222655820777937
오늘,0.06162311990087694
처음,0.061164506787631086
가보다,0.06075416873893743
예쁘다,0.060078317835206695
크다,0.05865420343091694
인테리어,0.05846110317270816
예약,0.058277751722169355
커피,0.05802909998148809
사장,0.057736977204425236
치킨,0.057688702139873045
내부,0.057399051752559875
도움말,0.0569412486160076
근데,0.05607148747737451
엄청,0.05590252475144183
모르다,0.05525081137998719
느끼다,0.05498529852495012
데이트,0.054792198266741345
골뱅이,0.05404393476618232
리다,0.05358532165293647
하이,0.05293173929752235
다양하다,0.0523301699745794
즐기다,0.05184741932905745
한잔,0.05179914426450525
오뎅,0.05156415472377544
포차,0.051075018296222324
소주,0.051050880763946226
해주다,0.050181929602006715
차다,0.049844004150141355
웨이,0.04945780363372379
컨셉,0.04851643987495599
저녁,0.048395752213575505
가기,0.04836276356250427
피자,0.04795870448389723
공간,0.047840588971225256
입구,0.047792313906673066
받다,0.04762335118074038
짜다,0.04682681261562916
보고,0.04656129976059209
고기,0.04561993600182429
종로,0.04559579846954819
만들다,0.04528201054995892
역시,0.045185460420854535
신당역,0.044974883595722166
계속,0.044557884581676
영업,0.043737208484288685
간판,0.043568245758356
튀김,0.043519970693803804
다녀오다,0.04308549511283405
올라가다,0.04274756966096869
맞다,0.04248205680593161
갈다,0.04185448096675308
해보다,0.041178630063022345
아쉽다,0.0406958794175004
신당동,0.04037482639311893
한번,0.040020028513769665
충무로,0.03984644144417126
만선,0.03977865319100869
코드,0.039255893560053275
크림,0.03900724181937202
소요,0.03897616035178686
화질,0.03897616035178686
노가리,0.038861426964516985
먹기,0.0387407393031365
이름,0.038571776577203815
유명하다,0.038571776577203815
뭔가,0.038233851125338454
트랙,0.037888308986306365
기본,0.0377511004798165
괜찮다,0.037340762431122845
귀엽다,0.03693042438242919
떡볶이,0.03664077399511602
만나다,0.03627871101097455
쓰다,0.036254573478698454
개다,0.036254573478698454
국물,0.03608561075276577
근처,0.03606147322048968
원래,0.035805850658100845
노포,0.03574368772293054
루프,0.035681524787760224
조명,0.035385622316758944
어울리다,0.035385622316758944
재생,0.03524638424156802
레트로,0.034999421800341386
생기,0.03492700920351309
장소,0.034902871671237
기다리다,0.0348787341389609
구이,0.034782184009856505
지로,0.034709771413028216
종류,0.03458908375164773
장만옥,0.03440718461676878
따르다,0.033864957783364805
오픈,0.03343048220239505
출구,0.033358069605566754
자동,0.03316392591336251
드리다,0.032778768830940413
인스타,0.03232015571769456
선택,0.032127055459485784
기분,0.0319580927335531
요리,0.0319098176690009
광고,0.031258104297546274
두다,0.031233966765270176
건물,0.030920178845680907
화장실,0.030896041313404808
남다,0.030533978329263346
닭발,0.03021118649277259
점심,0.03011794209001712
손님,0.030027090151465298
주소,0.029858127425532618
시작,0.02964088963504774
명동,0.02962063860865461
끄다,0.02954433950594335
마늘,0.029496064441391155
차로,0.029399514312286764
지다,0.02925468911863018
살짝,0.029109863924973594
어떻다,0.0290615888604214
느껴지다,0.02896503873131701
포장마차,0.02887468338661084
먼저,0.02877193847310823
버리다,0.028723663408556033
계단,0.028409875488966767
포스팅,0.028216775230757985
내다,0.028047812504825305
생맥주,0.027999537440273108
간단하다,0.027975399907997012
평일,0.027662506150789717
안녕하다,0.02749264926247506
없이,0.027444374197922866
돼다,0.026985761084677012
들어오다,0.026985761084677012
새우,0.02693748602012482
찌개,0.02693227211978751
이미,0.026885469461160792
소개,0.026865073423296526
취향,0.026792660826468234
막걸리,0.026599560568259455
작다,0.026527147971431162
곱창,0.026450328914968596
추다,0.026357084512213125
시원하다,0.026189222519565795
기억,0.0261650849872897
직접,0.026139514239117027
넣다,0.025899572132252625
별로,0.02587543459997653
동네,0.025797618095680302
위스키,0.02576653662809514
갈비,0.02566535188350008
마음,0.025513371615835067
제일,0.025199583696245798
매다,0.0251754461639697
나가다,0.025144907276392004
최고,0.025103033567141407
야외,0.025103033567141407
가능하다,0.025030620970313115
고르다,0.024958208373484822
감자,0.024934070841208727
이쁘다,0.024837520712104336
날씨,0.024837520712104336
김치,0.024771929665370118
홍콩,0.024771929665370118
일상,0.02459614538934336
일기,0.02455435939227402
